3'长传球被人拦截                   3'开场仅3分钟，布雷迪右路任意球传中，本-米远点头球攻门被库尔图瓦没收
83'伯恩利前场任意球机会                   81'第81分钟，小法飞铲杰克-科克累计两张黄牌也被罚下
83'任意球开到禁区，球又被解围出来                   81'第81分钟，小法飞铲杰克-科克累计两张黄牌也被罚下
84'阿隆索前场拿球                   81'第81分钟，小法飞铲杰克-科克累计两张黄牌也被罚下
88'外围阿紫皮奎塔将球控制下来                   88'第88分钟，阿斯皮利奎塔长传，莫拉塔后仰摆渡，反越位成功的路易斯小禁区前推射入网，2-3
88'切尔西进球了！！！！！！！！                   88'第88分钟，阿斯皮利奎塔长传，莫拉塔后仰摆渡，反越位成功的路易斯小禁区前推射入网，2-3
88'让我们看看慢镜头                   88'第88分钟，阿斯皮利奎塔长传，莫拉塔后仰摆渡，反越位成功的路易斯小禁区前推射入网，2-3
89'阿兹皮利奎塔拿球传球禁区，准确找到莫拉塔，莫拉塔头球摆渡，路易斯插上来一脚打门，直接将球打进                   88'第88分钟，阿斯皮利奎塔长传，莫拉塔后仰摆渡，反越位成功的路易斯小禁区前推射入网，2-3
89'最后2分钟，切尔西能扳平比分吗                   88'第88分钟，阿斯皮利奎塔长传，莫拉塔后仰摆渡，反越位成功的路易斯小禁区前推射入网，2-3
90'现在切尔西场上是9打11哟，打的还是非常不错的                   88'第88分钟，阿斯皮利奎塔长传，莫拉塔后仰摆渡，反越位成功的路易斯小禁区前推射入网，2-3
90'OK，继续看比赛把                   88'第88分钟，阿斯皮利奎塔长传，莫拉塔后仰摆渡，反越位成功的路易斯小禁区前推射入网，2-3
90'伯恩利获得任意球机会                   88'第88分钟，阿斯皮利奎塔长传，莫拉塔后仰摆渡，反越位成功的路易斯小禁区前推射入网，2-3
90'布拉迪直接选择了打门，达到了横梁上，惊险                   88'第88分钟，阿斯皮利奎塔长传，莫拉塔后仰摆渡，反越位成功的路易斯小禁区前推射入网，2-3
91'外围还是伯恩利控制球                   88'第88分钟，阿斯皮利奎塔长传，莫拉塔后仰摆渡，反越位成功的路易斯小禁区前推射入网，2-3
91'在传导球，消耗时间呀                   88'第88分钟，阿斯皮利奎塔长传，莫拉塔后仰摆渡，反越位成功的路易斯小禁区前推射入网，2-3
