5'亚泰横传门前，杜震宇抢点，被张思鹏先得到                   5'开场第5分钟，亚泰队边路横传门前，杜震宇抢点稍大，张思鹏果断出击将球得到
60'双方三个进球都是定位球                   60'下半场易边再战，亚泰队上来便展开猛攻，完全压制住舜天，并在第60分钟反超比分――胡斯蒂主罚右侧角球开到门前，伊斯梅洛夫前点头球顶远角，吉翔碰了一下还是无力阻挡，皮球飞入远角，2-1
61'舜天准备换人了                   60'下半场易边再战，亚泰队上来便展开猛攻，完全压制住舜天，并在第60分钟反超比分――胡斯蒂主罚右侧角球开到门前，伊斯梅洛夫前点头球顶远角，吉翔碰了一下还是无力阻挡，皮球飞入远角，2-1
61'亚泰后场拿球，接连铲球犯规了                   60'下半场易边再战，亚泰队上来便展开猛攻，完全压制住舜天，并在第60分钟反超比分――胡斯蒂主罚右侧角球开到门前，伊斯梅洛夫前点头球顶远角，吉翔碰了一下还是无力阻挡，皮球飞入远角，2-1
62'舜天换人了，吴曦被杨笑天换下                   60'下半场易边再战，亚泰队上来便展开猛攻，完全压制住舜天，并在第60分钟反超比分――胡斯蒂主罚右侧角球开到门前，伊斯梅洛夫前点头球顶远角，吉翔碰了一下还是无力阻挡，皮球飞入远角，2-1
63'萨米尔拿球，被断下                   60'下半场易边再战，亚泰队上来便展开猛攻，完全压制住舜天，并在第60分钟反超比分――胡斯蒂主罚右侧角球开到门前，伊斯梅洛夫前点头球顶远角，吉翔碰了一下还是无力阻挡，皮球飞入远角，2-1
63'舜天后场起球还是被亚泰断下                   60'下半场易边再战，亚泰队上来便展开猛攻，完全压制住舜天，并在第60分钟反超比分――胡斯蒂主罚右侧角球开到门前，伊斯梅洛夫前点头球顶远角，吉翔碰了一下还是无力阻挡，皮球飞入远角，2-1
63'舜天中场失势了                   60'下半场易边再战，亚泰队上来便展开猛攻，完全压制住舜天，并在第60分钟反超比分――胡斯蒂主罚右侧角球开到门前，伊斯梅洛夫前点头球顶远角，吉翔碰了一下还是无力阻挡，皮球飞入远角，2-1
70'比赛继续进行                   70'强援萨米尔展现个人能力，第70分钟他在禁区外连续摆脱过掉三名亚泰防守队员，突入禁区后冷静抽射远角入网，2-2
70'萨米尔扳平比分了                   70'强援萨米尔展现个人能力，第70分钟他在禁区外连续摆脱过掉三名亚泰防守队员，突入禁区后冷静抽射远角入网，2-2
71'萨米尔禁区外围连过三人，面对出击门将打门得手，完全凭借个人能力                   70'强援萨米尔展现个人能力，第70分钟他在禁区外连续摆脱过掉三名亚泰防守队员，突入禁区后冷静抽射远角入网，2-2
71'萨米尔得分还是在吉翔受伤下场治疗的时候                   70'强援萨米尔展现个人能力，第70分钟他在禁区外连续摆脱过掉三名亚泰防守队员，突入禁区后冷静抽射远角入网，2-2
72'吉翔不能坚持比赛了，被换下了                   70'强援萨米尔展现个人能力，第70分钟他在禁区外连续摆脱过掉三名亚泰防守队员，突入禁区后冷静抽射远角入网，2-2
72'孙可又倒地了                   70'强援萨米尔展现个人能力，第70分钟他在禁区外连续摆脱过掉三名亚泰防守队员，突入禁区后冷静抽射远角入网，2-2
72'杜震宇吃到了一张黄牌                   70'强援萨米尔展现个人能力，第70分钟他在禁区外连续摆脱过掉三名亚泰防守队员，突入禁区后冷静抽射远角入网，2-2
73'亚泰左路拿球，后场倒脚                   70'强援萨米尔展现个人能力，第70分钟他在禁区外连续摆脱过掉三名亚泰防守队员，突入禁区后冷静抽射远角入网，2-2
73'亚泰也要换人了                   70'强援萨米尔展现个人能力，第70分钟他在禁区外连续摆脱过掉三名亚泰防守队员，突入禁区后冷静抽射远角入网，2-2
73'闫峰准备上场                   70'强援萨米尔展现个人能力，第70分钟他在禁区外连续摆脱过掉三名亚泰防守队员，突入禁区后冷静抽射远角入网，2-2
83'孙可边路突破失败了                   82'第82分钟，胡斯蒂高速插入禁区准备接球时假摔，被黄牌警告
83'孙可今天状态真不好                   82'第82分钟，胡斯蒂高速插入禁区准备接球时假摔，被黄牌警告
84'舜天右路射门被挡出，角球机会                   82'第82分钟，胡斯蒂高速插入禁区准备接球时假摔，被黄牌警告
84'角球到前点，还是被挡出，继续角球                   82'第82分钟，胡斯蒂高速插入禁区准备接球时假摔，被黄牌警告
85'舜天的角球，被闫峰门线挡出，舜天突破后，继续角球                   82'第82分钟，胡斯蒂高速插入禁区准备接球时假摔，被黄牌警告
85'继续角球，还是李昂，这回战术角球                   82'第82分钟，胡斯蒂高速插入禁区准备接球时假摔，被黄牌警告
