12'十分钟多一点，哥德斯拿球不多！                   12'第12分钟，范云龙任意球传中，郑凯木头球破门
53'金敬道下底横传禁区！吉尔飞身冲顶，被对方抢点顶出来                   52'第7分钟，贵州恒丰前场组织进攻，范云龙长传进攻，依力哈木江凌空垫传球，后点包抄的耶拉维奇射门击中边网
53'裁判哨响，吹了吉尔的犯规！                   52'第7分钟，贵州恒丰前场组织进攻，范云龙长传进攻，依力哈木江凌空垫传球，后点包抄的耶拉维奇射门击中边网
54'后场鲁能泰山队得球，长传进攻                   52'第7分钟，贵州恒丰前场组织进攻，范云龙长传进攻，依力哈木江凌空垫传球，后点包抄的耶拉维奇射门击中边网
55'对方犯规，再得到任意球机会                   52'第7分钟，贵州恒丰前场组织进攻，范云龙长传进攻，依力哈木江凌空垫传球，后点包抄的耶拉维奇射门击中边网
55'任意球发到禁区内，博利头球顶出来！                   52'第7分钟，贵州恒丰前场组织进攻，范云龙长传进攻，依力哈木江凌空垫传球，后点包抄的耶拉维奇射门击中边网
55'球出边线，依力哈木江去拿球想发球，吉尔去抢球！                   52'第7分钟，贵州恒丰前场组织进攻，范云龙长传进攻，依力哈木江凌空垫传球，后点包抄的耶拉维奇射门击中边网
55'金敬道左路突破到大禁区，郑凯木阻挡犯规！任意球！                   52'第7分钟，贵州恒丰前场组织进攻，范云龙长传进攻，依力哈木江凌空垫传球，后点包抄的耶拉维奇射门击中边网
60'界外球发出来，鲁能泰山队回传球，交给吉尔！                   60'第15分钟，佩莱禁区内转身射门偏出
60'金敬道带球到禁区内！摆大腿打门，没机会啦，被挡出来！                   60'第15分钟，佩莱禁区内转身射门偏出
60'赵和靖中场接球失误，球出边线                   60'第15分钟，佩莱禁区内转身射门偏出
61'哥德斯右路突破，被两人包夹！倒地                   60'第15分钟，佩莱禁区内转身射门偏出
61'裁判不会吹的！                   60'第15分钟，佩莱禁区内转身射门偏出
61'后场贵州恒队得球大脚长传！耶拉维奇越位！                   60'第15分钟，佩莱禁区内转身射门偏出
62'鲁能泰山队攻到前场，金敬道突破被挡出来！                   60'第15分钟，佩莱禁区内转身射门偏出
62'陈吉左路带球！横向突破，然后回传！                   60'第15分钟，佩莱禁区内转身射门偏出
62'刘军帅后场得球，大脚传球打在对方身上出边线                   60'第15分钟，佩莱禁区内转身射门偏出
62'佩莱中场得球，回传一下，又配合失误，蒿俊闵没有接到，球出边线                   60'第15分钟，佩莱禁区内转身射门偏出
62'赵和靖发出界外球！耶拉维奇转身传球，吉尔抢断                   60'第15分钟，佩莱禁区内转身射门偏出
63'前场贵州恒队断球直传禁区，崔鹏破坏出底线                   60'第15分钟，佩莱禁区内转身射门偏出
63'斯蒂夫又倒在地上！！拖时间吗？                   60'第15分钟，佩莱禁区内转身射门偏出
65'贵州恒队换人，换上了闵俊麟！换下了斯蒂夫                   65'第20分钟，贵州恒丰连续一脚传球撕开山东鲁能后防线，斯蒂夫突入禁区在身体接触后倒地，但是主裁判并未判罚点球
65'角球发到禁区内，几次争顶，郑凯木顶门！偏出！                   65'第20分钟，贵州恒丰连续一脚传球撕开山东鲁能后防线，斯蒂夫突入禁区在身体接触后倒地，但是主裁判并未判罚点球
65'崔鹏中场得球，直传球！对方大脚破坏                   65'第20分钟，贵州恒丰连续一脚传球撕开山东鲁能后防线，斯蒂夫突入禁区在身体接触后倒地，但是主裁判并未判罚点球
66'贵州恒队斜传球到禁区内！闵俊麟传球，被挡出底线                   65'第20分钟，贵州恒丰连续一脚传球撕开山东鲁能后防线，斯蒂夫突入禁区在身体接触后倒地，但是主裁判并未判罚点球
67'闵俊麟发角球到禁区内！                   65'第20分钟，贵州恒丰连续一脚传球撕开山东鲁能后防线，斯蒂夫突入禁区在身体接触后倒地，但是主裁判并未判罚点球
67'佩莱把球顶出来！贵州恒队外围远射！又被挡出来                   65'第20分钟，贵州恒丰连续一脚传球撕开山东鲁能后防线，斯蒂夫突入禁区在身体接触后倒地，但是主裁判并未判罚点球
67'贵州恒队右路直传进攻，吉尔将球破坏                   65'第20分钟，贵州恒丰连续一脚传球撕开山东鲁能后防线，斯蒂夫突入禁区在身体接触后倒地，但是主裁判并未判罚点球
67'又是角球！                   65'第20分钟，贵州恒丰连续一脚传球撕开山东鲁能后防线，斯蒂夫突入禁区在身体接触后倒地，但是主裁判并未判罚点球
67'周海滨在场边活动！                   65'第20分钟，贵州恒丰连续一脚传球撕开山东鲁能后防线，斯蒂夫突入禁区在身体接触后倒地，但是主裁判并未判罚点球
68'范云龙发战术角球！金敬道出来把球抢到！依力哈木江抢球犯规！                   65'第20分钟，贵州恒丰连续一脚传球撕开山东鲁能后防线，斯蒂夫突入禁区在身体接触后倒地，但是主裁判并未判罚点球
68'鲁能泰山队换人，周海滨上场，换下哥德斯！                   65'第20分钟，贵州恒丰连续一脚传球撕开山东鲁能后防线，斯蒂夫突入禁区在身体接触后倒地，但是主裁判并未判罚点球
68'鲁能泰山队长传球到前场！苏渤洋出击没收！                   65'第20分钟，贵州恒丰连续一脚传球撕开山东鲁能后防线，斯蒂夫突入禁区在身体接触后倒地，但是主裁判并未判罚点球
82'鲁能泰山队进球啦！！佩莱，1-3                   82'第37分钟，格德斯前场做球，蒿俊闵禁区外远射，球被贵州恒丰防守队员挡了之后稍稍偏出远端立柱
82'任意球发到禁区内，佩莱依住唐鑫，铲射破门！                   82'第37分钟，格德斯前场做球，蒿俊闵禁区外远射，球被贵州恒丰防守队员挡了之后稍稍偏出远端立柱
83'贵州恒队的主教练在抗议！！怎么了？被罚上看台！                   82'第37分钟，格德斯前场做球，蒿俊闵禁区外远射，球被贵州恒丰防守队员挡了之后稍稍偏出远端立柱
84'吉尔后场得球，大脚长传！对方顶下来！                   82'第37分钟，格德斯前场做球，蒿俊闵禁区外远射，球被贵州恒丰防守队员挡了之后稍稍偏出远端立柱
84'鲁能泰山队挑传球！蒿俊闵接球回传！                   82'第37分钟，格德斯前场做球，蒿俊闵禁区外远射，球被贵州恒丰防守队员挡了之后稍稍偏出远端立柱
84'周海滨挑传禁区，博利顶了一下，苏渤洋没收                   82'第37分钟，格德斯前场做球，蒿俊闵禁区外远射，球被贵州恒丰防守队员挡了之后稍稍偏出远端立柱
84'苏渤洋把球开出边线！贵州恒队又有人受伤！                   82'第37分钟，格德斯前场做球，蒿俊闵禁区外远射，球被贵州恒丰防守队员挡了之后稍稍偏出远端立柱
84'唐鑫倒在地上！                   82'第37分钟，格德斯前场做球，蒿俊闵禁区外远射，球被贵州恒丰防守队员挡了之后稍稍偏出远端立柱
85'鲁能泰山队发球，还给对手！                   82'第37分钟，格德斯前场做球，蒿俊闵禁区外远射，球被贵州恒丰防守队员挡了之后稍稍偏出远端立柱
85'贵州恒队把球开出边线                   82'第37分钟，格德斯前场做球，蒿俊闵禁区外远射，球被贵州恒丰防守队员挡了之后稍稍偏出远端立柱
49'上半场比赛结束，贵州恒队2-0领先鲁能泰山队！                   49'第49分钟，贵州恒丰再次扩大领先优势，苏渤洋大脚球进攻，耶拉维奇边线附近停球疑似出界，但进攻继续，耶拉维奇弧线球传中，斯蒂夫得球晃倒山东鲁能后卫后低射破门，贵州恒丰3-0领先
49'界外球发出来，对方争顶，出边线                   49'第49分钟，贵州恒丰再次扩大领先优势，苏渤洋大脚球进攻，耶拉维奇边线附近停球疑似出界，但进攻继续，耶拉维奇弧线球传中，斯蒂夫得球晃倒山东鲁能后卫后低射破门，贵州恒丰3-0领先
49'吴兴涵右路带球进攻！赵和靖上抢犯规！放倒了吴兴涵！                   49'第49分钟，贵州恒丰再次扩大领先优势，苏渤洋大脚球进攻，耶拉维奇边线附近停球疑似出界，但进攻继续，耶拉维奇弧线球传中，斯蒂夫得球晃倒山东鲁能后卫后低射破门，贵州恒丰3-0领先
49'任意球机会                   49'第49分钟，贵州恒丰再次扩大领先优势，苏渤洋大脚球进攻，耶拉维奇边线附近停球疑似出界，但进攻继续，耶拉维奇弧线球传中，斯蒂夫得球晃倒山东鲁能后卫后低射破门，贵州恒丰3-0领先
49'球发出来，挑传禁区！王大雷出击没收！                   49'第49分钟，贵州恒丰再次扩大领先优势，苏渤洋大脚球进攻，耶拉维奇边线附近停球疑似出界，但进攻继续，耶拉维奇弧线球传中，斯蒂夫得球晃倒山东鲁能后卫后低射破门，贵州恒丰3-0领先
50'贵州恒队进球啦！！斯蒂夫，3-0                   49'第49分钟，贵州恒丰再次扩大领先优势，苏渤洋大脚球进攻，耶拉维奇边线附近停球疑似出界，但进攻继续，耶拉维奇弧线球传中，斯蒂夫得球晃倒山东鲁能后卫后低射破门，贵州恒丰3-0领先
50'贵州恒队长传禁区！斯蒂夫停球，转身小角度打门，皮球应声入网！                   49'第49分钟，贵州恒丰再次扩大领先优势，苏渤洋大脚球进攻，耶拉维奇边线附近停球疑似出界，但进攻继续，耶拉维奇弧线球传中，斯蒂夫得球晃倒山东鲁能后卫后低射破门，贵州恒丰3-0领先
51'没有人抗议！！进球有效啦！                   49'第49分钟，贵州恒丰再次扩大领先优势，苏渤洋大脚球进攻，耶拉维奇边线附近停球疑似出界，但进攻继续，耶拉维奇弧线球传中，斯蒂夫得球晃倒山东鲁能后卫后低射破门，贵州恒丰3-0领先
51'其实耶拉维奇手球啦！                   49'第49分钟，贵州恒丰再次扩大领先优势，苏渤洋大脚球进攻，耶拉维奇边线附近停球疑似出界，但进攻继续，耶拉维奇弧线球传中，斯蒂夫得球晃倒山东鲁能后卫后低射破门，贵州恒丰3-0领先
51'蒿俊闵得球，直传球！转移到右路进攻！                   49'第49分钟，贵州恒丰再次扩大领先优势，苏渤洋大脚球进攻，耶拉维奇边线附近停球疑似出界，但进攻继续，耶拉维奇弧线球传中，斯蒂夫得球晃倒山东鲁能后卫后低射破门，贵州恒丰3-0领先
52'鲁能泰山队右路直传球，打在对方身上出边线                   49'第49分钟，贵州恒丰再次扩大领先优势，苏渤洋大脚球进攻，耶拉维奇边线附近停球疑似出界，但进攻继续，耶拉维奇弧线球传中，斯蒂夫得球晃倒山东鲁能后卫后低射破门，贵州恒丰3-0领先
52'鲁能泰山队换人：崔鹏上场，换下吴兴涵！                   49'第49分钟，贵州恒丰再次扩大领先优势，苏渤洋大脚球进攻，耶拉维奇边线附近停球疑似出界，但进攻继续，耶拉维奇弧线球传中，斯蒂夫得球晃倒山东鲁能后卫后低射破门，贵州恒丰3-0领先
52'鲁能泰山队右路进攻，逼得任意球                   49'第49分钟，贵州恒丰再次扩大领先优势，苏渤洋大脚球进攻，耶拉维奇边线附近停球疑似出界，但进攻继续，耶拉维奇弧线球传中，斯蒂夫得球晃倒山东鲁能后卫后低射破门，贵州恒丰3-0领先
52'任意球发到禁区内，耶拉维奇顶出来！                   49'第49分钟，贵州恒丰再次扩大领先优势，苏渤洋大脚球进攻，耶拉维奇边线附近停球疑似出界，但进攻继续，耶拉维奇弧线球传中，斯蒂夫得球晃倒山东鲁能后卫后低射破门，贵州恒丰3-0领先
56'哥德斯来主罚任意球！                   56'第56分钟，山东鲁能获得前场任意球，格德斯直接弧线球射门，球被门将挡出
56'哥德斯发任意球直接打门！慢了点，苏渤洋把球打出来！                   56'第56分钟，山东鲁能获得前场任意球，格德斯直接弧线球射门，球被门将挡出
56'贵州恒队长传球找斯蒂夫！反击！                   56'第56分钟，山东鲁能获得前场任意球，格德斯直接弧线球射门，球被门将挡出
57'斯蒂夫强打突破禁区，被崔鹏破坏出来！                   56'第56分钟，山东鲁能获得前场任意球，格德斯直接弧线球射门，球被门将挡出
57'鲁能泰山队后场得球，耶拉维奇战术犯规！！                   56'第56分钟，山东鲁能获得前场任意球，格德斯直接弧线球射门，球被门将挡出
57'可以进攻有利啊！不能吹才对啊！                   56'第56分钟，山东鲁能获得前场任意球，格德斯直接弧线球射门，球被门将挡出
57'鲁能泰山队大脚开球到前场！出底线                   56'第56分钟，山东鲁能获得前场任意球，格德斯直接弧线球射门，球被门将挡出
58'斯蒂夫受伤了！                   56'第56分钟，山东鲁能获得前场任意球，格德斯直接弧线球射门，球被门将挡出
58'斯蒂夫被架出场外治疗！                   56'第56分钟，山东鲁能获得前场任意球，格德斯直接弧线球射门，球被门将挡出
59'后亏待七得球！直传！再交给崔鹏！                   56'第56分钟，山东鲁能获得前场任意球，格德斯直接弧线球射门，球被门将挡出
59'崔鹏中路带球突破，直传给哥德斯！                   56'第56分钟，山东鲁能获得前场任意球，格德斯直接弧线球射门，球被门将挡出
59'哥德斯横传左中和！                   56'第56分钟，山东鲁能获得前场任意球，格德斯直接弧线球射门，球被门将挡出
59'哥德斯横传左路！                   56'第56分钟，山东鲁能获得前场任意球，格德斯直接弧线球射门，球被门将挡出
59'斯蒂夫后场断球！左路攻过中场，崔鹏抢断                   56'第56分钟，山东鲁能获得前场任意球，格德斯直接弧线球射门，球被门将挡出
59'斯蒂夫抢球犯规！                   56'第56分钟，山东鲁能获得前场任意球，格德斯直接弧线球射门，球被门将挡出
59'这球吹了边线球！                   56'第56分钟，山东鲁能获得前场任意球，格德斯直接弧线球射门，球被门将挡出
68'范云龙发战术角球！金敬道出来把球抢到！依力哈木江抢球犯规！                   68'第68分钟，山东鲁能再次换人调整，李霄鹏换下了表现令人失望的格德斯，周海滨替补登场
68'鲁能泰山队换人，周海滨上场，换下哥德斯！                   68'第68分钟，山东鲁能再次换人调整，李霄鹏换下了表现令人失望的格德斯，周海滨替补登场
68'鲁能泰山队长传球到前场！苏渤洋出击没收！                   68'第68分钟，山东鲁能再次换人调整，李霄鹏换下了表现令人失望的格德斯，周海滨替补登场
69'看来鲁能泰山队要打4231！                   68'第68分钟，山东鲁能再次换人调整，李霄鹏换下了表现令人失望的格德斯，周海滨替补登场
69'博利后场得球，右路直传球！                   68'第68分钟，山东鲁能再次换人调整，李霄鹏换下了表现令人失望的格德斯，周海滨替补登场
69'依力哈木江倒地，球过去了，吉尔控下来                   68'第68分钟，山东鲁能再次换人调整，李霄鹏换下了表现令人失望的格德斯，周海滨替补登场
70'宋龙右路下底横传，低平球！金敬道抢点打门，没能踢正！                   68'第68分钟，山东鲁能再次换人调整，李霄鹏换下了表现令人失望的格德斯，周海滨替补登场
71'中场鲁能泰山队得球，周海滨直传球，队友回传                   68'第68分钟，山东鲁能再次换人调整，李霄鹏换下了表现令人失望的格德斯，周海滨替补登场
71'佩莱左路接球，横传禁区，对方破坏出来！                   68'第68分钟，山东鲁能再次换人调整，李霄鹏换下了表现令人失望的格德斯，周海滨替补登场
71'王彤横传球，蒿俊闵再传，被赵和靖挡出底线                   68'第68分钟，山东鲁能再次换人调整，李霄鹏换下了表现令人失望的格德斯，周海滨替补登场
71'赵和靖倒在地上！能拖一点是一点！                   68'第68分钟，山东鲁能再次换人调整，李霄鹏换下了表现令人失望的格德斯，周海滨替补登场
81'鲁能左路挑传，被破坏出来                   81'第81分钟，山东鲁能扳回一分
81'耶拉维奇抢传球，吉尔断下来                   81'第81分钟，山东鲁能扳回一分
81'鲁能泰山队再传禁区，对方破坏出来，耶拉维奇抢球犯规！                   81'第81分钟，山东鲁能扳回一分
82'鲁能泰山队进球啦！！佩莱，1-3                   81'第81分钟，山东鲁能扳回一分
82'任意球发到禁区内，佩莱依住唐鑫，铲射破门！                   81'第81分钟，山东鲁能扳回一分
83'贵州恒队的主教练在抗议！！怎么了？被罚上看台！                   81'第81分钟，山东鲁能扳回一分
84'吉尔后场得球，大脚长传！对方顶下来！                   81'第81分钟，山东鲁能扳回一分
84'鲁能泰山队挑传球！蒿俊闵接球回传！                   81'第81分钟，山东鲁能扳回一分
84'周海滨挑传禁区，博利顶了一下，苏渤洋没收                   81'第81分钟，山东鲁能扳回一分
84'苏渤洋把球开出边线！贵州恒队又有人受伤！                   81'第81分钟，山东鲁能扳回一分
84'唐鑫倒在地上！                   81'第81分钟，山东鲁能扳回一分
87'贵州恒队长传前场，依力哈木江插上！把球出底线！                   87'第87分钟，佩莱做球，周海滨扣过防守队员低射，球被贵州恒丰门将没收
87'依力哈木江碰到球啦！                   87'第87分钟，佩莱做球，周海滨扣过防守队员低射，球被贵州恒丰门将没收
87'佩莱前场得球横传，周海滨抢点打门！没打上力量，被苏渤洋没收！                   87'第87分钟，佩莱做球，周海滨扣过防守队员低射，球被贵州恒丰门将没收
88'张驰中场大脚长传！蒿俊闵与队友双箭齐发，都没能碰到球！                   87'第87分钟，佩莱做球，周海滨扣过防守队员低射，球被贵州恒丰门将没收
88'贵州恒队右路进攻！张驰抢球犯规！                   87'第87分钟，佩莱做球，周海滨扣过防守队员低射，球被贵州恒丰门将没收
89'任意球发到禁区内，吉尔将球顶出来                   87'第87分钟，佩莱做球，周海滨扣过防守队员低射，球被贵州恒丰门将没收
89'鲁能泰山队左路攻到前场，对方破坏出边线                   87'第87分钟，佩莱做球，周海滨扣过防守队员低射，球被贵州恒丰门将没收
90'崔鹏瞄了一会再分边！王彤没能接到！                   87'第87分钟，佩莱做球，周海滨扣过防守队员低射，球被贵州恒丰门将没收
90'贵州恒队左路进攻！戴琳上抢出界                   87'第87分钟，佩莱做球，周海滨扣过防守队员低射，球被贵州恒丰门将没收
