2' 胡尔克前场触球了                   2'第2分钟伊沃左路任意球开到门前，麦克格文头球刻意打远角，颜骏凌飞身把球打出
18'胡尔克看来还是想坚持啊！不希望自己的首秀就这样                   16'第16分钟刚回到场内的胡尔克右路分球，武磊接球射门被吴龑扑住
18'精神可贵！                   16'第16分钟刚回到场内的胡尔克右路分球，武磊接球射门被吴龑扑住
18'伊沃大禁区前沿挑传后点，并没有抢点的队友，出了底线                   16'第16分钟刚回到场内的胡尔克右路分球，武磊接球射门被吴龑扑住
19'胡尔克前场拿球，还是一瘸一拐的，建业上抢他也是很积极                   16'第16分钟刚回到场内的胡尔克右路分球，武磊接球射门被吴龑扑住
22'最终胡尔克还是无法坚持了，吕文君终于上场了                   22'第22分钟李晓明解围时不慎踢中埃尔克森下体吃到黄牌
23'李晓明上抢踢到了埃神，犯规，黄牌                   22'第22分钟李晓明解围时不慎踢中埃尔克森下体吃到黄牌
25'后场孙祥左侧边线球掷出来                   22'第22分钟李晓明解围时不慎踢中埃尔克森下体吃到黄牌
29'武磊右边路突破下底，传中到了后点，吕文君头球攻门顶偏了                   29'第29分钟武磊右路传中，吕文君头球顶偏
29'歪打正着变摆渡，埃神准备补射被萨马尔季奇解围                   29'第29分钟武磊右路传中，吕文君头球顶偏
31'金周荣卡住位置，哈维尔倒地，主裁判没有吹犯规                   29'第29分钟武磊右路传中，吕文君头球顶偏
31'萨马尔季奇今天追到了中场铲翻埃神                   29'第29分钟武磊右路传中，吕文君头球顶偏
34'球又进了！！！！埃神右边路拿球摆脱萨马尔季奇突入禁区，弧线球破门                   32'第32分钟上港快速反击，武磊右路直传，埃尔克森快速跟上，拿球带到禁区附近，萨马尔季奇上前拦截，埃尔克森几个灵活的假动作把对方带开，接着起左脚打球门远角，球进，2比0
35'武磊禁区内又获得了起脚的机会！今天建业的后防线精神不集中啊                   32'第32分钟上港快速反击，武磊右路直传，埃尔克森快速跟上，拿球带到禁区附近，萨马尔季奇上前拦截，埃尔克森几个灵活的假动作把对方带开，接着起左脚打球门远角，球进，2比0
35'武磊禁区内又获得了起脚的机会！今天建业的后防线精神不集中啊                   35'第35分钟河南队用梁雨换下陈灏
36'建业换人，梁雨替下了陈灏                   35'第35分钟河南队用梁雨换下陈灏
38'李晓明被红牌罚下了！背后飞铲吕文君，要废人啊                   35'第35分钟河南队用梁雨换下陈灏
43'哈维尔左边路争顶头球，争得本方球权                   42'第42分钟哈维尔右侧禁区内把球传出，梁雨推射被金周荣挡出
43'金周荣后场争顶头球，梁雨拉人犯规了                   42'第42分钟哈维尔右侧禁区内把球传出，梁雨推射被金周荣挡出
43'建业获得右侧角球，伊沃罚向前点，埃神大脚解围出底线                   42'第42分钟哈维尔右侧禁区内把球传出，梁雨推射被金周荣挡出
43'伊沃继续主罚角球，皮球旋向球门，颜俊凌稳稳摘下                   42'第42分钟哈维尔右侧禁区内把球传出，梁雨推射被金周荣挡出
44'埃弗拉大禁区前沿拿球突破被放倒，上港获得位置不错的任意球                   42'第42分钟哈维尔右侧禁区内把球传出，梁雨推射被金周荣挡出
48'建业获得任意球，伊沃罚向禁区，麦克格文头球攻门没有顶到，出了底线                   47'第47分钟又是傅欢右路传中，埃尔克森飞身跃起头球稍稍顶偏
48'傅欢右边路助攻上来，斜传禁区，埃神头球攻门顶偏                   47'第47分钟又是傅欢右路传中，埃尔克森飞身跃起头球稍稍顶偏
49'麦克格文刚刚冲到了上港禁区，后卫将球护出底线                   47'第47分钟又是傅欢右路传中，埃尔克森飞身跃起头球稍稍顶偏
49'麦克格文刚刚冲到了上港禁区，后卫将球护出底线                   49'第49分钟傅欢右路起球，武磊侧身扫射打得太正
51'埃弗拉左边路带球长驱直入，分给了插上的埃神                   49'第49分钟傅欢右路起球，武磊侧身扫射打得太正
51'麦克格文铲球破坏出底线                   49'第49分钟傅欢右路起球，武磊侧身扫射打得太正
51'吕文君左侧角球罚向后点，连续的头球接力，埃神头球攻门顶出底线                   49'第49分钟傅欢右路起球，武磊侧身扫射打得太正
51'埃弗拉左边路拿球准备与吕文君配合一下，失误了                   49'第49分钟傅欢右路起球，武磊侧身扫射打得太正
51'武磊大禁区前沿一脚射门，皮球被门将没收                   49'第49分钟傅欢右路起球，武磊侧身扫射打得太正
60'又进球了！！！上港                   59'第59分钟埃尔克森侧对球门传禁区空档，武磊从麦克格文身后跑过去，接着大幅度拧身打球门远角，虽然吴龑奋力扑救碰到点球皮，但也无法阻止皮球进门，3比0
60'武磊禁区内右侧直接抽射！！！                   59'第59分钟埃尔克森侧对球门传禁区空档，武磊从麦克格文身后跑过去，接着大幅度拧身打球门远角，虽然吴龑奋力扑救碰到点球皮，但也无法阻止皮球进门，3比0
61'左侧的孙祥传中了给到禁区内插上的武磊！武磊得球直接抽射，破门                   59'第59分钟埃尔克森侧对球门传禁区空档，武磊从麦克格文身后跑过去，接着大幅度拧身打球门远角，虽然吴龑奋力扑救碰到点球皮，但也无法阻止皮球进门，3比0
61'这边建业换人！！奥斯曼替下哈维尔                   59'第59分钟埃尔克森侧对球门传禁区空档，武磊从麦克格文身后跑过去，接着大幅度拧身打球门远角，虽然吴龑奋力扑救碰到点球皮，但也无法阻止皮球进门，3比0
61'继续看比赛                   59'第59分钟埃尔克森侧对球门传禁区空档，武磊从麦克格文身后跑过去，接着大幅度拧身打球门远角，虽然吴龑奋力扑救碰到点球皮，但也无法阻止皮球进门，3比0
60'又进球了！！！上港                   60'第60分钟河南队用奥斯曼换下哈维尔
60'武磊禁区内右侧直接抽射！！！                   60'第60分钟河南队用奥斯曼换下哈维尔
61'左侧的孙祥传中了给到禁区内插上的武磊！武磊得球直接抽射，破门                   60'第60分钟河南队用奥斯曼换下哈维尔
61'这边建业换人！！奥斯曼替下哈维尔                   60'第60分钟河南队用奥斯曼换下哈维尔
61'继续看比赛                   60'第60分钟河南队用奥斯曼换下哈维尔
65'买提江替下尹鸿博                   65'第65分钟汪佳捷换下于海
66'石柯后场起球大范围找右边路前插的队友，力量太大出界了                   65'第65分钟汪佳捷换下于海
66'镜头对准了替补席上的胡尔克                   65'第65分钟汪佳捷换下于海
68'镜头对准了替补席上的胡尔克                   65'第65分钟汪佳捷换下于海
68'膝盖上缠着绷带，5500万的外援啊                   65'第65分钟汪佳捷换下于海
68'萨马尔季奇从身后推倒了埃弗拉，犯规                   65'第65分钟汪佳捷换下于海
68'上港换人，汪佳捷替下于海                   65'第65分钟汪佳捷换下于海
68'镜头对准了替补席上的胡尔克                   67'第67分钟埃弗拉左路扣球过掉王飞，接着推射球门远角，皮球越过吴龑防守区域，但似乎要出界，好在吕文君及时赶到把球补进，4比0
68'膝盖上缠着绷带，5500万的外援啊                   67'第67分钟埃弗拉左路扣球过掉王飞，接着推射球门远角，皮球越过吴龑防守区域，但似乎要出界，好在吕文君及时赶到把球补进，4比0
68'萨马尔季奇从身后推倒了埃弗拉，犯规                   67'第67分钟埃弗拉左路扣球过掉王飞，接着推射球门远角，皮球越过吴龑防守区域，但似乎要出界，好在吕文君及时赶到把球补进，4比0
68'上港换人，汪佳捷替下于海                   67'第67分钟埃弗拉左路扣球过掉王飞，接着推射球门远角，皮球越过吴龑防守区域，但似乎要出界，好在吕文君及时赶到把球补进，4比0
69'球又进了！吕文君                   67'第67分钟埃弗拉左路扣球过掉王飞，接着推射球门远角，皮球越过吴龑防守区域，但似乎要出界，好在吕文君及时赶到把球补进，4比0
70'禁区内左侧的埃弗拉强突到门前，一脚推射，略偏，但是跟进的吕文君直接扫进球门                   67'第67分钟埃弗拉左路扣球过掉王飞，接着推射球门远角，皮球越过吴龑防守区域，但似乎要出界，好在吕文君及时赶到把球补进，4比0
70'石柯的倒地，貌似抽筋了                   67'第67分钟埃弗拉左路扣球过掉王飞，接着推射球门远角，皮球越过吴龑防守区域，但似乎要出界，好在吕文君及时赶到把球补进，4比0
70'禁区内左侧的埃弗拉强突到门前，一脚推射，略偏，但是跟进的吕文君直接扫进球门                   70'第70分钟石柯在没有身体接触的情况下突然倒地，但好在事情不大
70'石柯的倒地，貌似抽筋了                   70'第70分钟石柯在没有身体接触的情况下突然倒地，但好在事情不大
73'冯卓毅得球一个挑传向前传                   70'第70分钟石柯在没有身体接触的情况下突然倒地，但好在事情不大
73'被上港球员后场断球                   70'第70分钟石柯在没有身体接触的情况下突然倒地，但好在事情不大
73'上港球员获得前场左侧定位球                   70'第70分钟石柯在没有身体接触的情况下突然倒地，但好在事情不大
48'建业获得任意球，伊沃罚向禁区，麦克格文头球攻门没有顶到，出了底线                   48'比赛补时3分钟，第92分钟买提江射门造成角球，伊沃开出，奥斯曼头球攻门被颜骏凌扑出
48'傅欢右边路助攻上来，斜传禁区，埃神头球攻门顶偏                   48'比赛补时3分钟，第92分钟买提江射门造成角球，伊沃开出，奥斯曼头球攻门被颜骏凌扑出
49'麦克格文刚刚冲到了上港禁区，后卫将球护出底线                   48'比赛补时3分钟，第92分钟买提江射门造成角球，伊沃开出，奥斯曼头球攻门被颜骏凌扑出
51'埃弗拉左边路带球长驱直入，分给了插上的埃神                   48'比赛补时3分钟，第92分钟买提江射门造成角球，伊沃开出，奥斯曼头球攻门被颜骏凌扑出
51'麦克格文铲球破坏出底线                   48'比赛补时3分钟，第92分钟买提江射门造成角球，伊沃开出，奥斯曼头球攻门被颜骏凌扑出
51'吕文君左侧角球罚向后点，连续的头球接力，埃神头球攻门顶出底线                   48'比赛补时3分钟，第92分钟买提江射门造成角球，伊沃开出，奥斯曼头球攻门被颜骏凌扑出
51'埃弗拉左边路拿球准备与吕文君配合一下，失误了                   48'比赛补时3分钟，第92分钟买提江射门造成角球，伊沃开出，奥斯曼头球攻门被颜骏凌扑出
51'武磊大禁区前沿一脚射门，皮球被门将没收                   48'比赛补时3分钟，第92分钟买提江射门造成角球，伊沃开出，奥斯曼头球攻门被颜骏凌扑出
