3'埃辛前场直传给到伊瓜因，伊瓜因不停球横拨给到迪马利亚                   3'第3分钟，科伦加直传禁区内，阿丹及时出击抢在加维兰之前没收
14'拉莫斯后场拿球，自己趟球趟大了，不过在奋力追的时候被上来的加维兰绊倒在地                   13'第13分钟，厄齐尔传球，迪马利亚25码处劲射打中阿莱克西斯偏转，皮球擦左侧立柱偏出
15'冈萨雷斯吹罚了加维兰的犯规                   13'第13分钟，厄齐尔传球，迪马利亚25码处劲射打中阿莱克西斯偏转，皮球擦左侧立柱偏出
15'科恩特朗后场左路拿球，萨拉比亚的上抢，身后拉倒了科恩特朗                   13'第13分钟，厄齐尔传球，迪马利亚25码处劲射打中阿莱克西斯偏转，皮球擦左侧立柱偏出
15'科恩特朗的衣服差点被撕烂，萨拉毕业领回黄袍穿在身上                   13'第13分钟，厄齐尔传球，迪马利亚25码处劲射打中阿莱克西斯偏转，皮球擦左侧立柱偏出
16'塞拉比亚领到黄牌，这是赫塔菲本场的第一张                   13'第13分钟，厄齐尔传球，迪马利亚25码处劲射打中阿莱克西斯偏转，皮球擦左侧立柱偏出
16'皇马前场进攻，赢得右侧角球                   13'第13分钟，厄齐尔传球，迪马利亚25码处劲射打中阿莱克西斯偏转，皮球擦左侧立柱偏出
16'迪马利亚角球开出，C罗抢点打门，踢飞了                   13'第13分钟，厄齐尔传球，迪马利亚25码处劲射打中阿莱克西斯偏转，皮球擦左侧立柱偏出
22'赫塔菲后场抢断，长传球到前场找加维兰，不过被卡瓦略直接拦截                   22'第22分钟，C-罗纳尔多同厄齐尔踢墙配合，但最后在禁区左侧12码处的劲射又被莫亚扑出
22'皇马的反击，C罗禁区内拿球，观察门将站位后一脚抽射远角                   22'第22分钟，C-罗纳尔多同厄齐尔踢墙配合，但最后在禁区左侧12码处的劲射又被莫亚扑出
23'还是没能穿透莫亚的十指关，被其挡了一下，再次上来稳稳揽入怀中                   22'第22分钟，C-罗纳尔多同厄齐尔踢墙配合，但最后在禁区左侧12码处的劲射又被莫亚扑出
23'上半场比赛已经来到了23分钟，比分还是0-0                   22'第22分钟，C-罗纳尔多同厄齐尔踢墙配合，但最后在禁区左侧12码处的劲射又被莫亚扑出
23'迪马利亚前场拿球进入禁区，摔倒了。。。                   22'第22分钟，C-罗纳尔多同厄齐尔踢墙配合，但最后在禁区左侧12码处的劲射又被莫亚扑出
23'冈萨雷斯并没表示，现场再次迎来嘘声                   22'第22分钟，C-罗纳尔多同厄齐尔踢墙配合，但最后在禁区左侧12码处的劲射又被莫亚扑出
24'萨拉比亚禁区外拿球，左脚的抽射，阿丹倒地将球没收                   22'第22分钟，C-罗纳尔多同厄齐尔踢墙配合，但最后在禁区左侧12码处的劲射又被莫亚扑出
25'慢镜头显示，迪马利亚刚刚的突破，摔倒在禁区，赫塔菲的阿莱克西斯确实没犯规                   22'第22分钟，C-罗纳尔多同厄齐尔踢墙配合，但最后在禁区左侧12码处的劲射又被莫亚扑出
25'赫塔菲后场控球，慢慢转移到右边路进攻                   22'第22分钟，C-罗纳尔多同厄齐尔踢墙配合，但最后在禁区左侧12码处的劲射又被莫亚扑出
27'赫塔菲禁区外的踢墙配合，加维兰的斜传球到禁区                   27'第27分钟，加维兰左路传中，萨拉比亚远点头球顶回，卡斯特罗10码处头球攻门被阿丹稳稳没收
27'科恩特朗头球解围到了禁区中间，科伦加插上冲顶，阿丹将球没收                   27'第27分钟，加维兰左路传中，萨拉比亚远点头球顶回，卡斯特罗10码处头球攻门被阿丹稳稳没收
28'这是赫塔菲目前为止最好的一次破门良机                   27'第27分钟，加维兰左路传中，萨拉比亚远点头球顶回，卡斯特罗10码处头球攻门被阿丹稳稳没收
28'厄齐尔中场防守博尔加时身后拉人犯规                   27'第27分钟，加维兰左路传中，萨拉比亚远点头球顶回，卡斯特罗10码处头球攻门被阿丹稳稳没收
28'厄齐尔领回黄牌穿在身上，这是皇马本场的第二张黄牌                   27'第27分钟，加维兰左路传中，萨拉比亚远点头球顶回，卡斯特罗10码处头球攻门被阿丹稳稳没收
29'赫塔菲前场传球失误，阿尔比奥尔上抢拦截                   27'第27分钟，加维兰左路传中，萨拉比亚远点头球顶回，卡斯特罗10码处头球攻门被阿丹稳稳没收
29'阿尔比奥尔拿球，中圈附近被卡斯特罗拉倒在地                   27'第27分钟，加维兰左路传中，萨拉比亚远点头球顶回，卡斯特罗10码处头球攻门被阿丹稳稳没收
30'赫塔菲前场进攻，右路的传中被拦截                   27'第27分钟，加维兰左路传中，萨拉比亚远点头球顶回，卡斯特罗10码处头球攻门被阿丹稳稳没收
30'赫塔菲前场进攻，右路的传中被拦截                   30'第30分钟，厄齐尔策动反击，C-罗纳尔多和伊瓜因连续传球，厄齐尔10码处的射门却正中莫亚下怀
31'皇马发动反击，C罗小禁区左侧拿球横拨中路                   30'第30分钟，厄齐尔策动反击，C-罗纳尔多和伊瓜因连续传球，厄齐尔10码处的射门却正中莫亚下怀
31'厄齐尔包抄，近在咫尺的推射打门，直接送入了莫亚的怀中                   30'第30分钟，厄齐尔策动反击，C-罗纳尔多和伊瓜因连续传球，厄齐尔10码处的射门却正中莫亚下怀
32'加维兰中场的防守，身后拉住了厄齐尔的球衣，犯规                   30'第30分钟，厄齐尔策动反击，C-罗纳尔多和伊瓜因连续传球，厄齐尔10码处的射门却正中莫亚下怀
32'加维兰被主裁判出示黄牌警告                   30'第30分钟，厄齐尔策动反击，C-罗纳尔多和伊瓜因连续传球，厄齐尔10码处的射门却正中莫亚下怀
32'这才踢了30分钟，双方的黄牌倒是不少啊                   30'第30分钟，厄齐尔策动反击，C-罗纳尔多和伊瓜因连续传球，厄齐尔10码处的射门却正中莫亚下怀
33'慢镜回放显示，之前给厄齐尔送出妙传的是伊瓜因，之前给伊瓜因传球的是C罗                   30'第30分钟，厄齐尔策动反击，C-罗纳尔多和伊瓜因连续传球，厄齐尔10码处的射门却正中莫亚下怀
33'皇马前场进攻，莫德里奇拿球，禁区外横拨给到插上的C罗                   30'第30分钟，厄齐尔策动反击，C-罗纳尔多和伊瓜因连续传球，厄齐尔10码处的射门却正中莫亚下怀
33'慢镜回放显示，之前给厄齐尔送出妙传的是伊瓜因，之前给伊瓜因传球的是C罗                   33'第33分钟，摩德里奇顺势拉球，C-罗纳尔多30码处抽射偏出
33'皇马前场进攻，莫德里奇拿球，禁区外横拨给到插上的C罗                   33'第33分钟，摩德里奇顺势拉球，C-罗纳尔多30码处抽射偏出
34'C罗得球，直接拔脚怒射，可惜是个高射炮                   33'第33分钟，摩德里奇顺势拉球，C-罗纳尔多30码处抽射偏出
34'C罗目前俱乐部生涯已经打进299球，今天能否圆梦300，也是一大看点                   33'第33分钟，摩德里奇顺势拉球，C-罗纳尔多30码处抽射偏出
35'拉莫斯前场拿球，过度给到迪马利亚                   33'第33分钟，摩德里奇顺势拉球，C-罗纳尔多30码处抽射偏出
35'迪马利亚右路拿球，横带没机会，回敲给到莫德里奇                   33'第33分钟，摩德里奇顺势拉球，C-罗纳尔多30码处抽射偏出
35'拉莫斯右路斜传球到禁区，洛波将球解围                   33'第33分钟，摩德里奇顺势拉球，C-罗纳尔多30码处抽射偏出
36'赫塔菲的反击，中场长传球，卡瓦略将球解围出边线                   33'第33分钟，摩德里奇顺势拉球，C-罗纳尔多30码处抽射偏出
36'上半场比赛已经35分钟，比分还是0-0                   33'第33分钟，摩德里奇顺势拉球，C-罗纳尔多30码处抽射偏出
43'莫德里奇，漂亮的凌空抽射，可惜高了                   43'第43分钟，迪马利亚挑传，科恩特朗禁区左侧第一时间凌空垫传，摩德里奇停球后15码处左脚凌空抽射擦横梁高出
43'迪马利亚后场拿球，斜传给到中场的厄齐尔                   43'第43分钟，迪马利亚挑传，科恩特朗禁区左侧第一时间凌空垫传，摩德里奇停球后15码处左脚凌空抽射擦横梁高出
44'厄齐尔拿球连续的盘带，禁区线上被抢断                   43'第43分钟，迪马利亚挑传，科恩特朗禁区左侧第一时间凌空垫传，摩德里奇停球后15码处左脚凌空抽射擦横梁高出
44'不过球权还在皇马球员脚下，迪马利亚拿球                   43'第43分钟，迪马利亚挑传，科恩特朗禁区左侧第一时间凌空垫传，摩德里奇停球后15码处左脚凌空抽射擦横梁高出
45'科恩特朗左路的传中，阿莱克西斯将球解围出底线                   43'第43分钟，迪马利亚挑传，科恩特朗禁区左侧第一时间凌空垫传，摩德里奇停球后15码处左脚凌空抽射擦横梁高出
45'皇马获得左侧角球机会，厄齐尔主罚                   43'第43分钟，迪马利亚挑传，科恩特朗禁区左侧第一时间凌空垫传，摩德里奇停球后15码处左脚凌空抽射擦横梁高出
45'角球开到后点，被赫塔菲球员解围                   43'第43分钟，迪马利亚挑传，科恩特朗禁区左侧第一时间凌空垫传，摩德里奇停球后15码处左脚凌空抽射擦横梁高出
45'阿尔比奥尔拿到球权，再次传中，还是没威胁                   43'第43分钟，迪马利亚挑传，科恩特朗禁区左侧第一时间凌空垫传，摩德里奇停球后15码处左脚凌空抽射擦横梁高出
45'上半场比赛补时1分钟                   43'第43分钟，迪马利亚挑传，科恩特朗禁区左侧第一时间凌空垫传，摩德里奇停球后15码处左脚凌空抽射擦横梁高出
46'赫塔菲左路的进攻，迪马利亚回防中将球碰出边线                   43'第43分钟，迪马利亚挑传，科恩特朗禁区左侧第一时间凌空垫传，摩德里奇停球后15码处左脚凌空抽射擦横梁高出
46'下半场比赛开始，赫塔菲开球                   43'第43分钟，迪马利亚挑传，科恩特朗禁区左侧第一时间凌空垫传，摩德里奇停球后15码处左脚凌空抽射擦横梁高出
46'皇马后场抢断，科恩特朗左路拿球向前                   43'第43分钟，迪马利亚挑传，科恩特朗禁区左侧第一时间凌空垫传，摩德里奇停球后15码处左脚凌空抽射擦横梁高出
46'科恩特朗禁区左侧拿球没机会，回敲给到插上的莫德里奇                   43'第43分钟，迪马利亚挑传，科恩特朗禁区左侧第一时间凌空垫传，摩德里奇停球后15码处左脚凌空抽射擦横梁高出
46'皇马前场控球，组织进攻                   43'第43分钟，迪马利亚挑传，科恩特朗禁区左侧第一时间凌空垫传，摩德里奇停球后15码处左脚凌空抽射擦横梁高出
47'赫塔菲界外球进场，加维兰的传中直接飞出底线                   47'第47分钟，萨拉比亚禁区左侧的射门高出
47'拉莫斯的直传球找伊瓜因，被赫塔菲球员抢断                   47'第47分钟，萨拉比亚禁区左侧的射门高出
47'赫塔菲的快速反击，加维兰前场拿球，埃辛上抢将球解围出边线                   47'第47分钟，萨拉比亚禁区左侧的射门高出
48'皇马前场进攻，迪马利亚右路拿球，传中被挡                   47'第47分钟，萨拉比亚禁区左侧的射门高出
48'球还在皇马球员脚下，慢慢转移到左路，莫德里奇的挑传                   47'第47分钟，萨拉比亚禁区左侧的射门高出
48'阿莱克西斯在和伊瓜因饿争抢中，小烟枪将球碰出边线                   47'第47分钟，萨拉比亚禁区左侧的射门高出
49'赫塔菲前场进攻，25号托雷斯的右边路横传球                   47'第47分钟，萨拉比亚禁区左侧的射门高出
49'拉莫斯伸腿将球一挡，科伦加插上接应，边裁举旗，越位了                   47'第47分钟，萨拉比亚禁区左侧的射门高出
50'C罗前场拿球，进入禁区在和瓦勒拉的争抢中双双倒地                   47'第47分钟，萨拉比亚禁区左侧的射门高出
50'C罗一脸的痛苦状，右脚被瓦勒拉放铲解围时踩了一下                   47'第47分钟，萨拉比亚禁区左侧的射门高出
56'失球又领牌，真够悲催的                   56'第56分钟，洛波对C-罗纳尔多犯规也得到黄牌
56'拉莫斯后场过顶长传找C罗，洛波争抢中拉倒了C罗                   56'第56分钟，洛波对C-罗纳尔多犯规也得到黄牌
57'洛波又被裁判送了黄牌，火药味来了                   56'第56分钟，洛波对C-罗纳尔多犯规也得到黄牌
57'C罗的任意球打门，被人墙挡出                   56'第56分钟，洛波对C-罗纳尔多犯规也得到黄牌
57'埃辛得到第二落点，传中又被后卫挡出底线                   56'第56分钟，洛波对C-罗纳尔多犯规也得到黄牌
57'皇马再次获得右侧角球机会，厄齐尔主罚                   56'第56分钟，洛波对C-罗纳尔多犯规也得到黄牌
57'角球开到禁区，第一点赫塔菲球员解围                   56'第56分钟，洛波对C-罗纳尔多犯规也得到黄牌
58'伊瓜因禁区左侧拿球，底线内切，小角度打门，莫亚将球扑出底线                   56'第56分钟，洛波对C-罗纳尔多犯规也得到黄牌
58'迪马利亚主罚右侧角球，不过没什么威胁                   56'第56分钟，洛波对C-罗纳尔多犯规也得到黄牌
58'皇马这段时间的进攻明显加强了，不过也得小心对手的反击哦                   56'第56分钟，洛波对C-罗纳尔多犯规也得到黄牌
59'伊瓜因，差之毫厘啊                   56'第56分钟，洛波对C-罗纳尔多犯规也得到黄牌
49'赫塔菲前场进攻，25号托雷斯的右边路横传球                   49'皇马4分钟连入2球扩大比分，第62分钟，厄齐尔反击中直传，C-罗纳尔多禁区左侧10码处射入远角，2-0
49'拉莫斯伸腿将球一挡，科伦加插上接应，边裁举旗，越位了                   49'皇马4分钟连入2球扩大比分，第62分钟，厄齐尔反击中直传，C-罗纳尔多禁区左侧10码处射入远角，2-0
50'C罗前场拿球，进入禁区在和瓦勒拉的争抢中双双倒地                   49'皇马4分钟连入2球扩大比分，第62分钟，厄齐尔反击中直传，C-罗纳尔多禁区左侧10码处射入远角，2-0
50'C罗一脸的痛苦状，右脚被瓦勒拉放铲解围时踩了一下                   49'皇马4分钟连入2球扩大比分，第62分钟，厄齐尔反击中直传，C-罗纳尔多禁区左侧10码处射入远角，2-0
51'如果再打不开局面，相信穆里尼奥还会在换进攻选手的                   49'皇马4分钟连入2球扩大比分，第62分钟，厄齐尔反击中直传，C-罗纳尔多禁区左侧10码处射入远角，2-0
51'赫塔菲前场进攻，卡斯特罗右路拿球传中被拉莫斯挡出底线                   49'皇马4分钟连入2球扩大比分，第62分钟，厄齐尔反击中直传，C-罗纳尔多禁区左侧10码处射入远角，2-0
51'赫塔菲获得右侧角球机会，科伦加主罚                   49'皇马4分钟连入2球扩大比分，第62分钟，厄齐尔反击中直传，C-罗纳尔多禁区左侧10码处射入远角，2-0
52'科伦加角球开到禁区，第一点被皇马球员解围                   49'皇马4分钟连入2球扩大比分，第62分钟，厄齐尔反击中直传，C-罗纳尔多禁区左侧10码处射入远角，2-0
52'赫塔菲球员拿到第二落点，再传中，阿丹出击将球没收                   49'皇马4分钟连入2球扩大比分，第62分钟，厄齐尔反击中直传，C-罗纳尔多禁区左侧10码处射入远角，2-0
67'进球的是C罗                   67'第67分钟，弗利尔头球摆渡，科伦加禁区内的射门直奔左上角，阿丹已经无可奈何，拉莫斯回退中及时头球解围
67'皇马的反击，左路传中到后点，C罗插上冲顶，头球破门                   67'第67分钟，弗利尔头球摆渡，科伦加禁区内的射门直奔左上角，阿丹已经无可奈何，拉莫斯回退中及时头球解围
68'赫塔菲前场进攻，禁区外的远射弹地后越过阿丹                   67'第67分钟，弗利尔头球摆渡，科伦加禁区内的射门直奔左上角，阿丹已经无可奈何，拉莫斯回退中及时头球解围
68'拉莫斯回防，在球门线上将球解围出底线                   67'第67分钟，弗利尔头球摆渡，科伦加禁区内的射门直奔左上角，阿丹已经无可奈何，拉莫斯回退中及时头球解围
68'赫塔菲的角球机会，不过并没什么威胁                   67'第67分钟，弗利尔头球摆渡，科伦加禁区内的射门直奔左上角，阿丹已经无可奈何，拉莫斯回退中及时头球解围
68'皇马的反击，又是赢得了角球机会                   67'第67分钟，弗利尔头球摆渡，科伦加禁区内的射门直奔左上角，阿丹已经无可奈何，拉莫斯回退中及时头球解围
68'角球开出，第一点被赫塔菲球员解围                   67'第67分钟，弗利尔头球摆渡，科伦加禁区内的射门直奔左上角，阿丹已经无可奈何，拉莫斯回退中及时头球解围
69'迪马利亚得到第二落点，再传，结果没掌握好，直接出了底线                   67'第67分钟，弗利尔头球摆渡，科伦加禁区内的射门直奔左上角，阿丹已经无可奈何，拉莫斯回退中及时头球解围
69'赫塔菲之前用弗雷尔换下萨拉比亚                   67'第67分钟，弗利尔头球摆渡，科伦加禁区内的射门直奔左上角，阿丹已经无可奈何，拉莫斯回退中及时头球解围
69'现在又做出第二次人员调整，用米歇尔换下了哈维-托雷斯                   67'第67分钟，弗利尔头球摆渡，科伦加禁区内的射门直奔左上角，阿丹已经无可奈何，拉莫斯回退中及时头球解围
70'同时皇马也做出人员调整，由卡列洪换下厄齐尔                   67'第67分钟，弗利尔头球摆渡，科伦加禁区内的射门直奔左上角，阿丹已经无可奈何，拉莫斯回退中及时头球解围
70'拉莫斯中场拿球，横拨给到莫德里奇                   67'第67分钟，弗利尔头球摆渡，科伦加禁区内的射门直奔左上角，阿丹已经无可奈何，拉莫斯回退中及时头球解围
70'莫德里奇挑传到禁区找伊瓜因                   67'第67分钟，弗利尔头球摆渡，科伦加禁区内的射门直奔左上角，阿丹已经无可奈何，拉莫斯回退中及时头球解围
72'迪马利亚禁区外挑传到禁区，莫德里奇抢点被洛波放倒在地                   72'第72分钟，洛波禁区内撞倒摩德里奇犯规，C-罗纳尔多点球劲射左下角入网，4-0
72'C罗主罚，命中，帽子戏法                   72'第72分钟，洛波禁区内撞倒摩德里奇犯规，C-罗纳尔多点球劲射左下角入网，4-0
72'第62分钟打进第一球，第72分钟完成帽子戏法，C罗这效率太高了                   72'第72分钟，洛波禁区内撞倒摩德里奇犯规，C-罗纳尔多点球劲射左下角入网，4-0
73'完成帽子戏法的C罗被本泽马换下                   72'第72分钟，洛波禁区内撞倒摩德里奇犯规，C-罗纳尔多点球劲射左下角入网，4-0
74'穆里尼奥这是有所保留了，毕竟2月份皇马将面对魔鬼赛程                   72'第72分钟，洛波禁区内撞倒摩德里奇犯规，C-罗纳尔多点球劲射左下角入网，4-0
74'赫塔菲的前场进攻，中场直传球到后卫身后                   72'第72分钟，洛波禁区内撞倒摩德里奇犯规，C-罗纳尔多点球劲射左下角入网，4-0
74'加维兰和科伦加的前插接应，不过越位在先                   72'第72分钟，洛波禁区内撞倒摩德里奇犯规，C-罗纳尔多点球劲射左下角入网，4-0
75'慢镜显示，边路插上的加维兰越位一点点，不足半个身位，可惜了                   72'第72分钟，洛波禁区内撞倒摩德里奇犯规，C-罗纳尔多点球劲射左下角入网，4-0
73'完成帽子戏法的C罗被本泽马换下                   73'第73分钟，本泽马替换有伤在身的C-罗纳尔多出场
74'穆里尼奥这是有所保留了，毕竟2月份皇马将面对魔鬼赛程                   73'第73分钟，本泽马替换有伤在身的C-罗纳尔多出场
74'赫塔菲的前场进攻，中场直传球到后卫身后                   73'第73分钟，本泽马替换有伤在身的C-罗纳尔多出场
74'加维兰和科伦加的前插接应，不过越位在先                   73'第73分钟，本泽马替换有伤在身的C-罗纳尔多出场
75'慢镜显示，边路插上的加维兰越位一点点，不足半个身位，可惜了                   73'第73分钟，本泽马替换有伤在身的C-罗纳尔多出场
76'赫塔菲前场右路进攻，瓦勒拉拿球传中，科恩特朗将球挡出边线                   73'第73分钟，本泽马替换有伤在身的C-罗纳尔多出场
76'赫塔菲再次换人：阿尔瓦罗换下科伦加                   73'第73分钟，本泽马替换有伤在身的C-罗纳尔多出场
83'科恩特朗拿球进入禁区，一扣，摆脱防守，底线附近横传，球打在后卫腿上出底线                   83'第83分钟，迪马利亚开出角球，卡瓦略头球攻门偏出
83'皇马再次获得角球，左侧角球机会                   83'第83分钟，迪马利亚开出角球，卡瓦略头球攻门偏出
83'角球开出，第一点被赫塔菲球员解围                   83'第83分钟，迪马利亚开出角球，卡瓦略头球攻门偏出
84'伊瓜因右路拿球，继续横传，米奎尔-托雷斯在本泽马之前将球解围出底线                   83'第83分钟，迪马利亚开出角球，卡瓦略头球攻门偏出
84'皇马再次获得角球，迪马利亚主罚右侧角球                   83'第83分钟，迪马利亚开出角球，卡瓦略头球攻门偏出
84'角球开出，没能形成威胁                   83'第83分钟，迪马利亚开出角球，卡瓦略头球攻门偏出
85'刚刚慢镜头显示，科恩特朗在场边补充水分之际，皇马的队医给了其一包东西，估计是止疼药吧                   83'第83分钟，迪马利亚开出角球，卡瓦略头球攻门偏出
86'赫塔菲前场左路的进攻，可惜卡斯特罗的直传球直接出了边线                   83'第83分钟，迪马利亚开出角球，卡瓦略头球攻门偏出
86'迪马利亚左路拿球，面对防守球员强突，结果自己把球先带出了边线                   83'第83分钟，迪马利亚开出角球，卡瓦略头球攻门偏出
89'赫迪拉中场拿球直传给到卡列洪                   89'第89分钟，阿莱克西斯禁区前对迪马利亚犯规被罚黄牌，迪马利亚25码处任意球直接射门被莫亚扑出右下角
89'卡列洪拿球短传给到插上的迪马利亚                   89'第89分钟，阿莱克西斯禁区前对迪马利亚犯规被罚黄牌，迪马利亚25码处任意球直接射门被莫亚扑出右下角
89'迪马利亚拿球，被阿莱克西斯放倒在地                   89'第89分钟，阿莱克西斯禁区前对迪马利亚犯规被罚黄牌，迪马利亚25码处任意球直接射门被莫亚扑出右下角
89'阿莱克西斯又被黄牌警告了                   89'第89分钟，阿莱克西斯禁区前对迪马利亚犯规被罚黄牌，迪马利亚25码处任意球直接射门被莫亚扑出右下角
90'皇马获得禁区弧顶的任意球机会                   89'第89分钟，阿莱克西斯禁区前对迪马利亚犯规被罚黄牌，迪马利亚25码处任意球直接射门被莫亚扑出右下角
90'C罗下场了，迪马利亚来，左脚的弧线球，莫亚将球扑出底线                   89'第89分钟，阿莱克西斯禁区前对迪马利亚犯规被罚黄牌，迪马利亚25码处任意球直接射门被莫亚扑出右下角
90'皇马获得本场的第10个角球，发到前点，并没威胁                   89'第89分钟，阿莱克西斯禁区前对迪马利亚犯规被罚黄牌，迪马利亚25码处任意球直接射门被莫亚扑出右下角
91'卡斯特罗中场抢断，赫塔菲的反击                   89'第89分钟，阿莱克西斯禁区前对迪马利亚犯规被罚黄牌，迪马利亚25码处任意球直接射门被莫亚扑出右下角
91'卡斯特罗直传球找阿尔瓦罗，结果球被回防的赫迪拉拦截                   89'第89分钟，阿莱克西斯禁区前对迪马利亚犯规被罚黄牌，迪马利亚25码处任意球直接射门被莫亚扑出右下角
91'下半场补时2分钟                   89'第89分钟，阿莱克西斯禁区前对迪马利亚犯规被罚黄牌，迪马利亚25码处任意球直接射门被莫亚扑出右下角
92'弗雷尔右路的传中，阿丹出击将球没收                   89'第89分钟，阿莱克西斯禁区前对迪马利亚犯规被罚黄牌，迪马利亚25码处任意球直接射门被莫亚扑出右下角
92'本泽马禁区内拿球，准备打门，被赫塔菲球员倒地铲出底线                   89'第89分钟，阿莱克西斯禁区前对迪马利亚犯规被罚黄牌，迪马利亚25码处任意球直接射门被莫亚扑出右下角
92'皇马获得左侧角球机会，卡列洪主罚，并没威胁                   89'第89分钟，阿莱克西斯禁区前对迪马利亚犯规被罚黄牌，迪马利亚25码处任意球直接射门被莫亚扑出右下角
