2'射门!!!西布罗姆维奇球员卢卡库大禁区左侧左脚射门,被对方守门员横身扑出.给他传球的是J-莫里森.
25'黄牌！曼城球员科拉罗夫因为恶意犯规,被主裁判出示黄牌.
26'西布罗姆维奇球员雅各布拼抢犯规,对手获得控球权.
26'纳斯里为曼城在对方半场,赢得一个任意球.
26'曼城球员哲科大禁区中央左脚射门,被防守球员封堵.给他传球的是科拉罗夫.
26'曼城球员特维斯大禁区外尝试右脚射门,可惜皮球稍稍高出球门.给他传球的是米尔纳.
27'理查兹将球处理出底线,西布罗姆维奇获得角球.
28'西布罗姆维奇球员穆隆布大禁区外右脚射门,被防守球员封堵.
30'射门!!!西布罗姆维奇球员罗森贝里大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是卢卡库.
31'里奇维尔将球处理出底线,曼城获得角球.
31'曼城球员米尔纳大禁区中央尝试右脚射门,可惜皮球偏出球门.
33'比利-琼斯将球处理出底线,曼城获得角球.
34'射门!!!曼城球员特维斯大禁区外右脚射门,被对方守门员横身扑出.给他传球的是科拉罗夫.
34'西布罗姆维奇球员雅各布拼抢犯规,对手获得控球权.
34'米尔纳为曼城在右路,赢得一个任意球.
35'射门!!!曼城球员科拉罗夫大禁区外左脚射门,被对方守门员横身扑出.给他传球的是纳斯里.
35'进球啦！！！曼城球员哲科大禁区中央右脚射门,球从右下角飞进球门,球进了!助攻的是特维斯. 曼城 1-0 西布罗姆维奇.
36'西布罗姆维奇球员卢卡库大禁区左侧尝试左脚射门,可惜皮球稍稍偏出了左球门.
40'曼城球员哲科大禁区中央右脚射门,被防守球员封堵.给他传球的是特维斯.
40'C-道森将球处理出底线,曼城获得角球.
43'曼城球员罗德维尔大禁区中央左脚射门,被防守球员封堵.
43'曼城球员罗德维尔大禁区外右脚射门,被防守球员封堵.给他传球的是科拉罗夫.
43'C-道森将球处理出底线,曼城获得角球.
44'曼城球员米尔纳大禁区外右脚射门,命中门柱右侧立柱.给他传球的是特维斯.
45'卢卡库为西布罗姆维奇赢得一个任意球.
45'曼城球员莱斯科特拼抢犯规,对手获得控球权.
45'射门!!!西布罗姆维奇球员J-莫里森大禁区外左脚射门,被对方守门员横身扑出.给他传球的是塔马斯.
45'+2'曼城球员罗德维尔大禁区中央尝试右脚射门,可惜皮球高出球门.给他传球的是特维斯.
45'+4'上半场结束,曼城 1-0 西布罗姆维奇,稍事休息,我们一会来看看下半场两队的表现.
48'罗森贝里为西布罗姆维奇在对方半场,赢得一个任意球.
48'曼城球员哈维-加西亚拼抢犯规,对手获得控球权.
49'西布罗姆维奇球员罗森贝里大禁区外左脚射门,命中门柱横梁.
49'射门!!!西布罗姆维奇球员比利-琼斯大禁区中央头球,被对方守门员横身扑出.
49'西布罗姆维奇球员罗森贝里大禁区外尝试左脚射门,可惜皮球高出球门.
55'射门!!!西布罗姆维奇球员J-莫里森大禁区外右脚射门,被对方守门员横身扑出.给他传球的是穆隆布.
55'哈特将球处理出底线,西布罗姆维奇获得角球.
58'科拉罗夫将球处理出底线,西布罗姆维奇获得角球.
60'卢卡库为西布罗姆维奇在对方半场,赢得一个任意球.
60'曼城球员莱斯科特拼抢犯规,对手获得控球权.
60'理查兹将球处理出底线,西布罗姆维奇获得角球.
61'科拉罗夫将球处理出底线,西布罗姆维奇获得角球.
62'西布罗姆维奇球员穆隆布大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是比利-琼斯.
62'西布罗姆维奇球员穆隆布拼抢犯规,对手获得控球权.
62'哈维-加西亚为曼城赢得一个任意球.
63'曼城球员罗德维尔小禁区左侧左脚射门,被防守球员封堵.给他传球的是纳斯里.
63'曼城球员特维斯球门线跟前右脚射门,被防守球员封堵.
63'曼城球员米尔纳大禁区中央尝试右脚射门,可惜皮球稍稍偏出了左球门.
64'射门!!!曼城球员罗德维尔球门左侧小角度左脚射门,被对方守门员横身扑出.给他传球的是哲科.
64'迈希尔将球处理出底线,曼城获得角球.
65'西布罗姆维奇球员雅各布拼抢犯规,对手获得控球权.
65'纳斯里为曼城在对方半场,赢得一个任意球.
66'西布罗姆维奇球员雅各布被主裁判出示了一张黄牌.
66'曼城球员纳斯里被主裁判出示了一张黄牌.
66'曼城球员科拉罗夫大禁区外左脚射门,被防守球员封堵.
69'西布罗姆维奇球员罗森贝里大禁区外右脚射门,被防守球员封堵.给他传球的是卢卡库.
69'罗德维尔将球处理出底线,西布罗姆维奇获得角球.
70'西布罗姆维奇球员J-莫里森拼抢犯规,对手获得控球权.
70'特维斯为曼城赢得一个任意球.
71'西布罗姆维奇换人,多朗斯换下雅各布
71'射门!!!曼城球员米尔纳大禁区右侧左脚射门,被对方守门员横身扑出.给他传球的是纳斯里.
72'比利-琼斯为西布罗姆维奇赢得一个任意球.
72'曼城球员莱斯科特拼抢犯规,对手获得控球权.
74'曼城换人,巴里换下纳斯里
75'射门!!!西布罗姆维奇球员罗森贝里大禁区外右脚射门,被对方守门员横身扑出.给他传球的是塔马斯.
76'西布罗姆维奇球员J-莫里森拼抢犯规,对手获得控球权.
76'哲科为曼城赢得一个任意球.
76'西布罗姆维奇换人,奥登文杰换下罗森贝里
76'曼城换人,麦孔换下罗德维尔
78'西布罗姆维奇球员奥登文杰大禁区外左脚射门,被防守球员封堵.给他传球的是多朗斯.
78'理查兹将球处理出底线,西布罗姆维奇获得角球.
80'西布罗姆维奇球员比利-琼斯大禁区中央右脚射门,被防守球员封堵.给他传球的是穆隆布.
81'西布罗姆维奇换人,朗换下塔马斯
81'西布罗姆维奇球员朗大禁区右侧尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是卢卡库.
83'曼城球员哲科小禁区左侧左脚射门,被防守球员封堵.给他传球的是麦孔.
85'曼城球员麦孔大禁区右侧尝试右脚射门,可惜皮球偏出球门.给他传球的是米尔纳.
86'西布罗姆维奇球员奥登文杰大禁区左侧尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是多朗斯.
87'射门!!!曼城球员哲科大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是米尔纳.
88'射门!!!曼城球员巴里大禁区外左脚射门,被对方守门员横身扑出.给他传球的是麦孔.
89'奥登文杰为西布罗姆维奇在左路,赢得一个任意球.
89'曼城球员麦孔拼抢犯规,对手获得控球权.
90'西布罗姆维奇球员多朗斯左侧远离球门处小角度右脚射门,被防守球员封堵.
90'+1'西布罗姆维奇球员朗一脚直塞球给卢卡库,但是边裁举旗显示后者已经越位.
90'+2'曼城换人,拉扎克换下特维斯
90'+4'下半场结束,曼城 1-0 西布罗姆维奇
