36'科曼左路传中前点！                   34'拜仁第34分钟取得领先
62'球进了！！！！！！！                   59'第59分钟，阿拉巴在门前28米处左脚任意球被鲍曼封出右门柱，基米希右侧角球被许布纳顶出，波施策动反击，比当古中圈送出过顶球，舒尔茨禁区前沿左脚抽射钻进左下角，1比2
62'舒尔茨禁区弧顶附近左脚劲射破门！霍芬海姆1-2拜仁慕尼黑！                   59'第59分钟，阿拉巴在门前28米处左脚任意球被鲍曼封出右门柱，基米希右侧角球被许布纳顶出，波施策动反击，比当古中圈送出过顶球，舒尔茨禁区前沿左脚抽射钻进左下角，1比2
83'回给身后的哈梅斯-罗德里格斯！                   83'霍村第83分钟几乎扳平
83'哈梅斯-罗德里格斯推传右路给基米希！                   83'霍村第83分钟几乎扳平
83'再给身前的穆勒！                   83'霍村第83分钟几乎扳平
83'穆勒回做给格纳布里！                   83'霍村第83分钟几乎扳平
83'挑传球给禁区内后点！                   83'霍村第83分钟几乎扳平
83'莱万多夫斯基头球摆渡给身后！                   83'霍村第83分钟几乎扳平
83'皮球被防守球员解围出边线！                   83'霍村第83分钟几乎扳平
85'哈维-马丁内斯防守犯规被罚一张黄牌！                   83'霍村第83分钟几乎扳平
85'霍芬海姆开球给前场中路！                   83'霍村第83分钟几乎扳平
85'诺伊尔把球拿下没收！                   83'霍村第83分钟几乎扳平
85'大脚开到中场左侧！                   83'霍村第83分钟几乎扳平
85'卡德扎贝克头球顶出边线！                   83'霍村第83分钟几乎扳平
86'中场右侧比当古的球权！                   83'霍村第83分钟几乎扳平
86'长传球给前场右侧！                   83'霍村第83分钟几乎扳平
86'皮球被阿拉巴头球顶回来！                   83'霍村第83分钟几乎扳平
86'双方争抢！丹尼斯-盖格抢出了边线！                   83'霍村第83分钟几乎扳平
87'拜仁慕尼黑后场左侧边线球！                   87'第87分钟，J罗中路挑传禁区右侧，穆勒直接凌空横扫门前，莱万前点距门4米处左脚推射入网，3比1
87'发球给接应的阿拉巴！                   87'第87分钟，J罗中路挑传禁区右侧，穆勒直接凌空横扫门前，莱万前点距门4米处左脚推射入网，3比1
87'长传球给前场右路基米希！                   87'第87分钟，J罗中路挑传禁区右侧，穆勒直接凌空横扫门前，莱万前点距门4米处左脚推射入网，3比1
87'分球给前场中路哈梅斯-罗德里格斯！                   87'第87分钟，J罗中路挑传禁区右侧，穆勒直接凌空横扫门前，莱万前点距门4米处左脚推射入网，3比1
87'再给禁区右侧穆勒！                   87'第87分钟，J罗中路挑传禁区右侧，穆勒直接凌空横扫门前，莱万前点距门4米处左脚推射入网，3比1
87'穆勒分球给中路莱万多夫斯基！                   87'第87分钟，J罗中路挑传禁区右侧，穆勒直接凌空横扫门前，莱万前点距门4米处左脚推射入网，3比1
87'莱万多夫斯基得球推射！！                   87'第87分钟，J罗中路挑传禁区右侧，穆勒直接凌空横扫门前，莱万前点距门4米处左脚推射入网，3比1
87'球进了！！！！                   87'第87分钟，J罗中路挑传禁区右侧，穆勒直接凌空横扫门前，莱万前点距门4米处左脚推射入网，3比1
87'莱万多夫斯基的破门！拜仁慕尼黑3-1霍芬海姆！                   87'第87分钟，J罗中路挑传禁区右侧，穆勒直接凌空横扫门前，莱万前点距门4米处左脚推射入网，3比1
89'继续比赛！                   87'第87分钟，J罗中路挑传禁区右侧，穆勒直接凌空横扫门前，莱万前点距门4米处左脚推射入网，3比1
89'霍芬海姆中场开球给右侧格里利奇！                   87'第87分钟，J罗中路挑传禁区右侧，穆勒直接凌空横扫门前，莱万前点距门4米处左脚推射入网，3比1
89'格里利奇带球推进过来！                   87'第87分钟，J罗中路挑传禁区右侧，穆勒直接凌空横扫门前，莱万前点距门4米处左脚推射入网，3比1
89'禁区右侧被阿拉巴犯规！                   87'第87分钟，J罗中路挑传禁区右侧，穆勒直接凌空横扫门前，莱万前点距门4米处左脚推射入网，3比1
90'奥利弗-鲍曼大脚开球给中场左侧！                   87'第87分钟，J罗中路挑传禁区右侧，穆勒直接凌空横扫门前，莱万前点距门4米处左脚推射入网，3比1
90'格纳布里把球踢出边线！                   87'第87分钟，J罗中路挑传禁区右侧，穆勒直接凌空横扫门前，莱万前点距门4米处左脚推射入网，3比1
