6'金东进后场拿球，短传给到汪嵩                   6'第6分钟原申花队员王林右路传中，黄凤涛后点跃起艰难头球顶偏
40'上半场40分钟了，比分还是0-0                   38'第38分钟绿城沿左路快速反击，黄凤涛带球直线冲击，熊飞阻挡犯规也吃到黄牌
41'阿甘前场拿球，面对李建滨的防守，分边右路给马佐拉                   38'第38分钟绿城沿左路快速反击，黄凤涛带球直线冲击，熊飞阻挡犯规也吃到黄牌
41'马佐拉拿球强突，柏佳俊倒地放铲，将球铲出边线                   38'第38分钟绿城沿左路快速反击，黄凤涛带球直线冲击，熊飞阻挡犯规也吃到黄牌
43'宋博轩中场拿球，横传给到姜坤                   43'第43分钟王宏有左路送球入禁区，李建滨解围险些乌龙
43'姜坤停球，直塞找前插的宋博轩，可惜这脚传球不给力                   43'第43分钟王宏有左路送球入禁区，李建滨解围险些乌龙
44'被绿城的球员直接控制住                   43'第43分钟王宏有左路送球入禁区，李建滨解围险些乌龙
44'汪嵩后场的长传球到前场给前插的王宏有                   43'第43分钟王宏有左路送球入禁区，李建滨解围险些乌龙
45'王宏有的左边路斜传球，李建滨解围踢出了底线                   43'第43分钟王宏有左路送球入禁区，李建滨解围险些乌龙
45'送给绿城一个角球机会，汪嵩主罚                   43'第43分钟王宏有左路送球入禁区，李建滨解围险些乌龙
45'角球开出，第一点被申花球员解围                   43'第43分钟王宏有左路送球入禁区，李建滨解围险些乌龙
45'王林右路拿球再来，低平球，柏佳俊将球解围                   43'第43分钟王宏有左路送球入禁区，李建滨解围险些乌龙
46'上半场补时2分钟                   43'第43分钟王宏有左路送球入禁区，李建滨解围险些乌龙
46'马佐拉右路拿球，横切，禁区角上的左脚打远角，踢飞了                   43'第43分钟王宏有左路送球入禁区，李建滨解围险些乌龙
46'下半场比赛开始，申花开球                   43'第43分钟王宏有左路送球入禁区，李建滨解围险些乌龙
46'马佐拉前场拿球，王寿挺上抢拉人犯规                   43'第43分钟王宏有左路送球入禁区，李建滨解围险些乌龙
46'上半场补时2分钟                   46'第46分钟曹S定突破后传给哈蒂布，后者无法摆脱后回拨，姜坤远射踢高
46'马佐拉右路拿球，横切，禁区角上的左脚打远角，踢飞了                   46'第46分钟曹S定突破后传给哈蒂布，后者无法摆脱后回拨，姜坤远射踢高
47'徐亮中路拿球，分边给到左路的曹赟定                   46'第46分钟曹S定突破后传给哈蒂布，后者无法摆脱后回拨，姜坤远射踢高
47'曹赟定拿球内切，过度给到哈蒂布                   46'第46分钟曹S定突破后传给哈蒂布，后者无法摆脱后回拨，姜坤远射踢高
47'哈蒂布拿球没机会起脚，回敲姜坤                   46'第46分钟曹S定突破后传给哈蒂布，后者无法摆脱后回拨，姜坤远射踢高
47'姜坤禁区外围直接拔脚怒射，打偏啦                   46'第46分钟曹S定突破后传给哈蒂布，后者无法摆脱后回拨，姜坤远射踢高
48'王林右路拿球，底线内切，过掉放铲的柏佳俊                   46'第46分钟曹S定突破后传给哈蒂布，后者无法摆脱后回拨，姜坤远射踢高
48'接着的左脚挑传门前，王大雷直接没收                   46'第46分钟曹S定突破后传给哈蒂布，后者无法摆脱后回拨，姜坤远射踢高
46'下半场比赛开始，申花开球                   46'第46分钟曹S定突破后传给哈蒂布，后者无法摆脱后回拨，姜坤远射踢高
46'马佐拉前场拿球，王寿挺上抢拉人犯规                   46'第46分钟曹S定突破后传给哈蒂布，后者无法摆脱后回拨，姜坤远射踢高
47'绿城前场的进攻，汪嵩斜传右路找插上的王林                   46'第46分钟曹S定突破后传给哈蒂布，后者无法摆脱后回拨，姜坤远射踢高
47'王林拿球进入禁区，横传门前，可惜没人能顶到                   46'第46分钟曹S定突破后传给哈蒂布，后者无法摆脱后回拨，姜坤远射踢高
47'下半场双方并没有人员上的调整                   46'第46分钟曹S定突破后传给哈蒂布，后者无法摆脱后回拨，姜坤远射踢高
48'黄凤涛左路拿球强突，熊飞上抢，将球踢到黄凤涛身上出边线                   46'第46分钟曹S定突破后传给哈蒂布，后者无法摆脱后回拨，姜坤远射踢高
48'徐亮中路拿球，分边找柏佳俊，传球力量过大，直接出了边线                   46'第46分钟曹S定突破后传给哈蒂布，后者无法摆脱后回拨，姜坤远射踢高
49'柏佳俊后场拿球，大范围转移球到右路找熊飞                   46'第46分钟曹S定突破后传给哈蒂布，后者无法摆脱后回拨，姜坤远射踢高
49'熊飞拿球过了中线，再突，被黄凤涛将球解围出边线                   46'第46分钟曹S定突破后传给哈蒂布，后者无法摆脱后回拨，姜坤远射踢高
55'王大雷的后场任意球，直接踢出了边线                   55'第55分钟姜坤突然倒在绿城大门前，但休息片刻后他还是坚持起来作战
55'申花后场的过顶长传球找哈蒂布                   55'第55分钟姜坤突然倒在绿城大门前，但休息片刻后他还是坚持起来作战
55'哈蒂布前插接应，可惜自己停球不好，直接停出了底线                   55'第55分钟姜坤突然倒在绿城大门前，但休息片刻后他还是坚持起来作战
56'姜坤在对方禁区内跑动中有点扭伤膝盖，倒地休息片刻再起身继续                   55'第55分钟姜坤突然倒在绿城大门前，但休息片刻后他还是坚持起来作战
56'绿城替补席有球员出来了，看来绿城要现寻求改变了                   55'第55分钟姜坤突然倒在绿城大门前，但休息片刻后他还是坚持起来作战
57'绿城的换人：大黑将志换下黄凤涛                   55'第55分钟姜坤突然倒在绿城大门前，但休息片刻后他还是坚持起来作战
57'感觉申花今天的目的很明确，防守反击，保平争胜                   55'第55分钟姜坤突然倒在绿城大门前，但休息片刻后他还是坚持起来作战
58'王林右路拿球，姜坤上抢踢倒了王林，犯规                   55'第55分钟姜坤突然倒在绿城大门前，但休息片刻后他还是坚持起来作战
58'不进球，给大家送个福利，养养眼吧                   55'第55分钟姜坤突然倒在绿城大门前，但休息片刻后他还是坚持起来作战
59'阿甘前场背身拿球，靠住戴琳将球横传给到马佐拉                   59'第59分钟王林右路连续传中都没有到位
59'马佐拉拿球，转身，分边右路给王林                   59'第59分钟王林右路连续传中都没有到位
59'王林拿球趟出一步，右脚斜传禁区，力量稍大，出了底线                   59'第59分钟王林右路连续传中都没有到位
60'王林今天在右路的进攻很犀利，可惜每次传球都让人有点失望                   59'第59分钟王林右路连续传中都没有到位
60'特别是传中的落点上，需要好好练练                   59'第59分钟王林右路连续传中都没有到位
60'柏佳俊左路拿球，直传给到曹赟定                   59'第59分钟王林右路连续传中都没有到位
61'曹赟定不停球，直接垫传中路找徐亮                   59'第59分钟王林右路连续传中都没有到位
61'可惜徐亮没做好准备，球被绿城球员拦截                   59'第59分钟王林右路连续传中都没有到位
61'大黑将志右边路拿球，柏佳俊的上抢，推人犯规                   59'第59分钟王林右路连续传中都没有到位
62'绿城获得前场右路的任意球机会                   59'第59分钟王林右路连续传中都没有到位
62'汪嵩主罚，斜传禁区弧顶，被申花球员挡出                   59'第59分钟王林右路连续传中都没有到位
62'申花右路的进攻，熊飞边路传中                   59'第59分钟王林右路连续传中都没有到位
62'汪嵩头球回顶，差点乌龙啊。。。                   59'第59分钟王林右路连续传中都没有到位
62'绿城获得前场右路的任意球机会                   62'第62分钟申花右路起球，回防的汪嵩头球点给姜波，但角度有些刁，好在姜波奋力鱼跃把球扑住
62'汪嵩主罚，斜传禁区弧顶，被申花球员挡出                   62'第62分钟申花右路起球，回防的汪嵩头球点给姜波，但角度有些刁，好在姜波奋力鱼跃把球扑住
62'申花右路的进攻，熊飞边路传中                   62'第62分钟申花右路起球，回防的汪嵩头球点给姜波，但角度有些刁，好在姜波奋力鱼跃把球扑住
62'汪嵩头球回顶，差点乌龙啊。。。                   62'第62分钟申花右路起球，回防的汪嵩头球点给姜波，但角度有些刁，好在姜波奋力鱼跃把球扑住
63'好在姜波注意力击中，一个侧扑将球拿到                   62'第62分钟申花右路起球，回防的汪嵩头球点给姜波，但角度有些刁，好在姜波奋力鱼跃把球扑住
64'马佐拉前场右路拿球，回带横切，结果失误啦                   62'第62分钟申花右路起球，回防的汪嵩头球点给姜波，但角度有些刁，好在姜波奋力鱼跃把球扑住
64'曹赟定拿球反击，直塞找哈蒂布，绿城球员将球拦截                   62'第62分钟申花右路起球，回防的汪嵩头球点给姜波，但角度有些刁，好在姜波奋力鱼跃把球扑住
64'绿城的反击，阿甘的打门，王大雷出击将球没收                   62'第62分钟申花右路起球，回防的汪嵩头球点给姜波，但角度有些刁，好在姜波奋力鱼跃把球扑住
65'全场比赛65分钟了，比分还是0-0                   62'第62分钟申花右路起球，回防的汪嵩头球点给姜波，但角度有些刁，好在姜波奋力鱼跃把球扑住
65'唐佳遮左路拿球，回敲给到金东进                   62'第62分钟申花右路起球，回防的汪嵩头球点给姜波，但角度有些刁，好在姜波奋力鱼跃把球扑住
67'15*******70@sina.cn:上海这帮球员，还是很拼命的（毕竟都是职业球员，且要养家啊）                   67'第67分钟柏佳骏飞起双腿铲倒王林犯规，场内大哗，但裁判周刚并未出牌警告
67'柏佳俊右边路的防守，放铲，铲倒了王林                   67'第67分钟柏佳骏飞起双腿铲倒王林犯规，场内大哗，但裁判周刚并未出牌警告
68'绿城获得前场右边路的任意球机会                   67'第67分钟柏佳骏飞起双腿铲倒王林犯规，场内大哗，但裁判周刚并未出牌警告
68'阿甘和汪嵩都在球前，汪嵩主罚，传到后点                   67'第67分钟柏佳骏飞起双腿铲倒王林犯规，场内大哗，但裁判周刚并未出牌警告
68'申花球员解围，王宏有禁区外的低射，被挡出                   67'第67分钟柏佳骏飞起双腿铲倒王林犯规，场内大哗，但裁判周刚并未出牌警告
69'曹赟定拿球反击，斜传找哈蒂布，被绿城球员抢断                   67'第67分钟柏佳骏飞起双腿铲倒王林犯规，场内大哗，但裁判周刚并未出牌警告
69'游客5187:上海申花就王大雷是个好队员（徐亮、姜坤之类的也不差啊）                   67'第67分钟柏佳骏飞起双腿铲倒王林犯规，场内大哗，但裁判周刚并未出牌警告
70'徐亮回防中身后推倒了王林                   67'第67分钟柏佳骏飞起双腿铲倒王林犯规，场内大哗，但裁判周刚并未出牌警告
70'绿城再次获得前场任意球机会                   67'第67分钟柏佳骏飞起双腿铲倒王林犯规，场内大哗，但裁判周刚并未出牌警告
70'位置就在大禁区右侧端线外一点点                   67'第67分钟柏佳骏飞起双腿铲倒王林犯规，场内大哗，但裁判周刚并未出牌警告
73'汪嵩后场拿球，过了中线斜传找马佐拉，可惜直接出了边线                   73'第73分钟绿城用冯刚换下高迪
73'绿城再次换人：14号冯刚换下6号高迪                   73'第73分钟绿城用冯刚换下高迪
74'李建滨后场拿球，过度给到宋博轩                   73'第73分钟绿城用冯刚换下高迪
74'宋博轩不停球，直接垫传左路找柏佳俊                   73'第73分钟绿城用冯刚换下高迪
75'柏佳俊的直塞找达迪，可惜后者争抢中拉倒了王林，犯规                   73'第73分钟绿城用冯刚换下高迪
75'全场75分钟了，比分还是0-0，进个球咋就这么难了                   73'第73分钟绿城用冯刚换下高迪
76'柏佳俊后场拿球，马佐拉的上抢推倒了柏佳俊，犯规                   73'第73分钟绿城用冯刚换下高迪
76'王大雷后场球传到前场找达迪                   73'第73分钟绿城用冯刚换下高迪
76'达迪背身拿球，王林身后上抢，将球踢出边线                   73'第73分钟绿城用冯刚换下高迪
79'王宏有的横传，阿甘打门踢空                   79'第79分钟，沉闷场面险些被打破，阿甘中路分球到右路，马佐拉轻巧连过两人，起左脚射远角，皮球稍稍偏出
79'好在球权还在绿城球员脚下，阿甘禁区弧顶拿球                   79'第79分钟，沉闷场面险些被打破，阿甘中路分球到右路，马佐拉轻巧连过两人，起左脚射远角，皮球稍稍偏出
79'阿甘横拨右侧给到马佐拉                   79'第79分钟，沉闷场面险些被打破，阿甘中路分球到右路，马佐拉轻巧连过两人，起左脚射远角，皮球稍稍偏出
80'马佐拉趟出一步，右脚的推射，打高了                   79'第79分钟，沉闷场面险些被打破，阿甘中路分球到右路，马佐拉轻巧连过两人，起左脚射远角，皮球稍稍偏出
80'这球王大雷不满了，上来就是怒吼                   79'第79分钟，沉闷场面险些被打破，阿甘中路分球到右路，马佐拉轻巧连过两人，起左脚射远角，皮球稍稍偏出
80'全场比赛80分钟了，比分还是0-0                   79'第79分钟，沉闷场面险些被打破，阿甘中路分球到右路，马佐拉轻巧连过两人，起左脚射远角，皮球稍稍偏出
81'达迪右路拿球，45度斜传禁区给哈蒂布                   79'第79分钟，沉闷场面险些被打破，阿甘中路分球到右路，马佐拉轻巧连过两人，起左脚射远角，皮球稍稍偏出
81'哈蒂布拿球，没机会起脚，将球带至左侧底线附近                   79'第79分钟，沉闷场面险些被打破，阿甘中路分球到右路，马佐拉轻巧连过两人，起左脚射远角，皮球稍稍偏出
81'面对两名防守球员，想故伎重演，结果被识破，球丢啦                   79'第79分钟，沉闷场面险些被打破，阿甘中路分球到右路，马佐拉轻巧连过两人，起左脚射远角，皮球稍稍偏出
82'绿城右路的进攻，王林拿球，申花三名球员围抢                   79'第79分钟，沉闷场面险些被打破，阿甘中路分球到右路，马佐拉轻巧连过两人，起左脚射远角，皮球稍稍偏出
82'王林强突，将球趟出了边线                   79'第79分钟，沉闷场面险些被打破，阿甘中路分球到右路，马佐拉轻巧连过两人，起左脚射远角，皮球稍稍偏出
82'哈蒂布中场拿球，分边右路找宋博轩                   79'第79分钟，沉闷场面险些被打破，阿甘中路分球到右路，马佐拉轻巧连过两人，起左脚射远角，皮球稍稍偏出
89'曹赟定禁区弧顶拿球，轻推分左路给王长庆                   89'第89分钟申花打到前场，拼抢中宋博轩和熊飞都倒在地上，比赛被迫暂停
89'王长庆拿球，下底传中到后点                   89'第89分钟申花打到前场，拼抢中宋博轩和熊飞都倒在地上，比赛被迫暂停
89'达迪的包抄头球，见高不见远                   89'第89分钟申花打到前场，拼抢中宋博轩和熊飞都倒在地上，比赛被迫暂停
89'再抢，被绿城球员解围                   89'第89分钟申花打到前场，拼抢中宋博轩和熊飞都倒在地上，比赛被迫暂停
89'宋博轩和熊飞两人都抽筋啦。。。                   89'第89分钟申花打到前场，拼抢中宋博轩和熊飞都倒在地上，比赛被迫暂停
90'熊飞经过处理起来了，但是宋博轩还没起来哦                   89'第89分钟申花打到前场，拼抢中宋博轩和熊飞都倒在地上，比赛被迫暂停
90'担架进场，抬出场治疗去啦                   89'第89分钟申花打到前场，拼抢中宋博轩和熊飞都倒在地上，比赛被迫暂停
90'下半场补时3分钟                   89'第89分钟申花打到前场，拼抢中宋博轩和熊飞都倒在地上，比赛被迫暂停
91'马佐拉右路的传中，被申花球员解围                   89'第89分钟申花打到前场，拼抢中宋博轩和熊飞都倒在地上，比赛被迫暂停
92'申花最后一次换人：战怡麟换下抽筋无法坚持的宋博轩                   89'第89分钟申花打到前场，拼抢中宋博轩和熊飞都倒在地上，比赛被迫暂停
92'王宏有左路拿球，左脚的斜传球，直接出了底线                   89'第89分钟申花打到前场，拼抢中宋博轩和熊飞都倒在地上，比赛被迫暂停
92'申花最后一次换人：战怡麟换下抽筋无法坚持的宋博轩                   92'第92分钟比赛战怡麟换下宋博轩
92'王宏有左路拿球，左脚的斜传球，直接出了底线                   92'第92分钟比赛战怡麟换下宋博轩
93'王大雷大脚开门球到前场，又被绿城球员控制                   92'第92分钟比赛战怡麟换下宋博轩
93'绿城的前场进攻，赢得左侧角球机会                   92'第92分钟比赛战怡麟换下宋博轩
93'这是绿城最后一次机会啦                   92'第92分钟比赛战怡麟换下宋博轩
93'汪嵩角球开出到前点，申花球员头球解围                   92'第92分钟比赛战怡麟换下宋博轩
49'柏佳俊后场拿球，大范围转移球到右路找熊飞                   49'比赛补时4分钟后结束，双方闷战一场最终0比0握手言和
49'熊飞拿球过了中线，再突，被黄凤涛将球解围出边线                   49'比赛补时4分钟后结束，双方闷战一场最终0比0握手言和
50'王寿挺中路的过顶球到禁区，姜坤头球，没能顶到                   49'比赛补时4分钟后结束，双方闷战一场最终0比0握手言和
50'绿城的反击，长传到对方禁区                   49'比赛补时4分钟后结束，双方闷战一场最终0比0握手言和
50'阿甘上去了，可惜在戴琳的干扰下，没能拿到                   49'比赛补时4分钟后结束，双方闷战一场最终0比0握手言和
51'王大雷及时出击，将球收入怀中                   49'比赛补时4分钟后结束，双方闷战一场最终0比0握手言和
51'哈蒂布右路拿球，带球到角旗附近，面对两名防守球员，将球踢倒绿城球员身上出底线，角球                   49'比赛补时4分钟后结束，双方闷战一场最终0比0握手言和
52'哈蒂布这球踢的很聪明啊                   49'比赛补时4分钟后结束，双方闷战一场最终0比0握手言和
52'申花角球开出，第一点被绿城球员解围                   49'比赛补时4分钟后结束，双方闷战一场最终0比0握手言和
52'姜坤拿到第二落点，穿裆给到前插的王寿挺                   49'比赛补时4分钟后结束，双方闷战一场最终0比0握手言和
52'王寿挺拿球下底传中，被绿城后卫伸腿挡出底线                   49'比赛补时4分钟后结束，双方闷战一场最终0比0握手言和
