4'维冈前场的传接，埃文斯身后上抢，踢倒了马洛尼                   4'第4分钟，范佩西中场挑传，埃尔南德斯禁区右侧小角度射门被哈布西轻松得到
21'马洛尼前场拿球，交给麦卡锡                   20'曼联控制节奏，但维冈逐渐进入比赛，博塞茹尔第20分钟在禁区前的射门偏出
22'麦卡锡拿球，没机会向前，回敲给菲格罗亚时被阿什利-扬抢断                   20'曼联控制节奏，但维冈逐渐进入比赛，博塞茹尔第20分钟在禁区前的射门偏出
22'曼联的进攻，吉格斯中场斜传给到右路的阿什利-扬                   20'曼联控制节奏，但维冈逐渐进入比赛，博塞茹尔第20分钟在禁区前的射门偏出
22'阿什利-扬拿球进入禁区，摔倒了，马里纳并未理会                   20'曼联控制节奏，但维冈逐渐进入比赛，博塞茹尔第20分钟在禁区前的射门偏出
23'从慢镜头来看，阿什利-扬和博塞豪尔争抢中，两人手上都有动作                   20'曼联控制节奏，但维冈逐渐进入比赛，博塞茹尔第20分钟在禁区前的射门偏出
23'反过来，博塞豪尔左路拿球底线，阿什利-扬上抢                   20'曼联控制节奏，但维冈逐渐进入比赛，博塞茹尔第20分钟在禁区前的射门偏出
23'两人争斗中，球出了底线，马里纳给了曼联门球                   20'曼联控制节奏，但维冈逐渐进入比赛，博塞茹尔第20分钟在禁区前的射门偏出
30'维冈的反击，小科内拿球单骑闯关，向禁区里走                   30'第30分钟，阿什利-扬赢得右路任意球，范佩西传中被哈布西勉强挡出，吉格斯近距离铲射被卡德维尔挡出
30'埃文斯及时回防，卡住位置，迫使小科内将球趟出了底线                   30'第30分钟，阿什利-扬赢得右路任意球，范佩西传中被哈布西勉强挡出，吉格斯近距离铲射被卡德维尔挡出
31'阿什利扬右路拿球，菲格罗亚身后上抢被吹犯规                   30'第30分钟，阿什利-扬赢得右路任意球，范佩西传中被哈布西勉强挡出，吉格斯近距离铲射被卡德维尔挡出
31'曼联右侧任意球机会，范佩西主罚                   30'第30分钟，阿什利-扬赢得右路任意球，范佩西传中被哈布西勉强挡出，吉格斯近距离铲射被卡德维尔挡出
31'任意球开出，混战中，菲格罗亚将球解围出底线                   30'第30分钟，阿什利-扬赢得右路任意球，范佩西传中被哈布西勉强挡出，吉格斯近距离铲射被卡德维尔挡出
31'曼联又是右侧角球机会，不过没什么威胁                   30'第30分钟，阿什利-扬赢得右路任意球，范佩西传中被哈布西勉强挡出，吉格斯近距离铲射被卡德维尔挡出
32'大爱松岛枫:局面上哪边占优啊（控球维冈领先，威胁进攻曼联占优）                   30'第30分钟，阿什利-扬赢得右路任意球，范佩西传中被哈布西勉强挡出，吉格斯近距离铲射被卡德维尔挡出
33'克莱维利中场拿球，麦卡锡的上抢，踢倒了克莱维利                   30'第30分钟，阿什利-扬赢得右路任意球，范佩西传中被哈布西勉强挡出，吉格斯近距离铲射被卡德维尔挡出
33'阿什利-扬禁区外突施冷箭，艾哈比斯奋力将球扑出                   30'第30分钟，阿什利-扬赢得右路任意球，范佩西传中被哈布西勉强挡出，吉格斯近距离铲射被卡德维尔挡出
33'维冈的反击，小科内前场拿球                   30'第30分钟，阿什利-扬赢得右路任意球，范佩西传中被哈布西勉强挡出，吉格斯近距离铲射被卡德维尔挡出
36'埃尔南德斯~~~                   36'曼联第36分钟打破僵局，埃文斯左路传中，埃弗拉前点首次射门踢空后8码处再射被哈布西扑出，埃尔南德斯小禁区边缘补射入网
36'埃文斯禁区左侧横传，阿什利杨拿球怒射，艾哈比斯将球扑出，埃尔南德斯中路包抄，补射得手                   36'曼联第36分钟打破僵局，埃文斯左路传中，埃弗拉前点首次射门踢空后8码处再射被哈布西扑出，埃尔南德斯小禁区边缘补射入网
37'这是小豌豆加盟曼联以后的第30粒进球，其中有20个是在客场打进                   36'曼联第36分钟打破僵局，埃文斯左路传中，埃弗拉前点首次射门踢空后8码处再射被哈布西扑出，埃尔南德斯小禁区边缘补射入网
38'游客6159:怎么范佩西去罚角球（右侧角球，范佩西左脚弧线威胁大）                   36'曼联第36分钟打破僵局，埃文斯左路传中，埃弗拉前点首次射门踢空后8码处再射被哈布西扑出，埃尔南德斯小禁区边缘补射入网
38'曼联左路进攻，赢得角球机会                   36'曼联第36分钟打破僵局，埃文斯左路传中，埃弗拉前点首次射门踢空后8码处再射被哈布西扑出，埃尔南德斯小禁区边缘补射入网
38'阿什利-扬角球开出，球弹地后起来打在了包抄的埃弗拉手臂上                   36'曼联第36分钟打破僵局，埃文斯左路传中，埃弗拉前点首次射门踢空后8码处再射被哈布西扑出，埃尔南德斯小禁区边缘补射入网
39'维冈的进攻，左边路传中，埃文斯头球解围                   36'曼联第36分钟打破僵局，埃文斯左路传中，埃弗拉前点首次射门踢空后8码处再射被哈布西扑出，埃尔南德斯小禁区边缘补射入网
39'马洛尼拿到第二落点，可惜脚下打滑，没有机会起脚                   36'曼联第36分钟打破僵局，埃文斯左路传中，埃弗拉前点首次射门踢空后8码处再射被哈布西扑出，埃尔南德斯小禁区边缘补射入网
39'只能将球大脚踢回后场，重新组织                   36'曼联第36分钟打破僵局，埃文斯左路传中，埃弗拉前点首次射门踢空后8码处再射被哈布西扑出，埃尔南德斯小禁区边缘补射入网
50'小豌豆右路拿球，面对菲格罗亚的防守强突，被后者破坏                   50'第50分钟，范佩西传球，埃尔南德斯禁区右侧的射门偏出近角
51'吉格斯左路和埃弗拉的传接失误，考德威尔抢断                   50'第50分钟，范佩西传球，埃尔南德斯禁区右侧的射门偏出近角
51'考德威尔传球给到拉米斯，拉米斯传球失误                   50'第50分钟，范佩西传球，埃尔南德斯禁区右侧的射门偏出近角
51'直接传给了范佩西，范佩西斜传禁区找小豌豆                   50'第50分钟，范佩西传球，埃尔南德斯禁区右侧的射门偏出近角
52'小豌豆禁区右侧拿球，一脚抽射，打在了边网上                   50'第50分钟，范佩西传球，埃尔南德斯禁区右侧的射门偏出近角
52'迪桑托前场左路拿球，费迪南德上来将球破坏出边线                   50'第50分钟，范佩西传球，埃尔南德斯禁区右侧的射门偏出近角
53'阿什利-扬右路拿球过度给到卡里克                   50'第50分钟，范佩西传球，埃尔南德斯禁区右侧的射门偏出近角
53'卡里克的大范围转移球给到左路的埃弗拉                   50'第50分钟，范佩西传球，埃尔南德斯禁区右侧的射门偏出近角
53'埃弗拉拿球横拨克莱维利                   50'第50分钟，范佩西传球，埃尔南德斯禁区右侧的射门偏出近角
53'克莱维利禁区前沿分边左路范佩西                   50'第50分钟，范佩西传球，埃尔南德斯禁区右侧的射门偏出近角
59'维冈进球了，不过越位在先，小科内                   59'第59分钟，迪桑托禁区左侧传中，科内远点破门因越位在先被判无效
60'维冈禁区外的直传球到了左侧的迪桑托脚下，迪桑托禁区左侧端线横传，小科内包抄弹射进网，可惜越位了一点点哦，可惜啦                   59'第59分钟，迪桑托禁区左侧传中，科内远点破门因越位在先被判无效
60'小豌豆，太可惜啦                   59'第59分钟，迪桑托禁区左侧传中，科内远点破门因越位在先被判无效
61'阿什利-扬右边路传中，小豌豆包抄，面对艾哈比斯的出击，挑射，可惜高出了横梁，出底线                   59'第59分钟，迪桑托禁区左侧传中，科内远点破门因越位在先被判无效
62'全场比赛已经过了61分钟，比分2-0，曼联领先                   59'第59分钟，迪桑托禁区左侧传中，科内远点破门因越位在先被判无效
62'维冈前场传球失误，拉斐尔的抢断                   59'第59分钟，迪桑托禁区左侧传中，科内远点破门因越位在先被判无效
62'拉斐尔拿球过了中线，过度给到小豌豆                   59'第59分钟，迪桑托禁区左侧传中，科内远点破门因越位在先被判无效
62'小豌豆得球横带，交给到拉斐尔                   59'第59分钟，迪桑托禁区左侧传中，科内远点破门因越位在先被判无效
63'考德威尔上抢，放倒了拉斐尔                   63'曼联第63分钟锁定胜局，卡德维尔禁区前对拉斐尔犯规，范佩西任意球射门被封堵，埃尔南德斯14码处半凌空抽射入网，3-0
63'考德威尔被裁判出示黄牌警告                   63'曼联第63分钟锁定胜局，卡德维尔禁区前对拉斐尔犯规，范佩西任意球射门被封堵，埃尔南德斯14码处半凌空抽射入网，3-0
63'这是本场比赛的第一张黄牌                   63'曼联第63分钟锁定胜局，卡德维尔禁区前对拉斐尔犯规，范佩西任意球射门被封堵，埃尔南德斯14码处半凌空抽射入网，3-0
63'曼联获得前场任意球机会                   63'曼联第63分钟锁定胜局，卡德维尔禁区前对拉斐尔犯规，范佩西任意球射门被封堵，埃尔南德斯14码处半凌空抽射入网，3-0
63'位置在禁区外，球门的正前方，距离有点远                   63'曼联第63分钟锁定胜局，卡德维尔禁区前对拉斐尔犯规，范佩西任意球射门被封堵，埃尔南德斯14码处半凌空抽射入网，3-0
63'进球啦                   63'曼联第63分钟锁定胜局，卡德维尔禁区前对拉斐尔犯规，范佩西任意球射门被封堵，埃尔南德斯14码处半凌空抽射入网，3-0
64'小豌豆补射，梅开二度                   63'曼联第63分钟锁定胜局，卡德维尔禁区前对拉斐尔犯规，范佩西任意球射门被封堵，埃尔南德斯14码处半凌空抽射入网，3-0
64'范佩西任意球打在人墙上，直接落在小豌豆的脚下，小豌豆转身右脚抽射，球贴着地皮进网                   63'曼联第63分钟锁定胜局，卡德维尔禁区前对拉斐尔犯规，范佩西任意球射门被封堵，埃尔南德斯14码处半凌空抽射入网，3-0
65'3-0领先，这比赛悬念不大了                   63'曼联第63分钟锁定胜局，卡德维尔禁区前对拉斐尔犯规，范佩西任意球射门被封堵，埃尔南德斯14码处半凌空抽射入网，3-0
65'目前射门次数：曼联11-1维冈，射正7-0，一边倒啊                   63'曼联第63分钟锁定胜局，卡德维尔禁区前对拉斐尔犯规，范佩西任意球射门被封堵，埃尔南德斯14码处半凌空抽射入网，3-0
66'小科内前场拿球，想单骑闯关，结果被埃文斯抢断                   63'曼联第63分钟锁定胜局，卡德维尔禁区前对拉斐尔犯规，范佩西任意球射门被封堵，埃尔南德斯14码处半凌空抽射入网，3-0
66'曼联前场组织，卡里克拿球，斜传给到左路的埃弗拉                   63'曼联第63分钟锁定胜局，卡德维尔禁区前对拉斐尔犯规，范佩西任意球射门被封堵，埃尔南德斯14码处半凌空抽射入网，3-0
66'埃弗拉拿球横拨给到吉格斯                   63'曼联第63分钟锁定胜局，卡德维尔禁区前对拉斐尔犯规，范佩西任意球射门被封堵，埃尔南德斯14码处半凌空抽射入网，3-0
67'吉格斯禁区外直传后卫身后找小豌豆                   67'第67分钟，卡里克传球，范佩西禁区边缘内左脚射门擦横梁高出
67'可惜小豌豆又超前了，越位在先                   67'第67分钟，卡里克传球，范佩西禁区边缘内左脚射门擦横梁高出
68'范佩西，左脚，差之毫厘啊                   67'第67分钟，卡里克传球，范佩西禁区边缘内左脚射门擦横梁高出
68'范佩西前场拿球转身，过掉菲格罗亚进入禁区，面对考德威尔的上抢，左脚抽射，踢飞了                   67'第67分钟，卡里克传球，范佩西禁区边缘内左脚射门擦横梁高出
69'曼联有两人站在场边，要换人了                   67'第67分钟，卡里克传球，范佩西禁区边缘内左脚射门擦横梁高出
69'曼联换人：香川真司换下卡里克                   67'第67分钟，卡里克传球，范佩西禁区边缘内左脚射门擦横梁高出
69'同时斯马林换下费迪南德                   67'第67分钟，卡里克传球，范佩西禁区边缘内左脚射门擦横梁高出
69'维冈这边也要换人，连换两人                   67'第67分钟，卡里克传球，范佩西禁区边缘内左脚射门擦横梁高出
70'斯塔姆换下考德威尔                   67'第67分钟，卡里克传球，范佩西禁区边缘内左脚射门擦横梁高出
70'同时戈麦斯换下迪桑托                   67'第67分钟，卡里克传球，范佩西禁区边缘内左脚射门擦横梁高出
73'斯塔姆右路拿球，内切，禁区外的打门                   73'第73分钟，斯塔姆禁区右侧射门被封堵
73'埃文斯上来堵抢眼，将球挡出禁区                   73'第73分钟，斯塔姆禁区右侧射门被封堵
73'小宝菜菜园:小豆又破门（梅开二度哦）                   73'第73分钟，斯塔姆禁区右侧射门被封堵
74'斯塔姆拿球继续冲击曼联左路，吉格斯回防将球抢断                   73'第73分钟，斯塔姆禁区右侧射门被封堵
75'维冈上轮刚刚结束三连败，结束六轮不胜，此轮主场面对曼联，看来又要跌入低谷了                   73'第73分钟，斯塔姆禁区右侧射门被封堵
75'维冈右路的进攻，斯塔姆拿球横传给到马洛尼                   73'第73分钟，斯塔姆禁区右侧射门被封堵
76'马洛尼禁区外得球，转身一脚打门，被后卫解围                   73'第73分钟，斯塔姆禁区右侧射门被封堵
76'阿什利-扬的右路的下底传中被艾哈比斯出击直接没收                   73'第73分钟，斯塔姆禁区右侧射门被封堵
78'维冈的进攻，戈麦斯禁区弧顶内的左脚低射，球打偏了                   78'第78分钟，科内传球，替补出场的戈麦斯禁区弧内低射偏出
78'曼联换人：维尔贝克换下阿什利-扬                   78'第78分钟，科内传球，替补出场的戈麦斯禁区弧内低射偏出
79'曼联三球领先，弗格森继续换上前锋，范佩西、小豌豆和维尔贝克，三箭齐发啊                   78'第78分钟，科内传球，替补出场的戈麦斯禁区弧内低射偏出
79'维尔贝克禁区弧顶接球被放倒，马里纳并未理睬                   78'第78分钟，科内传球，替补出场的戈麦斯禁区弧内低射偏出
79'维冈后场拿球，组织进攻                   78'第78分钟，科内传球，替补出场的戈麦斯禁区弧内低射偏出
80'斯塔姆右路拿球，内切后的斜传找左路插上的博塞豪尔                   78'第78分钟，科内传球，替补出场的戈麦斯禁区弧内低射偏出
80'可惜球传大了，直接出了底线                   78'第78分钟，科内传球，替补出场的戈麦斯禁区弧内低射偏出
81'戈麦斯前场争抢，倒地                   78'第78分钟，科内传球，替补出场的戈麦斯禁区弧内低射偏出
81'戈麦斯倒地后还想将球调整到左脚来处理，结果被断                   78'第78分钟，科内传球，替补出场的戈麦斯禁区弧内低射偏出
81'曼联前场进攻，吉格斯拿球过度给到埃弗拉                   78'第78分钟，科内传球，替补出场的戈麦斯禁区弧内低射偏出
82'埃弗拉左路拿球下底传中，被维冈球员解围                   82'第82分钟，斯马林禁区前拉倒科内被罚黄牌，戈麦斯25码处任意球直接射门稍稍偏出右侧立柱
82'维冈的反击，小科内拿球，斯马林将其放倒                   82'第82分钟，斯马林禁区前拉倒科内被罚黄牌，戈麦斯25码处任意球直接射门稍稍偏出右侧立柱
82'斯马林被裁判出示黄牌警告                   82'第82分钟，斯马林禁区前拉倒科内被罚黄牌，戈麦斯25码处任意球直接射门稍稍偏出右侧立柱
83'这个判罚维冈球员和教练有点不满，认为斯马林是除了德赫亚之外唯一的防守球员                   82'第82分钟，斯马林禁区前拉倒科内被罚黄牌，戈麦斯25码处任意球直接射门稍稍偏出右侧立柱
83'维冈前场任意球机会，戈麦斯主罚                   82'第82分钟，斯马林禁区前拉倒科内被罚黄牌，戈麦斯25码处任意球直接射门稍稍偏出右侧立柱
84'戈麦斯的任意球攻门，绕过人墙，德赫亚侧扑将球没收                   82'第82分钟，斯马林禁区前拉倒科内被罚黄牌，戈麦斯25码处任意球直接射门稍稍偏出右侧立柱
84'维尔贝克中场防守被吹犯规                   82'第82分钟，斯马林禁区前拉倒科内被罚黄牌，戈麦斯25码处任意球直接射门稍稍偏出右侧立柱
84'博塞豪尔左路拿球，传中到后点，埃弗拉头球解围出底线                   82'第82分钟，斯马林禁区前拉倒科内被罚黄牌，戈麦斯25码处任意球直接射门稍稍偏出右侧立柱
84'维冈右侧角球机会，战术角球                   82'第82分钟，斯马林禁区前拉倒科内被罚黄牌，戈麦斯25码处任意球直接射门稍稍偏出右侧立柱
85'右侧的传倒，差点失误，菲格罗亚上来将球控制                   82'第82分钟，斯马林禁区前拉倒科内被罚黄牌，戈麦斯25码处任意球直接射门稍稍偏出右侧立柱
85'维冈右边路的传中，埃文斯在小科内之前将球解围出边线                   82'第82分钟，斯马林禁区前拉倒科内被罚黄牌，戈麦斯25码处任意球直接射门稍稍偏出右侧立柱
88'戈麦斯禁区弧外拿球，拨给左路插上的菲格罗亚                   88'第88分钟，拉斐尔传球被挡，维尔贝克拿球突入禁区右侧传中，无人防守的范佩西小禁区前扫射破门，4-0
88'菲格罗亚禁区外拔脚怒射，踢飞了                   88'第88分钟，拉斐尔传球被挡，维尔贝克拿球突入禁区右侧传中，无人防守的范佩西小禁区前扫射破门，4-0
88'现场球迷开始退场了                   88'第88分钟，拉斐尔传球被挡，维尔贝克拿球突入禁区右侧传中，无人防守的范佩西小禁区前扫射破门，4-0
88'范佩西梅开二度                   88'第88分钟，拉斐尔传球被挡，维尔贝克拿球突入禁区右侧传中，无人防守的范佩西小禁区前扫射破门，4-0
89'拉斐尔右边路拿球横传，维冈两名后卫解围失误，维尔贝克插上将球拿到，小禁区内横传门前，范佩西倒地，右脚铲射破门                   88'第88分钟，拉斐尔传球被挡，维尔贝克拿球突入禁区右侧传中，无人防守的范佩西小禁区前扫射破门，4-0
90'金左脚范佩西，今天用右脚打进了两球，全面的技术一览无余                   88'第88分钟，拉斐尔传球被挡，维尔贝克拿球突入禁区右侧传中，无人防守的范佩西小禁区前扫射破门，4-0
90'全场比赛已进入尾声了                   88'第88分钟，拉斐尔传球被挡，维尔贝克拿球突入禁区右侧传中，无人防守的范佩西小禁区前扫射破门，4-0
91'上赛季曼联领先8分的情况下，客场被维冈爆冷，成为转折，最后痛失冠军                   88'第88分钟，拉斐尔传球被挡，维尔贝克拿球突入禁区右侧传中，无人防守的范佩西小禁区前扫射破门，4-0
91'本赛季客场这是要复仇啦                   88'第88分钟，拉斐尔传球被挡，维尔贝克拿球突入禁区右侧传中，无人防守的范佩西小禁区前扫射破门，4-0
91'下半场补时2分钟                   88'第88分钟，拉斐尔传球被挡，维尔贝克拿球突入禁区右侧传中，无人防守的范佩西小禁区前扫射破门，4-0
