1'上半场比赛开始！                   1'斯特林第1分钟右路连续利用速度突击后传中均给巴萨防线带来麻烦
20'皮克长传左路，伊涅斯塔突破被奥塔门迪拦截                   17'巴萨第17分钟取得领先，梅西直传伊涅斯塔被萨巴莱塔及时封堵，但费尔南迪尼奥滑倒，梅西拿球轻松晃过前队友布拉沃后射入空门
20'斯特林球反击被绊倒                   17'巴萨第17分钟取得领先，梅西直传伊涅斯塔被萨巴莱塔及时封堵，但费尔南迪尼奥滑倒，梅西拿球轻松晃过前队友布拉沃后射入空门
20'京多安的推进，直传球丢了                   17'巴萨第17分钟取得领先，梅西直传伊涅斯塔被萨巴莱塔及时封堵，但费尔南迪尼奥滑倒，梅西拿球轻松晃过前队友布拉沃后射入空门
38'诺利托小角度打门被特尔施特根用左脚挡出底线                   38'第38分钟，诺利托传球，京多安突入禁区左肋10码处推射远角被特尔施特根扑出，随后京多安禁区前劲射偏出
38'曼城左路的角球机会                   38'第38分钟，诺利托传球，京多安突入禁区左肋10码处推射远角被特尔施特根扑出，随后京多安禁区前劲射偏出
38'席尔瓦传中，皮克头球解围                   38'第38分钟，诺利托传球，京多安突入禁区左肋10码处推射远角被特尔施特根扑出，随后京多安禁区前劲射偏出
38'皮克仍然在场上                   38'第38分钟，诺利托传球，京多安突入禁区左肋10码处推射远角被特尔施特根扑出，随后京多安禁区前劲射偏出
38'诺利托接应转身交给了京多安                   38'第38分钟，诺利托传球，京多安突入禁区左肋10码处推射远角被特尔施特根扑出，随后京多安禁区前劲射偏出
39'京多安带球进了禁区推射被特尔施特根倒地将球扑出！                   38'第38分钟，诺利托传球，京多安突入禁区左肋10码处推射远角被特尔施特根扑出，随后京多安禁区前劲射偏出
39'京多安是盘过了皮克                   38'第38分钟，诺利托传球，京多安突入禁区左肋10码处推射远角被特尔施特根扑出，随后京多安禁区前劲射偏出
39'皮克确实有伤                   38'第38分钟，诺利托传球，京多安突入禁区左肋10码处推射远角被特尔施特根扑出，随后京多安禁区前劲射偏出
39'京多安外围再打一脚，打偏了                   38'第38分钟，诺利托传球，京多安突入禁区左肋10码处推射远角被特尔施特根扑出，随后京多安禁区前劲射偏出
39'巴塞罗那上半场没结束就第二次换人，24号马蒂厄换下了3号皮克                   38'第38分钟，诺利托传球，京多安突入禁区左肋10码处推射远角被特尔施特根扑出，随后京多安禁区前劲射偏出
40'内马尔中场带球推进，费尔南迪尼奥铲倒内马尔                   38'第38分钟，诺利托传球，京多安突入禁区左肋10码处推射远角被特尔施特根扑出，随后京多安禁区前劲射偏出
40'费尔南迪尼奥也吃到一张黄牌                   38'第38分钟，诺利托传球，京多安突入禁区左肋10码处推射远角被特尔施特根扑出，随后京多安禁区前劲射偏出
41'瓜迪奥拉在场边很着急                   38'第38分钟，诺利托传球，京多安突入禁区左肋10码处推射远角被特尔施特根扑出，随后京多安禁区前劲射偏出
41'德布劳内右路传中，乌姆蒂蒂解围                   38'第38分钟，诺利托传球，京多安突入禁区左肋10码处推射远角被特尔施特根扑出，随后京多安禁区前劲射偏出
41'内马尔左路来了，内切交给梅西                   38'第38分钟，诺利托传球，京多安突入禁区左肋10码处推射远角被特尔施特根扑出，随后京多安禁区前劲射偏出
41'梅西斜传被奥塔门迪凌空解围                   38'第38分钟，诺利托传球，京多安突入禁区左肋10码处推射远角被特尔施特根扑出，随后京多安禁区前劲射偏出
53'布拉沃出状况了                   53'曼城第53分钟遭遇打击，布拉沃出击后传球失误，苏亚雷斯挑射空门被布拉沃在禁区前故意用手挡下，前巴萨门将被红牌罚下
54'巴塞罗那长传上前，布拉沃冲出禁区将球一端力量小了被苏亚雷斯断下，苏亚雷斯挑射，布拉沃用手捞球                   53'曼城第53分钟遭遇打击，布拉沃出击后传球失误，苏亚雷斯挑射空门被布拉沃在禁区前故意用手挡下，前巴萨门将被红牌罚下
54'禁区外手球，布拉沃被红牌罚下！                   53'曼城第53分钟遭遇打击，布拉沃出击后传球失误，苏亚雷斯挑射空门被布拉沃在禁区前故意用手挡下，前巴萨门将被红牌罚下
54'瓜迪奥拉无耐只能将卡巴列罗换上场                   53'曼城第53分钟遭遇打击，布拉沃出击后传球失误，苏亚雷斯挑射空门被布拉沃在禁区前故意用手挡下，前巴萨门将被红牌罚下
55'看看要换谁                   53'曼城第53分钟遭遇打击，布拉沃出击后传球失误，苏亚雷斯挑射空门被布拉沃在禁区前故意用手挡下，前巴萨门将被红牌罚下
61'拉基蒂奇突破直传，苏亚雷斯禁区得接应                   61'巴萨第61分钟扩大比分，德布劳内传球失误，伊涅斯塔传球，梅西禁区边缘射入右下角，2-0
61'但没有起脚机会，斯通斯将球铲了一下                   61'巴萨第61分钟扩大比分，德布劳内传球失误，伊涅斯塔传球，梅西禁区边缘射入右下角，2-0
61'球碰苏亚雷斯脚往前走，卡巴列罗将球没收                   61'巴萨第61分钟扩大比分，德布劳内传球失误，伊涅斯塔传球，梅西禁区边缘射入右下角，2-0
62'巴塞罗那中路断球                   61'巴萨第61分钟扩大比分，德布劳内传球失误，伊涅斯塔传球，梅西禁区边缘射入右下角，2-0
62'伊涅斯塔斜给梅西，梅西禁区前沿调整一下左脚打近角，球进了！                   61'巴萨第61分钟扩大比分，德布劳内传球失误，伊涅斯塔传球，梅西禁区边缘射入右下角，2-0
62'梅西展现了球王的脚法                   61'巴萨第61分钟扩大比分，德布劳内传球失误，伊涅斯塔传球，梅西禁区边缘射入右下角，2-0
64'多打一人，巴萨的优势变得巨大                   61'巴萨第61分钟扩大比分，德布劳内传球失误，伊涅斯塔传球，梅西禁区边缘射入右下角，2-0
64'上半场曼城的控球率也达到47%                   61'巴萨第61分钟扩大比分，德布劳内传球失误，伊涅斯塔传球，梅西禁区边缘射入右下角，2-0
64'本来下半场留一手阿奎罗上来拼一下                   61'巴萨第61分钟扩大比分，德布劳内传球失误，伊涅斯塔传球，梅西禁区边缘射入右下角，2-0
64'但由于布拉沃手球被罚下，形势急转直下                   61'巴萨第61分钟扩大比分，德布劳内传球失误，伊涅斯塔传球，梅西禁区边缘射入右下角，2-0
70'梅西帽子戏法！                   69'第69分钟，京多安回传斯通斯失误，苏亚雷斯无私横传，梅西12码处推射破门上演帽子戏法，3-0
70'科拉罗夫回传失误，给了苏亚雷斯断球禁区左侧回做，梅西中路推射入网                   69'第69分钟，京多安回传斯通斯失误，苏亚雷斯无私横传，梅西12码处推射破门上演帽子戏法，3-0
71'费尔南迪尼奥交给分右路的斯特林                   69'第69分钟，京多安回传斯通斯失误，苏亚雷斯无私横传，梅西12码处推射破门上演帽子戏法，3-0
71'连续的变向被马蒂厄绊倒                   69'第69分钟，京多安回传斯通斯失误，苏亚雷斯无私横传，梅西12码处推射破门上演帽子戏法，3-0
71'马蒂厄吃到黄牌                   69'第69分钟，京多安回传斯通斯失误，苏亚雷斯无私横传，梅西12码处推射破门上演帽子戏法，3-0
72'曼城也获得一个位置极佳的任意球机会                   69'第69分钟，京多安回传斯通斯失误，苏亚雷斯无私横传，梅西12码处推射破门上演帽子戏法，3-0
72'科拉罗夫大力低射，特尔施特根再次将球扑出                   69'第69分钟，京多安回传斯通斯失误，苏亚雷斯无私横传，梅西12码处推射破门上演帽子戏法，3-0
87'再到中路，梅西中路开动引擎，连续变向被绊倒                   87'第87分钟，科拉罗夫禁区内绊倒梅西，内马尔主罚点球被卡巴列罗扑出
87'梅西没有打点球，交给了内马尔主罚                   87'第87分钟，科拉罗夫禁区内绊倒梅西，内马尔主罚点球被卡巴列罗扑出
88'梅西连续躲过斯特林，再过掉克里希被科拉罗夫绊倒                   87'第87分钟，科拉罗夫禁区内绊倒梅西，内马尔主罚点球被卡巴列罗扑出
88'内马尔顿一顿，打门被卡巴列罗扑出！                   87'第87分钟，科拉罗夫禁区内绊倒梅西，内马尔主罚点球被卡巴列罗扑出
89'克里希左路直传到禁区内，乌姆蒂蒂倒地将球铲出                   87'第87分钟，科拉罗夫禁区内绊倒梅西，内马尔主罚点球被卡巴列罗扑出
89'德布劳内断球交给右路的斯特林，斯特林想回给德布劳内                   87'第87分钟，科拉罗夫禁区内绊倒梅西，内马尔主罚点球被卡巴列罗扑出
89'但被回防的戈麦斯抢断                   87'第87分钟，科拉罗夫禁区内绊倒梅西，内马尔主罚点球被卡巴列罗扑出
90'梅西右路带球传到禁区内，内马尔接应内切打远角球进！                   87'第87分钟，科拉罗夫禁区内绊倒梅西，内马尔主罚点球被卡巴列罗扑出
90'内马尔弥补了点球不进的遗憾                   87'第87分钟，科拉罗夫禁区内绊倒梅西，内马尔主罚点球被卡巴列罗扑出
