2'马内下底到中路                   2'马内开场仅2分钟在禁区边缘外的劲射被没收
46'斯蒂文-戴维斯这边形成空挡                   44'曼城第44分钟扳回一城，伊赫纳乔突破分球，纳斯里右路传中，马蒂纳解围失误，伊赫纳乔小禁区前头球破门，1-2
46'低平球给到禁区中路                   44'曼城第44分钟扳回一城，伊赫纳乔突破分球，纳斯里右路传中，马蒂纳解围失误，伊赫纳乔小禁区前头球破门，1-2
46'曼加拉的解围没有踢到啊                   44'曼城第44分钟扳回一城，伊赫纳乔突破分球，纳斯里右路传中，马蒂纳解围失误，伊赫纳乔小禁区前头球破门，1-2
46'这球如果踢到了还有可能是一个乌龙球                   44'曼城第44分钟扳回一城，伊赫纳乔突破分球，纳斯里右路传中，马蒂纳解围失误，伊赫纳乔小禁区前头球破门，1-2
46'上半场有2分钟的补时                   44'曼城第44分钟扳回一城，伊赫纳乔突破分球，纳斯里右路传中，马蒂纳解围失误，伊赫纳乔小禁区前头球破门，1-2
47'马内这边有些受伤                   44'曼城第44分钟扳回一城，伊赫纳乔突破分球，纳斯里右路传中，马蒂纳解围失误，伊赫纳乔小禁区前头球破门，1-2
47'问题不是太大                   44'曼城第44分钟扳回一城，伊赫纳乔突破分球，纳斯里右路传中，马蒂纳解围失误，伊赫纳乔小禁区前头球破门，1-2
47'南安普敦禁区内脚后跟传球被拦截                   44'曼城第44分钟扳回一城，伊赫纳乔突破分球，纳斯里右路传中，马蒂纳解围失误，伊赫纳乔小禁区前头球破门，1-2
47'再传禁区被曼加拉破坏出底线                   44'曼城第44分钟扳回一城，伊赫纳乔突破分球，纳斯里右路传中，马蒂纳解围失误，伊赫纳乔小禁区前头球破门，1-2
46'下半场比赛开始！！                   44'曼城第44分钟扳回一城，伊赫纳乔突破分球，纳斯里右路传中，马蒂纳解围失误，伊赫纳乔小禁区前头球破门，1-2
46'下半场比赛由曼城开球                   44'曼城第44分钟扳回一城，伊赫纳乔突破分球，纳斯里右路传中，马蒂纳解围失误，伊赫纳乔小禁区前头球破门，1-2
57'南安普敦角球送前点                   57'南安普敦第57分钟再度拉开差距，史蒂文-戴维斯开出角球，范迪克小禁区边缘头球攻门被乔-哈特扑挡后击中横梁弹回，丰特近距离头球攻门错过机会，但跟进的马内凌空扫射入网，3-1
57'3-1！！！                   57'南安普敦第57分钟再度拉开差距，史蒂文-戴维斯开出角球，范迪克小禁区边缘头球攻门被乔-哈特扑挡后击中横梁弹回，丰特近距离头球攻门错过机会，但跟进的马内凌空扫射入网，3-1
57'马内！！                   57'南安普敦第57分钟再度拉开差距，史蒂文-戴维斯开出角球，范迪克小禁区边缘头球攻门被乔-哈特扑挡后击中横梁弹回，丰特近距离头球攻门错过机会，但跟进的马内凌空扫射入网，3-1
57'此时此刻值得来杯嘉士伯                   57'南安普敦第57分钟再度拉开差距，史蒂文-戴维斯开出角球，范迪克小禁区边缘头球攻门被乔-哈特扑挡后击中横梁弹回，丰特近距离头球攻门错过机会，但跟进的马内凌空扫射入网，3-1
58'角球送前点，范迪克头球攻门击中了立柱，球反弹回来，马内跟进补射将球打进！                   57'南安普敦第57分钟再度拉开差距，史蒂文-戴维斯开出角球，范迪克小禁区边缘头球攻门被乔-哈特扑挡后击中横梁弹回，丰特近距离头球攻门错过机会，但跟进的马内凌空扫射入网，3-1
58'曼城刚刚有些起色就又丢了一个球                   57'南安普敦第57分钟再度拉开差距，史蒂文-戴维斯开出角球，范迪克小禁区边缘头球攻门被乔-哈特扑挡后击中横梁弹回，丰特近距离头球攻门错过机会，但跟进的马内凌空扫射入网，3-1
59'南安普敦换人，克拉西下，罗梅乌上！                   57'南安普敦第57分钟再度拉开差距，史蒂文-戴维斯开出角球，范迪克小禁区边缘头球攻门被乔-哈特扑挡后击中横梁弹回，丰特近距离头球攻门错过机会，但跟进的马内凌空扫射入网，3-1
60'曼城这边也要换人                   57'南安普敦第57分钟再度拉开差距，史蒂文-戴维斯开出角球，范迪克小禁区边缘头球攻门被乔-哈特扑挡后击中横梁弹回，丰特近距离头球攻门错过机会，但跟进的马内凌空扫射入网，3-1
60'费尔南迪尼奥下，德米凯利斯上！                   57'南安普敦第57分钟再度拉开差距，史蒂文-戴维斯开出角球，范迪克小禁区边缘头球攻门被乔-哈特扑挡后击中横梁弹回，丰特近距离头球攻门错过机会，但跟进的马内凌空扫射入网，3-1
60'曼城这是要打三后卫                   57'南安普敦第57分钟再度拉开差距，史蒂文-戴维斯开出角球，范迪克小禁区边缘头球攻门被乔-哈特扑挡后击中横梁弹回，丰特近距离头球攻门错过机会，但跟进的马内凌空扫射入网，3-1
68'南安普敦继续角球的机会                   68'南安普敦第68分钟锁定胜局，塔迪奇直传，马内禁区右肋12码处射入近角完成帽子戏法，4-1
68'角球送中路                   68'南安普敦第68分钟锁定胜局，塔迪奇直传，马内禁区右肋12码处射入近角完成帽子戏法，4-1
68'乔-哈特单拳将球击出                   68'南安普敦第68分钟锁定胜局，塔迪奇直传，马内禁区右肋12码处射入近角完成帽子戏法，4-1
68'4-1！！！                   68'南安普敦第68分钟锁定胜局，塔迪奇直传，马内禁区右肋12码处射入近角完成帽子戏法，4-1
68'马内！！！                   68'南安普敦第68分钟锁定胜局，塔迪奇直传，马内禁区右肋12码处射入近角完成帽子戏法，4-1
68'此时此刻值得来杯嘉士伯                   68'南安普敦第68分钟锁定胜局，塔迪奇直传，马内禁区右肋12码处射入近角完成帽子戏法，4-1
68'帽子戏法！！                   68'南安普敦第68分钟锁定胜局，塔迪奇直传，马内禁区右肋12码处射入近角完成帽子戏法，4-1
70'伊赫纳乔中场带球被断，南安普敦快速进攻送直塞到禁区内，马内禁区内及时插上推射近角破门！！                   68'南安普敦第68分钟锁定胜局，塔迪奇直传，马内禁区右肋12码处射入近角完成帽子戏法，4-1
71'南安普敦的进攻又来了                   68'南安普敦第68分钟锁定胜局，塔迪奇直传，马内禁区右肋12码处射入近角完成帽子戏法，4-1
71'前场三打三                   68'南安普敦第68分钟锁定胜局，塔迪奇直传，马内禁区右肋12码处射入近角完成帽子戏法，4-1
78'南安普敦这边又获得前场任意球                   78'曼城第78分钟扳回一城，纳瓦斯内切传球，伊赫纳乔右路禁区边缘弧线球射入远角，2-4
78'左路任意球打了一个配合                   78'曼城第78分钟扳回一城，纳瓦斯内切传球，伊赫纳乔右路禁区边缘弧线球射入远角，2-4
78'曼加拉这边先将球解围                   78'曼城第78分钟扳回一城，纳瓦斯内切传球，伊赫纳乔右路禁区边缘弧线球射入远角，2-4
79'4-2！！！                   78'曼城第78分钟扳回一城，纳瓦斯内切传球，伊赫纳乔右路禁区边缘弧线球射入远角，2-4
79'伊赫纳乔！！                   78'曼城第78分钟扳回一城，纳瓦斯内切传球，伊赫纳乔右路禁区边缘弧线球射入远角，2-4
79'曼城右路策动攻势，传球给到伊赫纳乔，伊赫纳乔稍作调整兜射一脚将球打进！                   78'曼城第78分钟扳回一城，纳瓦斯内切传球，伊赫纳乔右路禁区边缘弧线球射入远角，2-4
79'此时此刻值得来杯嘉士伯                   78'曼城第78分钟扳回一城，纳瓦斯内切传球，伊赫纳乔右路禁区边缘弧线球射入远角，2-4
79'伊赫纳乔给人眼前一亮                   78'曼城第78分钟扳回一城，纳瓦斯内切传球，伊赫纳乔右路禁区边缘弧线球射入远角，2-4
80'南安普敦左路强突                   78'曼城第78分钟扳回一城，纳瓦斯内切传球，伊赫纳乔右路禁区边缘弧线球射入远角，2-4
80'先犯规了                   78'曼城第78分钟扳回一城，纳瓦斯内切传球，伊赫纳乔右路禁区边缘弧线球射入远角，2-4
