4'张晨龙把球断下直传球向前                   4'第4分钟，萨马尔季奇后场中路起球到门前，直接被韩锋没收
66'被张贤秀头球解围出来                   65'第65分钟，建业换人，路尧上场替下杨阔
67'禁区弧顶处尹鸿博直接迎球怒射偏出                   65'第65分钟，建业换人，路尧上场替下杨阔
68'富力换人，常飞亚替下张晨龙                   65'第65分钟，建业换人，路尧上场替下杨阔
68'富力换人，常飞亚替下张晨龙                   68'第68分钟，富力换人，常飞亚替下张晨龙
70'进球啦                   68'第68分钟，富力换人，常飞亚替下张晨龙
70'扎哈维禁区弧顶处拿球分左侧，吉安努横向带球后的打门得手                   68'第68分钟，富力换人，常飞亚替下张晨龙
74'雷纳迪尼奥连续盘带后倒三角，扎哈维中路打门被对方封堵                   73'第73分钟，雷纳迪尼奥连续盘带后倒三角，扎哈维中路打门被对方封堵
74'现在是喝水时间                   73'第73分钟，雷纳迪尼奥连续盘带后倒三角，扎哈维中路打门被对方封堵
75'建业换人，龙威替下陈灏                   73'第73分钟，雷纳迪尼奥连续盘带后倒三角，扎哈维中路打门被对方封堵
78'汪嵩反抢犯规吃到黄牌                   78'第78分钟，汪嵩反抢犯规吃到黄牌
79'龙威低平球给到右侧                   78'第78分钟，汪嵩反抢犯规吃到黄牌
79'路尧带球内切， 斜长传到了禁区内，被黄政宇头球解围出来                   78'第78分钟，汪嵩反抢犯规吃到黄牌
83'富力换人，曾超换下吉安努                   83'第83分钟，富力换人，曾超换下吉安努
83'黄政宇斜传给到身前                   83'第83分钟，富力换人，曾超换下吉安努
84'路尧中圈右侧断球，给出直传                   83'第83分钟，富力换人，曾超换下吉安努
84'尹鸿博分球失误，被雷纳迪尼奥断下                   83'第83分钟，富力换人，曾超换下吉安努
89'帕蒂尼奥跟进反越位，左脚小角度打门                   89'第89分钟，哈维尔突入到了禁区里的一脚打门，球打在了边网上
89'打在了边网上                   89'第89分钟，哈维尔突入到了禁区里的一脚打门，球打在了边网上
91'下半场补时3分钟                   89'第89分钟，哈维尔突入到了禁区里的一脚打门，球打在了边网上
91'中圈左侧河南建业开出界外球                   89'第89分钟，哈维尔突入到了禁区里的一脚打门，球打在了边网上
92'雷纳迪尼奥中圈断球犯规                   89'第89分钟，哈维尔突入到了禁区里的一脚打门，球打在了边网上
92'前场右路路尧横敲中路，外围中路钟晋宝向前方一脚过顶挑传                   89'第89分钟，哈维尔突入到了禁区里的一脚打门，球打在了边网上
92'外力前场接球越位                   89'第89分钟，哈维尔突入到了禁区里的一脚打门，球打在了边网上
