1'上半场比赛                   1'双方第1分钟均显得小心谨慎
34'分边左路的维纳尔杜姆，埃雷拉将球铲出边线                   34'利物浦第34分钟险些破门，莫雷诺角球混战中外围直传，菲尔米诺禁区左侧传中，无人防守的马蒂普小禁区前推射被德赫亚用左脚神勇挡出，萨拉赫12码处再射却擦左侧立柱偏出
34'莫雷诺交给右路的戈麦斯                   34'利物浦第34分钟险些破门，莫雷诺角球混战中外围直传，菲尔米诺禁区左侧传中，无人防守的马蒂普小禁区前推射被德赫亚用左脚神勇挡出，萨拉赫12码处再射却擦左侧立柱偏出
34'戈麦斯横传，库蒂尼奥闪开空间打门，打在斯马林脚上出底线                   34'利物浦第34分钟险些破门，莫雷诺角球混战中外围直传，菲尔米诺禁区左侧传中，无人防守的马蒂普小禁区前推射被德赫亚用左脚神勇挡出，萨拉赫12码处再射却擦左侧立柱偏出
34'萨拉赫发角球，被马蒂奇头球解围                   34'利物浦第34分钟险些破门，莫雷诺角球混战中外围直传，菲尔米诺禁区左侧传中，无人防守的马蒂普小禁区前推射被德赫亚用左脚神勇挡出，萨拉赫12码处再射却擦左侧立柱偏出
35'菲尔米诺左路踩单车过了马蒂奇，传中，马蒂普推射，德赫亚用脚挡出                   34'利物浦第34分钟险些破门，莫雷诺角球混战中外围直传，菲尔米诺禁区左侧传中，无人防守的马蒂普小禁区前推射被德赫亚用左脚神勇挡出，萨拉赫12码处再射却擦左侧立柱偏出
35'萨拉赫拿到第二点，再打，球擦着左边立柱出底线                   34'利物浦第34分钟险些破门，莫雷诺角球混战中外围直传，菲尔米诺禁区左侧传中，无人防守的马蒂普小禁区前推射被德赫亚用左脚神勇挡出，萨拉赫12码处再射却擦左侧立柱偏出
36'菲尔米诺左路来了，回做被埃雷拉断下                   34'利物浦第34分钟险些破门，莫雷诺角球混战中外围直传，菲尔米诺禁区左侧传中，无人防守的马蒂普小禁区前推射被德赫亚用左脚神勇挡出，萨拉赫12码处再射却擦左侧立柱偏出
36'库蒂尼奥反断                   34'利物浦第34分钟险些破门，莫雷诺角球混战中外围直传，菲尔米诺禁区左侧传中，无人防守的马蒂普小禁区前推射被德赫亚用左脚神勇挡出，萨拉赫12码处再射却擦左侧立柱偏出
36'维纳尔杜姆直传，萨拉赫停球，转身，内切回传给亨德森                   34'利物浦第34分钟险些破门，莫雷诺角球混战中外围直传，菲尔米诺禁区左侧传中，无人防守的马蒂普小禁区前推射被德赫亚用左脚神勇挡出，萨拉赫12码处再射却擦左侧立柱偏出
36'转移给了莫雷诺                   34'利物浦第34分钟险些破门，莫雷诺角球混战中外围直传，菲尔米诺禁区左侧传中，无人防守的马蒂普小禁区前推射被德赫亚用左脚神勇挡出，萨拉赫12码处再射却擦左侧立柱偏出
36'直传，埃姆雷詹的传中，传大了                   34'利物浦第34分钟险些破门，莫雷诺角球混战中外围直传，菲尔米诺禁区左侧传中，无人防守的马蒂普小禁区前推射被德赫亚用左脚神勇挡出，萨拉赫12码处再射却擦左侧立柱偏出
57'戈麦斯再送到禁区，埃姆雷詹插到门前垫射，可惜打高了！]                   57'利物浦第57分钟再失良机，戈麦斯右路斜传，无人防守的埃姆雷-詹小禁区边缘凌空垫射偏出
57'回复：肖少勇4935  20:42 举报回复  库鸟来一个。。。。。。。。。（还是差一点点）                   57'利物浦第57分钟再失良机，戈麦斯右路斜传，无人防守的埃姆雷-詹小禁区边缘凌空垫射偏出
57'德赫亚的解围                   57'利物浦第57分钟再失良机，戈麦斯右路斜传，无人防守的埃姆雷-詹小禁区边缘凌空垫射偏出
58'米尼奥莱将球没收                   57'利物浦第57分钟再失良机，戈麦斯右路斜传，无人防守的埃姆雷-詹小禁区边缘凌空垫射偏出
58'林加德准备上场                   57'利物浦第57分钟再失良机，戈麦斯右路斜传，无人防守的埃姆雷-詹小禁区边缘凌空垫射偏出
58'亨德森的直传，斯马林卡住身位，碰一下                   57'利物浦第57分钟再失良机，戈麦斯右路斜传，无人防守的埃姆雷-詹小禁区边缘凌空垫射偏出
58'德赫亚将球没收                   57'利物浦第57分钟再失良机，戈麦斯右路斜传，无人防守的埃姆雷-詹小禁区边缘凌空垫射偏出
58'这球算回传吗，反正裁判是没有吹                   57'利物浦第57分钟再失良机，戈麦斯右路斜传，无人防守的埃姆雷-詹小禁区边缘凌空垫射偏出
59'马蒂奇的斜长传右路，马夏尔来到右路                   57'利物浦第57分钟再失良机，戈麦斯右路斜传，无人防守的埃姆雷-詹小禁区边缘凌空垫射偏出
59'传中，洛夫伦鱼跃头球解围                   57'利物浦第57分钟再失良机，戈麦斯右路斜传，无人防守的埃姆雷-詹小禁区边缘凌空垫射偏出
60'马蒂奇控球，挑传出边线                   57'利物浦第57分钟再失良机，戈麦斯右路斜传，无人防守的埃姆雷-詹小禁区边缘凌空垫射偏出
60'维纳尔杜姆断球分右路的萨拉赫                   57'利物浦第57分钟再失良机，戈麦斯右路斜传，无人防守的埃姆雷-詹小禁区边缘凌空垫射偏出
60'下底，达米安交球铲出底线                   57'利物浦第57分钟再失良机，戈麦斯右路斜传，无人防守的埃姆雷-詹小禁区边缘凌空垫射偏出
