 随着主裁判一声哨响,上半场比赛开始.
43'阿斯顿维拉维斯特伍德受伤倒地,比赛暂停
44'暂停结束,球员们重新开始比赛.
45'阿斯顿维拉球员马特奥斯-维维安拼抢犯规,对手获得控球权.
45'Dele Alli为热刺在对方半场,赢得一个任意球.
45'进球啦！！！热刺球员凯恩大禁区左侧左脚射门,球从中路飞进球门,球进了!助攻的是Dele Alli. 阿斯顿维拉 0-1 热刺.
45'+3'上半场结束,阿斯顿维拉 0-1 热刺,稍事休息,我们一会来看看下半场两队的表现.
 下半场比赛开始,阿斯顿维拉 0-1 热刺
46'阿斯顿维拉球员乔丹-阿尤大禁区中央右脚射门,被防守球员封堵.
46'阿斯顿维拉球员马特奥斯-维维安大禁区左侧左脚射门,被防守球员封堵.
47'射门!!!阿斯顿维拉球员维勒图特大禁区外右脚射门,被对方守门员横身扑出.给他传球的是马特奥斯-维维安.
48'进球啦！！！热刺球员凯恩大禁区中央右脚射门,球从左上角飞进球门,球进了!助攻的是Dele Alli. 阿斯顿维拉 0-2 热刺.
49'沃克尔将球处理出底线,阿斯顿维拉获得角球.
49'阿斯顿维拉球员维斯特伍德大禁区外右脚射门,被防守球员封堵.
53'乔丹-阿尤为阿斯顿维拉赢得一个任意球.
53'热刺球员埃里克森拼抢犯规,对手获得控球权.
55'哈顿将球处理出底线,热刺获得角球.
55'西索科将球处理出底线,热刺获得角球.
59'射门!!!热刺球员沃克尔大禁区外右脚射门,被对方守门员横身扑出.给他传球的是罗斯.
59'西索科将球处理出底线,热刺获得角球.
60'热刺球员拉梅拉大禁区外左脚射门,被防守球员封堵.给他传球的是登贝莱.
60'奥克雷将球处理出底线,热刺获得角球.
62'阿斯顿维拉换人,Andre Green换下维勒图特
64'热刺球员沃克尔大禁区右侧右脚射门,被防守球员封堵.给他传球的是埃里克-迪尔.
68'热刺罗斯受伤倒地,比赛暂停
69'暂停结束,球员们重新开始比赛.
70'阿斯顿维拉换人,辛克莱尔换下卡莱斯-吉尔
71'阿斯顿维拉球员格斯特德大禁区左侧尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是西索科.
75'热刺球员拉梅拉大禁区中央右脚射门,被防守球员封堵.
75'莱斯科特将球处理出底线,热刺获得角球.
77'热刺球员埃里克森大禁区左侧尝试左脚射门,可惜皮球高出球门.
78'热刺换人,Tom Carroll换下埃里克森
79'阿斯顿维拉球员乔丹-阿尤拼抢犯规,对手获得控球权.
79'登贝莱为热刺在对方半场,赢得一个任意球.
80'哈顿为阿斯顿维拉赢得一个任意球.
80'热刺球员登贝莱拼抢犯规,对手获得控球权.
81'阿斯顿维拉球员格斯特德手球犯规,对手获得球权.
82'阿斯顿维拉球员莱斯科特一脚直塞球给乔丹-阿尤,但是边裁举旗显示后者已经越位.
83'阿斯顿维拉球员维斯特伍德一脚直塞球给辛克莱尔,但是边裁举旗显示后者已经越位.
84'阿斯顿维拉球员乔丹-阿尤球门左侧小角度右脚射门,命中门柱左侧立柱.给他传球的是奥克雷.
84'阿斯顿维拉球员格斯特德球门线跟前左脚射门,命中门柱横梁.
86'热刺球员凯恩右侧远离球门处小角度尝试右脚射门,可惜皮球高出右上角球门.给他传球的是Tom Carroll.
87'热刺换人,马松换下Dele Alli
87'Kevin Wimmer将球处理出底线,阿斯顿维拉获得角球.
88'阿斯顿维拉球员莱斯科特小禁区左侧左脚射门,命中门柱左侧立柱.给他传球的是格斯特德.
89'哈顿为阿斯顿维拉在右路,赢得一个任意球.
89'热刺球员拉梅拉拼抢犯规,对手获得控球权.
90'热刺换人,查德利换下拉梅拉
90'+4'下半场结束,阿斯顿维拉 0-2 热刺
 全场比赛结束,阿斯顿维拉 0-2 热刺,谢谢各位收看新浪足球直播.
