2'勒沃库森球员拉斯-本德拼抢犯规,对手获得控球权.                   2'开场2分钟，拉菲尼亚远射高出
46'拜仁慕尼黑球员里贝里大禁区中央右脚射门,被防守球员封堵.给他传球的是穆勒.                   46'然而仅过1分钟，勒沃库森就扳平比分，拉尔斯-本德右路弧线球传中被诺伊尔出击单手托出，伯尼施左侧距门7米处小角度补射被诺伊尔伸腿挡出，萨姆中路距门5米处左脚推进空门，1比1
46'托普拉克将球处理出底线,拜仁慕尼黑获得角球.                   46'然而仅过1分钟，勒沃库森就扳平比分，拉尔斯-本德右路弧线球传中被诺伊尔出击单手托出，伯尼施左侧距门7米处小角度补射被诺伊尔伸腿挡出，萨姆中路距门5米处左脚推进空门，1比1
47'斯帕希奇将球处理出底线,拜仁慕尼黑获得角球.                   46'然而仅过1分钟，勒沃库森就扳平比分，拉尔斯-本德右路弧线球传中被诺伊尔出击单手托出，伯尼施左侧距门7米处小角度补射被诺伊尔伸腿挡出，萨姆中路距门5米处左脚推进空门，1比1
49'勒沃库森球员伯尼施拼抢犯规,对手获得控球权.                   46'然而仅过1分钟，勒沃库森就扳平比分，拉尔斯-本德右路弧线球传中被诺伊尔出击单手托出，伯尼施左侧距门7米处小角度补射被诺伊尔伸腿挡出，萨姆中路距门5米处左脚推进空门，1比1
49'沙奇里为拜仁慕尼黑在右路,赢得一个任意球.                   46'然而仅过1分钟，勒沃库森就扳平比分，拉尔斯-本德右路弧线球传中被诺伊尔出击单手托出，伯尼施左侧距门7米处小角度补射被诺伊尔伸腿挡出，萨姆中路距门5米处左脚推进空门，1比1
39'拜仁慕尼黑球员穆勒大禁区中央尝试左脚射门,可惜皮球高出球门.给他传球的是阿拉巴.                   39'第39分钟，又是阿拉巴左路传中，穆勒抢点左脚打高
40'射门!!!拜仁慕尼黑球员沙奇里大禁区外左脚射门,被对方守门员横身扑出.给他传球的是穆勒.                   39'第39分钟，又是阿拉巴左路传中，穆勒抢点左脚打高
40'莱诺将球处理出底线,拜仁慕尼黑获得角球.                   39'第39分钟，又是阿拉巴左路传中，穆勒抢点左脚打高
41'罗尔费斯将球处理出底线,拜仁慕尼黑获得角球.                   39'第39分钟，又是阿拉巴左路传中，穆勒抢点左脚打高
41'莱诺为勒沃库森赢得一个任意球.                   39'第39分钟，又是阿拉巴左路传中，穆勒抢点左脚打高
41'拜仁慕尼黑球员丹特拼抢犯规,对手获得控球权.                   39'第39分钟，又是阿拉巴左路传中，穆勒抢点左脚打高
50'莱诺将球处理出底线,拜仁慕尼黑获得角球.                   50'第50分钟，沙奇里左侧开出角球，丹特在门前7米处头槌被莱诺抱住
50'射门!!!拜仁慕尼黑球员丹特大禁区中央头球,被对方守门员横身扑出.给他传球的是沙奇里.                   50'第50分钟，沙奇里左侧开出角球，丹特在门前7米处头槌被莱诺抱住
52'勒沃库森球员伯尼施拼抢犯规,对手获得控球权.                   50'第50分钟，沙奇里左侧开出角球，丹特在门前7米处头槌被莱诺抱住
52'沙奇里为拜仁慕尼黑在右路,赢得一个任意球.                   50'第50分钟，沙奇里左侧开出角球，丹特在门前7米处头槌被莱诺抱住
52'黄牌！勒沃库森球员伯尼施因为恶意犯规,被主裁判出示黄牌.                   50'第50分钟，沙奇里左侧开出角球，丹特在门前7米处头槌被莱诺抱住
53'萨姆将球处理出底线,拜仁慕尼黑获得角球.                   50'第50分钟，沙奇里左侧开出角球，丹特在门前7米处头槌被莱诺抱住
58'拜仁慕尼黑球员沙奇里大禁区右侧尝试左脚射门,可惜皮球高出球门.给他传球的是里贝里.                   55'第55分钟，沙奇里左侧再开角球，里贝里前点左脚凌空垫射被后卫破坏
63'拜仁慕尼黑球员沙奇里大禁区中央尝试左脚射门,可惜皮球偏出球门.给他传球的是里贝里.                   63'第63分钟，里贝里分到右侧，沙奇里在门前15米处左脚推射稍偏出左门角
64'勒沃库森球员埃姆雷-詹拼抢犯规,对手获得控球权.                   63'第63分钟，里贝里分到右侧，沙奇里在门前15米处左脚推射稍偏出左门角
64'拉菲尼亚为拜仁慕尼黑在右路,赢得一个任意球.                   63'第63分钟，里贝里分到右侧，沙奇里在门前15米处左脚推射稍偏出左门角
65'拜仁慕尼黑球员穆勒大禁区中央头球,被防守球员封堵.给他传球的是阿拉巴.                   63'第63分钟，里贝里分到右侧，沙奇里在门前15米处左脚推射稍偏出左门角
66'伯尼施将球处理出底线,拜仁慕尼黑获得角球.                   63'第63分钟，里贝里分到右侧，沙奇里在门前15米处左脚推射稍偏出左门角
72'拜仁慕尼黑球员罗本大禁区右侧尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是穆勒.                   72'第72分钟，穆勒传球，罗本禁区右侧左脚射门偏出距门
47'斯帕希奇将球处理出底线,拜仁慕尼黑获得角球.                   47'2分钟后，萨姆中场任意球传入禁区，基斯林头球没顶上力量，被诺伊尔得到
49'勒沃库森球员伯尼施拼抢犯规,对手获得控球权.                   47'2分钟后，萨姆中场任意球传入禁区，基斯林头球没顶上力量，被诺伊尔得到
49'沙奇里为拜仁慕尼黑在右路,赢得一个任意球.                   47'2分钟后，萨姆中场任意球传入禁区，基斯林头球没顶上力量，被诺伊尔得到
50'莱诺将球处理出底线,拜仁慕尼黑获得角球.                   47'2分钟后，萨姆中场任意球传入禁区，基斯林头球没顶上力量，被诺伊尔得到
50'射门!!!拜仁慕尼黑球员丹特大禁区中央头球,被对方守门员横身扑出.给他传球的是沙奇里.                   47'2分钟后，萨姆中场任意球传入禁区，基斯林头球没顶上力量，被诺伊尔得到
86'拜仁慕尼黑球员罗本大禁区右侧左脚射门,被防守球员封堵.给他传球的是博阿滕.                   86'第86分钟，罗本禁区右侧左脚推射被挡
88'勒沃库森球员莱诺一脚直塞球给简斯-黑格勒,但是边裁举旗显示后者已经越位.                   86'第86分钟，罗本禁区右侧左脚推射被挡
89'射门!!!拜仁慕尼黑球员罗本大禁区外左脚射门,被对方守门员横身扑出.给他传球的是施魏因斯泰格.                   86'第86分钟，罗本禁区右侧左脚推射被挡
49'勒沃库森球员伯尼施拼抢犯规,对手获得控球权.                   48'补时第3分钟，格策小角度射门被莱诺扑出，里贝里左侧开出角球，小猪在门前7米处冲顶被门线上的多纳蒂破坏
49'沙奇里为拜仁慕尼黑在右路,赢得一个任意球.                   48'补时第3分钟，格策小角度射门被莱诺扑出，里贝里左侧开出角球，小猪在门前7米处冲顶被门线上的多纳蒂破坏
50'莱诺将球处理出底线,拜仁慕尼黑获得角球.                   48'补时第3分钟，格策小角度射门被莱诺扑出，里贝里左侧开出角球，小猪在门前7米处冲顶被门线上的多纳蒂破坏
50'射门!!!拜仁慕尼黑球员丹特大禁区中央头球,被对方守门员横身扑出.给他传球的是沙奇里.                   48'补时第3分钟，格策小角度射门被莱诺扑出，里贝里左侧开出角球，小猪在门前7米处冲顶被门线上的多纳蒂破坏
