2'吕迪格回传大卫路易斯！交给阿斯皮利奎塔！                   1'切尔西第1分钟就控制比赛
16'直传中路阿扎尔！跟威廉二过一配合！                   13'卡拉巴赫第13分钟险些破门，梅德韦杰夫踢墙配合后趟球稍大，另一侧跟进的米歇尔小禁区前抽射憾中横梁弹回，阿尔梅达凌空扫射偏出
16'被看穿了！                   13'卡拉巴赫第13分钟险些破门，梅德韦杰夫踢墙配合后趟球稍大，另一侧跟进的米歇尔小禁区前抽射憾中横梁弹回，阿尔梅达凌空扫射偏出
16'吕迪格拿回球！分中路法布雷加斯！                   13'卡拉巴赫第13分钟险些破门，梅德韦杰夫踢墙配合后趟球稍大，另一侧跟进的米歇尔小禁区前抽射憾中横梁弹回，阿尔梅达凌空扫射偏出
16'直塞禁区右侧！                   13'卡拉巴赫第13分钟险些破门，梅德韦杰夫踢墙配合后趟球稍大，另一侧跟进的米歇尔小禁区前抽射憾中横梁弹回，阿尔梅达凌空扫射偏出
16'被解围出边线！                   13'卡拉巴赫第13分钟险些破门，梅德韦杰夫踢墙配合后趟球稍大，另一侧跟进的米歇尔小禁区前抽射憾中横梁弹回，阿尔梅达凌空扫射偏出
16'坎特中圈拿球！短传阿扎尔！                   13'卡拉巴赫第13分钟险些破门，梅德韦杰夫踢墙配合后趟球稍大，另一侧跟进的米歇尔小禁区前抽射憾中横梁弹回，阿尔梅达凌空扫射偏出
16'推进分法布雷加斯！中路挑传禁区右侧！                   13'卡拉巴赫第13分钟险些破门，梅德韦杰夫踢墙配合后趟球稍大，另一侧跟进的米歇尔小禁区前抽射憾中横梁弹回，阿尔梅达凌空扫射偏出
16'谢希奇出击把球没收！                   13'卡拉巴赫第13分钟险些破门，梅德韦杰夫踢墙配合后趟球稍大，另一侧跟进的米歇尔小禁区前抽射憾中横梁弹回，阿尔梅达凌空扫射偏出
36'梅德维德夫右侧直传前场！                   36'切尔西第36分钟扩大比分，威廉前传，阿扎尔脚后跟妙传，威廉14码处推射入网，2-0
36'米歇尔得球转身！直塞禁区右侧！                   36'切尔西第36分钟扩大比分，威廉前传，阿扎尔脚后跟妙传，威廉14码处推射入网，2-0
36'球给深了！直接出了底线！                   36'切尔西第36分钟扩大比分，威廉前传，阿扎尔脚后跟妙传，威廉14码处推射入网，2-0
36'大卫路易斯推进分法布雷加斯！                   36'切尔西第36分钟扩大比分，威廉前传，阿扎尔脚后跟妙传，威廉14码处推射入网，2-0
36'给右侧阿斯皮利奎塔！分给威廉！                   36'切尔西第36分钟扩大比分，威廉前传，阿扎尔脚后跟妙传，威廉14码处推射入网，2-0
37'直塞禁区中路！阿扎尔得球往右侧带！                   36'切尔西第36分钟扩大比分，威廉前传，阿扎尔脚后跟妙传，威廉14码处推射入网，2-0
37'突然脚后跟横传！                   36'切尔西第36分钟扩大比分，威廉前传，阿扎尔脚后跟妙传，威廉14码处推射入网，2-0
37'威廉跟进单刀推射！！                   36'切尔西第36分钟扩大比分，威廉前传，阿扎尔脚后跟妙传，威廉14码处推射入网，2-0
38'GOOOOOOOOOOOAL!!                   36'切尔西第36分钟扩大比分，威廉前传，阿扎尔脚后跟妙传，威廉14码处推射入网，2-0
39'坎特推进前场！分左侧阿隆索！                   36'切尔西第36分钟扩大比分，威廉前传，阿扎尔脚后跟妙传，威廉14码处推射入网，2-0
39'回传后场吕迪格！交给大卫路易斯！                   36'切尔西第36分钟扩大比分，威廉前传，阿扎尔脚后跟妙传，威廉14码处推射入网，2-0
39'短传阿斯皮利奎塔！回传大卫路易斯！                   36'切尔西第36分钟扩大比分，威廉前传，阿扎尔脚后跟妙传，威廉14码处推射入网，2-0
39'交给吕迪格！分左侧阿隆索！                   36'切尔西第36分钟扩大比分，威廉前传，阿扎尔脚后跟妙传，威廉14码处推射入网，2-0
39'直塞回传坎特！突破底线！                   36'切尔西第36分钟扩大比分，威廉前传，阿扎尔脚后跟妙传，威廉14码处推射入网，2-0
39'球被铲出底线！切尔西左侧角球！                   36'切尔西第36分钟扩大比分，威廉前传，阿扎尔脚后跟妙传，威廉14码处推射入网，2-0
68'裁判哨响！下半场比赛开始了！                   68'第68分钟，吕迪格直传，莫拉塔10码处单刀低射擦左侧立柱偏出
68'切尔西右侧挑传禁区！                   68'第68分钟，吕迪格直传，莫拉塔10码处单刀低射擦左侧立柱偏出
68'佩德罗停球扫射！！                   68'第68分钟，吕迪格直传，莫拉塔10码处单刀低射擦左侧立柱偏出
69'被门将扑出！                   68'第68分钟，吕迪格直传，莫拉塔10码处单刀低射擦左侧立柱偏出
71'阿尔梅达后场推进!                   68'第68分钟，吕迪格直传，莫拉塔10码处单刀低射擦左侧立柱偏出
71'交给米歇尔！回传后场雷岑兹尼亚克！                   68'第68分钟，吕迪格直传，莫拉塔10码处单刀低射擦左侧立柱偏出
71'分中场右侧盖里耶！推进前场！                   68'第68分钟，吕迪格直传，莫拉塔10码处单刀低射擦左侧立柱偏出
68'卡拉巴赫反击！给前场左侧！                   68'第68分钟，吕迪格直传，莫拉塔10码处单刀低射擦左侧立柱偏出
68'阿尔梅达越位了！                   68'第68分钟，吕迪格直传，莫拉塔10码处单刀低射擦左侧立柱偏出
68'法布雷加斯中路短传威廉！                   68'第68分钟，吕迪格直传，莫拉塔10码处单刀低射擦左侧立柱偏出
68'分坎特！给左侧阿斯皮利奎塔！                   68'第68分钟，吕迪格直传，莫拉塔10码处单刀低射擦左侧立柱偏出
68'回传坎特！给中路法布雷加斯！                   68'第68分钟，吕迪格直传，莫拉塔10码处单刀低射擦左侧立柱偏出
69'分右侧吕迪格！直塞禁区右侧！                   68'第68分钟，吕迪格直传，莫拉塔10码处单刀低射擦左侧立柱偏出
69'莫拉塔单刀了！                   68'第68分钟，吕迪格直传，莫拉塔10码处单刀低射擦左侧立柱偏出
69'面对门将转身扫射！！                   68'第68分钟，吕迪格直传，莫拉塔10码处单刀低射擦左侧立柱偏出
69'擦着左侧立柱出了底线！！                   68'第68分钟，吕迪格直传，莫拉塔10码处单刀低射擦左侧立柱偏出
69'吕迪格回传中圈大卫路易斯！给左侧卡希尔！                   68'第68分钟，吕迪格直传，莫拉塔10码处单刀低射擦左侧立柱偏出
70'回传大卫路易斯！推进分左侧卡希尔！                   68'第68分钟，吕迪格直传，莫拉塔10码处单刀低射擦左侧立柱偏出
70'直传左侧阿斯皮利奎塔！分莫拉塔！                   68'第68分钟，吕迪格直传，莫拉塔10码处单刀低射擦左侧立柱偏出
70'回传后场大卫路易斯！给右侧吕迪格！                   68'第68分钟，吕迪格直传，莫拉塔10码处单刀低射擦左侧立柱偏出
70'直传给莫拉塔！脚后跟回传威廉！                   68'第68分钟，吕迪格直传，莫拉塔10码处单刀低射擦左侧立柱偏出
70'直塞禁区左侧！                   68'第68分钟，吕迪格直传，莫拉塔10码处单刀低射擦左侧立柱偏出
70'阿斯皮利奎塔得球单刀！                   68'第68分钟，吕迪格直传，莫拉塔10码处单刀低射擦左侧立柱偏出
71'没有射！分右侧跟进的莫拉塔！                   68'第68分钟，吕迪格直传，莫拉塔10码处单刀低射擦左侧立柱偏出
71'推射空门！！                   68'第68分钟，吕迪格直传，莫拉塔10码处单刀低射擦左侧立柱偏出
71'球进！但是阿斯皮利奎塔拿球就越位了！                   68'第68分钟，吕迪格直传，莫拉塔10码处单刀低射擦左侧立柱偏出
71'禁区无效！                   68'第68分钟，吕迪格直传，莫拉塔10码处单刀低射擦左侧立柱偏出
74'切尔西换人！卡希尔换下阿隆索！                   73'第73分钟，卡拉耶夫禁区内失误后拉扯威廉犯规，小法射入点球因队友抢先进入禁区而被判无效，小法点球重罚再射左下角入网，3-0
73'法布雷加斯助跑！点球破门！但是无效！有人提前进禁区！                   73'第73分钟，卡拉耶夫禁区内失误后拉扯威廉犯规，小法射入点球因队友抢先进入禁区而被判无效，小法点球重罚再射左下角入网，3-0
73'法布雷加斯重新主罚！                   73'第73分钟，卡拉耶夫禁区内失误后拉扯威廉犯规，小法射入点球因队友抢先进入禁区而被判无效，小法点球重罚再射左下角入网，3-0
73'推射左下角！                   73'第73分钟，卡拉耶夫禁区内失误后拉扯威廉犯规，小法射入点球因队友抢先进入禁区而被判无效，小法点球重罚再射左下角入网，3-0
73'谢希奇飞身扑救！                   73'第73分钟，卡拉耶夫禁区内失误后拉扯威廉犯规，小法射入点球因队友抢先进入禁区而被判无效，小法点球重罚再射左下角入网，3-0
74'鞭长莫及！GOOOOOOOOOOOOOAL！！                   73'第73分钟，卡拉耶夫禁区内失误后拉扯威廉犯规，小法射入点球因队友抢先进入禁区而被判无效，小法点球重罚再射左下角入网，3-0
74'大卫路易斯分右侧吕迪格！推进中场！                   73'第73分钟，卡拉耶夫禁区内失误后拉扯威廉犯规，小法射入点球因队友抢先进入禁区而被判无效，小法点球重罚再射左下角入网，3-0
74'回传大卫路易斯！                   73'第73分钟，卡拉耶夫禁区内失误后拉扯威廉犯规，小法射入点球因队友抢先进入禁区而被判无效，小法点球重罚再射左下角入网，3-0
74'给左侧阿斯皮利奎塔！直塞禁区左侧！                   73'第73分钟，卡拉耶夫禁区内失误后拉扯威廉犯规，小法射入点球因队友抢先进入禁区而被判无效，小法点球重罚再射左下角入网，3-0
74'佩德罗腿太短碰不到！                   73'第73分钟，卡拉耶夫禁区内失误后拉扯威廉犯规，小法射入点球因队友抢先进入禁区而被判无效，小法点球重罚再射左下角入网，3-0
75'球出了底线！                   73'第73分钟，卡拉耶夫禁区内失误后拉扯威廉犯规，小法射入点球因队友抢先进入禁区而被判无效，小法点球重罚再射左下角入网，3-0
76'切尔西换人！德林沃克换下坎特！                   73'第73分钟，卡拉耶夫禁区内失误后拉扯威廉犯规，小法射入点球因队友抢先进入禁区而被判无效，小法点球重罚再射左下角入网，3-0
76'卡希尔后场横传吕迪格！                   73'第73分钟，卡拉耶夫禁区内失误后拉扯威廉犯规，小法射入点球因队友抢先进入禁区而被判无效，小法点球重罚再射左下角入网，3-0
76'这次中路莫拉塔！分给威廉！                   73'第73分钟，卡拉耶夫禁区内失误后拉扯威廉犯规，小法射入点球因队友抢先进入禁区而被判无效，小法点球重罚再射左下角入网，3-0
76'给左侧阿斯皮利奎塔！回传给德林沃克！                   73'第73分钟，卡拉耶夫禁区内失误后拉扯威廉犯规，小法射入点球因队友抢先进入禁区而被判无效，小法点球重罚再射左下角入网，3-0
76'直传禁区内！莫拉塔停球扫射！                   73'第73分钟，卡拉耶夫禁区内失误后拉扯威廉犯规，小法射入点球因队友抢先进入禁区而被判无效，小法点球重罚再射左下角入网，3-0
76'被扑出去！                   73'第73分钟，卡拉耶夫禁区内失误后拉扯威廉犯规，小法射入点球因队友抢先进入禁区而被判无效，小法点球重罚再射左下角入网，3-0
85'分莫拉塔被断！阿尔梅达反击分球失误！                   85'第85分钟，佩德罗传球，威廉突破至禁区弧边缘抽射，皮球贴右侧立柱入网，4-0
85'佩德罗分中路威廉！带弧顶！                   85'第85分钟，佩德罗传球，威廉突破至禁区弧边缘抽射，皮球贴右侧立柱入网，4-0
85'晃开防守！直接弯弓射大雕！！                   85'第85分钟，佩德罗传球，威廉突破至禁区弧边缘抽射，皮球贴右侧立柱入网，4-0
85'球直奔右下角！！                   85'第85分钟，佩德罗传球，威廉突破至禁区弧边缘抽射，皮球贴右侧立柱入网，4-0
85'GOOOOOOOOOOOOOOOOAL！！                   85'第85分钟，佩德罗传球，威廉突破至禁区弧边缘抽射，皮球贴右侧立柱入网，4-0
86'时间已经85分钟了！                   85'第85分钟，佩德罗传球，威廉突破至禁区弧边缘抽射，皮球贴右侧立柱入网，4-0
86'阿尔梅达后场推进！                   85'第85分钟，佩德罗传球，威廉突破至禁区弧边缘抽射，皮球贴右侧立柱入网，4-0
86'回传给梅德维德夫！                   85'第85分钟，佩德罗传球，威廉突破至禁区弧边缘抽射，皮球贴右侧立柱入网，4-0
86'分左侧理查德！                   85'第85分钟，佩德罗传球，威廉突破至禁区弧边缘抽射，皮球贴右侧立柱入网，4-0
86'分中路泽尼萨克！                   85'第85分钟，佩德罗传球，威廉突破至禁区弧边缘抽射，皮球贴右侧立柱入网，4-0
87'斜传前场左侧！迪尼耶夫得球回传！                   85'第85分钟，佩德罗传球，威廉突破至禁区弧边缘抽射，皮球贴右侧立柱入网，4-0
87'理查德得球分米歇尔！交给迪尼耶夫！                   85'第85分钟，佩德罗传球，威廉突破至禁区弧边缘抽射，皮球贴右侧立柱入网，4-0
87'推进右侧！失误了！                   85'第85分钟，佩德罗传球，威廉突破至禁区弧边缘抽射，皮球贴右侧立柱入网，4-0
87'威廉反击！直塞前场！                   85'第85分钟，佩德罗传球，威廉突破至禁区弧边缘抽射，皮球贴右侧立柱入网，4-0
87'莫拉塔左侧得球！突入禁区！                   85'第85分钟，佩德罗传球，威廉突破至禁区弧边缘抽射，皮球贴右侧立柱入网，4-0
87'被解围出去！                   85'第85分钟，佩德罗传球，威廉突破至禁区弧边缘抽射，皮球贴右侧立柱入网，4-0
88'迪尼耶夫外围得球！                   85'第85分钟，佩德罗传球，威廉突破至禁区弧边缘抽射，皮球贴右侧立柱入网，4-0
88'给左侧理查德！回传梅德维德夫！                   85'第85分钟，佩德罗传球，威廉突破至禁区弧边缘抽射，皮球贴右侧立柱入网，4-0
88'直塞中路迪尼耶夫！分右侧梅德维德夫！                   85'第85分钟，佩德罗传球，威廉突破至禁区弧边缘抽射，皮球贴右侧立柱入网，4-0
88'横传中路！法布雷加斯破坏出去！                   85'第85分钟，佩德罗传球，威廉突破至禁区弧边缘抽射，皮球贴右侧立柱入网，4-0
88'泽尼萨克右侧转移中路理查德！                   85'第85分钟，佩德罗传球，威廉突破至禁区弧边缘抽射，皮球贴右侧立柱入网，4-0
88'转移右侧梅德维德夫！                   85'第85分钟，佩德罗传球，威廉突破至禁区弧边缘抽射，皮球贴右侧立柱入网，4-0
