1'上半场比赛开始！！                   1'利物浦第1分钟连续施压，斯图里奇禁区右上角外的任意球直接射门离谱高出
62'战术角球开出，斯图里奇右路拿球，底线内切，传中到后点                   61'第61分钟，拉拉纳直传，斯图里奇禁区右肋12码处射门被贝戈维奇神勇扑出，斯图里奇战术角球连续晃过小法后传中，图雷小禁区外的头球攻门被贝戈维奇摘下
62'科洛-图雷抢点头球，顶高！！                   61'第61分钟，拉拉纳直传，斯图里奇禁区右肋12码处射门被贝戈维奇神勇扑出，斯图里奇战术角球连续晃过小法后传中，图雷小禁区外的头球攻门被贝戈维奇摘下
63'马蒂奇中场拿球，大范围转移球到右路找阿斯皮利奎塔                   61'第61分钟，拉拉纳直传，斯图里奇禁区右肋12码处射门被贝戈维奇神勇扑出，斯图里奇战术角球连续晃过小法后传中，图雷小禁区外的头球攻门被贝戈维奇摘下
63'阿斯皮利奎塔再给中间的小法，小法再分马蒂奇                   61'第61分钟，拉拉纳直传，斯图里奇禁区右肋12码处射门被贝戈维奇神勇扑出，斯图里奇战术角球连续晃过小法后传中，图雷小禁区外的头球攻门被贝戈维奇摘下
64'马蒂奇再给左侧的肯尼迪，肯尼迪斜传禁区，第一点被利物浦球员解围！                   61'第61分钟，拉拉纳直传，斯图里奇禁区右肋12码处射门被贝戈维奇神勇扑出，斯图里奇战术角球连续晃过小法后传中，图雷小禁区外的头球攻门被贝戈维奇摘下
64'拉拉纳前场左路拿球，面对阿斯皮利奎塔                   61'第61分钟，拉拉纳直传，斯图里奇禁区右肋12码处射门被贝戈维奇神勇扑出，斯图里奇战术角球连续晃过小法后传中，图雷小禁区外的头球攻门被贝戈维奇摘下
64'挑传给到接应的米尔纳，米尔纳停球转身，下底传中，被马蒂奇挡出底线！！                   61'第61分钟，拉拉纳直传，斯图里奇禁区右肋12码处射门被贝戈维奇神勇扑出，斯图里奇战术角球连续晃过小法后传中，图雷小禁区外的头球攻门被贝戈维奇摘下
92'1-1！！！                   92'红军直到第92分钟扳平，替补出场的奥乔左路传中，贝戈维奇接球脱手失误，本特克轻松顶入空门，1-1
92'本特克的进球！！                   92'红军直到第92分钟扳平，替补出场的奥乔左路传中，贝戈维奇接球脱手失误，本特克轻松顶入空门，1-1
92'此时此刻值得来杯嘉士伯！！！！                   92'红军直到第92分钟扳平，替补出场的奥乔左路传中，贝戈维奇接球脱手失误，本特克轻松顶入空门，1-1
93'利物浦前场进攻，左路传中到后点，本特克高高跃起，头球顶进网窝！！                   92'红军直到第92分钟扳平，替补出场的奥乔左路传中，贝戈维奇接球脱手失误，本特克轻松顶入空门，1-1
93'切尔西第三次换人：36号切克上，换下17号佩德罗！                   92'红军直到第92分钟扳平，替补出场的奥乔左路传中，贝戈维奇接球脱手失误，本特克轻松顶入空门，1-1
94'利物浦的不服输的精气神再次体现了出来！！补时扳平！！                   92'红军直到第92分钟扳平，替补出场的奥乔左路传中，贝戈维奇接球脱手失误，本特克轻松顶入空门，1-1
94'乔-阿伦和肯尼迪在中线位置发生了摩擦，互相推搡！！                   92'红军直到第92分钟扳平，替补出场的奥乔左路传中，贝戈维奇接球脱手失误，本特克轻松顶入空门，1-1
95'拉赫曼上来，及时将球两人劝开！！                   92'红军直到第92分钟扳平，替补出场的奥乔左路传中，贝戈维奇接球脱手失误，本特克轻松顶入空门，1-1
