3'山东鲁能队前场迭球，刘彬彬分球，郑铮的传 中球被防守队员顶了出来                   3'但上赛季，山东鲁能3-0领先情况下被富力队最后15分钟连追三球
54'山东鲁能队左路直传球，刘彬彬快速追赶，球还是出了底线                   51'第51分钟，汪强在拼抢中面部出血无法坚持，被担架抬下场，之后，赵明剑替补汪强登场
54'后场广州富力队得球大脚长传，奥拉纳尔顶到了，球出边线                   51'第51分钟，汪强在拼抢中面部出血无法坚持，被担架抬下场，之后，赵明剑替补汪强登场
59'刘彬彬左路突破回传王永珀，再传直传球，郑铮横传禁区，阿洛伊西奥头球顶门有故意手球                   59'第59分钟，阿洛伊西奥抢点时故意手球，被黄牌警告
59'主裁判给阿洛伊西奥出示了黄牌                   59'第59分钟，阿洛伊西奥抢点时故意手球，被黄牌警告
60'后场乌索断球，直传给蒙蒂略，后者连续过人，最终丢球啦                   59'第59分钟，阿洛伊西奥抢点时故意手球，被黄牌警告
60'王永珀中路突破分到右路，蒿俊闵下底横传，刘殿座把球没收                   59'第59分钟，阿洛伊西奥抢点时故意手球，被黄牌警告
60'广州富力队要换上米切尔                   59'第59分钟，阿洛伊西奥抢点时故意手球，被黄牌警告
61'奥拉纳尔又爱伤坐在地上                   59'第59分钟，阿洛伊西奥抢点时故意手球，被黄牌警告
61'奥拉纳尔的肩部受伤，被换下，换上了米切尔                   59'第59分钟，阿洛伊西奥抢点时故意手球，被黄牌警告
62'姜至鹏发界外球，有拖时间的意思，主裁判给他出示了黄牌                   59'第59分钟，阿洛伊西奥抢点时故意手球，被黄牌警告
62'吃牌子后姜至鹏故意摔球，这是个吃牌的动作，主裁判手下留情啦                   59'第59分钟，阿洛伊西奥抢点时故意手球，被黄牌警告
62'姜宁在前场抢球犯规                   59'第59分钟，阿洛伊西奥抢点时故意手球，被黄牌警告
66'山东鲁能队传球到禁区内，阿洛伊西奥抢点转身晃过门将，打门时被后卫挡住，阿洛伊西奥示意对方手球啦，但裁判只吹了角球！                   66'第66分钟，山东鲁能长传进攻，杨旭头球一蹭，阿洛伊西奥抗住门将转身射门被对方用手挡出，但是主裁判并未判罚点球，引发山东鲁能球员及球迷不满
67'山东鲁能队进球啦！！乌索！1-1                   66'第66分钟，山东鲁能长传进攻，杨旭头球一蹭，阿洛伊西奥抗住门将转身射门被对方用手挡出，但是主裁判并未判罚点球，引发山东鲁能球员及球迷不满
67'刘彬彬左路横传禁区后点，山东鲁能队多箭齐发，乌索抢点头球顶门，皮球弹地进入网内！！                   66'第66分钟，山东鲁能长传进攻，杨旭头球一蹭，阿洛伊西奥抗住门将转身射门被对方用手挡出，但是主裁判并未判罚点球，引发山东鲁能球员及球迷不满
68'广州富力队换人：张远上场换下常飞亚！                   66'第66分钟，山东鲁能长传进攻，杨旭头球一蹭，阿洛伊西奥抗住门将转身射门被对方用手挡出，但是主裁判并未判罚点球，引发山东鲁能球员及球迷不满
68'下半场山东鲁能队先进球！！您猜对了吗？                   66'第66分钟，山东鲁能长传进攻，杨旭头球一蹭，阿洛伊西奥抗住门将转身射门被对方用手挡出，但是主裁判并未判罚点球，引发山东鲁能球员及球迷不满
68'[互动话题]目前双方战成1-1，大家预测一下最终结果！A、鲁能胜 B、富力胜 C、战平！[qiangda]                   66'第66分钟，山东鲁能长传进攻，杨旭头球一蹭，阿洛伊西奥抗住门将转身射门被对方用手挡出，但是主裁判并未判罚点球，引发山东鲁能球员及球迷不满
69'刘彬彬左路斜传禁区，刘殿座把球没收                   66'第66分钟，山东鲁能长传进攻，杨旭头球一蹭，阿洛伊西奥抗住门将转身射门被对方用手挡出，但是主裁判并未判罚点球，引发山东鲁能球员及球迷不满
70'阿洛伊西奥左路突破到禁区内，打门被挡出来！阿洛伊西奥得球再次突破，倒在地上！！                   70'第70分钟，阿洛伊西奥突入禁区与防守队员接触后倒地，主裁判非但没有判罚点球，还给了阿洛伊西奥一张黄牌，结果“野牛”两黄变一红被罚下场
70'主裁判走到阿洛伊西奥跟前，给阿洛伊西奥出示了黄牌！！两黄变成红牌！，被罚下啦！                   70'第70分钟，阿洛伊西奥突入禁区与防守队员接触后倒地，主裁判非但没有判罚点球，还给了阿洛伊西奥一张黄牌，结果“野牛”两黄变一红被罚下场
70'这对山东鲁能队来说非常不利啦！！少一人                   70'第70分钟，阿洛伊西奥突入禁区与防守队员接触后倒地，主裁判非但没有判罚点球，还给了阿洛伊西奥一张黄牌，结果“野牛”两黄变一红被罚下场
71'山东鲁能队长传球，杨旭突破到禁区内，对方两人关门把球抢断下来                   70'第70分钟，阿洛伊西奥突入禁区与防守队员接触后倒地，主裁判非但没有判罚点球，还给了阿洛伊西奥一张黄牌，结果“野牛”两黄变一红被罚下场
71'广州富力队左路突破，被王永珀把球抢断下来                   70'第70分钟，阿洛伊西奥突入禁区与防守队员接触后倒地，主裁判非但没有判罚点球，还给了阿洛伊西奥一张黄牌，结果“野牛”两黄变一红被罚下场
72'广州富力队直传球，姜宁没有停好，山东鲁能队断球反击                   70'第70分钟，阿洛伊西奥突入禁区与防守队员接触后倒地，主裁判非但没有判罚点球，还给了阿洛伊西奥一张黄牌，结果“野牛”两黄变一红被罚下场
72'赵明剑攻过了中场，丢球啦                   70'第70分钟，阿洛伊西奥突入禁区与防守队员接触后倒地，主裁判非但没有判罚点球，还给了阿洛伊西奥一张黄牌，结果“野牛”两黄变一红被罚下场
73'蒙蒂略被扶着走出赛场，看来要去检查一下！                   70'第70分钟，阿洛伊西奥突入禁区与防守队员接触后倒地，主裁判非但没有判罚点球，还给了阿洛伊西奥一张黄牌，结果“野牛”两黄变一红被罚下场
73'蒙蒂略上了救护车，被拉走啦！                   70'第70分钟，阿洛伊西奥突入禁区与防守队员接触后倒地，主裁判非但没有判罚点球，还给了阿洛伊西奥一张黄牌，结果“野牛”两黄变一红被罚下场
73'广州富力队左路下底横传，王大雷没收                   70'第70分钟，阿洛伊西奥突入禁区与防守队员接触后倒地，主裁判非但没有判罚点球，还给了阿洛伊西奥一张黄牌，结果“野牛”两黄变一红被罚下场
84'汪嵩突破，被蒿俊闵放倒，广州富力队得到前场任意球机会                   84'第84分钟，广州富力获得任意球，姜宁操刀主罚直奔远角，原本站在远角的王大雷滑倒，直接导致失球，山东鲁能1-2落后
84'任意球发出来，渍突破被蒿俊闵放倒，这次任意球的位置更靠前啦                   84'第84分钟，广州富力获得任意球，姜宁操刀主罚直奔远角，原本站在远角的王大雷滑倒，直接导致失球，山东鲁能1-2落后
85'广州富力队进球啦，姜宁，2-1                   84'第84分钟，广州富力获得任意球，姜宁操刀主罚直奔远角，原本站在远角的王大雷滑倒，直接导致失球，山东鲁能1-2落后
85'姜宁发任意球直接打门，皮球划出一道漂亮的弧线直接从后点进入网内！王大雷脚下打滑啦！                   84'第84分钟，广州富力获得任意球，姜宁操刀主罚直奔远角，原本站在远角的王大雷滑倒，直接导致失球，山东鲁能1-2落后
86'后场广州富力队断球，左路攻到前场，被断啦                   84'第84分钟，广州富力获得任意球，姜宁操刀主罚直奔远角，原本站在远角的王大雷滑倒，直接导致失球，山东鲁能1-2落后
86'王永珀大脚传球到前场左路                   84'第84分钟，广州富力获得任意球，姜宁操刀主罚直奔远角，原本站在远角的王大雷滑倒，直接导致失球，山东鲁能1-2落后
86'山东鲁能队左路横传，对方解围                   84'第84分钟，广州富力获得任意球，姜宁操刀主罚直奔远角，原本站在远角的王大雷滑倒，直接导致失球，山东鲁能1-2落后
86'乌索右路挑块球，太高啦，张文钊够不到                   84'第84分钟，广州富力获得任意球，姜宁操刀主罚直奔远角，原本站在远角的王大雷滑倒，直接导致失球，山东鲁能1-2落后
87'叶楚贵在前场左路拿球，丢球后倒地转身用手抢球，犯规                   84'第84分钟，广州富力获得任意球，姜宁操刀主罚直奔远角，原本站在远角的王大雷滑倒，直接导致失球，山东鲁能1-2落后
87'山东鲁能队攻到前场，直传禁区，张耀坤把球破坏                   84'第84分钟，广州富力获得任意球，姜宁操刀主罚直奔远角，原本站在远角的王大雷滑倒，直接导致失球，山东鲁能1-2落后
87'张文钊右路强突，在对方的防守下横传球直接传出底线                   84'第84分钟，广州富力获得任意球，姜宁操刀主罚直奔远角，原本站在远角的王大雷滑倒，直接导致失球，山东鲁能1-2落后
