10'裴帅后场停球失误，手球                   10'第10分钟，亚泰后场起高球长传，拉斐尔在孙继海干扰下未能将球控制在脚下
41'米西左路和于海的配合，米西横传                   38'第38分钟，亚泰在中圈处断球成功发起快速反击，经验老道的孙继海在门将倒地失去的对球的控制后将球巧妙解围处危险区域
41'打穿了亚泰两人防线，可惜于海前插太慢                   38'第38分钟，亚泰在中圈处断球成功发起快速反击，经验老道的孙继海在门将倒地失去的对球的控制后将球巧妙解围处危险区域
41'张成林中圈位置争抢中放倒了曹添堡                   38'第38分钟，亚泰在中圈处断球成功发起快速反击，经验老道的孙继海在门将倒地失去的对球的控制后将球巧妙解围处危险区域
46'孙捷分边给上来的张笑飞，张笑飞的突破赢得角球机会                   46'经过1分钟的伤停补时，两队稍显沉闷的上半场比赛结束
46'战术角球开出，张笑飞迎球一脚抽射，被后卫挡出                   46'经过1分钟的伤停补时，两队稍显沉闷的上半场比赛结束
46'下半场比赛开始，人和开球                   46'经过1分钟的伤停补时，两队稍显沉闷的上半场比赛结束
46'人和转移球到左前场，直接出了边线                   46'经过1分钟的伤停补时，两队稍显沉闷的上半场比赛结束
47'萨利后场和贝奇拉耶争抢时，撞倒了贝奇拉耶                   46'经过1分钟的伤停补时，两队稍显沉闷的上半场比赛结束
47'贝奇拉耶很痛苦的倒在地上，队医进场处理                   46'经过1分钟的伤停补时，两队稍显沉闷的上半场比赛结束
48'萨利后场拿球，斜传给到张成林                   46'经过1分钟的伤停补时，两队稍显沉闷的上半场比赛结束
48'人和中场传球失误，亚泰的反击                   46'经过1分钟的伤停补时，两队稍显沉闷的上半场比赛结束
48'贝奇拉耶带球，进入禁区，摔倒啦                   46'经过1分钟的伤停补时，两队稍显沉闷的上半场比赛结束
48'主裁怕没有表示，球被人和球员控制                   46'经过1分钟的伤停补时，两队稍显沉闷的上半场比赛结束
49'孙继海后场带球，过了中线，分边给饶伟辉                   46'经过1分钟的伤停补时，两队稍显沉闷的上半场比赛结束
49'饶伟辉的斜传找尤里，越位在先                   46'经过1分钟的伤停补时，两队稍显沉闷的上半场比赛结束
48'萨利后场拿球，斜传给到张成林                   48'第48分钟，贝切莱带球突入禁区后摔倒，主裁判艾沂疽獗热继续
48'人和中场传球失误，亚泰的反击                   48'第48分钟，贝切莱带球突入禁区后摔倒，主裁判艾沂疽獗热继续
48'贝奇拉耶带球，进入禁区，摔倒啦                   48'第48分钟，贝切莱带球突入禁区后摔倒，主裁判艾沂疽獗热继续
48'主裁怕没有表示，球被人和球员控制                   48'第48分钟，贝切莱带球突入禁区后摔倒，主裁判艾沂疽獗热继续
49'孙继海后场带球，过了中线，分边给饶伟辉                   48'第48分钟，贝切莱带球突入禁区后摔倒，主裁判艾沂疽獗热继续
49'饶伟辉的斜传找尤里，越位在先                   48'第48分钟，贝切莱带球突入禁区后摔倒，主裁判艾沂疽獗热继续
50'马辛斯基中圈拿球，分边右路给张成林                   48'第48分钟，贝切莱带球突入禁区后摔倒，主裁判艾沂疽獗热继续
51'张成林的转移球失误，亚泰反击                   48'第48分钟，贝切莱带球突入禁区后摔倒，主裁判艾沂疽獗热继续
51'埃尼尼奥拿球强突，下底内切时被萨利解围出底线                   48'第48分钟，贝切莱带球突入禁区后摔倒，主裁判艾沂疽獗热继续
57'亚泰抢断反击，机会啊                   57'第57分钟，亚泰获得破门良机，在以少打多的有利局面下，贝切莱妙传埃尼奥，后者停球过于靠近球门，被及时出击的张烈倒地将球解围，随后张笑飞的直接任意球攻门再次迫使张烈做出飞身扑救
57'贝奇拉耶转移球给到埃尼尼奥                   57'第57分钟，亚泰获得破门良机，在以少打多的有利局面下，贝切莱妙传埃尼奥，后者停球过于靠近球门，被及时出击的张烈倒地将球解围，随后张笑飞的直接任意球攻门再次迫使张烈做出飞身扑救
57'停球不好，被张烈出击将球破坏                   57'第57分钟，亚泰获得破门良机，在以少打多的有利局面下，贝切莱妙传埃尼奥，后者停球过于靠近球门，被及时出击的张烈倒地将球解围，随后张笑飞的直接任意球攻门再次迫使张烈做出飞身扑救
58'多么好的一次机会，可惜了啊                   57'第57分钟，亚泰获得破门良机，在以少打多的有利局面下，贝切莱妙传埃尼奥，后者停球过于靠近球门，被及时出击的张烈倒地将球解围，随后张笑飞的直接任意球攻门再次迫使张烈做出飞身扑救
58'亚泰的前场进攻赢得任意球机会                   57'第57分钟，亚泰获得破门良机，在以少打多的有利局面下，贝切莱妙传埃尼奥，后者停球过于靠近球门，被及时出击的张烈倒地将球解围，随后张笑飞的直接任意球攻门再次迫使张烈做出飞身扑救
58'张笑飞任意球绕过人墙，张烈双拳将球打出                   57'第57分钟，亚泰获得破门良机，在以少打多的有利局面下，贝切莱妙传埃尼奥，后者停球过于靠近球门，被及时出击的张烈倒地将球解围，随后张笑飞的直接任意球攻门再次迫使张烈做出飞身扑救
59'吕建军右路带球下底，可惜自己趟球过大                   57'第57分钟，亚泰获得破门良机，在以少打多的有利局面下，贝切莱妙传埃尼奥，后者停球过于靠近球门，被及时出击的张烈倒地将球解围，随后张笑飞的直接任意球攻门再次迫使张烈做出飞身扑救
59'张笑飞的转移球到禁区，张烈出击轻松拿到                   57'第57分钟，亚泰获得破门良机，在以少打多的有利局面下，贝切莱妙传埃尼奥，后者停球过于靠近球门，被及时出击的张烈倒地将球解围，随后张笑飞的直接任意球攻门再次迫使张烈做出飞身扑救
60'亚泰今天打了人和几个反击，可惜都没把握住                   57'第57分钟，亚泰获得破门良机，在以少打多的有利局面下，贝切莱妙传埃尼奥，后者停球过于靠近球门，被及时出击的张烈倒地将球解围，随后张笑飞的直接任意球攻门再次迫使张烈做出飞身扑救
60'而一向擅长打反击的人和，目前来看反击机会并不多，只有尤里的一次，没把握住                   57'第57分钟，亚泰获得破门良机，在以少打多的有利局面下，贝切莱妙传埃尼奥，后者停球过于靠近球门，被及时出击的张烈倒地将球解围，随后张笑飞的直接任意球攻门再次迫使张烈做出飞身扑救
60'亚泰中场抢断，反击中                   57'第57分钟，亚泰获得破门良机，在以少打多的有利局面下，贝切莱妙传埃尼奥，后者停球过于靠近球门，被及时出击的张烈倒地将球解围，随后张笑飞的直接任意球攻门再次迫使张烈做出飞身扑救
51'张成林的转移球失误，亚泰反击                   51'6分钟后，人和前场打出娴熟配合，伊斯梅洛夫在任何球员起脚瞬间将球踢出底线
51'埃尼尼奥拿球强突，下底内切时被萨利解围出底线                   51'6分钟后，人和前场打出娴熟配合，伊斯梅洛夫在任何球员起脚瞬间将球踢出底线
52'亚泰获得左侧角球机会，埃尼尼奥主罚                   51'6分钟后，人和前场打出娴熟配合，伊斯梅洛夫在任何球员起脚瞬间将球踢出底线
52'角球开出到后点，混战中，曹添堡的抢点被吹冲撞门将在先                   51'6分钟后，人和前场打出娴熟配合，伊斯梅洛夫在任何球员起脚瞬间将球踢出底线
53'手机用户3259419080 :亚泰2比1加油（这都是0-0啊，三个进球啥时来）                   51'6分钟后，人和前场打出娴熟配合，伊斯梅洛夫在任何球员起脚瞬间将球踢出底线
53'人和进攻赢得右侧角球，米西主罚                   51'6分钟后，人和前场打出娴熟配合，伊斯梅洛夫在任何球员起脚瞬间将球踢出底线
53'角球开出到点球点附近，陈子介的争顶被吹犯规                   51'6分钟后，人和前场打出娴熟配合，伊斯梅洛夫在任何球员起脚瞬间将球踢出底线
54'下半场已经10分钟，比分还是0-0                   51'6分钟后，人和前场打出娴熟配合，伊斯梅洛夫在任何球员起脚瞬间将球踢出底线
75'下半场30分钟，比分还是0-0                   75'第75分钟，米西莫维奇在宋振瑜发球时偷袭将球送入亚泰网窝，主裁判吹罚米西莫维奇干扰门将进球无效
75'从目前场面来看，这样的比分双方好像都可以接受似的                   75'第75分钟，米西莫维奇在宋振瑜发球时偷袭将球送入亚泰网窝，主裁判吹罚米西莫维奇干扰门将进球无效
76'宋振瑜发门球，抛球，米西上来伸脚一捅                   75'第75分钟，米西莫维奇在宋振瑜发球时偷袭将球送入亚泰网窝，主裁判吹罚米西莫维奇干扰门将进球无效
76'宋振瑜再出手去抱，没拿住，米西停球直接打门，进网，不过无效的                   75'第75分钟，米西莫维奇在宋振瑜发球时偷袭将球送入亚泰网窝，主裁判吹罚米西莫维奇干扰门将进球无效
77'慢镜回放显示：宋振瑜再将球抛出准备大脚时，又有个伸手抱球的动作，还是没出其控制范围                   75'第75分钟，米西莫维奇在宋振瑜发球时偷袭将球送入亚泰网窝，主裁判吹罚米西莫维奇干扰门将进球无效
77'亚泰前场进攻赢得任意球                   75'第75分钟，米西莫维奇在宋振瑜发球时偷袭将球送入亚泰网窝，主裁判吹罚米西莫维奇干扰门将进球无效
78'任意球开出进网，曹添堡的打门被后卫一挡                   75'第75分钟，米西莫维奇在宋振瑜发球时偷袭将球送入亚泰网窝，主裁判吹罚米西莫维奇干扰门将进球无效
78'曹添堡再射，后点的伊斯梅洛夫推射破门，不过边裁举旗，越位在先，进球无效！！！                   75'第75分钟，米西莫维奇在宋振瑜发球时偷袭将球送入亚泰网窝，主裁判吹罚米西莫维奇干扰门将进球无效
80'人和换人：久疏战场的穆斯利出场，换下米西                   80'第80分钟，贵州人和用穆斯利换下了米西莫维奇
80'亚冠首轮受伤后，穆斯利已经缺席好久，此战是其复出第一战哦                   80'第80分钟，贵州人和用穆斯利换下了米西莫维奇
81'全场比赛80分钟，比分还是0-0                   80'第80分钟，贵州人和用穆斯利换下了米西莫维奇
81'亚泰前场配合失误，饶伟辉抢断                   80'第80分钟，贵州人和用穆斯利换下了米西莫维奇
81'饶伟辉边路拿球，人球分过，吕建军回防拉人犯规                   80'第80分钟，贵州人和用穆斯利换下了米西莫维奇
82'亚泰后场抢断，回传宋振瑜，控制下节奏                   80'第80分钟，贵州人和用穆斯利换下了米西莫维奇
82'拉斐尔左路挑传禁区，孙继海头球解围                   80'第80分钟，贵州人和用穆斯利换下了米西莫维奇
82'埃尼尼奥中路得球再突，赢得角球机会                   80'第80分钟，贵州人和用穆斯利换下了米西莫维奇
83'角球开出到禁区，萨利在贝奇拉耶之前将球解围出底线                   80'第80分钟，贵州人和用穆斯利换下了米西莫维奇
83'亚泰继续角球，这次被后卫解围啦                   80'第80分钟，贵州人和用穆斯利换下了米西莫维奇
90'孙继海中线位置争顶时被吹压人犯规                   90'90分钟战罢，双方均无建树，长春亚泰主场0-0战平贵州人和
91'比赛已经进入伤停补时                   90'90分钟战罢，双方均无建树，长春亚泰主场0-0战平贵州人和
92'亚泰后场过顶长传到前场，孙继海后退中将球解围                   90'90分钟战罢，双方均无建树，长春亚泰主场0-0战平贵州人和
92'拉斐尔前场争抢中被身后上来的孙继海撞翻在地                   90'90分钟战罢，双方均无建树，长春亚泰主场0-0战平贵州人和
92'亚泰获得大禁区弧位置的任意球机会                   90'90分钟战罢，双方均无建树，长春亚泰主场0-0战平贵州人和
93'这对于双方来说，也是本场比赛最后的一次得分良机啊                   90'90分钟战罢，双方均无建树，长春亚泰主场0-0战平贵州人和
93'萨利和贝奇拉耶在禁区内占位时发生了摩擦                   90'90分钟战罢，双方均无建树，长春亚泰主场0-0战平贵州人和
93'队友及时拉开，主裁判过去口头警告一翻                   90'90分钟战罢，双方均无建树，长春亚泰主场0-0战平贵州人和
