1'上半场比赛开始了！                   1'曼城第1分钟试图控制比赛，但狼队的防线组织滴水不漏
23'狼队前场右侧边线球！                   20'第20分钟，孔帕尼上抢落空失误，迪奥戈突入禁区左侧斜传，但希门尼斯远点推射破门因越位在先被判无效
23'发球给中路鲁本-内维斯！                   20'第20分钟，孔帕尼上抢落空失误，迪奥戈突入禁区左侧斜传，但希门尼斯远点推射破门因越位在先被判无效
23'鲁本-内维斯再给前场左路博利！                   20'第20分钟，孔帕尼上抢落空失误，迪奥戈突入禁区左侧斜传，但希门尼斯远点推射破门因越位在先被判无效
46'大卫-席尔瓦再给身前伯纳多-席尔瓦！                   46'1分钟后，斯特林外围抽射，帕特里西奥扑挡后令皮球击中横梁弹出
46'错传球给禁区内前点！                   46'1分钟后，斯特林外围抽射，帕特里西奥扑挡后令皮球击中横梁弹出
46'帕特里西奥把球打出来！                   46'1分钟后，斯特林外围抽射，帕特里西奥扑挡后令皮球击中横梁弹出
46'阿奎罗禁区内还有球权！                   46'1分钟后，斯特林外围抽射，帕特里西奥扑挡后令皮球击中横梁弹出
46'停球一脚打门！                   46'1分钟后，斯特林外围抽射，帕特里西奥扑挡后令皮球击中横梁弹出
46'皮球被门将帕特里西奥拿到了！抱住！                   46'1分钟后，斯特林外围抽射，帕特里西奥扑挡后令皮球击中横梁弹出
46'帕特里西奥大脚开球出去！                   46'1分钟后，斯特林外围抽射，帕特里西奥扑挡后令皮球击中横梁弹出
46'下半场比赛开始了！                   46'1分钟后，斯特林外围抽射，帕特里西奥扑挡后令皮球击中横梁弹出
46'开球回给后场左侧门迪！                   46'1分钟后，斯特林外围抽射，帕特里西奥扑挡后令皮球击中横梁弹出
46'再给中圈附近费尔南迪尼奥！                   46'1分钟后，斯特林外围抽射，帕特里西奥扑挡后令皮球击中横梁弹出
46'低平球给前场中路插上的斯特林！                   46'1分钟后，斯特林外围抽射，帕特里西奥扑挡后令皮球击中横梁弹出
46'斯特林回给身后跟进的拉波尔特！                   46'1分钟后，斯特林外围抽射，帕特里西奥扑挡后令皮球击中横梁弹出
47'拉波尔特往禁区内塞球！                   46'1分钟后，斯特林外围抽射，帕特里西奥扑挡后令皮球击中横梁弹出
47'帕特里西奥先把球拿到了！                   46'1分钟后，斯特林外围抽射，帕特里西奥扑挡后令皮球击中横梁弹出
47'帕特里西奥大脚开球给后场中路！                   46'1分钟后，斯特林外围抽射，帕特里西奥扑挡后令皮球击中横梁弹出
47'埃尔德-科斯塔头球被堵给身后瑞恩-本内特！                   46'1分钟后，斯特林外围抽射，帕特里西奥扑挡后令皮球击中横梁弹出
47'再给右侧考迪！                   46'1分钟后，斯特林外围抽射，帕特里西奥扑挡后令皮球击中横梁弹出
48'考迪长传球失误传出了边线！                   46'1分钟后，斯特林外围抽射，帕特里西奥扑挡后令皮球击中横梁弹出
48'曼城后场发球给费尔南迪尼奥！                   46'1分钟后，斯特林外围抽射，帕特里西奥扑挡后令皮球击中横梁弹出
48'再给右侧跟进的凯尔-沃克！                   46'1分钟后，斯特林外围抽射，帕特里西奥扑挡后令皮球击中横梁弹出
48'凯尔-沃克直传球找前场右侧大卫-席尔瓦！                   46'1分钟后，斯特林外围抽射，帕特里西奥扑挡后令皮球击中横梁弹出
49'大卫-席尔瓦回给身后跟进的凯尔-沃克！                   46'1分钟后，斯特林外围抽射，帕特里西奥扑挡后令皮球击中横梁弹出
49'回传后场中路孔帕尼！                   46'1分钟后，斯特林外围抽射，帕特里西奥扑挡后令皮球击中横梁弹出
49'倒脚给门将埃德森-莫赖斯！                   46'1分钟后，斯特林外围抽射，帕特里西奥扑挡后令皮球击中横梁弹出
57'推进到前场过来！                   57'狼队第57分钟打破僵局，科斯塔突入禁区左侧小角度射门被扑出，穆蒂尼奥左路战术角球传中，反越位成功的博利近距离鱼跃撞射入网
57'给身前的阿奎罗！                   57'狼队第57分钟打破僵局，科斯塔突入禁区左侧小角度射门被扑出，穆蒂尼奥左路战术角球传中，反越位成功的博利近距离鱼跃撞射入网
57'回传一下中场拉波尔特！                   57'狼队第57分钟打破僵局，科斯塔突入禁区左侧小角度射门被扑出，穆蒂尼奥左路战术角球传中，反越位成功的博利近距离鱼跃撞射入网
57'斜线球给前场左路斯特林！                   57'狼队第57分钟打破僵局，科斯塔突入禁区左侧小角度射门被扑出，穆蒂尼奥左路战术角球传中，反越位成功的博利近距离鱼跃撞射入网
57'斯特林带球被防守球员犯规！                   57'狼队第57分钟打破僵局，科斯塔突入禁区左侧小角度射门被扑出，穆蒂尼奥左路战术角球传中，反越位成功的博利近距离鱼跃撞射入网
58'大卫-席尔瓦这边向裁判表达不满                   57'狼队第57分钟打破僵局，科斯塔突入禁区左侧小角度射门被扑出，穆蒂尼奥左路战术角球传中，反越位成功的博利近距离鱼跃撞射入网
58'裁判掏出黄牌给大卫-席尔瓦！                   57'狼队第57分钟打破僵局，科斯塔突入禁区左侧小角度射门被扑出，穆蒂尼奥左路战术角球传中，反越位成功的博利近距离鱼跃撞射入网
59'曼城前场左侧定位球！                   57'狼队第57分钟打破僵局，科斯塔突入禁区左侧小角度射门被扑出，穆蒂尼奥左路战术角球传中，反越位成功的博利近距离鱼跃撞射入网
59'伯纳多-席尔瓦开球挑传到禁区内！                   57'狼队第57分钟打破僵局，科斯塔突入禁区左侧小角度射门被扑出，穆蒂尼奥左路战术角球传中，反越位成功的博利近距离鱼跃撞射入网
59'费尔南迪尼奥头球顶偏出了底线！                   57'狼队第57分钟打破僵局，科斯塔突入禁区左侧小角度射门被扑出，穆蒂尼奥左路战术角球传中，反越位成功的博利近距离鱼跃撞射入网
60'狼队后场的球门球！                   57'狼队第57分钟打破僵局，科斯塔突入禁区左侧小角度射门被扑出，穆蒂尼奥左路战术角球传中，反越位成功的博利近距离鱼跃撞射入网
47'拉波尔特往禁区内塞球！                   47'2分钟后再出争议，席尔瓦小禁区前混战中拿球被内维斯拉倒，但裁判拒绝判罚引来曼城球员不满
47'帕特里西奥先把球拿到了！                   47'2分钟后再出争议，席尔瓦小禁区前混战中拿球被内维斯拉倒，但裁判拒绝判罚引来曼城球员不满
47'帕特里西奥大脚开球给后场中路！                   47'2分钟后再出争议，席尔瓦小禁区前混战中拿球被内维斯拉倒，但裁判拒绝判罚引来曼城球员不满
47'埃尔德-科斯塔头球被堵给身后瑞恩-本内特！                   47'2分钟后再出争议，席尔瓦小禁区前混战中拿球被内维斯拉倒，但裁判拒绝判罚引来曼城球员不满
47'再给右侧考迪！                   47'2分钟后再出争议，席尔瓦小禁区前混战中拿球被内维斯拉倒，但裁判拒绝判罚引来曼城球员不满
48'考迪长传球失误传出了边线！                   47'2分钟后再出争议，席尔瓦小禁区前混战中拿球被内维斯拉倒，但裁判拒绝判罚引来曼城球员不满
48'曼城后场发球给费尔南迪尼奥！                   47'2分钟后再出争议，席尔瓦小禁区前混战中拿球被内维斯拉倒，但裁判拒绝判罚引来曼城球员不满
48'再给右侧跟进的凯尔-沃克！                   47'2分钟后再出争议，席尔瓦小禁区前混战中拿球被内维斯拉倒，但裁判拒绝判罚引来曼城球员不满
48'凯尔-沃克直传球找前场右侧大卫-席尔瓦！                   47'2分钟后再出争议，席尔瓦小禁区前混战中拿球被内维斯拉倒，但裁判拒绝判罚引来曼城球员不满
49'大卫-席尔瓦回给身后跟进的凯尔-沃克！                   47'2分钟后再出争议，席尔瓦小禁区前混战中拿球被内维斯拉倒，但裁判拒绝判罚引来曼城球员不满
49'回传后场中路孔帕尼！                   47'2分钟后再出争议，席尔瓦小禁区前混战中拿球被内维斯拉倒，但裁判拒绝判罚引来曼城球员不满
49'倒脚给门将埃德森-莫赖斯！                   47'2分钟后再出争议，席尔瓦小禁区前混战中拿球被内维斯拉倒，但裁判拒绝判罚引来曼城球员不满
50'开球给后场左侧拉波尔特！                   47'2分钟后再出争议，席尔瓦小禁区前混战中拿球被内维斯拉倒，但裁判拒绝判罚引来曼城球员不满
50'低平球给中圈附近费尔南迪尼奥！                   47'2分钟后再出争议，席尔瓦小禁区前混战中拿球被内维斯拉倒，但裁判拒绝判罚引来曼城球员不满
50'再给右侧插上的大卫-席尔瓦！                   47'2分钟后再出争议，席尔瓦小禁区前混战中拿球被内维斯拉倒，但裁判拒绝判罚引来曼城球员不满
50'回给禁区外围凯尔-沃克！                   47'2分钟后再出争议，席尔瓦小禁区前混战中拿球被内维斯拉倒，但裁判拒绝判罚引来曼城球员不满
50'弧线球传中到禁区内右侧！                   47'2分钟后再出争议，席尔瓦小禁区前混战中拿球被内维斯拉倒，但裁判拒绝判罚引来曼城球员不满
50'皮球被多尔蒂破坏出边线！                   47'2分钟后再出争议，席尔瓦小禁区前混战中拿球被内维斯拉倒，但裁判拒绝判罚引来曼城球员不满
70'狼队中场开球！                   69'曼城第69分钟扳平，京多安右路任意球斜传，拉波尔特小禁区边缘冲顶入网，1-1
70'给中场右侧穆蒂尼奥！                   69'曼城第69分钟扳平，京多安右路任意球斜传，拉波尔特小禁区边缘冲顶入网，1-1
70'穆蒂尼奥一脚过顶长传球给前场中路！                   69'曼城第69分钟扳平，京多安右路任意球斜传，拉波尔特小禁区边缘冲顶入网，1-1
70'边裁举旗！这是埃尔德-科斯塔前场越位！                   69'曼城第69分钟扳平，京多安右路任意球斜传，拉波尔特小禁区边缘冲顶入网，1-1
70'曼城后场定位球！                   69'曼城第69分钟扳平，京多安右路任意球斜传，拉波尔特小禁区边缘冲顶入网，1-1
71'开球给中路拉波尔特！                   69'曼城第69分钟扳平，京多安右路任意球斜传，拉波尔特小禁区边缘冲顶入网，1-1
71'拉波尔特给后场左侧门迪！                   69'曼城第69分钟扳平，京多安右路任意球斜传，拉波尔特小禁区边缘冲顶入网，1-1
71'推传找中路京多安！                   69'曼城第69分钟扳平，京多安右路任意球斜传，拉波尔特小禁区边缘冲顶入网，1-1
71'再给身边跟进的大卫-席尔瓦！                   69'曼城第69分钟扳平，京多安右路任意球斜传，拉波尔特小禁区边缘冲顶入网，1-1
71'大卫-席尔瓦回给后场右侧凯尔-沃克！                   69'曼城第69分钟扳平，京多安右路任意球斜传，拉波尔特小禁区边缘冲顶入网，1-1
72'一脚低平球给前场中路阿奎罗！                   69'曼城第69分钟扳平，京多安右路任意球斜传，拉波尔特小禁区边缘冲顶入网，1-1
72'阿奎罗右脚直接打门！                   69'曼城第69分钟扳平，京多安右路任意球斜传，拉波尔特小禁区边缘冲顶入网，1-1
72'这球打偏出了底线！                   69'曼城第69分钟扳平，京多安右路任意球斜传，拉波尔特小禁区边缘冲顶入网，1-1
72'场边狼队也换人， 37-特拉奥雷换下10-埃尔德-科斯塔！                   69'曼城第69分钟扳平，京多安右路任意球斜传，拉波尔特小禁区边缘冲顶入网，1-1
95'顶偏出了右侧底线啊！                   95'曼城第95分钟险些绝杀，阿圭罗25码处任意球直接射门击中横梁上沿弹出
96'帕特里西奥大脚开球门球出来！                   95'曼城第95分钟险些绝杀，阿圭罗25码处任意球直接射门击中横梁上沿弹出
