1'施魏因斯泰格为拜仁慕尼黑赢得一个任意球.                   1'第1分钟，霍芬海姆后场防守非常严密
66'射门!!!霍芬海姆球员福兰德大禁区中央左脚射门,被对方守门员横身扑出.给他传球的是贝克.                   66'第66分钟，里贝里左路切入禁区低传，穆勒抢前点没打上，里贝里小角度射门被卡斯特尔斯没收
66'诺伊尔将球处理出底线,霍芬海姆获得角球.                   66'第66分钟，里贝里左路切入禁区低传，穆勒抢前点没打上，里贝里小角度射门被卡斯特尔斯没收
67'霍芬海姆球员福兰德拼抢犯规,对手获得控球权.                   66'第66分钟，里贝里左路切入禁区低传，穆勒抢前点没打上，里贝里小角度射门被卡斯特尔斯没收
67'哈维-马丁内斯为拜仁慕尼黑赢得一个任意球.                   66'第66分钟，里贝里左路切入禁区低传，穆勒抢前点没打上，里贝里小角度射门被卡斯特尔斯没收
68'聚勒将球处理出底线,拜仁慕尼黑获得角球.                   66'第66分钟，里贝里左路切入禁区低传，穆勒抢前点没打上，里贝里小角度射门被卡斯特尔斯没收
68'拜仁慕尼黑球员里贝里大禁区中央右脚射门,被防守球员封堵.给他传球的是克罗斯.                   66'第66分钟，里贝里左路切入禁区低传，穆勒抢前点没打上，里贝里小角度射门被卡斯特尔斯没收
68'聚勒将球处理出底线,拜仁慕尼黑获得角球.                   68'第68分钟，克罗斯禁区内回做，里贝里在门前16米处推射偏出右门柱
68'拜仁慕尼黑球员里贝里大禁区中央右脚射门,被防守球员封堵.给他传球的是克罗斯.                   68'第68分钟，克罗斯禁区内回做，里贝里在门前16米处推射偏出右门柱
71'拜仁慕尼黑球员穆勒小禁区左侧尝试头球,可惜皮球稍稍高出球门.给他传球的是格策.                   68'第68分钟，克罗斯禁区内回做，里贝里在门前16米处推射偏出右门柱
71'博阿滕将球处理出底线,霍芬海姆获得角球.                   68'第68分钟，克罗斯禁区内回做，里贝里在门前16米处推射偏出右门柱
75'进球啦！！！拜仁慕尼黑球员穆勒大禁区中央右脚射门,球从左下角飞进球门,球进了!助攻的是里贝里. 霍芬海姆 1-2 拜仁慕尼黑.                   75'拜仁第75分钟反超比分，马丁内斯与里贝里踢墙配合，格策禁区内反越位没有及时起脚，被贝克下铲破坏，但小猪反抢成功，马丁内斯再传里贝里，里贝里中路横敲左侧，穆勒在门前7米处扫射入网，2比1
77'霍芬海姆球员福兰德拼抢犯规,对手获得控球权.                   75'拜仁第75分钟反超比分，马丁内斯与里贝里踢墙配合，格策禁区内反越位没有及时起脚，被贝克下铲破坏，但小猪反抢成功，马丁内斯再传里贝里，里贝里中路横敲左侧，穆勒在门前7米处扫射入网，2比1
77'哈维-马丁内斯为拜仁慕尼黑赢得一个任意球.                   75'拜仁第75分钟反超比分，马丁内斯与里贝里踢墙配合，格策禁区内反越位没有及时起脚，被贝克下铲破坏，但小猪反抢成功，马丁内斯再传里贝里，里贝里中路横敲左侧，穆勒在门前7米处扫射入网，2比1
78'霍芬海姆换人,尤努西换下赫德林                   75'拜仁第75分钟反超比分，马丁内斯与里贝里踢墙配合，格策禁区内反越位没有及时起脚，被贝克下铲破坏，但小猪反抢成功，马丁内斯再传里贝里，里贝里中路横敲左侧，穆勒在门前7米处扫射入网，2比1
85'霍芬海姆球员鲁迪拼抢犯规,对手获得控球权.                   85'第85分钟，鲁迪铲倒里贝里，被黄牌警告
85'里贝里为拜仁慕尼黑在左路,赢得一个任意球.                   85'第85分钟，鲁迪铲倒里贝里，被黄牌警告
85'黄牌！霍芬海姆球员鲁迪因为恶意犯规,被主裁判出示黄牌.                   85'第85分钟，鲁迪铲倒里贝里，被黄牌警告
86'拜仁慕尼黑球员穆勒球门线跟前尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是拉姆.                   85'第85分钟，鲁迪铲倒里贝里，被黄牌警告
87'菲尔米诺为霍芬海姆在对方半场,赢得一个任意球.                   85'第85分钟，鲁迪铲倒里贝里，被黄牌警告
87'拜仁慕尼黑球员哈维-马丁内斯拼抢犯规,对手获得控球权.                   85'第85分钟，鲁迪铲倒里贝里，被黄牌警告
87'霍芬海姆换人,韦斯特高换下鲁迪                   85'第85分钟，鲁迪铲倒里贝里，被黄牌警告
88'菲尔米诺为霍芬海姆在对方半场,赢得一个任意球.                   85'第85分钟，鲁迪铲倒里贝里，被黄牌警告
88'拜仁慕尼黑球员施魏因斯泰格拼抢犯规,对手获得控球权.                   85'第85分钟，鲁迪铲倒里贝里，被黄牌警告
