2'埃弗拉接球的瞬间先越位了                   2'比赛打到第2分钟，埃弗拉禁区左侧射门被杨智得到
30'从慢镜头来看，这球巴塔拉没有提前移动                   27'第27分钟赵和靖禁区外拦截时撞倒武磊，上港获得任意球机会，但在球没踢的情况下，人墙里的巴塔拉先跑出来拦截，结果吃到黄牌
30'海森任意球直接打，球打在人墙上                   27'第27分钟赵和靖禁区外拦截时撞倒武磊，上港获得任意球机会，但在球没踢的情况下，人墙里的巴塔拉先跑出来拦截，结果吃到黄牌
30'国安队这边有反击的机会                   27'第27分钟赵和靖禁区外拦截时撞倒武磊，上港获得任意球机会，但在球没踢的情况下，人墙里的巴塔拉先跑出来拦截，结果吃到黄牌
30'上港这边先犯规了                   27'第27分钟赵和靖禁区外拦截时撞倒武磊，上港获得任意球机会，但在球没踢的情况下，人墙里的巴塔拉先跑出来拦截，结果吃到黄牌
31'赵和靖左路拿球给到马季奇                   31'第31分钟河大成正面飞铲同胞金周荣吃到黄牌
31'巴塔拉禁区弧顶带球                   31'第31分钟河大成正面飞铲同胞金周荣吃到黄牌
31'突然的一脚打门兜一脚，稍稍打偏                   31'第31分钟河大成正面飞铲同胞金周荣吃到黄牌
32'河大成中场拿球，选择了回敲                   31'第31分钟河大成正面飞铲同胞金周荣吃到黄牌
32'河大成中场趟球有些大                   31'第31分钟河大成正面飞铲同胞金周荣吃到黄牌
33'滑铲亮了鞋底                   31'第31分钟河大成正面飞铲同胞金周荣吃到黄牌
34'河大成得到一张黄牌！                   31'第31分钟河大成正面飞铲同胞金周荣吃到黄牌
34'铲倒的是金周荣                   31'第31分钟河大成正面飞铲同胞金周荣吃到黄牌
37'巴塔拉想脚后跟打一脚，这球没有处理好                   37'第37分钟国安左路打出精彩配合，陈志钊接巴塔拉直塞送球，突入禁区后射门，颜骏凌飞身把球打出
37'周挺右路拿球晃了一下                   37'第37分钟国安左路打出精彩配合，陈志钊接巴塔拉直塞送球，突入禁区后射门，颜骏凌飞身把球打出
37'再传送禁区内                   37'第37分钟国安左路打出精彩配合，陈志钊接巴塔拉直塞送球，突入禁区后射门，颜骏凌飞身把球打出
38'上港的头球解围顶在了德扬的身上                   37'第37分钟国安左路打出精彩配合，陈志钊接巴塔拉直塞送球，突入禁区后射门，颜骏凌飞身把球打出
38'德扬这边也是没有意识到                   37'第37分钟国安左路打出精彩配合，陈志钊接巴塔拉直塞送球，突入禁区后射门，颜骏凌飞身把球打出
38'巴塔拉禁区前沿拿球送禁区里                   37'第37分钟国安左路打出精彩配合，陈志钊接巴塔拉直塞送球，突入禁区后射门，颜骏凌飞身把球打出
38'陈志钊得球后内切一下                   37'第37分钟国安左路打出精彩配合，陈志钊接巴塔拉直塞送球，突入禁区后射门，颜骏凌飞身把球打出
39'再打，球再次被颜骏凌扑了出去                   37'第37分钟国安左路打出精彩配合，陈志钊接巴塔拉直塞送球，突入禁区后射门，颜骏凌飞身把球打出
40'德扬中场拿球，被破坏出边线                   37'第37分钟国安左路打出精彩配合，陈志钊接巴塔拉直塞送球，突入禁区后射门，颜骏凌飞身把球打出
40'马季奇后场拿球被断                   37'第37分钟国安左路打出精彩配合，陈志钊接巴塔拉直塞送球，突入禁区后射门，颜骏凌飞身把球打出
44'上港在中场的压迫也是很猛                   44'第44分钟国安利用颜骏凌的后场托大行为发起闪电进攻，背对大门的德扬，灵活转身摆脱贺习惯后射门，颜骏凌此时已经倒地准备扑救，但球又打在贺身上弹起，颜骏凌快速挺起上半身，把球接住
44'巴塔拉中场拿球送直塞                   44'第44分钟国安利用颜骏凌的后场托大行为发起闪电进攻，背对大门的德扬，灵活转身摆脱贺习惯后射门，颜骏凌此时已经倒地准备扑救，但球又打在贺身上弹起，颜骏凌快速挺起上半身，把球接住
44'德扬这边前场接球没有拿好                   44'第44分钟国安利用颜骏凌的后场托大行为发起闪电进攻，背对大门的德扬，灵活转身摆脱贺习惯后射门，颜骏凌此时已经倒地准备扑救，但球又打在贺身上弹起，颜骏凌快速挺起上半身，把球接住
45'国安队界外球送禁区里                   44'第44分钟国安利用颜骏凌的后场托大行为发起闪电进攻，背对大门的德扬，灵活转身摆脱贺习惯后射门，颜骏凌此时已经倒地准备扑救，但球又打在贺身上弹起，颜骏凌快速挺起上半身，把球接住
45'德扬外脚背停球后起左脚打门！！                   44'第44分钟国安利用颜骏凌的后场托大行为发起闪电进攻，背对大门的德扬，灵活转身摆脱贺习惯后射门，颜骏凌此时已经倒地准备扑救，但球又打在贺身上弹起，颜骏凌快速挺起上半身，把球接住
45'颜骏凌这边已经重心在地上了，还是给拿到了                   44'第44分钟国安利用颜骏凌的后场托大行为发起闪电进攻，背对大门的德扬，灵活转身摆脱贺习惯后射门，颜骏凌此时已经倒地准备扑救，但球又打在贺身上弹起，颜骏凌快速挺起上半身，把球接住
45'上半场补时4分钟！                   44'第44分钟国安利用颜骏凌的后场托大行为发起闪电进攻，背对大门的德扬，灵活转身摆脱贺习惯后射门，颜骏凌此时已经倒地准备扑救，但球又打在贺身上弹起，颜骏凌快速挺起上半身，把球接住
46'德扬这边被放倒了                   44'第44分钟国安利用颜骏凌的后场托大行为发起闪电进攻，背对大门的德扬，灵活转身摆脱贺习惯后射门，颜骏凌此时已经倒地准备扑救，但球又打在贺身上弹起，颜骏凌快速挺起上半身，把球接住
46'德扬这边情绪很激动                   44'第44分钟国安利用颜骏凌的后场托大行为发起闪电进攻，背对大门的德扬，灵活转身摆脱贺习惯后射门，颜骏凌此时已经倒地准备扑救，但球又打在贺身上弹起，颜骏凌快速挺起上半身，把球接住
47'裁判也是没有对这次无球的犯规给处罚                   44'第44分钟国安利用颜骏凌的后场托大行为发起闪电进攻，背对大门的德扬，灵活转身摆脱贺习惯后射门，颜骏凌此时已经倒地准备扑救，但球又打在贺身上弹起，颜骏凌快速挺起上半身，把球接住
47'比赛继续进行                   44'第44分钟国安利用颜骏凌的后场托大行为发起闪电进攻，背对大门的德扬，灵活转身摆脱贺习惯后射门，颜骏凌此时已经倒地准备扑救，但球又打在贺身上弹起，颜骏凌快速挺起上半身，把球接住
47'陈志钊左路拿球被卡住身位                   44'第44分钟国安利用颜骏凌的后场托大行为发起闪电进攻，背对大门的德扬，灵活转身摆脱贺习惯后射门，颜骏凌此时已经倒地准备扑救，但球又打在贺身上弹起，颜骏凌快速挺起上半身，把球接住
47'情急之下，陈志钊推人犯规                   44'第44分钟国安利用颜骏凌的后场托大行为发起闪电进攻，背对大门的德扬，灵活转身摆脱贺习惯后射门，颜骏凌此时已经倒地准备扑救，但球又打在贺身上弹起，颜骏凌快速挺起上半身，把球接住
46'下半场比赛开始！                   44'第44分钟国安利用颜骏凌的后场托大行为发起闪电进攻，背对大门的德扬，灵活转身摆脱贺习惯后射门，颜骏凌此时已经倒地准备扑救，但球又打在贺身上弹起，颜骏凌快速挺起上半身，把球接住
46'下半场由北京国安队开球                   44'第44分钟国安利用颜骏凌的后场托大行为发起闪电进攻，背对大门的德扬，灵活转身摆脱贺习惯后射门，颜骏凌此时已经倒地准备扑救，但球又打在贺身上弹起，颜骏凌快速挺起上半身，把球接住
46'埃弗拉底线拿球造了一个角球                   44'第44分钟国安利用颜骏凌的后场托大行为发起闪电进攻，背对大门的德扬，灵活转身摆脱贺习惯后射门，颜骏凌此时已经倒地准备扑救，但球又打在贺身上弹起，颜骏凌快速挺起上半身，把球接住
46'上港角球送中路                   44'第44分钟国安利用颜骏凌的后场托大行为发起闪电进攻，背对大门的德扬，灵活转身摆脱贺习惯后射门，颜骏凌此时已经倒地准备扑救，但球又打在贺身上弹起，颜骏凌快速挺起上半身，把球接住
47'郎征头球顶了出来                   44'第44分钟国安利用颜骏凌的后场托大行为发起闪电进攻，背对大门的德扬，灵活转身摆脱贺习惯后射门，颜骏凌此时已经倒地准备扑救，但球又打在贺身上弹起，颜骏凌快速挺起上半身，把球接住
47'马季奇中场附近传球失误                   44'第44分钟国安利用颜骏凌的后场托大行为发起闪电进攻，背对大门的德扬，灵活转身摆脱贺习惯后射门，颜骏凌此时已经倒地准备扑救，但球又打在贺身上弹起，颜骏凌快速挺起上半身，把球接住
49'巴塔拉边路拿球先出了边线                   49'半场补时4分钟后结束
50'国安队左路送直塞到底线                   49'半场补时4分钟后结束
50'陈志钊左路想把球扣回来，这球自己没有处理好                   49'半场补时4分钟后结束
49'马季奇中场拿球往前推进                   49'半场补时4分钟后结束
49'传球直接送到对方脚下                   49'半场补时4分钟后结束
49'林创益左路起球送后点                   49'半场补时4分钟后结束
49'武磊得球后将球回敲                   49'半场补时4分钟后结束
50'禁区外围，武磊远射                   49'半场补时4分钟后结束
50'球弹地后被杨智得到                   49'半场补时4分钟后结束
50'于海前场断球，自己扭伤了自己                   49'半场补时4分钟后结束
51'于海到场边接受治疗                   49'半场补时4分钟后结束
51'于大宝换到了左路                   49'半场补时4分钟后结束
51'国安队中场送直塞找德扬                   49'半场补时4分钟后结束
52'德扬这边处在了越位的位置上                   49'半场补时4分钟后结束
52'国安队今天的传接球失误太多                   49'半场补时4分钟后结束
47'裁判也是没有对这次无球的犯规给处罚                   47'下半场开始后上港继续强势发挥，第47分钟，埃弗拉接右路王龀传中，头球顶高
47'比赛继续进行                   47'下半场开始后上港继续强势发挥，第47分钟，埃弗拉接右路王龀传中，头球顶高
47'陈志钊左路拿球被卡住身位                   47'下半场开始后上港继续强势发挥，第47分钟，埃弗拉接右路王龀传中，头球顶高
47'情急之下，陈志钊推人犯规                   47'下半场开始后上港继续强势发挥，第47分钟，埃弗拉接右路王龀传中，头球顶高
48'国安队这边打得很艰难                   47'下半场开始后上港继续强势发挥，第47分钟，埃弗拉接右路王龀传中，头球顶高
48'国安队后场长传打到前场                   47'下半场开始后上港继续强势发挥，第47分钟，埃弗拉接右路王龀传中，头球顶高
48'上港队将球拿球，回给了门将                   47'下半场开始后上港继续强势发挥，第47分钟，埃弗拉接右路王龀传中，头球顶高
49'巴塔拉边路拿球先出了边线                   47'下半场开始后上港继续强势发挥，第47分钟，埃弗拉接右路王龀传中，头球顶高
50'国安队左路送直塞到底线                   47'下半场开始后上港继续强势发挥，第47分钟，埃弗拉接右路王龀传中，头球顶高
50'陈志钊左路想把球扣回来，这球自己没有处理好                   47'下半场开始后上港继续强势发挥，第47分钟，埃弗拉接右路王龀传中，头球顶高
47'郎征头球顶了出来                   47'下半场开始后上港继续强势发挥，第47分钟，埃弗拉接右路王龀传中，头球顶高
47'马季奇中场附近传球失误                   47'下半场开始后上港继续强势发挥，第47分钟，埃弗拉接右路王龀传中，头球顶高
48'上港右路起球送前点                   47'下半场开始后上港继续强势发挥，第47分钟，埃弗拉接右路王龀传中，头球顶高
48'埃弗拉头球顶偏了                   47'下半场开始后上港继续强势发挥，第47分钟，埃弗拉接右路王龀传中，头球顶高
49'马季奇中场拿球往前推进                   47'下半场开始后上港继续强势发挥，第47分钟，埃弗拉接右路王龀传中，头球顶高
49'传球直接送到对方脚下                   47'下半场开始后上港继续强势发挥，第47分钟，埃弗拉接右路王龀传中，头球顶高
49'林创益左路起球送后点                   47'下半场开始后上港继续强势发挥，第47分钟，埃弗拉接右路王龀传中，头球顶高
49'武磊得球后将球回敲                   47'下半场开始后上港继续强势发挥，第47分钟，埃弗拉接右路王龀传中，头球顶高
50'禁区外围，武磊远射                   47'下半场开始后上港继续强势发挥，第47分钟，埃弗拉接右路王龀传中，头球顶高
50'球弹地后被杨智得到                   47'下半场开始后上港继续强势发挥，第47分钟，埃弗拉接右路王龀传中，头球顶高
50'于海前场断球，自己扭伤了自己                   47'下半场开始后上港继续强势发挥，第47分钟，埃弗拉接右路王龀传中，头球顶高
55'于大宝左路起球被挡                   55'第55分钟林创益左路射门打高
55'河大成禁区外围打一脚被挡住                   55'第55分钟林创益左路射门打高
55'上港这边反击的机会                   55'第55分钟林创益左路射门打高
55'埃弗拉拿球打到左边                   55'第55分钟林创益左路射门打高
55'上港这边进攻失误                   55'第55分钟林创益左路射门打高
56'巴塔拉禁区弧顶拿球给到右路                   55'第55分钟林创益左路射门打高
56'陈志钊禁区内低平球送中路被破坏                   55'第55分钟林创益左路射门打高
56'郎征中场铲球放倒了于海                   55'第55分钟林创益左路射门打高
57'上港中场的任意球                   55'第55分钟林创益左路射门打高
57'林创益禁区外打一脚将球打偏                   55'第55分钟林创益左路射门打高
64'陈志钊右路起球送后点                   64'第64分钟身材不高的林创益禁区内抢点挑射可惜没有碰到球，一分钟后武磊接海森传球，头球摆射顶空
64'双方都没有碰到球                   64'第64分钟身材不高的林创益禁区内抢点挑射可惜没有碰到球，一分钟后武磊接海森传球，头球摆射顶空
64'国安队后场长传                   64'第64分钟身材不高的林创益禁区内抢点挑射可惜没有碰到球，一分钟后武磊接海森传球，头球摆射顶空
64'德扬这边启动先越位                   64'第64分钟身材不高的林创益禁区内抢点挑射可惜没有碰到球，一分钟后武磊接海森传球，头球摆射顶空
67'国安队换人，宋博轩上，于大宝下                   64'第64分钟身材不高的林创益禁区内抢点挑射可惜没有碰到球，一分钟后武磊接海森传球，头球摆射顶空
67'马季奇被费祖拉乌换下                   64'第64分钟身材不高的林创益禁区内抢点挑射可惜没有碰到球，一分钟后武磊接海森传球，头球摆射顶空
67'国安队换人，宋博轩上，于大宝下                   67'第67分钟刚出场的宋博轩身后拽倒带球的王龀吃到黄牌
67'马季奇被费祖拉乌换下                   67'第67分钟刚出场的宋博轩身后拽倒带球的王龀吃到黄牌
68'国安队这边用完三次换人名额                   67'第67分钟刚出场的宋博轩身后拽倒带球的王龀吃到黄牌
68'宋博轩刚一上来就拉倒了王燊超                   67'第67分钟刚出场的宋博轩身后拽倒带球的王龀吃到黄牌
68'宋博轩得到一张黄牌！                   67'第67分钟刚出场的宋博轩身后拽倒带球的王龀吃到黄牌
69'上港这边获得角球机会                   67'第67分钟刚出场的宋博轩身后拽倒带球的王龀吃到黄牌
69'角球送前点，队友头球顶高了                   67'第67分钟刚出场的宋博轩身后拽倒带球的王龀吃到黄牌
70'费祖拉乌右路拿球被铲了出去                   67'第67分钟刚出场的宋博轩身后拽倒带球的王龀吃到黄牌
70'上港这边反击的机会                   67'第67分钟刚出场的宋博轩身后拽倒带球的王龀吃到黄牌
71'右路的跳出直接送出了底线                   71'第71分钟上港用杨世元换下林创益，杨世元本赛季第一次登场
71'国安队跳出送禁区前沿                   71'第71分钟上港用杨世元换下林创益，杨世元本赛季第一次登场
72'上港队拿到第一点                   71'第71分钟上港用杨世元换下林创益，杨世元本赛季第一次登场
73'上港队换人，林创益下，杨世元上！                   71'第71分钟上港用杨世元换下林创益，杨世元本赛季第一次登场
74'上港队下半场完全被压着打                   71'第71分钟上港用杨世元换下林创益，杨世元本赛季第一次登场
74'上港队的反击到是很犀利                   71'第71分钟上港用杨世元换下林创益，杨世元本赛季第一次登场
74'河大成中场拿球被推倒                   71'第71分钟上港用杨世元换下林创益，杨世元本赛季第一次登场
74'国安队传球打身后，效果不好                   71'第71分钟上港用杨世元换下林创益，杨世元本赛季第一次登场
74'河大成右路起球送禁区内                   71'第71分钟上港用杨世元换下林创益，杨世元本赛季第一次登场
88'晋鹏翔跟进打门被挡了出来                   88'第88分钟陈志钊右路传中，宋博轩整个人飞起来冲射，但没碰到球
88'上港右路起球送禁区内                   88'第88分钟陈志钊右路传中，宋博轩整个人飞起来冲射，但没碰到球
88'杨智将球得到                   88'第88分钟陈志钊右路传中，宋博轩整个人飞起来冲射，但没碰到球
89'陈志钊右路起球送到了后点                   88'第88分钟陈志钊右路传中，宋博轩整个人飞起来冲射，但没碰到球
89'宋博轩插上没有打上                   88'第88分钟陈志钊右路传中，宋博轩整个人飞起来冲射，但没碰到球
89'上港换人，海森下，李浩文上！                   88'第88分钟陈志钊右路传中，宋博轩整个人飞起来冲射，但没碰到球
90'国安队将球给到右路                   88'第88分钟陈志钊右路传中，宋博轩整个人飞起来冲射，但没碰到球
90'陈志钊挑传送进来                   88'第88分钟陈志钊右路传中，宋博轩整个人飞起来冲射，但没碰到球
90'球被上港队破坏                   88'第88分钟陈志钊右路传中，宋博轩整个人飞起来冲射，但没碰到球
90'巴塔拉禁区内拿球                   88'第88分钟陈志钊右路传中，宋博轩整个人飞起来冲射，但没碰到球
91'横传到中路，宋博轩没有碰到啊                   88'第88分钟陈志钊右路传中，宋博轩整个人飞起来冲射，但没碰到球
91'下半场补时3分钟！                   88'第88分钟陈志钊右路传中，宋博轩整个人飞起来冲射，但没碰到球
89'陈志钊右路起球送到了后点                   89'第89分钟巴塔拉禁区内拿球横推，宋博轩再次飞身推射又没碰到球
