7'任意球直接打门，皮球弹地偏出底线                   7'第7分钟，山东鲁能获得任意球机会，王永珀大力远射稍稍偏出
31'鲁能泰山队左路长传，王永珀突破到禁区内了！！！乔尼把球破坏出底线！！！                   31'第31分钟，山东鲁能中场送出直塞球，王永珀高速度插上，可惜扣球时被防守队员铲出底线
31'角球机会                   31'第31分钟，山东鲁能中场送出直塞球，王永珀高速度插上，可惜扣球时被防守队员铲出底线
31'角球发到禁区内后点，刘殿座摘球脱手！不过二镒把球拿到                   31'第31分钟，山东鲁能中场送出直塞球，王永珀高速度插上，可惜扣球时被防守队员铲出底线
32'上海申鑫队左路进攻，对方把球破坏出边线                   31'第31分钟，山东鲁能中场送出直塞球，王永珀高速度插上，可惜扣球时被防守队员铲出底线
32'上海申鑫队左路横传，插上队员头球无力且偏，象是解围                   31'第31分钟，山东鲁能中场送出直塞球，王永珀高速度插上，可惜扣球时被防守队员铲出底线
33'乔尼后场得球，左路直传，对方断球反击                   31'第31分钟，山东鲁能中场送出直塞球，王永珀高速度插上，可惜扣球时被防守队员铲出底线
33'崔鹏回传一下，鲁能泰山队右路反击                   31'第31分钟，山东鲁能中场送出直塞球，王永珀高速度插上，可惜扣球时被防守队员铲出底线
34'刘峻楠右路快速反击，郑铮回防背后犯规！！黄牌                   31'第31分钟，山东鲁能中场送出直塞球，王永珀高速度插上，可惜扣球时被防守队员铲出底线
34'上海申鑫队得到了位置不错的任意球机会！                   31'第31分钟，山东鲁能中场送出直塞球，王永珀高速度插上，可惜扣球时被防守队员铲出底线
34'刘峻楠右路快速反击，郑铮回防背后犯规！！黄牌                   34'第34分钟，郑铮在禁区前沿放倒刘峻楠吃到黄牌，申鑫获得任意球机会
34'上海申鑫队得到了位置不错的任意球机会！                   34'第34分钟，郑铮在禁区前沿放倒刘峻楠吃到黄牌，申鑫获得任意球机会
35'上海申鑫队进球了，王赟，2-2                   34'第34分钟，郑铮在禁区前沿放倒刘峻楠吃到黄牌，申鑫获得任意球机会
35'王赟发任意球直接打门，越过人墙！击中横梁弹在地上进入网内！！！                   34'第34分钟，郑铮在禁区前沿放倒刘峻楠吃到黄牌，申鑫获得任意球机会
37'王彤助攻到中场，交给安塔尔                   34'第34分钟，郑铮在禁区前沿放倒刘峻楠吃到黄牌，申鑫获得任意球机会
37'麦克格文后场得球，转移到左路交给郑铮                   34'第34分钟，郑铮在禁区前沿放倒刘峻楠吃到黄牌，申鑫获得任意球机会
39'王永珀右路突破到禁区内！！！倒地！！                   39'第39分钟，王永珀边路拿球被葛振放倒，山东鲁能赢得任意球机会，王永珀弧线球传中，刘殿座出击将球打出禁区
39'主裁判给王永珀出示了黄牌！！假摔！                   39'第39分钟，王永珀边路拿球被葛振放倒，山东鲁能赢得任意球机会，王永珀弧线球传中，刘殿座出击将球打出禁区
40'安东尼奥右路拿球，崔鹏抢球犯规                   39'第39分钟，王永珀边路拿球被葛振放倒，山东鲁能赢得任意球机会，王永珀弧线球传中，刘殿座出击将球打出禁区
40'安塔尔中场得球横传王永珀，王永珀把球分到右路                   39'第39分钟，王永珀边路拿球被葛振放倒，山东鲁能赢得任意球机会，王永珀弧线球传中，刘殿座出击将球打出禁区
41'吕征突破直传，力量大了！！王彤没能追上                   39'第39分钟，王永珀边路拿球被葛振放倒，山东鲁能赢得任意球机会，王永珀弧线球传中，刘殿座出击将球打出禁区
41'上海申鑫队右路直传球，刘金东防过犯规                   39'第39分钟，王永珀边路拿球被葛振放倒，山东鲁能赢得任意球机会，王永珀弧线球传中，刘殿座出击将球打出禁区
41'刘金东的拉人动作还是明显的                   39'第39分钟，王永珀边路拿球被葛振放倒，山东鲁能赢得任意球机会，王永珀弧线球传中，刘殿座出击将球打出禁区
42'姜至鹏发任意球到禁区内，乔尼倒勾打门！                   39'第39分钟，王永珀边路拿球被葛振放倒，山东鲁能赢得任意球机会，王永珀弧线球传中，刘殿座出击将球打出禁区
42'鲁能泰山队把球破坏出来！                   39'第39分钟，王永珀边路拿球被葛振放倒，山东鲁能赢得任意球机会，王永珀弧线球传中，刘殿座出击将球打出禁区
42'姜至鹏发任意球到禁区内，乔尼倒勾打门！                   42'第42分钟，上海申鑫任意球传中被耿晓峰击出，之后凯撒禁区倒钩射门打在麦克格文手臂上，主裁判认为无意手球，没有判罚点球
42'鲁能泰山队把球破坏出来！                   42'第42分钟，上海申鑫任意球传中被耿晓峰击出，之后凯撒禁区倒钩射门打在麦克格文手臂上，主裁判认为无意手球，没有判罚点球
43'吕征突破连续扣球直传，虽然传出来了，但队友没能跟上                   42'第42分钟，上海申鑫任意球传中被耿晓峰击出，之后凯撒禁区倒钩射门打在麦克格文手臂上，主裁判认为无意手球，没有判罚点球
43'杨旭左路带球进攻，对方战术犯规                   42'第42分钟，上海申鑫任意球传中被耿晓峰击出，之后凯撒禁区倒钩射门打在麦克格文手臂上，主裁判认为无意手球，没有判罚点球
44'后场鲁能泰山队断球，还是走右路                   42'第42分钟，上海申鑫任意球传中被耿晓峰击出，之后凯撒禁区倒钩射门打在麦克格文手臂上，主裁判认为无意手球，没有判罚点球
44'崔鹏直传球，郑铮突破到禁区，乔尼把球破坏                   42'第42分钟，上海申鑫任意球传中被耿晓峰击出，之后凯撒禁区倒钩射门打在麦克格文手臂上，主裁判认为无意手球，没有判罚点球
44'郑铮左路横传，吕征把球分一下                   42'第42分钟，上海申鑫任意球传中被耿晓峰击出，之后凯撒禁区倒钩射门打在麦克格文手臂上，主裁判认为无意手球，没有判罚点球
45'王彤突破失误，上海申鑫队断球反击！！！                   42'第42分钟，上海申鑫任意球传中被耿晓峰击出，之后凯撒禁区倒钩射门打在麦克格文手臂上，主裁判认为无意手球，没有判罚点球
45'上海申鑫队右路斜传，凯萨顶到禁区内，王赟越位                   42'第42分钟，上海申鑫任意球传中被耿晓峰击出，之后凯撒禁区倒钩射门打在麦克格文手臂上，主裁判认为无意手球，没有判罚点球
45'中后场上海申鑫队断球反击，崔鹏铲球太凶了！！犯规！                   42'第42分钟，上海申鑫任意球传中被耿晓峰击出，之后凯撒禁区倒钩射门打在麦克格文手臂上，主裁判认为无意手球，没有判罚点球
45'王彤突破失误，上海申鑫队断球反击！！！                   45'上半场45分钟战罢，上海申鑫暂时与山东鲁能战成2-2
45'上海申鑫队右路斜传，凯萨顶到禁区内，王赟越位                   45'上半场45分钟战罢，上海申鑫暂时与山东鲁能战成2-2
45'中后场上海申鑫队断球反击，崔鹏铲球太凶了！！犯规！                   45'上半场45分钟战罢，上海申鑫暂时与山东鲁能战成2-2
46'崔鹏也吃到了黄牌！！                   45'上半场45分钟战罢，上海申鑫暂时与山东鲁能战成2-2
46'刚才是朱宝杰的突破被崔鹏放倒！                   45'上半场45分钟战罢，上海申鑫暂时与山东鲁能战成2-2
46'上半场比赛补时 2 分钟                   45'上半场45分钟战罢，上海申鑫暂时与山东鲁能战成2-2
47'姜至鹏发任意球直接打门，皮球偏出                   45'上半场45分钟战罢，上海申鑫暂时与山东鲁能战成2-2
47'鲁能泰山队右路直传，交给吕征                   45'上半场45分钟战罢，上海申鑫暂时与山东鲁能战成2-2
47'吕征把球回传                   45'上半场45分钟战罢，上海申鑫暂时与山东鲁能战成2-2
47'王彤挑传球被对方顶下来                   45'上半场45分钟战罢，上海申鑫暂时与山东鲁能战成2-2
47'上海申鑫队长传球，凯萨没能停好，郑铮把球抢下来                   45'上半场45分钟战罢，上海申鑫暂时与山东鲁能战成2-2
48'上半场比赛结束，双方战成2-2！                   45'上半场45分钟战罢，上海申鑫暂时与山东鲁能战成2-2
46'下半场比赛开始                   45'上半场45分钟战罢，上海申鑫暂时与山东鲁能战成2-2
46'鲁能泰山队开球，左路长传                   45'上半场45分钟战罢，上海申鑫暂时与山东鲁能战成2-2
46'安东尼奥中路突破一脚打门，偏出！                   45'上半场45分钟战罢，上海申鑫暂时与山东鲁能战成2-2
47'鲁能泰山队左路直传，郑铮前插横传                   45'上半场45分钟战罢，上海申鑫暂时与山东鲁能战成2-2
47'上海申鑫队左路直传，麦克格文把球抢断                   45'上半场45分钟战罢，上海申鑫暂时与山东鲁能战成2-2
48'凯萨左路传球，安东尼奥横传后点，王赟争顶偏出！                   45'上半场45分钟战罢，上海申鑫暂时与山东鲁能战成2-2
48'崔鹏中场得球，长传前场右路                   45'上半场45分钟战罢，上海申鑫暂时与山东鲁能战成2-2
48'吕征回传给王永珀，再交给崔鹏                   45'上半场45分钟战罢，上海申鑫暂时与山东鲁能战成2-2
48'上半场比赛结束，双方战成2-2！                   48'第48分钟，安东尼奥边路送出弧线球传中，耿晓峰出击失误，后点的王S力压刘金东头球顶空门，可惜顶偏了
48'凯萨左路传球，安东尼奥横传后点，王赟争顶偏出！                   48'第48分钟，安东尼奥边路送出弧线球传中，耿晓峰出击失误，后点的王S力压刘金东头球顶空门，可惜顶偏了
48'崔鹏中场得球，长传前场右路                   48'第48分钟，安东尼奥边路送出弧线球传中，耿晓峰出击失误，后点的王S力压刘金东头球顶空门，可惜顶偏了
48'吕征回传给王永珀，再交给崔鹏                   48'第48分钟，安东尼奥边路送出弧线球传中，耿晓峰出击失误，后点的王S力压刘金东头球顶空门，可惜顶偏了
49'王彤右路直传球快速前插，姜至鹏阻挡犯规！                   48'第48分钟，安东尼奥边路送出弧线球传中，耿晓峰出击失误，后点的王S力压刘金东头球顶空门，可惜顶偏了
49'王永珀传禁区被人墙挡出来                   48'第48分钟，安东尼奥边路送出弧线球传中，耿晓峰出击失误，后点的王S力压刘金东头球顶空门，可惜顶偏了
50'王永珀拼抢推倒了朱宝杰                   48'第48分钟，安东尼奥边路送出弧线球传中，耿晓峰出击失误，后点的王S力压刘金东头球顶空门，可惜顶偏了
50'王赟左路长传，凯萨越位                   48'第48分钟，安东尼奥边路送出弧线球传中，耿晓峰出击失误，后点的王S力压刘金东头球顶空门，可惜顶偏了
51'麦克格文把球转移到右路交给王彤                   48'第48分钟，安东尼奥边路送出弧线球传中，耿晓峰出击失误，后点的王S力压刘金东头球顶空门，可惜顶偏了
51'吕征右路突破横传禁区，崔鹏停球不好！                   48'第48分钟，安东尼奥边路送出弧线球传中，耿晓峰出击失误，后点的王S力压刘金东头球顶空门，可惜顶偏了
51'王永珀长传前场左路，力量稍小了点                   48'第48分钟，安东尼奥边路送出弧线球传中，耿晓峰出击失误，后点的王S力压刘金东头球顶空门，可惜顶偏了
51'安东尼奥左路横带，直传球没有传过去                   48'第48分钟，安东尼奥边路送出弧线球传中，耿晓峰出击失误，后点的王S力压刘金东头球顶空门，可惜顶偏了
54'安塔尔大脚长传找吕征，传得大了                   54'第54分钟，凯萨左路突破到禁区内横传门前，王S前插打门偏出
54'王彤在前场右路断球，可惜崔鹏分边出界                   54'第54分钟，凯萨左路突破到禁区内横传门前，王S前插打门偏出
54'凯萨左路突破到禁区内横传门前，王赟前插打门偏出！                   54'第54分钟，凯萨左路突破到禁区内横传门前，王S前插打门偏出
55'吕征右路突破回传，王永珀横传                   54'第54分钟，凯萨左路突破到禁区内横传门前，王S前插打门偏出
55'安东尼奥左路带球进攻，分给曲                   54'第54分钟，凯萨左路突破到禁区内横传门前，王S前插打门偏出
55'鲁能泰山队把球抢断下来，转移到左路进攻                   54'第54分钟，凯萨左路突破到禁区内横传门前，王S前插打门偏出
56'王永珀直传球失误，上海申鑫队反击                   54'第54分钟，凯萨左路突破到禁区内横传门前，王S前插打门偏出
56'中场上海申鑫队断球长传，凯萨越位！                   54'第54分钟，凯萨左路突破到禁区内横传门前，王S前插打门偏出
57'安塔尔中场拿球，转移到左路                   54'第54分钟，凯萨左路突破到禁区内横传门前，王S前插打门偏出
57'鲁能泰山队换人：王刚要上场，换下韩鹏                   54'第54分钟，凯萨左路突破到禁区内横传门前，王S前插打门偏出
60'郑铮斜传禁区，对方后卫把球回顶给刘殿座                   60'第60分钟，刚刚替补登场的王刚边路挑球过人后杀入禁区，刘殿座出击断球，王刚倒地再攻门未能形成威胁
60'上海申鑫队右路进攻，对方断球反击                   60'第60分钟，刚刚替补登场的王刚边路挑球过人后杀入禁区，刘殿座出击断球，王刚倒地再攻门未能形成威胁
61'崔鹏把球转移到右路，王刚突破到禁区内，刘殿座出击扑球没能扑住！！                   60'第60分钟，刚刚替补登场的王刚边路挑球过人后杀入禁区，刘殿座出击断球，王刚倒地再攻门未能形成威胁
61'王刚慢了                   60'第60分钟，刚刚替补登场的王刚边路挑球过人后杀入禁区，刘殿座出击断球，王刚倒地再攻门未能形成威胁
61'朱宝杰中路突破，杨旭背后犯规！！黄牌                   60'第60分钟，刚刚替补登场的王刚边路挑球过人后杀入禁区，刘殿座出击断球，王刚倒地再攻门未能形成威胁
61'上海申鑫队换人，雅伊尔顿上场换下安东尼奥                   60'第60分钟，刚刚替补登场的王刚边路挑球过人后杀入禁区，刘殿座出击断球，王刚倒地再攻门未能形成威胁
62'王永珀左路带球突破，邹仲霆绊了他一下                   60'第60分钟，刚刚替补登场的王刚边路挑球过人后杀入禁区，刘殿座出击断球，王刚倒地再攻门未能形成威胁
62'王永珀倒在地上，但主裁判不会吹的                   60'第60分钟，刚刚替补登场的王刚边路挑球过人后杀入禁区，刘殿座出击断球，王刚倒地再攻门未能形成威胁
63'王刚背身拿球没能拿好，上海申鑫队把球抢断                   60'第60分钟，刚刚替补登场的王刚边路挑球过人后杀入禁区，刘殿座出击断球，王刚倒地再攻门未能形成威胁
63'麦克格文后场断球右路快速反击，助攻过中场时叶重秋绊倒了他！！                   60'第60分钟，刚刚替补登场的王刚边路挑球过人后杀入禁区，刘殿座出击断球，王刚倒地再攻门未能形成威胁
63'叶重秋吃到黄牌                   60'第60分钟，刚刚替补登场的王刚边路挑球过人后杀入禁区，刘殿座出击断球，王刚倒地再攻门未能形成威胁
65'郑铮 发出界外球，杨旭横传被挡出底线                   65'第65分钟，山东鲁能角球发到禁区内，上海申鑫球员解围，王永珀抢点远射，球打偏了
65'角球发到禁区内，对方顶出来！！王永珀抢点远射，打偏！                   65'第65分钟，山东鲁能角球发到禁区内，上海申鑫球员解围，王永珀抢点远射，球打偏了
66'王刚右路横传球，王永珀把球回传                   65'第65分钟，山东鲁能角球发到禁区内，上海申鑫球员解围，王永珀抢点远射，球打偏了
66'安塔尔回传，崔鹏把球再交给郑铮                   65'第65分钟，山东鲁能角球发到禁区内，上海申鑫球员解围，王永珀抢点远射，球打偏了
66'郑铮左路斜传禁区，杨旭争抢推人犯规！                   65'第65分钟，山东鲁能角球发到禁区内，上海申鑫球员解围，王永珀抢点远射，球打偏了
67'安塔尔中场得球，回传给麦克格文                   65'第65分钟，山东鲁能角球发到禁区内，上海申鑫球员解围，王永珀抢点远射，球打偏了
67'麦克格文后场大意，凯萨抢到球，王彤回防把球铲出边线                   65'第65分钟，山东鲁能角球发到禁区内，上海申鑫球员解围，王永珀抢点远射，球打偏了
67'界外球发到禁区内，鲁能泰山队把球控下来                   65'第65分钟，山东鲁能角球发到禁区内，上海申鑫球员解围，王永珀抢点远射，球打偏了
68'鲁能泰山队长传球，杨旭的机会太好了，横传，王永珀单刀机会！！打门被刘殿座把球用腿挡出来！！                   65'第65分钟，山东鲁能角球发到禁区内，上海申鑫球员解围，王永珀抢点远射，球打偏了
68'鲁能泰山队进球了！！郑铮，3-2                   65'第65分钟，山东鲁能角球发到禁区内，上海申鑫球员解围，王永珀抢点远射，球打偏了
69'王永珀右路横禁区内后点，杨旭回顶，郑铮迎球怒射！！球进！！！                   69'第69分钟，山东鲁能默契进攻终于打穿对方防线，王彤边路弧线球传中，杨旭后点头球一做，跟进的郑铮凌空小角度打入球门，山东鲁能再次反超比分
69'郑卡洛斯！！！！                   69'第69分钟，山东鲁能默契进攻终于打穿对方防线，王彤边路弧线球传中，杨旭后点头球一做，跟进的郑铮凌空小角度打入球门，山东鲁能再次反超比分
70'王刚突破底线横传，对方把球破坏                   69'第69分钟，山东鲁能默契进攻终于打穿对方防线，王彤边路弧线球传中，杨旭后点头球一做，跟进的郑铮凌空小角度打入球门，山东鲁能再次反超比分
70'鲁能泰山队再得角球机会                   69'第69分钟，山东鲁能默契进攻终于打穿对方防线，王彤边路弧线球传中，杨旭后点头球一做，跟进的郑铮凌空小角度打入球门，山东鲁能再次反超比分
71'角球发到禁区内，谁也没有碰到啊，在中路落地，邹仲霆把球破坏！                   69'第69分钟，山东鲁能默契进攻终于打穿对方防线，王彤边路弧线球传中，杨旭后点头球一做，跟进的郑铮凌空小角度打入球门，山东鲁能再次反超比分
71'鲁能泰山队再得角球机会                   69'第69分钟，山东鲁能默契进攻终于打穿对方防线，王彤边路弧线球传中，杨旭后点头球一做，跟进的郑铮凌空小角度打入球门，山东鲁能再次反超比分
71'角球发到禁区内，安塔尔顶到了，偏出！                   69'第69分钟，山东鲁能默契进攻终于打穿对方防线，王彤边路弧线球传中，杨旭后点头球一做，跟进的郑铮凌空小角度打入球门，山东鲁能再次反超比分
71'上海申鑫队换人，朱家伟换下叶重秋                   69'第69分钟，山东鲁能默契进攻终于打穿对方防线，王彤边路弧线球传中，杨旭后点头球一做，跟进的郑铮凌空小角度打入球门，山东鲁能再次反超比分
72'上海申鑫队长传，耿晓锋出击把球没收                   69'第69分钟，山东鲁能默契进攻终于打穿对方防线，王彤边路弧线球传中，杨旭后点头球一做，跟进的郑铮凌空小角度打入球门，山东鲁能再次反超比分
72'大将汪强要上场了                   69'第69分钟，山东鲁能默契进攻终于打穿对方防线，王彤边路弧线球传中，杨旭后点头球一做，跟进的郑铮凌空小角度打入球门，山东鲁能再次反超比分
76'王彤直接红牌！！                   76'第76分钟，王彤铲倒刘峻楠被当值主裁判直接红牌罚下
77'刘峻楠左路拿球！！！！王彤背后铲球犯规过大！！主裁判直接出示红牌！                   76'第76分钟，王彤铲倒刘峻楠被当值主裁判直接红牌罚下
77'比赛还有15分左右的时间！对鲁能泰山队压力不小！！                   76'第76分钟，王彤铲倒刘峻楠被当值主裁判直接红牌罚下
77'任意球发到禁区内，对方顶出来                   76'第76分钟，王彤铲倒刘峻楠被当值主裁判直接红牌罚下
78'上海申鑫中路挑传禁区，雅伊尔顿头球过渡，凯萨抢点打门高出！                   76'第76分钟，王彤铲倒刘峻楠被当值主裁判直接红牌罚下
78'鲁能泰山队换人了：周海滨上场换下杨旭                   76'第76分钟，王彤铲倒刘峻楠被当值主裁判直接红牌罚下
79'乔尼抱着杨旭，让他快点下去！                   76'第76分钟，王彤铲倒刘峻楠被当值主裁判直接红牌罚下
79'吕征右路突破回传给了崔鹏                   76'第76分钟，王彤铲倒刘峻楠被当值主裁判直接红牌罚下
79'崔鹏直传球，吕征突破到禁区内，！！！他抬头看一下没有队友，直接打门！！打在边网！                   76'第76分钟，王彤铲倒刘峻楠被当值主裁判直接红牌罚下
79'乔尼抱着杨旭，让他快点下去！                   79'第79分钟，崔鹏送出直传球，吕征突破到禁区内直接打门打到了边网上
79'吕征右路突破回传给了崔鹏                   79'第79分钟，崔鹏送出直传球，吕征突破到禁区内直接打门打到了边网上
79'崔鹏直传球，吕征突破到禁区内，！！！他抬头看一下没有队友，直接打门！！打在边网！                   79'第79分钟，崔鹏送出直传球，吕征突破到禁区内直接打门打到了边网上
80'雅伊尔顿左路突破到禁区内，麦克格文回防，。雅伊尔顿摔倒在地！！                   79'第79分钟，崔鹏送出直传球，吕征突破到禁区内直接打门打到了边网上
80'主裁判认为是假摔，黄牌                   79'第79分钟，崔鹏送出直传球，吕征突破到禁区内直接打门打到了边网上
81'上海申鑫队换人，王佳玉上场换下朱宝杰                   79'第79分钟，崔鹏送出直传球，吕征突破到禁区内直接打门打到了边网上
81'吕征右路直传，小了，乔尼失误，周海滨回传                   79'第79分钟，崔鹏送出直传球，吕征突破到禁区内直接打门打到了边网上
82'雅伊尔顿左路被断，自己反抢下来向禁区内带球                   79'第79分钟，崔鹏送出直传球，吕征突破到禁区内直接打门打到了边网上
82'王刚抢了一下，碰到雅伊尔顿后出底线                   79'第79分钟，崔鹏送出直传球，吕征突破到禁区内直接打门打到了边网上
86'朱家伟中路突破远射，打高！                   86'第86分钟，朱家伟中路突破后远射，球打高了
86'王赟左路突破，被周海滨绕前把球抢断                   86'第86分钟，朱家伟中路突破后远射，球打高了
87'上海申鑫队挑传禁区，凯萨快速插上反越位啊！耿晓锋出击比较及时！                   86'第86分钟，朱家伟中路突破后远射，球打高了
87'邹仲霆后场争抢手球犯规                   86'第86分钟，朱家伟中路突破后远射，球打高了
88'鲁能泰山队得到前场右路任意球机会！！缓一下吧！                   86'第86分钟，朱家伟中路突破后远射，球打高了
88'发任意球交给小胖                   86'第86分钟，朱家伟中路突破后远射，球打高了
88'王永珀直传球，安塔尔突破到底线，想造角球，被乔尼把球破坏出边线                   86'第86分钟，朱家伟中路突破后远射，球打高了
89'麦克格文中场大脚长传，皮球出边线                   86'第86分钟，朱家伟中路突破后远射，球打高了
89'雅伊尔顿左路突破！一对一突王刚！不那么容易                   86'第86分钟，朱家伟中路突破后远射，球打高了
89'王刚脚下打滑，倒在地上                   86'第86分钟，朱家伟中路突破后远射，球打高了
89'上海申鑫队角球机会                   86'第86分钟，朱家伟中路突破后远射，球打高了
