1'上半场比赛开始！！！                   1'曼城第1分钟全力施压
71'曼城中场断球，德布劳内拿球往前走，给到了中路的席尔瓦，席尔瓦挑传给到禁区，阿圭罗跟进抽射远端破门！！！                   70'曼城第70分钟打破僵局，德布劳内策动进攻，席尔瓦直传，无人防守的阿圭罗禁区右肋10码处射入远角
71'曼城这边也是总算取得进球                   70'曼城第70分钟打破僵局，德布劳内策动进攻，席尔瓦直传，无人防守的阿圭罗禁区右肋10码处射入远角
71'而瓜迪奥拉在场边也是释放了一下压力                   70'曼城第70分钟打破僵局，德布劳内策动进攻，席尔瓦直传，无人防守的阿圭罗禁区右肋10码处射入远角
75'曼城这边左路拿球                   75'曼城第75分钟扩大比分，费尔南迪尼奥右路传中，防守热苏斯的顿克小禁区边缘头球自摆乌龙
75'挑传到禁区                   75'曼城第75分钟扩大比分，费尔南迪尼奥右路传中，防守热苏斯的顿克小禁区边缘头球自摆乌龙
75'底线回敲回来                   75'曼城第75分钟扩大比分，费尔南迪尼奥右路传中，防守热苏斯的顿克小禁区边缘头球自摆乌龙
75'中路的头球没有顶到啊                   75'曼城第75分钟扩大比分，费尔南迪尼奥右路传中，防守热苏斯的顿克小禁区边缘头球自摆乌龙
75'布莱顿这边要准备调整                   75'曼城第75分钟扩大比分，费尔南迪尼奥右路传中，防守热苏斯的顿克小禁区边缘头球自摆乌龙
75'0-2！！！！                   75'曼城第75分钟扩大比分，费尔南迪尼奥右路传中，防守热苏斯的顿克小禁区边缘头球自摆乌龙
75'乌龙啊！！！                   75'曼城第75分钟扩大比分，费尔南迪尼奥右路传中，防守热苏斯的顿克小禁区边缘头球自摆乌龙
76'顿克！！！                   75'曼城第75分钟扩大比分，费尔南迪尼奥右路传中，防守热苏斯的顿克小禁区边缘头球自摆乌龙
76'费尔南迪尼奥右路下底到禁区，顿克争抢头球不慎顶入自家球门！！                   75'曼城第75分钟扩大比分，费尔南迪尼奥右路传中，防守热苏斯的顿克小禁区边缘头球自摆乌龙
77'这球顿克顶的方向也不对啊                   75'曼城第75分钟扩大比分，费尔南迪尼奥右路传中，防守热苏斯的顿克小禁区边缘头球自摆乌龙
77'心态有些失衡                   75'曼城第75分钟扩大比分，费尔南迪尼奥右路传中，防守热苏斯的顿克小禁区边缘头球自摆乌龙
77'曼城这边换人                   75'曼城第75分钟扩大比分，费尔南迪尼奥右路传中，防守热苏斯的顿克小禁区边缘头球自摆乌龙
77'热苏斯下，斯特林上                   75'曼城第75分钟扩大比分，费尔南迪尼奥右路传中，防守热苏斯的顿克小禁区边缘头球自摆乌龙
