2'比达尔右侧直塞禁区！                   2'开场仅2分钟，比达尔直传，苏亚雷斯小禁区右上角外低射被费尔南德斯用腿挡出
62'梅西得球扣过防守！                   62'巴萨第62分钟打破僵局，苏亚雷斯禁区右侧射门被封堵，比达尔前顶，梅西10码处扣过罗贝尔后射门，皮球被费尔南德斯扑挡后仍入网
62'一脚推射1                   62'巴萨第62分钟打破僵局，苏亚雷斯禁区右侧射门被封堵，比达尔前顶，梅西10码处扣过罗贝尔后射门，皮球被费尔南德斯扑挡后仍入网
62'球进了！！                   62'巴萨第62分钟打破僵局，苏亚雷斯禁区右侧射门被封堵，比达尔前顶，梅西10码处扣过罗贝尔后射门，皮球被费尔南德斯扑挡后仍入网
63'巴萨领先了！                   62'巴萨第62分钟打破僵局，苏亚雷斯禁区右侧射门被封堵，比达尔前顶，梅西10码处扣过罗贝尔后射门，皮球被费尔南德斯扑挡后仍入网
64'莱万特长传前场！                   62'巴萨第62分钟打破僵局，苏亚雷斯禁区右侧射门被封堵，比达尔前顶，梅西10码处扣过罗贝尔后射门，皮球被费尔南德斯扑挡后仍入网
64'点到禁区右侧！                   62'巴萨第62分钟打破僵局，苏亚雷斯禁区右侧射门被封堵，比达尔前顶，梅西10码处扣过罗贝尔后射门，皮球被费尔南德斯扑挡后仍入网
64'单刀推射！                   62'巴萨第62分钟打破僵局，苏亚雷斯禁区右侧射门被封堵，比达尔前顶，梅西10码处扣过罗贝尔后射门，皮球被费尔南德斯扑挡后仍入网
64'特尔施特根扑出右侧底线！                   62'巴萨第62分钟打破僵局，苏亚雷斯禁区右侧射门被封堵，比达尔前顶，梅西10码处扣过罗贝尔后射门，皮球被费尔南德斯扑挡后仍入网
64'莱万特角球给前点！                   62'巴萨第62分钟打破僵局，苏亚雷斯禁区右侧射门被封堵，比达尔前顶，梅西10码处扣过罗贝尔后射门，皮球被费尔南德斯扑挡后仍入网
64'被打出去！                   62'巴萨第62分钟打破僵局，苏亚雷斯禁区右侧射门被封堵，比达尔前顶，梅西10码处扣过罗贝尔后射门，皮球被费尔南德斯扑挡后仍入网
65'继续传中！                   62'巴萨第62分钟打破僵局，苏亚雷斯禁区右侧射门被封堵，比达尔前顶，梅西10码处扣过罗贝尔后射门，皮球被费尔南德斯扑挡后仍入网
65'争顶出了边线！                   62'巴萨第62分钟打破僵局，苏亚雷斯禁区右侧射门被封堵，比达尔前顶，梅西10码处扣过罗贝尔后射门，皮球被费尔南德斯扑挡后仍入网
69'莱万特长传禁区！                   68'莱万特第68分钟再次错过机会，费尔南德斯大脚传球，莫拉莱斯10码处单刀推射偏出右上角
69'突然空了！                   68'莱万特第68分钟再次错过机会，费尔南德斯大脚传球，莫拉莱斯10码处单刀推射偏出右上角
69'单刀推射打高了！                   68'莱万特第68分钟再次错过机会，费尔南德斯大脚传球，莫拉莱斯10码处单刀推射偏出右上角
69'阿尔巴后场横传失误！                   68'莱万特第68分钟再次错过机会，费尔南德斯大脚传球，莫拉莱斯10码处单刀推射偏出右上角
69'莱万特禁区线上被犯规！                   68'莱万特第68分钟再次错过机会，费尔南德斯大脚传球，莫拉莱斯10码处单刀推射偏出右上角
69'任意球直接射门！                   68'莱万特第68分钟再次错过机会，费尔南德斯大脚传球，莫拉莱斯10码处单刀推射偏出右上角
69'打中人墙弹出！                   68'莱万特第68分钟再次错过机会，费尔南德斯大脚传球，莫拉莱斯10码处单刀推射偏出右上角
69'禁区右侧的扫射！                   68'莱万特第68分钟再次错过机会，费尔南德斯大脚传球，莫拉莱斯10码处单刀推射偏出右上角
69'偏出右侧底线！                   68'莱万特第68分钟再次错过机会，费尔南德斯大脚传球，莫拉莱斯10码处单刀推射偏出右上角
70'莱万特右侧挑传中路！                   68'莱万特第68分钟再次错过机会，费尔南德斯大脚传球，莫拉莱斯10码处单刀推射偏出右上角
70'皮克争顶肘击犯规！                   68'莱万特第68分钟再次错过机会，费尔南德斯大脚传球，莫拉莱斯10码处单刀推射偏出右上角
70'裁判给了黄扑！                   68'莱万特第68分钟再次错过机会，费尔南德斯大脚传球，莫拉莱斯10码处单刀推射偏出右上角
70'裁判给了黄牌！                   68'莱万特第68分钟再次错过机会，费尔南德斯大脚传球，莫拉莱斯10码处单刀推射偏出右上角
71'莱万特前场中路任意球！                   68'莱万特第68分钟再次错过机会，费尔南德斯大脚传球，莫拉莱斯10码处单刀推射偏出右上角
71'任意球直接射门！                   68'莱万特第68分钟再次错过机会，费尔南德斯大脚传球，莫拉莱斯10码处单刀推射偏出右上角
71'打中人墙弹出！                   68'莱万特第68分钟再次错过机会，费尔南德斯大脚传球，莫拉莱斯10码处单刀推射偏出右上角
89'莱万特左侧横传中路                   89'莱万特第89分钟险些扳平，坎帕尼亚禁区左侧回传，巴尔迪12码处半凌空弹射击中右侧立柱
90'推射打中右侧立柱弹出！                   89'莱万特第89分钟险些扳平，坎帕尼亚禁区左侧回传，巴尔迪12码处半凌空弹射击中右侧立柱
90'特尔施特根拿到去！                   89'莱万特第89分钟险些扳平，坎帕尼亚禁区左侧回传，巴尔迪12码处半凌空弹射击中右侧立柱
90'梅西中路突破禁区！                   89'莱万特第89分钟险些扳平，坎帕尼亚禁区左侧回传，巴尔迪12码处半凌空弹射击中右侧立柱
90'分左侧苏亚雷斯！                   89'莱万特第89分钟险些扳平，坎帕尼亚禁区左侧回传，巴尔迪12码处半凌空弹射击中右侧立柱
90'突破球被解围了！                   89'莱万特第89分钟险些扳平，坎帕尼亚禁区左侧回传，巴尔迪12码处半凌空弹射击中右侧立柱
91'莱万特左侧突破传中！                   89'莱万特第89分钟险些扳平，坎帕尼亚禁区左侧回传，巴尔迪12码处半凌空弹射击中右侧立柱
91'偏出右侧底线！                   89'莱万特第89分钟险些扳平，坎帕尼亚禁区左侧回传，巴尔迪12码处半凌空弹射击中右侧立柱
92'莱万特右侧传中被挡出底线！                   89'莱万特第89分钟险些扳平，坎帕尼亚禁区左侧回传，巴尔迪12码处半凌空弹射击中右侧立柱
