6'射门!!!罗马球员德罗西大禁区外右脚射门,被对方守门员横身扑出.给他传球的是皮亚尼奇.                   6'开场6分钟，德罗西在门前28米处大力抽射被汉达诺维奇封出左门柱
52'罗马换人,凯塔换下托蒂                   52'下半时开始7分钟，瓜林反击直传，伊卡尔迪禁区右侧射门偏出近门柱
53'罗马球员皮亚尼奇一脚直塞球给热尔维尼奥,但是边裁举旗显示后者已经越位.                   52'下半时开始7分钟，瓜林反击直传，伊卡尔迪禁区右侧射门偏出近门柱
54'国际米兰球员布罗佐维奇拼抢犯规,对手获得控球权.                   52'下半时开始7分钟，瓜林反击直传，伊卡尔迪禁区右侧射门偏出近门柱
54'José Holebas为罗马赢得一个任意球.                   52'下半时开始7分钟，瓜林反击直传，伊卡尔迪禁区右侧射门偏出近门柱
54'黄牌！国际米兰球员布罗佐维奇因为恶意犯规,被主裁判出示黄牌.                   52'下半时开始7分钟，瓜林反击直传，伊卡尔迪禁区右侧射门偏出近门柱
55'罗马José Holebas受伤倒地,比赛暂停                   52'下半时开始7分钟，瓜林反击直传，伊卡尔迪禁区右侧射门偏出近门柱
55'暂停结束,球员们重新开始比赛.                   52'下半时开始7分钟，瓜林反击直传，伊卡尔迪禁区右侧射门偏出近门柱
63'进球啦！！！罗马球员纳因戈兰大禁区右侧右脚射门,球从中路飞进球门,球进了!助攻的是皮亚尼奇. 国际米兰 1-1 罗马.                   63'罗马第63分钟扳平
65'射门!!!国际米兰球员瓜林球门左侧小角度右脚射门,被对方守门员横身扑出.给他传球的是伊卡尔迪.                   63'罗马第63分钟扳平
66'国际米兰球员胡安拼抢犯规,对手获得控球权.                   63'罗马第63分钟扳平
66'纳因戈兰为罗马在对方半场,赢得一个任意球.                   63'罗马第63分钟扳平
66'黄牌！国际米兰球员胡安因为恶意犯规,被主裁判出示黄牌.                   63'罗马第63分钟扳平
68'射门!!!罗马球员皮亚尼奇大禁区外右脚射门,被对方守门员横身扑出.                   68'第68分钟，皮亚尼奇在门前25米处主罚任意球被汉达诺维奇扑出，维迪奇抢在凯塔前面破坏出底线
68'维迪奇将球处理出底线,罗马获得角球.                   68'第68分钟，皮亚尼奇在门前25米处主罚任意球被汉达诺维奇扑出，维迪奇抢在凯塔前面破坏出底线
68'布罗佐维奇将球处理出底线,罗马获得角球.                   68'第68分钟，皮亚尼奇在门前25米处主罚任意球被汉达诺维奇扑出，维迪奇抢在凯塔前面破坏出底线
69'维迪奇为国际米兰赢得一个任意球.                   68'第68分钟，皮亚尼奇在门前25米处主罚任意球被汉达诺维奇扑出，维迪奇抢在凯塔前面破坏出底线
69'罗马球员Víctor Ibarbo拼抢犯规,对手获得控球权.                   68'第68分钟，皮亚尼奇在门前25米处主罚任意球被汉达诺维奇扑出，维迪奇抢在凯塔前面破坏出底线
70'拉诺齐亚为国际米兰赢得一个任意球.                   68'第68分钟，皮亚尼奇在门前25米处主罚任意球被汉达诺维奇扑出，维迪奇抢在凯塔前面破坏出底线
70'罗马球员Víctor Ibarbo拼抢犯规,对手获得控球权.                   68'第68分钟，皮亚尼奇在门前25米处主罚任意球被汉达诺维奇扑出，维迪奇抢在凯塔前面破坏出底线
71'国际米兰换人,科瓦契奇换下布罗佐维奇                   68'第68分钟，皮亚尼奇在门前25米处主罚任意球被汉达诺维奇扑出，维迪奇抢在凯塔前面破坏出底线
84'José Holebas将球处理出底线,国际米兰获得角球.                   84'第84分钟，科瓦契奇头球摆渡，伊卡尔迪反越位停球调整，在门前12米处打高
84'国际米兰球员胡安拼抢犯规,对手获得控球权.                   84'第84分钟，科瓦契奇头球摆渡，伊卡尔迪反越位停球调整，在门前12米处打高
84'Juan Iturbe为罗马赢得一个任意球.                   84'第84分钟，科瓦契奇头球摆渡，伊卡尔迪反越位停球调整，在门前12米处打高
84'国际米兰球员伊卡尔迪大禁区中央尝试右脚射门,可惜皮球高出球门.给他传球的是科瓦契奇.                   84'第84分钟，科瓦契奇头球摆渡，伊卡尔迪反越位停球调整，在门前12米处打高
86'帕拉西奥为国际米兰在左路,赢得一个任意球.                   84'第84分钟，科瓦契奇头球摆渡，伊卡尔迪反越位停球调整，在门前12米处打高
86'罗马球员德罗西拼抢犯规,对手获得控球权.                   84'第84分钟，科瓦契奇头球摆渡，伊卡尔迪反越位停球调整，在门前12米处打高
86'黄牌！罗马球员德罗西因为恶意犯规,被主裁判出示黄牌.                   84'第84分钟，科瓦契奇头球摆渡，伊卡尔迪反越位停球调整，在门前12米处打高
86'国际米兰换人,波多尔斯基换下Assane Demoya Gnoukouri                   84'第84分钟，科瓦契奇头球摆渡，伊卡尔迪反越位停球调整，在门前12米处打高
