3'河南建业队进球啦，两分半！1-0                   3'开场3分钟，河南建业队打破僵局
30'王大雷大脚开球到前场，野牛前场左路接球，在对方两人包夹下球出边线                   27'第27分钟，山东鲁能错失进球机会，杨旭挑传禁区，王永珀快速插上底线附近传至后点，跟进的塔尔德利小角度抽射高出横梁
36'队员有情绪！！是此前主裁判给尤西雷出黄牌给惹的！                   36'第36分钟，肖智和汪强争顶时倒地，汪强下落时不小心踩到肖智，结果主裁判直接给了汪强红牌，山东鲁能球员很不理解，王大雷又被黄牌警告
36'再次放慢镜：汪强争顶应该没有问题啊！主裁判直接给红牌，这是为什么呢？                   36'第36分钟，肖智和汪强争顶时倒地，汪强下落时不小心踩到肖智，结果主裁判直接给了汪强红牌，山东鲁能球员很不理解，王大雷又被黄牌警告
37'鲁能泰山队目前三黄加一红！                   36'第36分钟，肖智和汪强争顶时倒地，汪强下落时不小心踩到肖智，结果主裁判直接给了汪强红牌，山东鲁能球员很不理解，王大雷又被黄牌警告
37'任意球发出来，河南建业队把球传禁区，对方破坏出来                   36'第36分钟，肖智和汪强争顶时倒地，汪强下落时不小心踩到肖智，结果主裁判直接给了汪强红牌，山东鲁能球员很不理解，王大雷又被黄牌警告
37'河南建业队右路直传球，尤西雷卡住了位置，肖智铲球犯规                   36'第36分钟，肖智和汪强争顶时倒地，汪强下落时不小心踩到肖智，结果主裁判直接给了汪强红牌，山东鲁能球员很不理解，王大雷又被黄牌警告
38'尤西雷受伤倒在地上！也是向裁判示压！当然也确实铲到了                   36'第36分钟，肖智和汪强争顶时倒地，汪强下落时不小心踩到肖智，结果主裁判直接给了汪强红牌，山东鲁能球员很不理解，王大雷又被黄牌警告
38'王大雷大脚开球到前场，对方争顶下来                   36'第36分钟，肖智和汪强争顶时倒地，汪强下落时不小心踩到肖智，结果主裁判直接给了汪强红牌，山东鲁能球员很不理解，王大雷又被黄牌警告
38'冲动是魔鬼！郄必须冷静下来                   36'第36分钟，肖智和汪强争顶时倒地，汪强下落时不小心踩到肖智，结果主裁判直接给了汪强红牌，山东鲁能球员很不理解，王大雷又被黄牌警告
39'杨旭在禁区内前插，被放倒！郑仁焕的抬脚有些高，但主裁判并没有吹                   36'第36分钟，肖智和汪强争顶时倒地，汪强下落时不小心踩到肖智，结果主裁判直接给了汪强红牌，山东鲁能球员很不理解，王大雷又被黄牌警告
39'韩锋大脚开球过中场，对方抢球出边线                   36'第36分钟，肖智和汪强争顶时倒地，汪强下落时不小心踩到肖智，结果主裁判直接给了汪强红牌，山东鲁能球员很不理解，王大雷又被黄牌警告
51'河南建业队传球到禁区内，对方解围不远，肖智打门，王大雷出击把角度封死                   50'下半场易边再战，第50分钟，河南建业队差点破门
52'角球发到禁区内，对方破坏出来                   50'下半场易边再战，第50分钟，河南建业队差点破门
52'后场河南建业队断球，对方抢球犯规                   50'下半场易边再战，第50分钟，河南建业队差点破门
52'任意球发到前场，越位啦                   50'下半场易边再战，第50分钟，河南建业队差点破门
53'王彤右路得球直传，对方将球破坏出边线                   50'下半场易边再战，第50分钟，河南建业队差点破门
53'界外球发出来，王永珀突破横传，乌索再分边，顾操把球破坏                   50'下半场易边再战，第50分钟，河南建业队差点破门
54'战术角球发出来，蒿俊闵右路横传禁区，梁雨头球顶出底线                   54'第54分钟，山东鲁能角球传中被挡出，蒿俊闵禁区外跳起凌空抽射吊射死角，韩锋门线上将球没收
54'王永珀发角球到禁区内，对方顶出来，鲁能泰山队外围的远射，被韩锋没收                   54'第54分钟，山东鲁能角球传中被挡出，蒿俊闵禁区外跳起凌空抽射吊射死角，韩锋门线上将球没收
54'河南建业队要打反击，鲁能战术犯规                   54'第54分钟，山东鲁能角球传中被挡出，蒿俊闵禁区外跳起凌空抽射吊射死角，韩锋门线上将球没收
55'任意球发出来，河南建业队长传前场，不越位，鲁能泰山队绕前把球抢断下来                   54'第54分钟，山东鲁能角球传中被挡出，蒿俊闵禁区外跳起凌空抽射吊射死角，韩锋门线上将球没收
55'阿洛伊西奥左路进攻，对方犯规啦                   54'第54分钟，山东鲁能角球传中被挡出，蒿俊闵禁区外跳起凌空抽射吊射死角，韩锋门线上将球没收
55'犯规的是戈麦斯                   54'第54分钟，山东鲁能角球传中被挡出，蒿俊闵禁区外跳起凌空抽射吊射死角，韩锋门线上将球没收
56'鲁能泰山队攻到前场，戈麦斯头球争顶解围                   54'第54分钟，山东鲁能角球传中被挡出，蒿俊闵禁区外跳起凌空抽射吊射死角，韩锋门线上将球没收
57'河南建业队一名队员受伤倒在地上，是尤成                   54'第54分钟，山东鲁能角球传中被挡出，蒿俊闵禁区外跳起凌空抽射吊射死角，韩锋门线上将球没收
57'受伤的是龙成，刚才他在抢球时被塔尔德利碰倒                   54'第54分钟，山东鲁能角球传中被挡出，蒿俊闵禁区外跳起凌空抽射吊射死角，韩锋门线上将球没收
57'龙成到场外接受治疗                   54'第54分钟，山东鲁能角球传中被挡出，蒿俊闵禁区外跳起凌空抽射吊射死角，韩锋门线上将球没收
64'韩鹏换下王永珀！                   64'第64分钟，山东鲁能进行调整，韩鹏和金敬道分别换下王永珀以及塔尔德利，杨旭与韩鹏打双中锋
64'鲁能泰山队拼啦                   64'第64分钟，山东鲁能进行调整，韩鹏和金敬道分别换下王永珀以及塔尔德利，杨旭与韩鹏打双中锋
65'鲁能泰山队左路斜传禁区，对方护球出底线                   64'第64分钟，山东鲁能进行调整，韩鹏和金敬道分别换下王永珀以及塔尔德利，杨旭与韩鹏打双中锋
66'金敬道在前场得球直传，韩鹏外围远射被挡出底线                   64'第64分钟，山东鲁能进行调整，韩鹏和金敬道分别换下王永珀以及塔尔德利，杨旭与韩鹏打双中锋
66'鲁能泰山队得到角球机会                   64'第64分钟，山东鲁能进行调整，韩鹏和金敬道分别换下王永珀以及塔尔德利，杨旭与韩鹏打双中锋
67'蒿俊闵发角球到后点，阿洛伊西奥头球顶门，太正了些，韩锋没收                   64'第64分钟，山东鲁能进行调整，韩鹏和金敬道分别换下王永珀以及塔尔德利，杨旭与韩鹏打双中锋
67'河南建业队快速反击，对方犯规                   64'第64分钟，山东鲁能进行调整，韩鹏和金敬道分别换下王永珀以及塔尔德利，杨旭与韩鹏打双中锋
71'鲁能泰山队换人：蒙蒂略上场换下杨旭                   71'第71分钟，库卡再次调整，蒙蒂略换下杨旭
71'双方都用完了三个换人名额！                   71'第71分钟，库卡再次调整，蒙蒂略换下杨旭
72'鲁能泰山队斜传球到禁区内，韩锋没收                   71'第71分钟，库卡再次调整，蒙蒂略换下杨旭
72'阿洛伊西奥底线横传，蒙蒂略争顶，韩锋把球摘下来                   71'第71分钟，库卡再次调整，蒙蒂略换下杨旭
73'后场鲁能泰山队得球，大脚长传过中场，送给对手                   71'第71分钟，库卡再次调整，蒙蒂略换下杨旭
73'河南建业队左路长传禁区，梁雨头球顶门，王大雷轻松没收                   71'第71分钟，库卡再次调整，蒙蒂略换下杨旭
73'蒿俊闵中路带球突破，被地方抢断                   71'第71分钟，库卡再次调整，蒙蒂略换下杨旭
74'乌索后场得球左路反击，对方两人包夹把球抢断下来                   71'第71分钟，库卡再次调整，蒙蒂略换下杨旭
74'郑铮左路接球直传，对方破坏出边线                   71'第71分钟，库卡再次调整，蒙蒂略换下杨旭
