1'上半场比赛开始！                   1'第1分钟，坎德雷瓦开出角球，卢利奇小角度头球偏出
15'两队现在在中场的拼抢非常激烈                   15'第15分钟，坎德雷瓦中场丢球，德希利奥铲传发起反击，沙拉维左路拿球内切，受到身后坎德雷瓦推搡倒在禁区内，主裁判里佐利与助手长时间商议后，向坎德雷瓦掏出红牌
15'米兰中场断球直接送到沙拉维脚下                   15'第15分钟，坎德雷瓦中场丢球，德希利奥铲传发起反击，沙拉维左路拿球内切，受到身后坎德雷瓦推搡倒在禁区内，主裁判里佐利与助手长时间商议后，向坎德雷瓦掏出红牌
15'沙拉维拿球往禁区里走被坎德雷瓦放倒                   15'第15分钟，坎德雷瓦中场丢球，德希利奥铲传发起反击，沙拉维左路拿球内切，受到身后坎德雷瓦推搡倒在禁区内，主裁判里佐利与助手长时间商议后，向坎德雷瓦掏出红牌
16'沙拉维摔倒在了禁区内                   15'第15分钟，坎德雷瓦中场丢球，德希利奥铲传发起反击，沙拉维左路拿球内切，受到身后坎德雷瓦推搡倒在禁区内，主裁判里佐利与助手长时间商议后，向坎德雷瓦掏出红牌
17'在沙拉维被侵犯后，双方球员也是上前跟主裁判进行交涉                   15'第15分钟，坎德雷瓦中场丢球，德希利奥铲传发起反击，沙拉维左路拿球内切，受到身后坎德雷瓦推搡倒在禁区内，主裁判里佐利与助手长时间商议后，向坎德雷瓦掏出红牌
17'最后坎德雷瓦被红牌直接罚出场外                   15'第15分钟，坎德雷瓦中场丢球，德希利奥铲传发起反击，沙拉维左路拿球内切，受到身后坎德雷瓦推搡倒在禁区内，主裁判里佐利与助手长时间商议后，向坎德雷瓦掏出红牌
18'这个球坎德雷瓦是在禁区线上对沙拉维犯规，而沙拉维是倒在了禁区内                   15'第15分钟，坎德雷瓦中场丢球，德希利奥铲传发起反击，沙拉维左路拿球内切，受到身后坎德雷瓦推搡倒在禁区内，主裁判里佐利与助手长时间商议后，向坎德雷瓦掏出红牌
18'米兰获得一个位置极佳的任意球机会                   15'第15分钟，坎德雷瓦中场丢球，德希利奥铲传发起反击，沙拉维左路拿球内切，受到身后坎德雷瓦推搡倒在禁区内，主裁判里佐利与助手长时间商议后，向坎德雷瓦掏出红牌
18'对于这次犯规，如果不通过慢动作来看真的是很难分辨是点球还是任意球                   15'第15分钟，坎德雷瓦中场丢球，德希利奥铲传发起反击，沙拉维左路拿球内切，受到身后坎德雷瓦推搡倒在禁区内，主裁判里佐利与助手长时间商议后，向坎德雷瓦掏出红牌
24'沙拉维左路拿球将球横敲                   24'第24分钟，蒙托利沃左路远射高出
24'博阿滕故意一漏跟队友做了一个配合                   24'第24分钟，蒙托利沃左路远射高出
25'博阿滕底线将球送到禁区内                   24'第24分钟，蒙托利沃左路远射高出
25'沙拉维没有跑啊                   24'第24分钟，蒙托利沃左路远射高出
25'米兰获得角球机会                   24'第24分钟，蒙托利沃左路远射高出
25'战术角球开出，米兰禁区外围的远射打高                   24'第24分钟，蒙托利沃左路远射高出
25'现在拉齐奥队是完全的被动                   24'第24分钟，蒙托利沃左路远射高出
26'米兰将球给到左路                   24'第24分钟，蒙托利沃左路远射高出
26'德希利奥左路传球送到禁区内，结果前点的帕齐尼和后点的博阿滕都没有顶到                   24'第24分钟，蒙托利沃左路远射高出
27'如果这个两人其中一个人能碰到，这个球基本上就进了                   24'第24分钟，蒙托利沃左路远射高出
27'蒙托利沃前场拿球再次给到德希利奥                   24'第24分钟，蒙托利沃左路远射高出
27'德希利奥边路的传中被佩雷里尼亚挡出                   24'第24分钟，蒙托利沃左路远射高出
31'米兰左路传球送到禁区内                   31'第31分钟，蒙托利沃左路传中，帕齐尼背身倚住拉杜倒地，里佐利没有表示，帕齐尼提出抗议，被黄牌警告
31'帕齐尼大腿停球后转身后摔倒                   31'第31分钟，蒙托利沃左路传中，帕齐尼背身倚住拉杜倒地，里佐利没有表示，帕齐尼提出抗议，被黄牌警告
32'主裁判示意拉杜这个球防守没有犯规                   31'第31分钟，蒙托利沃左路传中，帕齐尼背身倚住拉杜倒地，里佐利没有表示，帕齐尼提出抗议，被黄牌警告
32'主裁判给了帕齐尼一张黄牌！                   31'第31分钟，蒙托利沃左路传中，帕齐尼背身倚住拉杜倒地，里佐利没有表示，帕齐尼提出抗议，被黄牌警告
33'拉齐奥前场边路的传球出现了失误                   31'第31分钟，蒙托利沃左路传中，帕齐尼背身倚住拉杜倒地，里佐利没有表示，帕齐尼提出抗议，被黄牌警告
34'阿巴特中场拿球被卢利奇拉倒                   31'第31分钟，蒙托利沃左路传中，帕齐尼背身倚住拉杜倒地，里佐利没有表示，帕齐尼提出抗议，被黄牌警告
34'米兰中场的横向转移也是失误了                   31'第31分钟，蒙托利沃左路传中，帕齐尼背身倚住拉杜倒地，里佐利没有表示，帕齐尼提出抗议，被黄牌警告
40'博阿滕中场带球往前走被拉杜撞倒                   40'AC米兰第40分钟取得领先
40'米兰进球了！！                   40'AC米兰第40分钟取得领先
40'帕齐尼！！                   40'AC米兰第40分钟取得领先
41'阿巴特右路禁区内拿球低射造成马尔凯蒂扑球脱手，沙拉维跟上的补射被后卫干扰，帕齐尼跟上再补打空门球进！                   40'AC米兰第40分钟取得领先
42'拉齐奥后场拿球又险些被帕齐尼抢断                   40'AC米兰第40分钟取得领先
43'蒙托利沃前场边路的积极拼抢迫使拉齐奥球员将球碰出边线                   40'AC米兰第40分钟取得领先
44'博阿滕挑传送到禁区内，阿巴特禁区内得球后将球扫到门球，拉齐奥的解围险些将球自摆乌龙                   44'第44分钟，阿巴特禁区右侧传中，迪亚斯抢在帕齐尼前面解围险些自摆乌龙，球偏出近门柱，沙拉维右侧开出角球，帕齐尼在门前8米处大力头槌被马尔凯蒂倒地单手封出，博阿滕补射入网，2比0
44'米兰获得角球机会                   44'第44分钟，阿巴特禁区右侧传中，迪亚斯抢在帕齐尼前面解围险些自摆乌龙，球偏出近门柱，沙拉维右侧开出角球，帕齐尼在门前8米处大力头槌被马尔凯蒂倒地单手封出，博阿滕补射入网，2比0
44'米兰又进球了！！                   44'第44分钟，阿巴特禁区右侧传中，迪亚斯抢在帕齐尼前面解围险些自摆乌龙，球偏出近门柱，沙拉维右侧开出角球，帕齐尼在门前8米处大力头槌被马尔凯蒂倒地单手封出，博阿滕补射入网，2比0
44'博阿滕！！                   44'第44分钟，阿巴特禁区右侧传中，迪亚斯抢在帕齐尼前面解围险些自摆乌龙，球偏出近门柱，沙拉维右侧开出角球，帕齐尼在门前8米处大力头槌被马尔凯蒂倒地单手封出，博阿滕补射入网，2比0
45'米兰角球给到前点，帕齐尼头球攻门被马尔凯蒂在门线上托出，博阿滕跟上补射将球打进！                   44'第44分钟，阿巴特禁区右侧传中，迪亚斯抢在帕齐尼前面解围险些自摆乌龙，球偏出近门柱，沙拉维右侧开出角球，帕齐尼在门前8米处大力头槌被马尔凯蒂倒地单手封出，博阿滕补射入网，2比0
45'短短几分钟，拉齐奥队是瞬间崩溃了                   44'第44分钟，阿巴特禁区右侧传中，迪亚斯抢在帕齐尼前面解围险些自摆乌龙，球偏出近门柱，沙拉维右侧开出角球，帕齐尼在门前8米处大力头槌被马尔凯蒂倒地单手封出，博阿滕补射入网，2比0
46'博阿滕前场拿球往禁区内送，球被拉齐奥队解围出底线                   44'第44分钟，阿巴特禁区右侧传中，迪亚斯抢在帕齐尼前面解围险些自摆乌龙，球偏出近门柱，沙拉维右侧开出角球，帕齐尼在门前8米处大力头槌被马尔凯蒂倒地单手封出，博阿滕补射入网，2比0
46'沙拉维角球给到前点，这次是被拉齐奥球员顶出                   44'第44分钟，阿巴特禁区右侧传中，迪亚斯抢在帕齐尼前面解围险些自摆乌龙，球偏出近门柱，沙拉维右侧开出角球，帕齐尼在门前8米处大力头槌被马尔凯蒂倒地单手封出，博阿滕补射入网，2比0
46'上半场要补射1分钟                   44'第44分钟，阿巴特禁区右侧传中，迪亚斯抢在帕齐尼前面解围险些自摆乌龙，球偏出近门柱，沙拉维右侧开出角球，帕齐尼在门前8米处大力头槌被马尔凯蒂倒地单手封出，博阿滕补射入网，2比0
46'上半场要补时1分钟                    44'第44分钟，阿巴特禁区右侧传中，迪亚斯抢在帕齐尼前面解围险些自摆乌龙，球偏出近门柱，沙拉维右侧开出角球，帕齐尼在门前8米处大力头槌被马尔凯蒂倒地单手封出，博阿滕补射入网，2比0
47'阿比亚蒂上半场比赛是非常轻松                   44'第44分钟，阿巴特禁区右侧传中，迪亚斯抢在帕齐尼前面解围险些自摆乌龙，球偏出近门柱，沙拉维右侧开出角球，帕齐尼在门前8米处大力头槌被马尔凯蒂倒地单手封出，博阿滕补射入网，2比0
46'下半场比赛开始！                   44'第44分钟，阿巴特禁区右侧传中，迪亚斯抢在帕齐尼前面解围险些自摆乌龙，球偏出近门柱，沙拉维右侧开出角球，帕齐尼在门前8米处大力头槌被马尔凯蒂倒地单手封出，博阿滕补射入网，2比0
46'下半场比赛由米兰开球                   44'第44分钟，阿巴特禁区右侧传中，迪亚斯抢在帕齐尼前面解围险些自摆乌龙，球偏出近门柱，沙拉维右侧开出角球，帕齐尼在门前8米处大力头槌被马尔凯蒂倒地单手封出，博阿滕补射入网，2比0
46'拉齐奥这边的换人应该还是稍微等了等                   44'第44分钟，阿巴特禁区右侧传中，迪亚斯抢在帕齐尼前面解围险些自摆乌龙，球偏出近门柱，沙拉维右侧开出角球，帕齐尼在门前8米处大力头槌被马尔凯蒂倒地单手封出，博阿滕补射入网，2比0
47'拉齐奥中场断球将球横向转移                   44'第44分钟，阿巴特禁区右侧传中，迪亚斯抢在帕齐尼前面解围险些自摆乌龙，球偏出近门柱，沙拉维右侧开出角球，帕齐尼在门前8米处大力头槌被马尔凯蒂倒地单手封出，博阿滕补射入网，2比0
47'米兰在中场又将球反抢下来                   44'第44分钟，阿巴特禁区右侧传中，迪亚斯抢在帕齐尼前面解围险些自摆乌龙，球偏出近门柱，沙拉维右侧开出角球，帕齐尼在门前8米处大力头槌被马尔凯蒂倒地单手封出，博阿滕补射入网，2比0
53'帕齐尼中场准备接球的时候被迪亚斯侵犯                   53'第53分钟，安布分球，扎卡尔多禁区左侧距门14米处推射偏出近门柱
53'博阿滕右路接球又被拉杜放倒                   53'第53分钟，安布分球，扎卡尔多禁区左侧距门14米处推射偏出近门柱
54'任意球发出给到安布罗西尼脚下                   53'第53分钟，安布分球，扎卡尔多禁区左侧距门14米处推射偏出近门柱
54'安布罗西尼将球斜传送到禁区内，扎卡尔多转身打门打偏了                   53'第53分钟，安布分球，扎卡尔多禁区左侧距门14米处推射偏出近门柱
55'埃尔纳内斯左路拿球被安布罗西尼从身后撞倒                   53'第53分钟，安布分球，扎卡尔多禁区左侧距门14米处推射偏出近门柱
55'拉齐奥前场左路禁区角上获得任意球机会                   53'第53分钟，安布分球，扎卡尔多禁区左侧距门14米处推射偏出近门柱
56'埃尔纳内斯任意球直接打门，球被阿比亚蒂托出底线                   53'第53分钟，安布分球，扎卡尔多禁区左侧距门14米处推射偏出近门柱
58'队友一敲直接送到右路的弗拉米尼                   58'第58分钟，博阿滕差点把拉杜球裤扯下来，拉杜推搡博阿滕，两人前额相抵，均吃到黄牌
58'弗拉米尼边路起球送到中路，球被拉齐奥球员解围                   58'第58分钟，博阿滕差点把拉杜球裤扯下来，拉杜推搡博阿滕，两人前额相抵，均吃到黄牌
58'中场博阿滕拿球被拉杜侵犯                   58'第58分钟，博阿滕差点把拉杜球裤扯下来，拉杜推搡博阿滕，两人前额相抵，均吃到黄牌
59'博阿滕倒地的时候拽了拉杜的裤子，最后是险些被拉了下来                   58'第58分钟，博阿滕差点把拉杜球裤扯下来，拉杜推搡博阿滕，两人前额相抵，均吃到黄牌
59'双方稍微有点火气                   58'第58分钟，博阿滕差点把拉杜球裤扯下来，拉杜推搡博阿滕，两人前额相抵，均吃到黄牌
59'主裁判也是各打50打板一人一张黄牌                   58'第58分钟，博阿滕差点把拉杜球裤扯下来，拉杜推搡博阿滕，两人前额相抵，均吃到黄牌
60'3-0！！！                   58'第58分钟，博阿滕差点把拉杜球裤扯下来，拉杜推搡博阿滕，两人前额相抵，均吃到黄牌
60'帕齐尼远射破门！！                   58'第58分钟，博阿滕差点把拉杜球裤扯下来，拉杜推搡博阿滕，两人前额相抵，均吃到黄牌
60'米兰中场长传打到前场，拉杜解围失误正好落在帕齐尼脚下，帕齐尼也不做调整直接远射破门！                   58'第58分钟，博阿滕差点把拉杜球裤扯下来，拉杜推搡博阿滕，两人前额相抵，均吃到黄牌
61'比赛基本上失去了悬念                   58'第58分钟，博阿滕差点把拉杜球裤扯下来，拉杜推搡博阿滕，两人前额相抵，均吃到黄牌
61'拉齐奥右路起球送到禁区内，弗洛卡里头球吊射稍稍顶偏                   58'第58分钟，博阿滕差点把拉杜球裤扯下来，拉杜推搡博阿滕，两人前额相抵，均吃到黄牌
64'帕齐尼前场传球被碰了一下后被拉齐奥得到                   64'第64分钟，博阿滕在门前13米处铲射偏出左门柱
64'中场拉齐奥接球的时候又没拿好                   64'第64分钟，博阿滕在门前13米处铲射偏出左门柱
64'阿巴特拿球通过中场给到了博阿滕脚下                   64'第64分钟，博阿滕在门前13米处铲射偏出左门柱
64'博阿滕将球给到沙拉维脚下                   64'第64分钟，博阿滕在门前13米处铲射偏出左门柱
65'沙拉维得球后调整将球分边                   64'第64分钟，博阿滕在门前13米处铲射偏出左门柱
65'德希利奥边路起球送到禁区内                   64'第64分钟，博阿滕在门前13米处铲射偏出左门柱
65'拉齐奥球员头球解围下来                   64'第64分钟，博阿滕在门前13米处铲射偏出左门柱
65'博阿滕门前的扫射打偏了                   64'第64分钟，博阿滕在门前13米处铲射偏出左门柱
66'沙拉维左路拿球往禁区内送到后点                   64'第64分钟，博阿滕在门前13米处铲射偏出左门柱
66'结果拉杜的解围漏掉了，而后点帕齐尼跟上的打门也是踢了一脚空气                   64'第64分钟，博阿滕在门前13米处铲射偏出左门柱
67'米兰换人，帕齐尼下，尼昂上！                   64'第64分钟，博阿滕在门前13米处铲射偏出左门柱
70'是沙拉维的抢点                   70'第70分钟，德希利奥中场直传，尼昂将球让给沙拉维，沙拉维单刀突入禁区左侧推射偏出远门柱
70'沙拉维单刀推射远角打偏了！！                   70'第70分钟，德希利奥中场直传，尼昂将球让给沙拉维，沙拉维单刀突入禁区左侧推射偏出远门柱
71'拉齐奥换人，埃尔纳内斯下，埃德森上！                   70'第70分钟，德希利奥中场直传，尼昂将球让给沙拉维，沙拉维单刀突入禁区左侧推射偏出远门柱
71'米兰中场拿球将球横向转移                   70'第70分钟，德希利奥中场直传，尼昂将球让给沙拉维，沙拉维单刀突入禁区左侧推射偏出远门柱
71'弗拉米尼边路拿球给到阿巴特脚下                   70'第70分钟，德希利奥中场直传，尼昂将球让给沙拉维，沙拉维单刀突入禁区左侧推射偏出远门柱
72'安布罗西尼挑传往禁区内送，马尔凯蒂出击将球得到                   70'第70分钟，德希利奥中场直传，尼昂将球让给沙拉维，沙拉维单刀突入禁区左侧推射偏出远门柱
73'拉齐奥前场拿球往边路分                   70'第70分钟，德希利奥中场直传，尼昂将球让给沙拉维，沙拉维单刀突入禁区左侧推射偏出远门柱
73'结果横向的转移是送到了安布罗西尼脚下                   70'第70分钟，德希利奥中场直传，尼昂将球让给沙拉维，沙拉维单刀突入禁区左侧推射偏出远门柱
86'拉齐奥任意球转向后点，卡纳的头球攻门被米兰球员碰出底线                   86'第86分钟，AC米兰打出反击，尼昂与沙拉维打出配合，沙拉维左路回传，尼昂禁区边缘推射蹭横梁上沿而出
86'拉齐奥角球送到中路，阿比亚蒂出击将球得到                   86'第86分钟，AC米兰打出反击，尼昂与沙拉维打出配合，沙拉维左路回传，尼昂禁区边缘推射蹭横梁上沿而出
86'米兰发动快速反击                   86'第86分钟，AC米兰打出反击，尼昂与沙拉维打出配合，沙拉维左路回传，尼昂禁区边缘推射蹭横梁上沿而出
87'沙拉维禁区内得球将球回敲到弧顶                   86'第86分钟，AC米兰打出反击，尼昂与沙拉维打出配合，沙拉维左路回传，尼昂禁区边缘推射蹭横梁上沿而出
88'尼昂跟上的打门是稍稍打高了                   86'第86分钟，AC米兰打出反击，尼昂与沙拉维打出配合，沙拉维左路回传，尼昂禁区边缘推射蹭横梁上沿而出
88'蒙托利沃后场拿球被放倒                   86'第86分钟，AC米兰打出反击，尼昂与沙拉维打出配合，沙拉维左路回传，尼昂禁区边缘推射蹭横梁上沿而出
88'蒙托利沃也是痛苦的倒在了地上                   86'第86分钟，AC米兰打出反击，尼昂与沙拉维打出配合，沙拉维左路回传，尼昂禁区边缘推射蹭横梁上沿而出
89'队医到场经过简单的处理后问题并不是很大                   86'第86分钟，AC米兰打出反击，尼昂与沙拉维打出配合，沙拉维左路回传，尼昂禁区边缘推射蹭横梁上沿而出
