9'莫雷诺斜传左路，曹赟定领球进禁区                   9'第9分钟，状态正佳的登巴巴禁区外远射被后卫奋不顾身挡出
19'王刚右路超车赶在柏佳俊前接应，回敲禁区前                   19'第19分钟，贵州人和长传反击，王刚利用速度优势摆脱防守，之后回扣晃倒防守队员后将球回做，米西莫维奇跟进低射，球被耿晓峰化解威胁
19'米西莫维奇低射被耿晓峰扑住                   19'第19分钟，贵州人和长传反击，王刚利用速度优势摆脱防守，之后回扣晃倒防守队员后将球回做，米西莫维奇跟进低射，球被耿晓峰化解威胁
20'浴水清蟾51927：今天贵阳冷惨了，上海队员恐怕受不了                   19'第19分钟，贵州人和长传反击，王刚利用速度优势摆脱防守，之后回扣晃倒防守队员后将球回做，米西莫维奇跟进低射，球被耿晓峰化解威胁
20'王赟斜传左路，传大了给出边线                   19'第19分钟，贵州人和长传反击，王刚利用速度优势摆脱防守，之后回扣晃倒防守队员后将球回做，米西莫维奇跟进低射，球被耿晓峰化解威胁
21'于睿右路拿球，解围直接踢出了边线                   19'第19分钟，贵州人和长传反击，王刚利用速度优势摆脱防守，之后回扣晃倒防守队员后将球回做，米西莫维奇跟进低射，球被耿晓峰化解威胁
21'莫雷诺送身后球，力量给大出底线                   19'第19分钟，贵州人和长传反击，王刚利用速度优势摆脱防守，之后回扣晃倒防守队员后将球回做，米西莫维奇跟进低射，球被耿晓峰化解威胁
22'张成林中场顶防登巴巴被吹了犯规                   19'第19分钟，贵州人和长传反击，王刚利用速度优势摆脱防守，之后回扣晃倒防守队员后将球回做，米西莫维奇跟进低射，球被耿晓峰化解威胁
22'任意球去后点，卡希尔垫传出了底线                   19'第19分钟，贵州人和长传反击，王刚利用速度优势摆脱防守，之后回扣晃倒防守队员后将球回做，米西莫维奇跟进低射，球被耿晓峰化解威胁
31'柏佳俊左路拿球，西索科转移另一侧                   31'第31分钟，上海申花打破僵局
31'申花进球了！！！                   31'第31分钟，上海申花打破僵局
31'GIO！莫雷诺！                   31'第31分钟，上海申花打破僵局
32'莫雷诺中路和队友2过1配合，插入禁区，面对门将一个晃动，推空门入网！                   31'第31分钟，上海申花打破僵局
32'贵州0-1落后申花！                   31'第31分钟，上海申花打破僵局
33'冯仁亮左路突破，传中被熊飞铲出底线，角球                   31'第31分钟，上海申花打破僵局
34'王赟中场拼抢被吹了犯规                   31'第31分钟，上海申花打破僵局
40'米西莫维奇左路领球转身，球被挡出边线                   40'第40分钟，陈昌源边路弧线球传中，米西莫维奇头球攻门偏出球门
40'冯仁亮左路下底传中，包抄都漏过了                   40'第40分钟，陈昌源边路弧线球传中，米西莫维奇头球攻门偏出球门
40'另一侧陈昌源拿球再传，米西的头球顶偏                   40'第40分钟，陈昌源边路弧线球传中，米西莫维奇头球攻门偏出球门
41'卡希尔前场争顶被吹了犯规                   40'第40分钟，陈昌源边路弧线球传中，米西莫维奇头球攻门偏出球门
41'陈昌源右路拿球，没有出球机会                   40'第40分钟，陈昌源边路弧线球传中，米西莫维奇头球攻门偏出球门
41'王赟禁区前防守拉人了                   40'第40分钟，陈昌源边路弧线球传中，米西莫维奇头球攻门偏出球门
41'裁判黄牌警告了王赟                   40'第40分钟，陈昌源边路弧线球传中，米西莫维奇头球攻门偏出球门
42'萨利霍维奇任意球直接射门打高！                   40'第40分钟，陈昌源边路弧线球传中，米西莫维奇头球攻门偏出球门
43'王赟中场护球被萨利霍维奇推倒                   40'第40分钟，陈昌源边路弧线球传中，米西莫维奇头球攻门偏出球门
45'柏佳俊助攻，直塞禁区                   45'第45分钟，上海申花扩大比分
45'申花进球了！！！                   45'第45分钟，上海申花扩大比分
45'卡希尔！！！                   45'第45分钟，上海申花扩大比分
46'莫雷诺禁区内接应柏佳俊的传球，横敲中路，卡希尔插上推射破门！                   45'第45分钟，上海申花扩大比分
46'贵州0-2落后申花！                   45'第45分钟，上海申花扩大比分
46'贵州斜传右路，柏佳俊头球回点门将                   45'第45分钟，上海申花扩大比分
47'上半场补时1分钟                   45'第45分钟，上海申花扩大比分
47'西索科回传失误                   45'第45分钟，上海申花扩大比分
47'米西莫维奇进禁区，没有过掉李建滨                   45'第45分钟，上海申花扩大比分
47'上半场比赛结束！                   45'第45分钟，上海申花扩大比分
46'下半场比赛开始！                   45'第45分钟，上海申花扩大比分
46'贵州中圈开球                   45'第45分钟，上海申花扩大比分
46'王刚右路突破被柏佳俊放倒                   45'第45分钟，上海申花扩大比分
46'裁判黄牌警告了柏佳俊                   45'第45分钟，上海申花扩大比分
47'萨利霍维奇任意球开前点，被解围                   45'第45分钟，上海申花扩大比分
48'贵州半场用桑托斯换下了陈杰                   45'第45分钟，上海申花扩大比分
48'冯仁亮禁区左侧接应斜传，停球抽射被耿晓峰扑出                   45'第45分钟，上海申花扩大比分
50'王赟角球去前点被解围                   50'下半场易边再战，第50分钟，萨利霍维奇弧线球再传中差点造成对手乌龙，耿晓峰将球挡出，冯仁亮后点得球再射打偏
50'萨利霍维奇转移另一侧，米西拿球                   50'下半场易边再战，第50分钟，萨利霍维奇弧线球再传中差点造成对手乌龙，耿晓峰将球挡出，冯仁亮后点得球再射打偏
50'米西传中被耿晓峰出击解围                   50'下半场易边再战，第50分钟，萨利霍维奇弧线球再传中差点造成对手乌龙，耿晓峰将球挡出，冯仁亮后点得球再射打偏
51'萨利霍维奇右路的传球去后点，耿晓峰把球击出                   50'下半场易边再战，第50分钟，萨利霍维奇弧线球再传中差点造成对手乌龙，耿晓峰将球挡出，冯仁亮后点得球再射打偏
51'陈昌源右路传中，桑托斯没有顶上                   50'下半场易边再战，第50分钟，萨利霍维奇弧线球再传中差点造成对手乌龙，耿晓峰将球挡出，冯仁亮后点得球再射打偏
51'后点米西莫维奇扣球，射门打高                   50'下半场易边再战，第50分钟，萨利霍维奇弧线球再传中差点造成对手乌龙，耿晓峰将球挡出，冯仁亮后点得球再射打偏
52'下半场开局阶段，贵州打得非常积极                   50'下半场易边再战，第50分钟，萨利霍维奇弧线球再传中差点造成对手乌龙，耿晓峰将球挡出，冯仁亮后点得球再射打偏
52'王刚右路突破，柏佳俊拉人，有利球                   50'下半场易边再战，第50分钟，萨利霍维奇弧线球再传中差点造成对手乌龙，耿晓峰将球挡出，冯仁亮后点得球再射打偏
52'马宁没有吹                   50'下半场易边再战，第50分钟，萨利霍维奇弧线球再传中差点造成对手乌龙，耿晓峰将球挡出，冯仁亮后点得球再射打偏
53'米西莫维奇中路突破，没有过去                   50'下半场易边再战，第50分钟，萨利霍维奇弧线球再传中差点造成对手乌龙，耿晓峰将球挡出，冯仁亮后点得球再射打偏
53'莫雷诺拿球，陈昌源上抢犯规                   50'下半场易边再战，第50分钟，萨利霍维奇弧线球再传中差点造成对手乌龙，耿晓峰将球挡出，冯仁亮后点得球再射打偏
59'米西莫维奇直塞左路身后，冯仁亮越位在先                   59'第59分钟，冯仁亮助攻桑托斯射进空门，但边裁示意冯仁亮接球时越位在先
59'虽然桑托斯中路跟上破门，但是传球的冯仁亮先越位                   59'第59分钟，冯仁亮助攻桑托斯射进空门，但边裁示意冯仁亮接球时越位在先
60'耿晓峰开后场任意球，被裁判黄牌警告，拖延时间                   59'第59分钟，冯仁亮助攻桑托斯射进空门，但边裁示意冯仁亮接球时越位在先
61'张成林头球回传门将力量稍小，登巴巴插上                   59'第59分钟，冯仁亮助攻桑托斯射进空门，但边裁示意冯仁亮接球时越位在先
61'登巴巴面对门将的挑射打高了                   59'第59分钟，冯仁亮助攻桑托斯射进空门，但边裁示意冯仁亮接球时越位在先
61'米西莫维奇左路传中，柏佳俊回收破坏                   59'第59分钟，冯仁亮助攻桑托斯射进空门，但边裁示意冯仁亮接球时越位在先
61'王刚铲截柏佳俊犯规了                   59'第59分钟，冯仁亮助攻桑托斯射进空门，但边裁示意冯仁亮接球时越位在先
62'peterwang78 ：申花要坚决夺取足协杯冠军                   59'第59分钟，冯仁亮助攻桑托斯射进空门，但边裁示意冯仁亮接球时越位在先
62'西索科中场拿球，给莫雷诺                   59'第59分钟，冯仁亮助攻桑托斯射进空门，但边裁示意冯仁亮接球时越位在先
65'接应的登巴巴越位在先                   65'第65分钟，张璐与卡希尔防守时不慎头碰头撞在一起，结果张璐满脸鲜血离场，卡希尔也被扶下场，上海申花被动连换两人
65'登巴巴角旗区护球，于睿把球断走                   65'第65分钟，张璐与卡希尔防守时不慎头碰头撞在一起，结果张璐满脸鲜血离场，卡希尔也被扶下场，上海申花被动连换两人
66'破破壶： 人和够呛呀                   65'第65分钟，张璐与卡希尔防守时不慎头碰头撞在一起，结果张璐满脸鲜血离场，卡希尔也被扶下场，上海申花被动连换两人
66'申花中场两名队友自己撞在一起                   65'第65分钟，张璐与卡希尔防守时不慎头碰头撞在一起，结果张璐满脸鲜血离场，卡希尔也被扶下场，上海申花被动连换两人
66'贵州没有停止进攻                   65'第65分钟，张璐与卡希尔防守时不慎头碰头撞在一起，结果张璐满脸鲜血离场，卡希尔也被扶下场，上海申花被动连换两人
66'传中被解围出去，裁判吹停比赛                   65'第65分钟，张璐与卡希尔防守时不慎头碰头撞在一起，结果张璐满脸鲜血离场，卡希尔也被扶下场，上海申花被动连换两人
67'张璐和卡希尔两人头碰头正面撞在一起                   65'第65分钟，张璐与卡希尔防守时不慎头碰头撞在一起，结果张璐满脸鲜血离场，卡希尔也被扶下场，上海申花被动连换两人
68'张璐应该是被撞开了眉骨，头破血流                   65'第65分钟，张璐与卡希尔防守时不慎头碰头撞在一起，结果张璐满脸鲜血离场，卡希尔也被扶下场，上海申花被动连换两人
76'王赟左路起球，没有过顶                   76'第76分钟，米西莫维奇送出精准传中，桑托斯快速插上单刀卧射破门，场上比分变为1-2
76'王刚右路传中被柏佳俊挡出边线                   76'第76分钟，米西莫维奇送出精准传中，桑托斯快速插上单刀卧射破门，场上比分变为1-2
76'贵州换人，萨利霍维奇被尤里换下                   76'第76分钟，米西莫维奇送出精准传中，桑托斯快速插上单刀卧射破门，场上比分变为1-2
77'贵州进球了！！！                   76'第76分钟，米西莫维奇送出精准传中，桑托斯快速插上单刀卧射破门，场上比分变为1-2
77'桑托斯！！！                   76'第76分钟，米西莫维奇送出精准传中，桑托斯快速插上单刀卧射破门，场上比分变为1-2
77'米西莫维奇右路送过顶球到小禁区，桑托斯插上垫射破门！                   76'第76分钟，米西莫维奇送出精准传中，桑托斯快速插上单刀卧射破门，场上比分变为1-2
77'贵州1-2落后申花                   76'第76分钟，米西莫维奇送出精准传中，桑托斯快速插上单刀卧射破门，场上比分变为1-2
78'贵州中场断球                   76'第76分钟，米西莫维奇送出精准传中，桑托斯快速插上单刀卧射破门，场上比分变为1-2
78'李建滨反抢，桑托斯蹬踏                   76'第76分钟，米西莫维奇送出精准传中，桑托斯快速插上单刀卧射破门，场上比分变为1-2
78'马宁直接红牌罚下桑托斯！                   76'第76分钟，米西莫维奇送出精准传中，桑托斯快速插上单刀卧射破门，场上比分变为1-2
79'悲喜两重天！                   76'第76分钟，米西莫维奇送出精准传中，桑托斯快速插上单刀卧射破门，场上比分变为1-2
79'桑托斯进球之后马上被罚下                   76'第76分钟，米西莫维奇送出精准传中，桑托斯快速插上单刀卧射破门，场上比分变为1-2
79'虽然贵州球员包围了马宁，但是红牌无法收回                   76'第76分钟，米西莫维奇送出精准传中，桑托斯快速插上单刀卧射破门，场上比分变为1-2
47'上半场补时1分钟                   47'但刚刚进球的桑托斯2分钟后踢倒李建滨，马宁直接出示红牌将其罚下
47'西索科回传失误                   47'但刚刚进球的桑托斯2分钟后踢倒李建滨，马宁直接出示红牌将其罚下
47'米西莫维奇进禁区，没有过掉李建滨                   47'但刚刚进球的桑托斯2分钟后踢倒李建滨，马宁直接出示红牌将其罚下
47'上半场比赛结束！                   47'但刚刚进球的桑托斯2分钟后踢倒李建滨，马宁直接出示红牌将其罚下
47'萨利霍维奇任意球开前点，被解围                   47'但刚刚进球的桑托斯2分钟后踢倒李建滨，马宁直接出示红牌将其罚下
48'贵州半场用桑托斯换下了陈杰                   47'但刚刚进球的桑托斯2分钟后踢倒李建滨，马宁直接出示红牌将其罚下
48'冯仁亮禁区左侧接应斜传，停球抽射被耿晓峰扑出                   47'但刚刚进球的桑托斯2分钟后踢倒李建滨，马宁直接出示红牌将其罚下
49'角球开后点被解围                   47'但刚刚进球的桑托斯2分钟后踢倒李建滨，马宁直接出示红牌将其罚下
49'莫雷诺后场沿边路带球，连过4人一路下底                   47'但刚刚进球的桑托斯2分钟后踢倒李建滨，马宁直接出示红牌将其罚下
49'传中拿到一个角球，大半场的奔袭                   47'但刚刚进球的桑托斯2分钟后踢倒李建滨，马宁直接出示红牌将其罚下
50'王赟角球去前点被解围                   47'但刚刚进球的桑托斯2分钟后踢倒李建滨，马宁直接出示红牌将其罚下
50'萨利霍维奇转移另一侧，米西拿球                   47'但刚刚进球的桑托斯2分钟后踢倒李建滨，马宁直接出示红牌将其罚下
50'米西传中被耿晓峰出击解围                   47'但刚刚进球的桑托斯2分钟后踢倒李建滨，马宁直接出示红牌将其罚下
95'朴柱成外围垫到门前，耿晓峰把球拿到                   95'第95分钟，朴柱成禁区外尝试远射，但被耿晓峰没收
95'柏佳俊解围，贵州有角球机会                   95'第95分钟，朴柱成禁区外尝试远射，但被耿晓峰没收
95'张烈也上来了                   95'第95分钟，朴柱成禁区外尝试远射，但被耿晓峰没收
96'莫雷诺后场拿球反击，空门了，没有选择吊，继续带                   95'第95分钟，朴柱成禁区外尝试远射，但被耿晓峰没收
96'带到禁区，推射被补门的后卫铲截，角球                   95'第95分钟，朴柱成禁区外尝试远射，但被耿晓峰没收
96'角球开出                   95'第95分钟，朴柱成禁区外尝试远射，但被耿晓峰没收
96'全场比赛结束！                   95'第95分钟，朴柱成禁区外尝试远射，但被耿晓峰没收
