3'于海左路拿球突破被侵犯                   3'第3分钟辽宁快攻到前场，但最后远射打偏
33'武磊打门被后卫挡出                   32'第32分钟上港右路掷出界外球，孔卡禁区外得球稍微观察一下后，突然起右脚怒射，皮球炮弹一样飞入大门右侧，1比1
33'1-1！！！                   32'第32分钟上港右路掷出界外球，孔卡禁区外得球稍微观察一下后，突然起右脚怒射，皮球炮弹一样飞入大门右侧，1比1
33'孔卡！！                   32'第32分钟上港右路掷出界外球，孔卡禁区外得球稍微观察一下后，突然起右脚怒射，皮球炮弹一样飞入大门右侧，1比1
34'孔卡右路接队友传球，稍作调整也是一脚世界波打门将球打进，也是打到左上角！！                   32'第32分钟上港右路掷出界外球，孔卡禁区外得球稍微观察一下后，突然起右脚怒射，皮球炮弹一样飞入大门右侧，1比1
35'吉安禁区弧顶拿球被秦升侵犯                   32'第32分钟上港右路掷出界外球，孔卡禁区外得球稍微观察一下后，突然起右脚怒射，皮球炮弹一样飞入大门右侧，1比1
35'秦升这边有些火气                   32'第32分钟上港右路掷出界外球，孔卡禁区外得球稍微观察一下后，突然起右脚怒射，皮球炮弹一样飞入大门右侧，1比1
35'秦升并没有碰到吉安                   32'第32分钟上港右路掷出界外球，孔卡禁区外得球稍微观察一下后，突然起右脚怒射，皮球炮弹一样飞入大门右侧，1比1
35'但裁判这球判的应该是手球                   32'第32分钟上港右路掷出界外球，孔卡禁区外得球稍微观察一下后，突然起右脚怒射，皮球炮弹一样飞入大门右侧，1比1
35'看看上港的这次任意球机会                   32'第32分钟上港右路掷出界外球，孔卡禁区外得球稍微观察一下后，突然起右脚怒射，皮球炮弹一样飞入大门右侧，1比1
35'距离还是非常不错的，可以直接打门                   32'第32分钟上港右路掷出界外球，孔卡禁区外得球稍微观察一下后，突然起右脚怒射，皮球炮弹一样飞入大门右侧，1比1
34'孔卡右路接队友传球，稍作调整也是一脚世界波打门将球打进，也是打到左上角！！                   34'第34分钟杨善平拦截吉安被判犯规，秦升上来对着吉安说着什么，后者立刻起身和秦升发生小规模肢体接触
35'吉安禁区弧顶拿球被秦升侵犯                   34'第34分钟杨善平拦截吉安被判犯规，秦升上来对着吉安说着什么，后者立刻起身和秦升发生小规模肢体接触
35'秦升这边有些火气                   34'第34分钟杨善平拦截吉安被判犯规，秦升上来对着吉安说着什么，后者立刻起身和秦升发生小规模肢体接触
35'秦升并没有碰到吉安                   34'第34分钟杨善平拦截吉安被判犯规，秦升上来对着吉安说着什么，后者立刻起身和秦升发生小规模肢体接触
35'但裁判这球判的应该是手球                   34'第34分钟杨善平拦截吉安被判犯规，秦升上来对着吉安说着什么，后者立刻起身和秦升发生小规模肢体接触
35'看看上港的这次任意球机会                   34'第34分钟杨善平拦截吉安被判犯规，秦升上来对着吉安说着什么，后者立刻起身和秦升发生小规模肢体接触
35'距离还是非常不错的，可以直接打门                   34'第34分钟杨善平拦截吉安被判犯规，秦升上来对着吉安说着什么，后者立刻起身和秦升发生小规模肢体接触
36'孔卡任意球直接打门                   34'第34分钟杨善平拦截吉安被判犯规，秦升上来对着吉安说着什么，后者立刻起身和秦升发生小规模肢体接触
36'球被人墙挡了出去                   34'第34分钟杨善平拦截吉安被判犯规，秦升上来对着吉安说着什么，后者立刻起身和秦升发生小规模肢体接触
37'蔡慧康中场拿球被拉了一下                   34'第34分钟杨善平拦截吉安被判犯规，秦升上来对着吉安说着什么，后者立刻起身和秦升发生小规模肢体接触
37'上港这边长传打身后                   34'第34分钟杨善平拦截吉安被判犯规，秦升上来对着吉安说着什么，后者立刻起身和秦升发生小规模肢体接触
37'于海这边先越位了                   34'第34分钟杨善平拦截吉安被判犯规，秦升上来对着吉安说着什么，后者立刻起身和秦升发生小规模肢体接触
45'2-1！！                   44'第44分钟上港再进一球，达维右路斜传精确找到于海，后者左路得球，强行突破丁捷后起脚怒射，张鹭把球扑出，蔡慧康跟上捅射进大门右侧，2比1，上港反超
45'蔡慧康！！                   44'第44分钟上港再进一球，达维右路斜传精确找到于海，后者左路得球，强行突破丁捷后起脚怒射，张鹭把球扑出，蔡慧康跟上捅射进大门右侧，2比1，上港反超
46'上港右路传球到了禁区内，于海接球后横扫门前，张鹭将球扑了出去，但没有扑远，蔡慧康跟进补射将球打进！                   44'第44分钟上港再进一球，达维右路斜传精确找到于海，后者左路得球，强行突破丁捷后起脚怒射，张鹭把球扑出，蔡慧康跟上捅射进大门右侧，2比1，上港反超
46'上港也是反超了比分                   44'第44分钟上港再进一球，达维右路斜传精确找到于海，后者左路得球，强行突破丁捷后起脚怒射，张鹭把球扑出，蔡慧康跟上捅射进大门右侧，2比1，上港反超
46'同时进行的另外一场比赛，广州恒大客场1-0暂时领先北京国安                   44'第44分钟上港再进一球，达维右路斜传精确找到于海，后者左路得球，强行突破丁捷后起脚怒射，张鹭把球扑出，蔡慧康跟上捅射进大门右侧，2比1，上港反超
47'上港右路起球送后点                   44'第44分钟上港再进一球，达维右路斜传精确找到于海，后者左路得球，强行突破丁捷后起脚怒射，张鹭把球扑出，蔡慧康跟上捅射进大门右侧，2比1，上港反超
47'吉安这边争抢先犯规了                   44'第44分钟上港再进一球，达维右路斜传精确找到于海，后者左路得球，强行突破丁捷后起脚怒射，张鹭把球扑出，蔡慧康跟上捅射进大门右侧，2比1，上港反超
46'下半场比赛开始！                   44'第44分钟上港再进一球，达维右路斜传精确找到于海，后者左路得球，强行突破丁捷后起脚怒射，张鹭把球扑出，蔡慧康跟上捅射进大门右侧，2比1，上港反超
46'下半场比赛由辽宁宏运开球                   44'第44分钟上港再进一球，达维右路斜传精确找到于海，后者左路得球，强行突破丁捷后起脚怒射，张鹭把球扑出，蔡慧康跟上捅射进大门右侧，2比1，上港反超
46'辽宁队这边获得角球机会                   44'第44分钟上港再进一球，达维右路斜传精确找到于海，后者左路得球，强行突破丁捷后起脚怒射，张鹭把球扑出，蔡慧康跟上捅射进大门右侧，2比1，上港反超
47'角球送禁区里                   44'第44分钟上港再进一球，达维右路斜传精确找到于海，后者左路得球，强行突破丁捷后起脚怒射，张鹭把球扑出，蔡慧康跟上捅射进大门右侧，2比1，上港反超
47'裁判这边哨子先响了                   44'第44分钟上港再进一球，达维右路斜传精确找到于海，后者左路得球，强行突破丁捷后起脚怒射，张鹭把球扑出，蔡慧康跟上捅射进大门右侧，2比1，上港反超
48'达维这边拼抢中犯规                   48'第48分钟达维在辽宁队后场犯规吃到黄牌
48'秦升这边受伤倒地                   48'第48分钟达维在辽宁队后场犯规吃到黄牌
49'达维这边得到一张黄牌！                   48'第48分钟达维在辽宁队后场犯规吃到黄牌
50'下半场比赛一上来，双方都没有进行人员调整                   48'第48分钟达维在辽宁队后场犯规吃到黄牌
51'上港前场左路拿球                   48'第48分钟达维在辽宁队后场犯规吃到黄牌
51'孔卡这边给到边路                   48'第48分钟达维在辽宁队后场犯规吃到黄牌
51'边路起球送禁区内，达维头球攻门顶在了立柱上！！                   48'第48分钟达维在辽宁队后场犯规吃到黄牌
51'球反弹回来被张鹭压在身下                   48'第48分钟达维在辽宁队后场犯规吃到黄牌
51'这球太危险了                   48'第48分钟达维在辽宁队后场犯规吃到黄牌
65'下半场比赛的节奏并不快                   65'第65分钟上港孔卡策动进攻，他传球到右路，于海推传中路，辽宁队解围出界，孔卡左路角球开出，吉安后仰头球偏出
65'上港中场拿球，也是不急着进攻了                   65'第65分钟上港孔卡策动进攻，他传球到右路，于海推传中路，辽宁队解围出界，孔卡左路角球开出，吉安后仰头球偏出
66'孔卡前场拿球给到禁区内                   65'第65分钟上港孔卡策动进攻，他传球到右路，于海推传中路，辽宁队解围出界，孔卡左路角球开出，吉安后仰头球偏出
66'于海底线横敲到中路                   65'第65分钟上港孔卡策动进攻，他传球到右路，于海推传中路，辽宁队解围出界，孔卡左路角球开出，吉安后仰头球偏出
67'上港这边换人，达维下，海森上！                   65'第65分钟上港孔卡策动进攻，他传球到右路，于海推传中路，辽宁队解围出界，孔卡左路角球开出，吉安后仰头球偏出
67'上港刚才的传球，中后点都是没有碰到                   65'第65分钟上港孔卡策动进攻，他传球到右路，于海推传中路，辽宁队解围出界，孔卡左路角球开出，吉安后仰头球偏出
68'上港的角球机会并没有威胁                   65'第65分钟上港孔卡策动进攻，他传球到右路，于海推传中路，辽宁队解围出界，孔卡左路角球开出，吉安后仰头球偏出
68'上港前场拿球给到左路                   65'第65分钟上港孔卡策动进攻，他传球到右路，于海推传中路，辽宁队解围出界，孔卡左路角球开出，吉安后仰头球偏出
68'吉安接球后将球回敲                   65'第65分钟上港孔卡策动进攻，他传球到右路，于海推传中路，辽宁队解围出界，孔卡左路角球开出，吉安后仰头球偏出
68'吉安禁区弧顶做球                   65'第65分钟上港孔卡策动进攻，他传球到右路，于海推传中路，辽宁队解围出界，孔卡左路角球开出，吉安后仰头球偏出
68'队友这下让了                   65'第65分钟上港孔卡策动进攻，他传球到右路，于海推传中路，辽宁队解围出界，孔卡左路角球开出，吉安后仰头球偏出
70'辽宁队前场任意球送到禁区内                   70'第70分钟于海被出示黄牌
70'这球给到稍稍大了一点点                   70'第70分钟于海被出示黄牌
71'于海这边也是得到一张黄牌！                   70'第70分钟于海被出示黄牌
73'王燊超右路拿球到了禁区内                   70'第70分钟于海被出示黄牌
73'内切后的打门被门将扑了出去                   70'第70分钟于海被出示黄牌
73'角球送前点                   70'第70分钟于海被出示黄牌
73'队友的头球攻门稍稍顶偏了                   70'第70分钟于海被出示黄牌
75'辽宁宏运换人，秦升下，倪玉崧上！                   75'第75分钟秦升被倪玉崧换下
77'上港中场给到海森                   75'第75分钟秦升被倪玉崧换下
77'海森的传球直接给到了辽宁队脚下                   75'第75分钟秦升被倪玉崧换下
80'辽宁队这边又要准备换人                   80'第80分钟邱卡换下孙世林
80'宏运中场拿球横向转移                   80'第80分钟邱卡换下孙世林
81'吉安前场拿球被断                   80'第80分钟邱卡换下孙世林
81'禁区弧顶，吉安的低射没有打上力量                   80'第80分钟邱卡换下孙世林
82'辽宁宏运再次换人，孙世林下，邱卡上！                   80'第80分钟邱卡换下孙世林
82'宏运前场拿球给到右路                   80'第80分钟邱卡换下孙世林
82'边路起球送中路                   80'第80分钟邱卡换下孙世林
82'邱卡没有挣到点                   80'第80分钟邱卡换下孙世林
48'达维这边拼抢中犯规                   48'本场比赛补时3分钟，最终上海上港2比1战胜辽宁宏运，以30战65分获得2015年中超联赛亚军
48'秦升这边受伤倒地                   48'本场比赛补时3分钟，最终上海上港2比1战胜辽宁宏运，以30战65分获得2015年中超联赛亚军
49'达维这边得到一张黄牌！                   48'本场比赛补时3分钟，最终上海上港2比1战胜辽宁宏运，以30战65分获得2015年中超联赛亚军
50'下半场比赛一上来，双方都没有进行人员调整                   48'本场比赛补时3分钟，最终上海上港2比1战胜辽宁宏运，以30战65分获得2015年中超联赛亚军
51'上港前场左路拿球                   48'本场比赛补时3分钟，最终上海上港2比1战胜辽宁宏运，以30战65分获得2015年中超联赛亚军
51'孔卡这边给到边路                   48'本场比赛补时3分钟，最终上海上港2比1战胜辽宁宏运，以30战65分获得2015年中超联赛亚军
51'边路起球送禁区内，达维头球攻门顶在了立柱上！！                   48'本场比赛补时3分钟，最终上海上港2比1战胜辽宁宏运，以30战65分获得2015年中超联赛亚军
51'球反弹回来被张鹭压在身下                   48'本场比赛补时3分钟，最终上海上港2比1战胜辽宁宏运，以30战65分获得2015年中超联赛亚军
51'这球太危险了                   48'本场比赛补时3分钟，最终上海上港2比1战胜辽宁宏运，以30战65分获得2015年中超联赛亚军
