4'富勒姆的防线收的挺厉害                   4'第4分钟，阿圭罗传球，亚亚-图雷禁区前劲射偏出
31'来看下慢动作，里瑟确实拉了特维斯                   29'曼城第29分钟错失良机，席尔瓦开出角球，哈维-加西亚头球蹭到远点，阿圭罗小禁区左侧头球攻门偏出近角
31'裁判并没有给点球                   29'曼城第29分钟错失良机，席尔瓦开出角球，哈维-加西亚头球蹭到远点，阿圭罗小禁区左侧头球攻门偏出近角
32'里瑟带球反击，席尔瓦一路回追，倒地铲球把球拦下                   29'曼城第29分钟错失良机，席尔瓦开出角球，哈维-加西亚头球蹭到远点，阿圭罗小禁区左侧头球攻门偏出近角
32'比赛突然掀起了高潮                   29'曼城第29分钟错失良机，席尔瓦开出角球，哈维-加西亚头球蹭到远点，阿圭罗小禁区左侧头球攻门偏出近角
32'西德维尔的左脚远射！球飞向了开台                   29'曼城第29分钟错失良机，席尔瓦开出角球，哈维-加西亚头球蹭到远点，阿圭罗小禁区左侧头球攻门偏出近角
32'里瑟带球反击，席尔瓦一路回追，倒地铲球把球拦下                   32'第32分钟，布莱恩-鲁伊斯传球，西德维尔禁区前劲射偏出
32'比赛突然掀起了高潮                   32'第32分钟，布莱恩-鲁伊斯传球，西德维尔禁区前劲射偏出
32'西德维尔的左脚远射！球飞向了开台                   32'第32分钟，布莱恩-鲁伊斯传球，西德维尔禁区前劲射偏出
33'席尔瓦的左脚打门被里瑟挡了一下                   32'第32分钟，布莱恩-鲁伊斯传球，西德维尔禁区前劲射偏出
33'施瓦泽出击接球，阿奎罗有冲撞门将的嫌疑                   32'第32分钟，布莱恩-鲁伊斯传球，西德维尔禁区前劲射偏出
33'里瑟制造了一个点球，逃过了一次点球                   32'第32分钟，布莱恩-鲁伊斯传球，西德维尔禁区前劲射偏出
33'注定会成为本场比赛的争议人物了                   32'第32分钟，布莱恩-鲁伊斯传球，西德维尔禁区前劲射偏出
34'特维斯看起来受到了一些刺激，机会并不好的情况下打门，偏得有些多了                   32'第32分钟，布莱恩-鲁伊斯传球，西德维尔禁区前劲射偏出
35'曼城后场起高球，效果并不好                   32'第32分钟，布莱恩-鲁伊斯传球，西德维尔禁区前劲射偏出
35'汉格兰德交给里瑟，后场长传被孔帕尼把球点给了队友                   32'第32分钟，布莱恩-鲁伊斯传球，西德维尔禁区前劲射偏出
35'克里希禁区角上左脚大力抽射！！！                   32'第32分钟，布莱恩-鲁伊斯传球，西德维尔禁区前劲射偏出
35'施瓦泽拍了一下，把球抱住                   32'第32分钟，布莱恩-鲁伊斯传球，西德维尔禁区前劲射偏出
35'曼城后场起高球，效果并不好                   35'第35分钟，巴里分球禁区左侧，克里希18码处劲射被施瓦泽稳稳没收
35'汉格兰德交给里瑟，后场长传被孔帕尼把球点给了队友                   35'第35分钟，巴里分球禁区左侧，克里希18码处劲射被施瓦泽稳稳没收
35'克里希禁区角上左脚大力抽射！！！                   35'第35分钟，巴里分球禁区左侧，克里希18码处劲射被施瓦泽稳稳没收
35'施瓦泽拍了一下，把球抱住                   35'第35分钟，巴里分球禁区左侧，克里希18码处劲射被施瓦泽稳稳没收
36'这脚打门吃得很准，可惜太正了                   35'第35分钟，巴里分球禁区左侧，克里希18码处劲射被施瓦泽稳稳没收
36'游客3089: 不上巴神输定啦 太垃圾 了---巴神需要冷冻处理一下                   35'第35分钟，巴里分球禁区左侧，克里希18码处劲射被施瓦泽稳稳没收
36'彼得里奇踉踉跄跄倒在了禁区线上                   35'第35分钟，巴里分球禁区左侧，克里希18码处劲射被施瓦泽稳稳没收
36'又是孔帕尼                   35'第35分钟，巴里分球禁区左侧，克里希18码处劲射被施瓦泽稳稳没收
37'被趟过之后绊倒了彼得里奇                   35'第35分钟，巴里分球禁区左侧，克里希18码处劲射被施瓦泽稳稳没收
37'裁判还给了黄牌                   35'第35分钟，巴里分球禁区左侧，克里希18码处劲射被施瓦泽稳稳没收
37'犯规地点恰好在禁区外                   35'第35分钟，巴里分球禁区左侧，克里希18码处劲射被施瓦泽稳稳没收
37'会是里瑟大力出奇迹么？                   35'第35分钟，巴里分球禁区左侧，克里希18码处劲射被施瓦泽稳稳没收
37'球的前面站着4名富勒姆球员                   35'第35分钟，巴里分球禁区左侧，克里希18码处劲射被施瓦泽稳稳没收
38'罗达莱加劲射打在人墙上！                   35'第35分钟，巴里分球禁区左侧，克里希18码处劲射被施瓦泽稳稳没收
38'球弹下来，鲁伊斯转身左脚打门！！！                   35'第35分钟，巴里分球禁区左侧，克里希18码处劲射被施瓦泽稳稳没收
38'球进了么？击中了边网                   35'第35分钟，巴里分球禁区左侧，克里希18码处劲射被施瓦泽稳稳没收
38'门线！                   35'第35分钟，巴里分球禁区左侧，克里希18码处劲射被施瓦泽稳稳没收
38'施瓦泽在门线上把球抱住！！！                   35'第35分钟，巴里分球禁区左侧，克里希18码处劲射被施瓦泽稳稳没收
39'曼城只差这几厘米了                   39'第39分钟，特维斯传球，席尔瓦右路禁区边缘劲射被施瓦泽勉强扑出
39'还是萨巴莱塔的传中制造的混乱，后卫把球险些挡入自家球门                   39'第39分钟，特维斯传球，席尔瓦右路禁区边缘劲射被施瓦泽勉强扑出
39'还好施瓦泽反应够快，转身把球死死的压在门线上                   39'第39分钟，特维斯传球，席尔瓦右路禁区边缘劲射被施瓦泽勉强扑出
39'施瓦泽！再次立功                   39'第39分钟，特维斯传球，席尔瓦右路禁区边缘劲射被施瓦泽勉强扑出
40'这一次飞身的扑救挡出了席尔瓦的劲射                   39'第39分钟，特维斯传球，席尔瓦右路禁区边缘劲射被施瓦泽勉强扑出
40'而门前阿奎罗的补射被汉格兰德挡出                   39'第39分钟，特维斯传球，席尔瓦右路禁区边缘劲射被施瓦泽勉强扑出
40'富勒姆的门前风声鹤唳                   39'第39分钟，特维斯传球，席尔瓦右路禁区边缘劲射被施瓦泽勉强扑出
40'曼城展开了围攻之势                   39'第39分钟，特维斯传球，席尔瓦右路禁区边缘劲射被施瓦泽勉强扑出
41'克里希跑到了对方禁区内争抢高球，不过越位了                   39'第39分钟，特维斯传球，席尔瓦右路禁区边缘劲射被施瓦泽勉强扑出
42'富勒姆的主帅约尔和曼奇尼都是一脸的焦急                   39'第39分钟，特维斯传球，席尔瓦右路禁区边缘劲射被施瓦泽勉强扑出
42'特维斯拉出来接球，被西德维尔顶了一下失去了对球的控制                   39'第39分钟，特维斯传球，席尔瓦右路禁区边缘劲射被施瓦泽勉强扑出
60'绝好的机会                   60'随后的比赛陷入僵局，曼城第60分钟险些破门，萨巴莱塔右路传中，阿圭罗12码处头球攻门，皮球擦左侧立柱偏出
60'阿奎罗抢到头球，擦柱而出！！！                   60'随后的比赛陷入僵局，曼城第60分钟险些破门，萨巴莱塔右路传中，阿圭罗12码处头球攻门，皮球擦左侧立柱偏出
60'席尔瓦吸引了对方的防守注意力，萨巴莱塔右路传中！阿奎罗抢到汉格兰德身前的头球差了一点                   60'随后的比赛陷入僵局，曼城第60分钟险些破门，萨巴莱塔右路传中，阿圭罗12码处头球攻门，皮球擦左侧立柱偏出
60'曼城要换上巴神了                   60'随后的比赛陷入僵局，曼城第60分钟险些破门，萨巴莱塔右路传中，阿圭罗12码处头球攻门，皮球擦左侧立柱偏出
61'阿奎罗如此状态让曼奇尼更是下定决心要把巴神按在板凳上                   60'随后的比赛陷入僵局，曼城第60分钟险些破门，萨巴莱塔右路传中，阿圭罗12码处头球攻门，皮球擦左侧立柱偏出
61'近来也有传闻巴神跟曼奇尼起了冲突                   60'随后的比赛陷入僵局，曼城第60分钟险些破门，萨巴莱塔右路传中，阿圭罗12码处头球攻门，皮球擦左侧立柱偏出
62'席尔瓦再给右路，萨巴莱塔逼得一个角球                   60'随后的比赛陷入僵局，曼城第60分钟险些破门，萨巴莱塔右路传中，阿圭罗12码处头球攻门，皮球擦左侧立柱偏出
62'富勒姆的左边路顶不住了                   60'随后的比赛陷入僵局，曼城第60分钟险些破门，萨巴莱塔右路传中，阿圭罗12码处头球攻门，皮球擦左侧立柱偏出
62'曼城的进攻几乎都是这一侧发起                   60'随后的比赛陷入僵局，曼城第60分钟险些破门，萨巴莱塔右路传中，阿圭罗12码处头球攻门，皮球擦左侧立柱偏出
62'席尔瓦传中球找钱点，加西亚头球顶下来                   60'随后的比赛陷入僵局，曼城第60分钟险些破门，萨巴莱塔右路传中，阿圭罗12码处头球攻门，皮球擦左侧立柱偏出
62'孔帕尼再传，特维斯！没角度了，逼得角球                   60'随后的比赛陷入僵局，曼城第60分钟险些破门，萨巴莱塔右路传中，阿圭罗12码处头球攻门，皮球擦左侧立柱偏出
63'席尔瓦的传中让施瓦泽扑救脱手！！！                   60'随后的比赛陷入僵局，曼城第60分钟险些破门，萨巴莱塔右路传中，阿圭罗12码处头球攻门，皮球擦左侧立柱偏出
63'富勒姆禁区内有些混乱                   60'随后的比赛陷入僵局，曼城第60分钟险些破门，萨巴莱塔右路传中，阿圭罗12码处头球攻门，皮球擦左侧立柱偏出
63'还不打算换人么？                   60'随后的比赛陷入僵局，曼城第60分钟险些破门，萨巴莱塔右路传中，阿圭罗12码处头球攻门，皮球擦左侧立柱偏出
63'下半场富勒姆几乎没有还手的力气                   60'随后的比赛陷入僵局，曼城第60分钟险些破门，萨巴莱塔右路传中，阿圭罗12码处头球攻门，皮球擦左侧立柱偏出
70'图雷利用身体抗住对方两名球员，真强悍                   70'第70分钟，巴里传球，巴洛特利25码处劲射偏出右上角
70'真搞不懂当初巴萨要放走如此的猛人                   70'第70分钟，巴里传球，巴洛特利25码处劲射偏出右上角
70'巴洛特利带球转身，一脚远射！球贴着门柱飞出底线                   70'第70分钟，巴里传球，巴洛特利25码处劲射偏出右上角
71'这球打得质量很高，只要稍微正一点施瓦泽估计是很难扑到                   70'第70分钟，巴里传球，巴洛特利25码处劲射偏出右上角
71'西德维尔和巴里的身体接触被吹了犯规                   70'第70分钟，巴里传球，巴洛特利25码处劲射偏出右上角
72'孔帕尼到了前场，抢断之后给到席尔瓦脚下                   70'第70分钟，巴里传球，巴洛特利25码处劲射偏出右上角
72'席尔瓦面对对方5人防守，这下没办法了                   70'第70分钟，巴里传球，巴洛特利25码处劲射偏出右上角
72'打门被挡出之后图雷反抢被吹越位                   70'第70分钟，巴里传球，巴洛特利25码处劲射偏出右上角
73'巴洛特利带球推进，半天没传球                   70'第70分钟，巴里传球，巴洛特利25码处劲射偏出右上角
73'最后被后卫倒地铲断，富勒姆有反击的机会                   70'第70分钟，巴里传球，巴洛特利25码处劲射偏出右上角
73'萨巴莱塔倒地挡出对方的传中！                   70'第70分钟，巴里传球，巴洛特利25码处劲射偏出右上角
73'再传，鲁伊斯右脚劲射被哈特扑了出去                   70'第70分钟，巴里传球，巴洛特利25码处劲射偏出右上角
46'禁区内堆积了太多的人，曼城找不到射门的机会                   46'1分钟后，纳斯塔西奇解围，布莱恩-鲁伊斯16码处劲射被乔-哈特扑出
46'上半场要补时1分钟                   46'1分钟后，纳斯塔西奇解围，布莱恩-鲁伊斯16码处劲射被乔-哈特扑出
47'曼城传球出现了失误                   46'1分钟后，纳斯塔西奇解围，布莱恩-鲁伊斯16码处劲射被乔-哈特扑出
46'下半场比赛开始了                   46'1分钟后，纳斯塔西奇解围，布莱恩-鲁伊斯16码处劲射被乔-哈特扑出
80'席尔瓦回到后场来接球                   80'第80分钟，席尔瓦传球，巴洛特利禁区前劲射偏出
81'还是走右路，萨巴莱塔这一次没有传中的机会                   80'第80分钟，席尔瓦传球，巴洛特利禁区前劲射偏出
81'禁区外远射，又是巴洛特利                   80'第80分钟，席尔瓦传球，巴洛特利禁区前劲射偏出
81'这脚转身打门一气呵成，只是打在了外脚背上球偏了                   80'第80分钟，席尔瓦传球，巴洛特利禁区前劲射偏出
81'富勒姆用卡拉古尼斯换下贝尔德                   80'第80分钟，席尔瓦传球，巴洛特利禁区前劲射偏出
82'35岁的希腊老将，曾经缔造了夺冠的神话的卡拉古尼斯                   80'第80分钟，席尔瓦传球，巴洛特利禁区前劲射偏出
82'那届欧洲杯让所有人都大跌眼镜啊                   80'第80分钟，席尔瓦传球，巴洛特利禁区前劲射偏出
83'起高球找巴洛特利，在后卫干扰下巴神没能找到落点                   80'第80分钟，席尔瓦传球，巴洛特利禁区前劲射偏出
88'哲科！                   87'曼城第87分钟上演绝杀，克里希左路传中，巴洛特利头球摆渡，里瑟头球解围被汉格兰德挡下，哲科10码处抽射右上死角入网
88'曼城逆转了！                   87'曼城第87分钟上演绝杀，克里希左路传中，巴洛特利头球摆渡，里瑟头球解围被汉格兰德挡下，哲科10码处抽射右上死角入网
88'里瑟禁区内的头球解围居然顶在了汉格兰德的身上，哲科面对皮球一脚抽射，球打入了死角！                   87'曼城第87分钟上演绝杀，克里希左路传中，巴洛特利头球摆渡，里瑟头球解围被汉格兰德挡下，哲科10码处抽射右上死角入网
88'这球距离球门太近了，施瓦泽毫无办法                   87'曼城第87分钟上演绝杀，克里希左路传中，巴洛特利头球摆渡，里瑟头球解围被汉格兰德挡下，哲科10码处抽射右上死角入网
89'曼奇尼的搏命招数见效真快                   87'曼城第87分钟上演绝杀，克里希左路传中，巴洛特利头球摆渡，里瑟头球解围被汉格兰德挡下，哲科10码处抽射右上死角入网
89'哲科就是压死骆驼的最后一根稻草                   87'曼城第87分钟上演绝杀，克里希左路传中，巴洛特利头球摆渡，里瑟头球解围被汉格兰德挡下，哲科10码处抽射右上死角入网
89'还有机会，阿奎罗的正面打门被汉格兰德堵了枪眼                   87'曼城第87分钟上演绝杀，克里希左路传中，巴洛特利头球摆渡，里瑟头球解围被汉格兰德挡下，哲科10码处抽射右上死角入网
90'图雷再打，被施瓦泽把球摁住                   87'曼城第87分钟上演绝杀，克里希左路传中，巴洛特利头球摆渡，里瑟头球解围被汉格兰德挡下，哲科10码处抽射右上死角入网
90'富勒姆真是成也里瑟，败也里瑟                   87'曼城第87分钟上演绝杀，克里希左路传中，巴洛特利头球摆渡，里瑟头球解围被汉格兰德挡下，哲科10码处抽射右上死角入网
90'还在回放他的头球解围呢                   87'曼城第87分钟上演绝杀，克里希左路传中，巴洛特利头球摆渡，里瑟头球解围被汉格兰德挡下，哲科10码处抽射右上死角入网
90'相当于乌龙助攻了                   87'曼城第87分钟上演绝杀，克里希左路传中，巴洛特利头球摆渡，里瑟头球解围被汉格兰德挡下，哲科10码处抽射右上死角入网
