1'上半场比赛开始了                   1'双方第1分钟均显得小心谨慎
20'纽卡禁区内破坏出底线                   17'第17分钟，小法中后场精准长传，反越位成功的阿扎尔10码处单刀捅射被达洛救出
21'切尔西右侧角球，，战术角球给摩西                   21'切尔西第21分钟扳平，阿斯皮利奎塔右路传中莫拉塔被拦截，阿扎尔小禁区右上角外抽射反弹球入远角，1-1
21'摩西回敲身后坎特，坎特一脚传中                   21'切尔西第21分钟扳平，阿斯皮利奎塔右路传中莫拉塔被拦截，阿扎尔小禁区右上角外抽射反弹球入远角，1-1
21'禁区右侧克里斯滕森跟上，甩头攻门，，，直奔右上角                   21'切尔西第21分钟扳平，阿斯皮利奎塔右路传中莫拉塔被拦截，阿扎尔小禁区右上角外抽射反弹球入远角，1-1
21'达洛一记飞龙在天，把球扑出                   21'切尔西第21分钟扳平，阿斯皮利奎塔右路传中莫拉塔被拦截，阿扎尔小禁区右上角外抽射反弹球入远角，1-1
21'达洛有如神助啊                   21'切尔西第21分钟扳平，阿斯皮利奎塔右路传中莫拉塔被拦截，阿扎尔小禁区右上角外抽射反弹球入远角，1-1
21'外围阿紫拿球，右侧再起来                   21'切尔西第21分钟扳平，阿斯皮利奎塔右路传中莫拉塔被拦截，阿扎尔小禁区右上角外抽射反弹球入远角，1-1
21'禁区内克拉克把球解围出来                   21'切尔西第21分钟扳平，阿斯皮利奎塔右路传中莫拉塔被拦截，阿扎尔小禁区右上角外抽射反弹球入远角，1-1
22'禁区右侧阿扎尔跟上，一记怒射，，干脆利落，扳平了                   21'切尔西第21分钟扳平，阿斯皮利奎塔右路传中莫拉塔被拦截，阿扎尔小禁区右上角外抽射反弹球入远角，1-1
22'阿扎尔射的毫不犹豫啊。。切尔西潮水般的进攻很快收获效果                   21'切尔西第21分钟扳平，阿斯皮利奎塔右路传中莫拉塔被拦截，阿扎尔小禁区右上角外抽射反弹球入远角，1-1
23'阿紫右侧立起来，小禁区前沿克拉克解围，禁区右侧阿扎尔跟上，小角度怒射，得手                   21'切尔西第21分钟扳平，阿斯皮利奎塔右路传中莫拉塔被拦截，阿扎尔小禁区右上角外抽射反弹球入远角，1-1
23'前场右侧纽卡的进攻，一个撞墙配合                   21'切尔西第21分钟扳平，阿斯皮利奎塔右路传中莫拉塔被拦截，阿扎尔小禁区右上角外抽射反弹球入远角，1-1
23'球是直接传出边线                   21'切尔西第21分钟扳平，阿斯皮利奎塔右路传中莫拉塔被拦截，阿扎尔小禁区右上角外抽射反弹球入远角，1-1
23'切尔西中路给到克里斯滕森，长传起球                   21'切尔西第21分钟扳平，阿斯皮利奎塔右路传中莫拉塔被拦截，阿扎尔小禁区右上角外抽射反弹球入远角，1-1
23'勒琼中圈把球拿下来，左侧横敲姆本巴                   21'切尔西第21分钟扳平，阿斯皮利奎塔右路传中莫拉塔被拦截，阿扎尔小禁区右上角外抽射反弹球入远角，1-1
23'回到中圈内给迪亚梅，过渡到右路                   21'切尔西第21分钟扳平，阿斯皮利奎塔右路传中莫拉塔被拦截，阿扎尔小禁区右上角外抽射反弹球入远角，1-1
24'在给到中间，斜传分边，，小法拼抢出界                   21'切尔西第21分钟扳平，阿斯皮利奎塔右路传中莫拉塔被拦截，阿扎尔小禁区右上角外抽射反弹球入远角，1-1
24'这球是打到了对方身上，给了切尔西球权                   21'切尔西第21分钟扳平，阿斯皮利奎塔右路传中莫拉塔被拦截，阿扎尔小禁区右上角外抽射反弹球入远角，1-1
24'阿紫后场拿球推进                   21'切尔西第21分钟扳平，阿斯皮利奎塔右路传中莫拉塔被拦截，阿扎尔小禁区右上角外抽射反弹球入远角，1-1
33'后场右侧摩西把球拦截                   33'切尔西第33分钟反超比分，马特-里奇解围失误，摩西禁区右侧边缘传中半高球，莫拉塔近距离头球破门，2-1
33'横敲中路给坎特                   33'切尔西第33分钟反超比分，马特-里奇解围失误，摩西禁区右侧边缘传中半高球，莫拉塔近距离头球破门，2-1
33'在回敲身后吕迪格，带球压上                   33'切尔西第33分钟反超比分，马特-里奇解围失误，摩西禁区右侧边缘传中半高球，莫拉塔近距离头球破门，2-1
33'长传转移，，禁区右肋找到摩西，给的很准                   33'切尔西第33分钟反超比分，马特-里奇解围失误，摩西禁区右侧边缘传中半高球，莫拉塔近距离头球破门，2-1
33'摩西下到底线，右侧传中起来                   33'切尔西第33分钟反超比分，马特-里奇解围失误，摩西禁区右侧边缘传中半高球，莫拉塔近距离头球破门，2-1
33'小禁区内，莫拉塔中路强力头槌。，有了                   33'切尔西第33分钟反超比分，马特-里奇解围失误，摩西禁区右侧边缘传中半高球，莫拉塔近距离头球破门，2-1
33'莫拉塔一甩3场不进球的阴霾                   33'切尔西第33分钟反超比分，马特-里奇解围失误，摩西禁区右侧边缘传中半高球，莫拉塔近距离头球破门，2-1
34'莫拉塔的进球助蓝军反超，，蓝军的进攻还是很犀利的                   33'切尔西第33分钟反超比分，马特-里奇解围失误，摩西禁区右侧边缘传中半高球，莫拉塔近距离头球破门，2-1
35'莫拉塔今年各种头球建功啊，变身比埃尔霍夫了啊                   33'切尔西第33分钟反超比分，马特-里奇解围失误，摩西禁区右侧边缘传中半高球，莫拉塔近距离头球破门，2-1
35'切尔西中路拿球，回敲阿扎尔                   33'切尔西第33分钟反超比分，马特-里奇解围失误，摩西禁区右侧边缘传中半高球，莫拉塔近距离头球破门，2-1
35'斜传右侧在给到坎特                   33'切尔西第33分钟反超比分，马特-里奇解围失误，摩西禁区右侧边缘传中半高球，莫拉塔近距离头球破门，2-1
35'直塞前插的摩西，右侧带球向前                   33'切尔西第33分钟反超比分，马特-里奇解围失误，摩西禁区右侧边缘传中半高球，莫拉塔近距离头球破门，2-1
35'身后回敲阿紫，在给中路坎特                   33'切尔西第33分钟反超比分，马特-里奇解围失误，摩西禁区右侧边缘传中半高球，莫拉塔近距离头球破门，2-1
35'坎特分到身前右侧，摩西挑传到禁区                   33'切尔西第33分钟反超比分，马特-里奇解围失误，摩西禁区右侧边缘传中半高球，莫拉塔近距离头球破门，2-1
36'达洛小禁区前沿出击没收                   33'切尔西第33分钟反超比分，马特-里奇解围失误，摩西禁区右侧边缘传中半高球，莫拉塔近距离头球破门，2-1
36'大脚开起来                   33'切尔西第33分钟反超比分，马特-里奇解围失误，摩西禁区右侧边缘传中半高球，莫拉塔近距离头球破门，2-1
36'中圈附近吕迪格左侧一顶                   33'切尔西第33分钟反超比分，马特-里奇解围失误，摩西禁区右侧边缘传中半高球，莫拉塔近距离头球破门，2-1
36'顶到了对手脚下                   33'切尔西第33分钟反超比分，马特-里奇解围失误，摩西禁区右侧边缘传中半高球，莫拉塔近距离头球破门，2-1
36'纽卡中路给到佩雷斯                   33'切尔西第33分钟反超比分，马特-里奇解围失误，摩西禁区右侧边缘传中半高球，莫拉塔近距离头球破门，2-1
36'遭遇逼抢，德林克沃特踢翻对手                   33'切尔西第33分钟反超比分，马特-里奇解围失误，摩西禁区右侧边缘传中半高球，莫拉塔近距离头球破门，2-1
36'纽卡中圈内定位球                   33'切尔西第33分钟反超比分，马特-里奇解围失误，摩西禁区右侧边缘传中半高球，莫拉塔近距离头球破门，2-1
74'摩西禁区右肋拿球杯里奇直接铲翻，点球没疑问                   74'切尔西第74分钟扩大比分，摩西突入禁区右侧被马特-里奇铲倒，阿扎尔主罚点球命中，3-1
74'阿扎尔，，助跑，，右脚脚腕一抖，，打出勺子点球破门，潇洒啊                   74'切尔西第74分钟扩大比分，摩西突入禁区右侧被马特-里奇铲倒，阿扎尔主罚点球命中，3-1
74'这种大师级的勺子点球，确实让人赏心悦目啊                   74'切尔西第74分钟扩大比分，摩西突入禁区右侧被马特-里奇铲倒，阿扎尔主罚点球命中，3-1
75'阿扎尔梅开二度，切尔西巩固胜势啊。。三分在握了                   74'切尔西第74分钟扩大比分，摩西突入禁区右侧被马特-里奇铲倒，阿扎尔主罚点球命中，3-1
75'小播一激动，连点了两下，，，变成4-1了，，赶紧改回来                   74'切尔西第74分钟扩大比分，摩西突入禁区右侧被马特-里奇铲倒，阿扎尔主罚点球命中，3-1
76'谁肯与我地老天荒 皇马这休赛期放走的人，正好是现在紧缺的（估计皇马没想到自己会这么难）                   74'切尔西第74分钟扩大比分，摩西突入禁区右侧被马特-里奇铲倒，阿扎尔主罚点球命中，3-1
76'谢尔维上场，替下迪亚梅                   74'切尔西第74分钟扩大比分，摩西突入禁区右侧被马特-里奇铲倒，阿扎尔主罚点球命中，3-1
76'贝尼特斯这时候才想起换人，是不是太晚了                   74'切尔西第74分钟扩大比分，摩西突入禁区右侧被马特-里奇铲倒，阿扎尔主罚点球命中，3-1
76'莫拉塔中路拿球，推进向前                   74'切尔西第74分钟扩大比分，摩西突入禁区右侧被马特-里奇铲倒，阿扎尔主罚点球命中，3-1
77'斜传左侧肋部，阿扎尔跟上                   74'切尔西第74分钟扩大比分，摩西突入禁区右侧被马特-里奇铲倒，阿扎尔主罚点球命中，3-1
77'得球形成机会，，左脚怒射，被达洛扑出                   74'切尔西第74分钟扩大比分，摩西突入禁区右侧被马特-里奇铲倒，阿扎尔主罚点球命中，3-1
77'外围中路还是切尔西控球                   74'切尔西第74分钟扩大比分，摩西突入禁区右侧被马特-里奇铲倒，阿扎尔主罚点球命中，3-1
77'左侧回敲吕迪格，在给中间克里斯滕森                   74'切尔西第74分钟扩大比分，摩西突入禁区右侧被马特-里奇铲倒，阿扎尔主罚点球命中，3-1
77'身前给坎特，斜传向前找阿扎尔                   74'切尔西第74分钟扩大比分，摩西突入禁区右侧被马特-里奇铲倒，阿扎尔主罚点球命中，3-1
77'闪转腾挪，突破到禁区前沿                   74'切尔西第74分钟扩大比分，摩西突入禁区右侧被马特-里奇铲倒，阿扎尔主罚点球命中，3-1
