9'泰达进攻，胡人天斜插，左路带出了底线，裁判给了角球                   9' 第9分钟，胡人天左路斜插，在对方防守下造成角球
65'巴尔克斯又倒地了                   62'第62分钟，河南队右路突然发难，萨哈拉底线附近回敲，吕建军直接传中，帕蒂尼奥在两名后卫之中旱地拔葱高高跃起将球顶入网窝
65'泰达要换人了                   62'第62分钟，河南队右路突然发难，萨哈拉底线附近回敲，吕建军直接传中，帕蒂尼奥在两名后卫之中旱地拔葱高高跃起将球顶入网窝
67'泰达换人了                   67'巴尔克斯受伤无法坚持，第67分钟被乔丹吉尔换下
67'维尔马换下巴尔克斯                   67'巴尔克斯受伤无法坚持，第67分钟被乔丹吉尔换下
69'泰达白岳峰右路突破被建业解围下来                   67'巴尔克斯受伤无法坚持，第67分钟被乔丹吉尔换下
70'建业右路组织进攻被破坏出边线                   67'巴尔克斯受伤无法坚持，第67分钟被乔丹吉尔换下
74'泰达后场长传门将出击到禁区外将球突出禁区外                   74'第74分钟，白岳峰下底传中，烈鸟跟上打门高出
74'现在后场建业控制，再给中场的队友，右路直传没过去                    74'第74分钟，白岳峰下底传中，烈鸟跟上打门高出
76'建业反击，沙哈拉左路快速突破后打门打在了边网上                   74'第74分钟，白岳峰下底传中，烈鸟跟上打门高出
76'中场伊沃被放倒了                   74'第74分钟，白岳峰下底传中，烈鸟跟上打门高出
77'建业前场任意球机会                   74'第74分钟，白岳峰下底传中，烈鸟跟上打门高出
82'外力立功了                   82'第82分钟，天津队形成围攻，李本舰将球挑入禁区，周海滨后插上凌空将球一垫，皮球掠过出击的吴，但在球门线前被阿不都外力飞身勾出
83'泰达后场长传，周海滨的门前垫射，被外力在门线上将球挡出                   82'第82分钟，天津队形成围攻，李本舰将球挑入禁区，周海滨后插上凌空将球一垫，皮球掠过出击的吴，但在球门线前被阿不都外力飞身勾出
84'泰达门将受伤倒地接受治疗                   82'第82分钟，天津队形成围攻，李本舰将球挑入禁区，周海滨后插上凌空将球一垫，皮球掠过出击的吴，但在球门线前被阿不都外力飞身勾出
84'裁判吹停了比赛                   82'第82分钟，天津队形成围攻，李本舰将球挑入禁区，周海滨后插上凌空将球一垫，皮球掠过出击的吴，但在球门线前被阿不都外力飞身勾出
89'建业右路进攻，裁判吹了进攻犯规                   88'第88分钟，阿不都外力被杨阔换下
90'泰达长传找维尔玛                   88'第88分钟，阿不都外力被杨阔换下
90'泰达今天外援融入的不够，巴尔克斯，维尔玛都没有惊艳表现                   88'第88分钟，阿不都外力被杨阔换下
90'李本舰吃到黄牌了                   88'第88分钟，阿不都外力被杨阔换下
91'建业任意球机会                   88'第88分钟，阿不都外力被杨阔换下
95'建业门将出击将球得到                   95'第95分钟，河南队断球反击，伊沃斜传禁区，帕蒂尼奥停球后轻松推射得手
96'帕蒂尼奥梅开二度了                   95'第95分钟，河南队断球反击，伊沃斜传禁区，帕蒂尼奥停球后轻松推射得手
96'伊沃斜传给帕蒂尼奥，后者直接面对门将打远角得分                   95'第95分钟，河南队断球反击，伊沃斜传禁区，帕蒂尼奥停球后轻松推射得手
97'伊沃被换下场接受球迷掌声                   95'第95分钟，河南队断球反击，伊沃斜传禁区，帕蒂尼奥停球后轻松推射得手
97'全场比赛结束了                   95'第95分钟，河南队断球反击，伊沃斜传禁区，帕蒂尼奥停球后轻松推射得手
97'建业凭借伊沃和帕蒂尼奥的梅开二度取得开门红                   95'第95分钟，河南队断球反击，伊沃斜传禁区，帕蒂尼奥停球后轻松推射得手
