5'定位球大脚开出，吊向禁区，吴龑出击，单拳打出                   5'第5分钟，杜震宇主罚任意球吊向禁区，吴龑出击单拳将球打出
31'李章洙向场内的杜震宇面授机宜                   29'第29分钟尹鸿博左侧将球吊向禁区后点，伊沃顺势插上头球摆渡，可惜无人包抄抢点
32'顾操中场右侧紧跟莫雷罗，推人犯规                   29'第29分钟尹鸿博左侧将球吊向禁区后点，伊沃顺势插上头球摆渡，可惜无人包抄抢点
32'顾操今天是寸步不离的跟在莫雷罗后面                   29'第29分钟尹鸿博左侧将球吊向禁区后点，伊沃顺势插上头球摆渡，可惜无人包抄抢点
43'亚泰左侧进攻，连续的跌跌撞撞，球还被建业解围                   43'河南建业在第43分钟扳平比分——外力左侧给到哈维尔，哈维尔突破面对防守推给中路，伊沃后插上得球大力施射破网，1-1
43'伊沃进球了                   43'河南建业在第43分钟扳平比分——外力左侧给到哈维尔，哈维尔突破面对防守推给中路，伊沃后插上得球大力施射破网，1-1
43'建业扳平了比分，伊沃                   43'河南建业在第43分钟扳平比分——外力左侧给到哈维尔，哈维尔突破面对防守推给中路，伊沃后插上得球大力施射破网，1-1
44'外力左侧给到哈维尔，哈维尔突破面对防守，推给中路，伊沃后插上，得球大力施射破网                   43'河南建业在第43分钟扳平比分——外力左侧给到哈维尔，哈维尔突破面对防守推给中路，伊沃后插上得球大力施射破网，1-1
44'这球亚泰防守漏掉了最危险的人啊                   43'河南建业在第43分钟扳平比分——外力左侧给到哈维尔，哈维尔突破面对防守推给中路，伊沃后插上得球大力施射破网，1-1
45'建业半场结束前实现了反超                   43'河南建业在第43分钟扳平比分——外力左侧给到哈维尔，哈维尔突破面对防守推给中路，伊沃后插上得球大力施射破网，1-1
45'sorry，说错了，，是实现了扳平                   43'河南建业在第43分钟扳平比分——外力左侧给到哈维尔，哈维尔突破面对防守推给中路，伊沃后插上得球大力施射破网，1-1
45'建业进攻再来，禁区外给到奥斯曼                   43'河南建业在第43分钟扳平比分——外力左侧给到哈维尔，哈维尔突破面对防守推给中路，伊沃后插上得球大力施射破网，1-1
45'奥斯曼转身晃开防守，一脚远射，，擦柱而出                   43'河南建业在第43分钟扳平比分——外力左侧给到哈维尔，哈维尔突破面对防守推给中路，伊沃后插上得球大力施射破网，1-1
45'上半场补时1分钟                   43'河南建业在第43分钟扳平比分——外力左侧给到哈维尔，哈维尔突破面对防守推给中路，伊沃后插上得球大力施射破网，1-1
46'建业在最后这几分钟掀起了小高潮                   43'河南建业在第43分钟扳平比分——外力左侧给到哈维尔，哈维尔突破面对防守推给中路，伊沃后插上得球大力施射破网，1-1
46'布鲁诺后场得球，自己利用速度生吃                   43'河南建业在第43分钟扳平比分——外力左侧给到哈维尔，哈维尔突破面对防守推给中路，伊沃后插上得球大力施射破网，1-1
46'下半场开始了，建业开球                   43'河南建业在第43分钟扳平比分——外力左侧给到哈维尔，哈维尔突破面对防守推给中路，伊沃后插上得球大力施射破网，1-1
46'回敲到后场给麦克格文                   43'河南建业在第43分钟扳平比分——外力左侧给到哈维尔，哈维尔突破面对防守推给中路，伊沃后插上得球大力施射破网，1-1
46'长传出来，左侧给哈维尔，中路交给尹鸿博                   43'河南建业在第43分钟扳平比分——外力左侧给到哈维尔，哈维尔突破面对防守推给中路，伊沃后插上得球大力施射破网，1-1
46'禁区外搓一脚，给的比较大，直接出了底线                   43'河南建业在第43分钟扳平比分——外力左侧给到哈维尔，哈维尔突破面对防守推给中路，伊沃后插上得球大力施射破网，1-1
56'建业反击来了，前场斜塞给到左肋尹鸿博                   56'第56分钟，建业反击前场斜塞到左肋的尹鸿博，尹鸿博单刀机会瞄着远角推射，布鲁诺拼命回防倒地将球铲出底线
56'尹鸿博单刀机会，瞄着远角推射                   56'第56分钟，建业反击前场斜塞到左肋的尹鸿博，尹鸿博单刀机会瞄着远角推射，布鲁诺拼命回防倒地将球铲出底线
56'布鲁诺卖力的回防，倒地把球铲出了底线，，立了一大功                   56'第56分钟，建业反击前场斜塞到左肋的尹鸿博，尹鸿博单刀机会瞄着远角推射，布鲁诺拼命回防倒地将球铲出底线
56'建业角球，给到远点，头球摆渡吊向小禁区                   56'第56分钟，建业反击前场斜塞到左肋的尹鸿博，尹鸿博单刀机会瞄着远角推射，布鲁诺拼命回防倒地将球铲出底线
57'亚泰连续的解围，还是显得比较狼狈啊                   56'第56分钟，建业反击前场斜塞到左肋的尹鸿博，尹鸿博单刀机会瞄着远角推射，布鲁诺拼命回防倒地将球铲出底线
57'亚泰中路的转移，给到左侧杜震宇，往回拉                   56'第56分钟，建业反击前场斜塞到左肋的尹鸿博，尹鸿博单刀机会瞄着远角推射，布鲁诺拼命回防倒地将球铲出底线
57'斜45度吊向禁区，麦克格文头球后蹭出底线，角球                   56'第56分钟，建业反击前场斜塞到左肋的尹鸿博，尹鸿博单刀机会瞄着远角推射，布鲁诺拼命回防倒地将球铲出底线
57'杜震宇左路角球开出，前点哈维尔把球挡出                   56'第56分钟，建业反击前场斜塞到左肋的尹鸿博，尹鸿博单刀机会瞄着远角推射，布鲁诺拼命回防倒地将球铲出底线
58'哈维尔带球出禁区，反击在给右边路                   56'第56分钟，建业反击前场斜塞到左肋的尹鸿博，尹鸿博单刀机会瞄着远角推射，布鲁诺拼命回防倒地将球铲出底线
58'马季奇身后铲抢，裁判没吹犯规                   56'第56分钟，建业反击前场斜塞到左肋的尹鸿博，尹鸿博单刀机会瞄着远角推射，布鲁诺拼命回防倒地将球铲出底线
58'左侧杜震宇得球，在传向禁区，布鲁诺飞身包抄，但勉强的攻门偏出不少                   56'第56分钟，建业反击前场斜塞到左肋的尹鸿博，尹鸿博单刀机会瞄着远角推射，布鲁诺拼命回防倒地将球铲出底线
59'左路建业给到外力，直塞一脚，到禁区左肋，，危险了                   56'第56分钟，建业反击前场斜塞到左肋的尹鸿博，尹鸿博单刀机会瞄着远角推射，布鲁诺拼命回防倒地将球铲出底线
59'横敲到门前，，建业接应队员都没在点上啊，，，好悬                   56'第56分钟，建业反击前场斜塞到左肋的尹鸿博，尹鸿博单刀机会瞄着远角推射，布鲁诺拼命回防倒地将球铲出底线
59'亚泰下半场风声鹤唳，这么下去很可能一分都难拿                   56'第56分钟，建业反击前场斜塞到左肋的尹鸿博，尹鸿博单刀机会瞄着远角推射，布鲁诺拼命回防倒地将球铲出底线
65'慢镜头来看，建业的前点出现了严重的问题，杨博宇这球顶出大力的反弹入网                   65'第65分钟伊沃主罚任意球远距离爆射被人墙挡出
65'建业前场拿到定位球                   65'第65分钟伊沃主罚任意球远距离爆射被人墙挡出
65'伊沃远距离爆射，被人墙挡出                   65'第65分钟伊沃主罚任意球远距离爆射被人墙挡出
65'建业进攻还有，禁区内一记不错的直塞，右路哈维尔下底                   65'第65分钟伊沃主罚任意球远距离爆射被人墙挡出
66'面对门将，底线附近横敲门前，亚泰防守球员把球挡了出来                   65'第65分钟伊沃主罚任意球远距离爆射被人墙挡出
66'太危险了这球                   65'第65分钟伊沃主罚任意球远距离爆射被人墙挡出
66'建业外围再来，马季奇倒地把球踢出底线                   65'第65分钟伊沃主罚任意球远距离爆射被人墙挡出
66'右路角球，前点莫雷罗头球顶出                   65'第65分钟伊沃主罚任意球远距离爆射被人墙挡出
66'建业禁区外围远射，被肉盾挡出                   65'第65分钟伊沃主罚任意球远距离爆射被人墙挡出
67'亚泰的防守捉襟见肘，但他们只有2个字来扛，那就是----顽强                   65'第65分钟伊沃主罚任意球远距离爆射被人墙挡出
67'亚泰的拼命表现让我们看到了一支渴望保级的队伍，散发出的巨大能量                   65'第65分钟伊沃主罚任意球远距离爆射被人墙挡出
67'亚泰中前场断球，莫雷罗横拨力量小了                   65'第65分钟伊沃主罚任意球远距离爆射被人墙挡出
68'右侧蒋哲上来拼脚，对顾操犯规                   65'第65分钟伊沃主罚任意球远距离爆射被人墙挡出
68'建业后场拿球，稳一下节奏，回敲给吴龑                   65'第65分钟伊沃主罚任意球远距离爆射被人墙挡出
74'伊沃主罚，，，给到了后点，麦克格文争顶推人犯规                   74'第74分钟建业队右路突破传中，祎凡扑球不远，球落到奥斯曼脚下，可惜奥斯曼近在咫尺的端射却将球打偏
74'现场李章洙的第二个换人估计很快要来了，现在亚泰太困难了                   74'第74分钟建业队右路突破传中，祎凡扑球不远，球落到奥斯曼脚下，可惜奥斯曼近在咫尺的端射却将球打偏
75'建业后场大脚向前吊，哈维尔越位位置回撤接球了                   74'第74分钟建业队右路突破传中，祎凡扑球不远，球落到奥斯曼脚下，可惜奥斯曼近在咫尺的端射却将球打偏
75'亚泰后场定位球开出                   74'第74分钟建业队右路突破传中，祎凡扑球不远，球落到奥斯曼脚下，可惜奥斯曼近在咫尺的端射却将球打偏
75'吊向禁区前沿，莫雷罗头球一蹭，偏出了底线，没人啊，孤掌难鸣                   74'第74分钟建业队右路突破传中，祎凡扑球不远，球落到奥斯曼脚下，可惜奥斯曼近在咫尺的端射却将球打偏
75'建业进攻找中路，渗透被亚泰断了                   74'第74分钟建业队右路突破传中，祎凡扑球不远，球落到奥斯曼脚下，可惜奥斯曼近在咫尺的端射却将球打偏
76'左侧张笑非长传找反击，范晓冬被龙成紧逼，界外球                   74'第74分钟建业队右路突破传中，祎凡扑球不远，球落到奥斯曼脚下，可惜奥斯曼近在咫尺的端射却将球打偏
76'亚泰把球给到莫雷罗脚下，莫雷罗连续的摆脱，自己杀入禁区                   74'第74分钟建业队右路突破传中，祎凡扑球不远，球落到奥斯曼脚下，可惜奥斯曼近在咫尺的端射却将球打偏
76'强行的一脚低射，被吴龑没收                   74'第74分钟建业队右路突破传中，祎凡扑球不远，球落到奥斯曼脚下，可惜奥斯曼近在咫尺的端射却将球打偏
76'这球展现了莫雷罗的实力，但随着体能下降，在加上缺少帮手，莫雷罗也很难                   74'第74分钟建业队右路突破传中，祎凡扑球不远，球落到奥斯曼脚下，可惜奥斯曼近在咫尺的端射却将球打偏
77'尹鸿博左路防守故意手球犯规                   74'第74分钟建业队右路突破传中，祎凡扑球不远，球落到奥斯曼脚下，可惜奥斯曼近在咫尺的端射却将球打偏
77'尹鸿博吃到黄牌                   74'第74分钟建业队右路突破传中，祎凡扑球不远，球落到奥斯曼脚下，可惜奥斯曼近在咫尺的端射却将球打偏
77'贾秀全顺势换下了他，陈灏上场                   74'第74分钟建业队右路突破传中，祎凡扑球不远，球落到奥斯曼脚下，可惜奥斯曼近在咫尺的端射却将球打偏
77'亚泰中场右侧定位球，还是直接往禁区内轰炸                   74'第74分钟建业队右路突破传中，祎凡扑球不远，球落到奥斯曼脚下，可惜奥斯曼近在咫尺的端射却将球打偏
77'吴龑出击把球摘下                   74'第74分钟建业队右路突破传中，祎凡扑球不远，球落到奥斯曼脚下，可惜奥斯曼近在咫尺的端射却将球打偏
81'伊沃主罚，后点替补上来的陈灏得到，头球攻门                   81'第81分钟伊沃主罚任意球给到禁区，陈灏头球攻门被祎凡没收
81'这球太正，被祎凡没收了                   81'第81分钟伊沃主罚任意球给到禁区，陈灏头球攻门被祎凡没收
81'禁区内有亚泰的防守球员倒地了，祎凡一个大脚直接把球踢出边线                   81'第81分钟伊沃主罚任意球给到禁区，陈灏头球攻门被祎凡没收
82'受伤队员接受治疗，比赛继续                   81'第81分钟伊沃主罚任意球给到禁区，陈灏头球攻门被祎凡没收
82'左侧张笑非界外球给杜震宇，杜震宇无法转身，球带了出去                   81'第81分钟伊沃主罚任意球给到禁区，陈灏头球攻门被祎凡没收
83'麦克格文后场带球直接插上，按耐不住了啊                   81'第81分钟伊沃主罚任意球给到禁区，陈灏头球攻门被祎凡没收
83'莫雷罗拼抢犯规                   81'第81分钟伊沃主罚任意球给到禁区，陈灏头球攻门被祎凡没收
83'定位球伊沃大力给到禁区，头球摆渡下来                   81'第81分钟伊沃主罚任意球给到禁区，陈灏头球攻门被祎凡没收
83'奥斯曼禁区内强行转身，硬射被张笑非挡出底线                   81'第81分钟伊沃主罚任意球给到禁区，陈灏头球攻门被祎凡没收
83'右侧角球，伊沃给到中路，人仰马翻啊，还是进攻队员争到了点                   81'第81分钟伊沃主罚任意球给到禁区，陈灏头球攻门被祎凡没收
84'不过奥斯曼的头球顶偏了不少，这球位置不行角度不好把握                   81'第81分钟伊沃主罚任意球给到禁区，陈灏头球攻门被祎凡没收
84'建业左侧进攻，外力给中间冯卓毅，马季奇铲抢下来                   81'第81分钟伊沃主罚任意球给到禁区，陈灏头球攻门被祎凡没收
84'亚泰反击，中路过渡给右侧，布鲁诺                   81'第81分钟伊沃主罚任意球给到禁区，陈灏头球攻门被祎凡没收
