1'上半场比赛开始！！                   1'开场不到1分钟，德佩左路传中，莫雷诺冒顶，但拉什福德12码处将皮球撞偏
20'斯图里奇主罚，一蹴而就！！                   20'利物浦第20分钟取得领先，埃姆雷-詹直传，德佩禁区边缘内对克莱因犯规被罚黄牌，斯图里奇主罚点球射左下角，德赫亚判断正确扑救碰到皮球，但无力阻止大门失守
21'斯图里奇助跑，左脚劲射，德赫亚判断对了方向，可惜角度太刁，鞭长莫及啊！！                   20'利物浦第20分钟取得领先，埃姆雷-詹直传，德佩禁区边缘内对克莱因犯规被罚黄牌，斯图里奇主罚点球射左下角，德赫亚判断正确扑救碰到皮球，但无力阻止大门失守
21'这个球主裁判先吹犯规，犹豫中，在边裁的提示下，给了点球                   20'利物浦第20分钟取得领先，埃姆雷-詹直传，德佩禁区边缘内对克莱因犯规被罚黄牌，斯图里奇主罚点球射左下角，德赫亚判断正确扑救碰到皮球，但无力阻止大门失守
22'慢镜头回放显示，德佩的犯规确实在禁区里！！                   20'利物浦第20分钟取得领先，埃姆雷-詹直传，德佩禁区边缘内对克莱因犯规被罚黄牌，斯图里奇主罚点球射左下角，德赫亚判断正确扑救碰到皮球，但无力阻止大门失守
22'利物浦前场再攻，左路的传中到禁区                   20'利物浦第20分钟取得领先，埃姆雷-詹直传，德佩禁区边缘内对克莱因犯规被罚黄牌，斯图里奇主罚点球射左下角，德赫亚判断正确扑救碰到皮球，但无力阻止大门失守
22'罗霍回防不敢怠慢，将球解围出底线！！                   20'利物浦第20分钟取得领先，埃姆雷-詹直传，德佩禁区边缘内对克莱因犯规被罚黄牌，斯图里奇主罚点球射左下角，德赫亚判断正确扑救碰到皮球，但无力阻止大门失守
22'利物浦获得右侧角球机会，并未形成威胁！！                   20'利物浦第20分钟取得领先，埃姆雷-詹直传，德佩禁区边缘内对克莱因犯规被罚黄牌，斯图里奇主罚点球射左下角，德赫亚判断正确扑救碰到皮球，但无力阻止大门失守
23'莫雷诺前场中路拿球，起球到禁区右侧给斯图里奇                   20'利物浦第20分钟取得领先，埃姆雷-詹直传，德佩禁区边缘内对克莱因犯规被罚黄牌，斯图里奇主罚点球射左下角，德赫亚判断正确扑救碰到皮球，但无力阻止大门失守
23'斯图里奇停球，往上线带，有点多了，遭遇三人围抢，球被破坏                   20'利物浦第20分钟取得领先，埃姆雷-詹直传，德佩禁区边缘内对克莱因犯规被罚黄牌，斯图里奇主罚点球射左下角，德赫亚判断正确扑救碰到皮球，但无力阻止大门失守
23'德赫亚立功啦！！                   20'利物浦第20分钟取得领先，埃姆雷-詹直传，德佩禁区边缘内对克莱因犯规被罚黄牌，斯图里奇主罚点球射左下角，德赫亚判断正确扑救碰到皮球，但无力阻止大门失守
23'莫雷诺前场中路拿球，起球到禁区右侧给斯图里奇                   23'利物浦第23分钟险些扩大比分，斯图里奇摆脱罗霍后传中，库蒂尼奥小禁区左侧外脚背捅射被德赫亚回身神勇救出
23'斯图里奇停球，往上线带，有点多了，遭遇三人围抢，球被破坏                   23'利物浦第23分钟险些扩大比分，斯图里奇摆脱罗霍后传中，库蒂尼奥小禁区左侧外脚背捅射被德赫亚回身神勇救出
23'德赫亚立功啦！！                   23'利物浦第23分钟险些扩大比分，斯图里奇摆脱罗霍后传中，库蒂尼奥小禁区左侧外脚背捅射被德赫亚回身神勇救出
25'斯图里奇右路拿球，强突到禁区，斜传门前，越过德赫亚，远端的库蒂尼奥外脚背垫射，没踢上力量，德赫亚转身侧扑将球挡出                   23'利物浦第23分钟险些扩大比分，斯图里奇摆脱罗霍后传中，库蒂尼奥小禁区左侧外脚背捅射被德赫亚回身神勇救出
25'德赫亚的这记扑救，绝对的世界级啊！！                   23'利物浦第23分钟险些扩大比分，斯图里奇摆脱罗霍后传中，库蒂尼奥小禁区左侧外脚背捅射被德赫亚回身神勇救出
26'上半场比赛25分钟，比分1-0，利物浦领先！！                   23'利物浦第23分钟险些扩大比分，斯图里奇摆脱罗霍后传中，库蒂尼奥小禁区左侧外脚背捅射被德赫亚回身神勇救出
73'乔-阿伦外脚背直塞打身后，菲尔米诺前插接应，罗霍回防，将球解围出底线                   73'利物浦第73分钟扩大比分，亨德森右路传中，卡里克解围失误，拉拉纳传球，菲尔米诺小禁区边缘捅射上角入网，2-0
73'利物浦获得右侧角球机会，并未形成威胁！！                   73'利物浦第73分钟扩大比分，亨德森右路传中，卡里克解围失误，拉拉纳传球，菲尔米诺小禁区边缘捅射上角入网，2-0
73'2-0！！！                   73'利物浦第73分钟扩大比分，亨德森右路传中，卡里克解围失误，拉拉纳传球，菲尔米诺小禁区边缘捅射上角入网，2-0
73'菲尔米诺的进球！！                   73'利物浦第73分钟扩大比分，亨德森右路传中，卡里克解围失误，拉拉纳传球，菲尔米诺小禁区边缘捅射上角入网，2-0
75'拉拉纳左路拿球，直塞给到前插的亨德森，亨德森下底传中到前点，卡里克解围球，直接停给了切入的拉拉纳，拉拉纳停球横传门前，菲尔米诺推射打进球门右侧！！                   73'利物浦第73分钟扩大比分，亨德森右路传中，卡里克解围失误，拉拉纳传球，菲尔米诺小禁区边缘捅射上角入网，2-0
75'又是曼联的防线送礼了啊！！                   73'利物浦第73分钟扩大比分，亨德森右路传中，卡里克解围失误，拉拉纳传球，菲尔米诺小禁区边缘捅射上角入网，2-0
76'如此失误，就算德赫亚有三头六臂，估计也无能为力啊！！                   73'利物浦第73分钟扩大比分，亨德森右路传中，卡里克解围失误，拉拉纳传球，菲尔米诺小禁区边缘捅射上角入网，2-0
76'曼联前场进攻，左路的传中，被米尼奥莱出击拿到                   73'利物浦第73分钟扩大比分，亨德森右路传中，卡里克解围失误，拉拉纳传球，菲尔米诺小禁区边缘捅射上角入网，2-0
