1'好的，随着李俊的一声哨响比赛开始了！                   1'双方第1分钟便在中场展开激烈拼抢
8'张稀哲角球开到前点，李本舰赶在马季奇之前把球破坏出底线！角球！                   6'天津队不甘落后，第6分钟，瓦伦西亚接长传甩开于洋杀入禁区射门，皮球偏出远门柱
8'爱婉儿爱大保罗 :张稀哲今年的数据乐乐知道吗？(19:42)----稍后乐乐给大家说！                   6'天津队不甘落后，第6分钟，瓦伦西亚接长传甩开于洋杀入禁区射门，皮球偏出远门柱
8'角球第一点被白岳峰解围，球权到了泰达这边。                   6'天津队不甘落后，第6分钟，瓦伦西亚接长传甩开于洋杀入禁区射门，皮球偏出远门柱
9'国安在前场抢的很凶啊！                   6'天津队不甘落后，第6分钟，瓦伦西亚接长传甩开于洋杀入禁区射门，皮球偏出远门柱
9'泰达后场长传，徐云龙大脚解围，球权在泰达这边。                   6'天津队不甘落后，第6分钟，瓦伦西亚接长传甩开于洋杀入禁区射门，皮球偏出远门柱
10'瓦伦西亚右边突破分球给插上的白岳峰，白岳峰突破被于洋破坏，边线球。                   10'第10分钟，李本舰杀入禁区直传，胡人天底线附近传中被后卫挡出
10'禁区里混战中赵和靖解围了！                   10'第10分钟，李本舰杀入禁区直传，胡人天底线附近传中被后卫挡出
11'泰达前场逼抢犯规，国安球权。                   10'第10分钟，李本舰杀入禁区直传，胡人天底线附近传中被后卫挡出
11'国安在左路拿球，张稀哲！                   10'第10分钟，李本舰杀入禁区直传，胡人天底线附近传中被后卫挡出
12'王新欣中场防守马季奇犯规了。                   10'第10分钟，李本舰杀入禁区直传，胡人天底线附近传中被后卫挡出
12'国安在中后场倒脚，泰达不断的逼抢。                   10'第10分钟，李本舰杀入禁区直传，胡人天底线附近传中被后卫挡出
13'国安后场控球的时候李本舰背后铲球了！铲倒了李俊！黄牌！                   10'第10分钟，李本舰杀入禁区直传，胡人天底线附近传中被后卫挡出
13'这几分钟泰达在前场逼的很凶！                   10'第10分钟，李本舰杀入禁区直传，胡人天底线附近传中被后卫挡出
14'泰达浅唱围抢成功！                   14'第14分钟，胡人天王新欣围抢马季奇得手，后者倒地对王新欣犯规
14'马季奇对胡人天犯规了。                   14'第14分钟，胡人天王新欣围抢马季奇得手，后者倒地对王新欣犯规
15'泰达定位球直接射门了，杨智击出！                   14'第14分钟，胡人天王新欣围抢马季奇得手，后者倒地对王新欣犯规
15'瓦伦西亚在禁区里和杨智碰撞了！杨智很痛苦！                   14'第14分钟，胡人天王新欣围抢马季奇得手，后者倒地对王新欣犯规
16'慢镜头显示瓦伦西亚踢到了杨智的手臂，鞋钉挂到了。                   14'第14分钟，胡人天王新欣围抢马季奇得手，后者倒地对王新欣犯规
16'周正炜javier :今天的第四官员马宁好像以前和杜震宇有点过节。。。(19:51---这你都知道！                   14'第14分钟，胡人天王新欣围抢马季奇得手，后者倒地对王新欣犯规
17'看来杨智没什么大碍！比赛继续！                   14'第14分钟，胡人天王新欣围抢马季奇得手，后者倒地对王新欣犯规
17'国安右侧拿球！                   14'第14分钟，胡人天王新欣围抢马季奇得手，后者倒地对王新欣犯规
17'右侧的乌塔卡转移左路张稀哲，张稀哲横传河大成左脚打门打飞了！                   14'第14分钟，胡人天王新欣围抢马季奇得手，后者倒地对王新欣犯规
16'慢镜头显示瓦伦西亚踢到了杨智的手臂，鞋钉挂到了。                   16'第16分钟，张稀哲分球，河大成插上射门打高
16'周正炜javier :今天的第四官员马宁好像以前和杜震宇有点过节。。。(19:51---这你都知道！                   16'第16分钟，张稀哲分球，河大成插上射门打高
17'看来杨智没什么大碍！比赛继续！                   16'第16分钟，张稀哲分球，河大成插上射门打高
17'国安右侧拿球！                   16'第16分钟，张稀哲分球，河大成插上射门打高
17'右侧的乌塔卡转移左路张稀哲，张稀哲横传河大成左脚打门打飞了！                   16'第16分钟，张稀哲分球，河大成插上射门打高
18'泰达后场长传，找到了李本舰，                   16'第16分钟，张稀哲分球，河大成插上射门打高
18'李本舰推进的时候被断了，国安反击！巴塔拉！                   16'第16分钟，张稀哲分球，河大成插上射门打高
18'巴塔拉被聂涛犯规了，定位球。                   16'第16分钟，张稀哲分球，河大成插上射门打高
19'定位球找到了左边的张稀哲！                   16'第16分钟，张稀哲分球，河大成插上射门打高
19'张稀哲球丢了，泰达反击！速度很快！                   16'第16分钟，张稀哲分球，河大成插上射门打高
19'左路的传中被河大成解围了，看看国安有没有反击！                   16'第16分钟，张稀哲分球，河大成插上射门打高
19'利马在中场对巴塔拉犯规了，                   16'第16分钟，张稀哲分球，河大成插上射门打高
22'[qiangda]国安本赛季签下的韩国外援是？A.尹欣荣B.河大成C.朴钟佑D.张贤秀                   22'第22分钟，聂涛接回传球停球失误，陈志钊得球形成单刀，但他最后扣过补位的李玮峰左脚射门没有打上力量，宗垒倒地将球扑住
22'抢答来啦！！大家加油！！                   22'第22分钟，聂涛接回传球停球失误，陈志钊得球形成单刀，但他最后扣过补位的李玮峰左脚射门没有打上力量，宗垒倒地将球扑住
22'国安拿到前场右路边线球、                   22'第22分钟，聂涛接回传球停球失误，陈志钊得球形成单刀，但他最后扣过补位的李玮峰左脚射门没有打上力量，宗垒倒地将球扑住
22'边线球开出被巴塔拉自己带出边线了，球权回到泰达。                   22'第22分钟，聂涛接回传球停球失误，陈志钊得球形成单刀，但他最后扣过补位的李玮峰左脚射门没有打上力量，宗垒倒地将球扑住
23'国安断球反击了！张稀哲长传找到了右路的陈志钊！                   22'第22分钟，聂涛接回传球停球失误，陈志钊得球形成单刀，但他最后扣过补位的李玮峰左脚射门没有打上力量，宗垒倒地将球扑住
23'陈志钊突破打门被宗垒扑出！                   22'第22分钟，聂涛接回传球停球失误，陈志钊得球形成单刀，但他最后扣过补位的李玮峰左脚射门没有打上力量，宗垒倒地将球扑住
23'这个球是聂涛的失误啊！让陈志钊能突破禁区。                   22'第22分钟，聂涛接回传球停球失误，陈志钊得球形成单刀，但他最后扣过补位的李玮峰左脚射门没有打上力量，宗垒倒地将球扑住
24'[qiangda]国安本赛季签下的韩国外援是？A.尹欣荣B.河大成C.朴钟佑D.张贤秀                   22'第22分钟，聂涛接回传球停球失误，陈志钊得球形成单刀，但他最后扣过补位的李玮峰左脚射门没有打上力量，宗垒倒地将球扑住
25'大家踊跃抢答！！乐乐一会抽取会员！                   22'第22分钟，聂涛接回传球停球失误，陈志钊得球形成单刀，但他最后扣过补位的李玮峰左脚射门没有打上力量，宗垒倒地将球扑住
25'国安后场控球，巴伦西亚一直在逼！                   22'第22分钟，聂涛接回传球停球失误，陈志钊得球形成单刀，但他最后扣过补位的李玮峰左脚射门没有打上力量，宗垒倒地将球扑住
25'国安的大脚长传失误了，泰达球权。                   22'第22分钟，聂涛接回传球停球失误，陈志钊得球形成单刀，但他最后扣过补位的李玮峰左脚射门没有打上力量，宗垒倒地将球扑住
25'国安反击！乌塔卡！                   22'第22分钟，聂涛接回传球停球失误，陈志钊得球形成单刀，但他最后扣过补位的李玮峰左脚射门没有打上力量，宗垒倒地将球扑住
25'乌塔卡在禁区前想突破，被利马断掉。                   22'第22分钟，聂涛接回传球停球失误，陈志钊得球形成单刀，但他最后扣过补位的李玮峰左脚射门没有打上力量，宗垒倒地将球扑住
30'聂涛在和乌塔卡的拼抢中把球碰出边线，球到了国安这边。                   30'第30分钟，瓦伦西亚右路下底回传，王新欣往中路一拨，周海滨插上轰门被后卫用身体挡出
30'公布答案啊！！B.河大成！你答对了么！                   30'第30分钟，瓦伦西亚右路下底回传，王新欣往中路一拨，周海滨插上轰门被后卫用身体挡出
31'泰达断球了！右路瓦伦西亚速度很快！                   30'第30分钟，瓦伦西亚右路下底回传，王新欣往中路一拨，周海滨插上轰门被后卫用身体挡出
31'瓦伦西亚的回传找到了周海滨，打门被徐云龙挡出。                   30'第30分钟，瓦伦西亚右路下底回传，王新欣往中路一拨，周海滨插上轰门被后卫用身体挡出
32'志LZZ :本来津京就邻居，精彩的比赛，比啥都重要(20:05----简直说的太对了！乐乐不能同意的更多！                   30'第30分钟，瓦伦西亚右路下底回传，王新欣往中路一拨，周海滨插上轰门被后卫用身体挡出
32'恭喜以下用户获得直播室会员资格: 志LZZ Special四白 你怎么了T_T左先森                   30'第30分钟，瓦伦西亚右路下底回传，王新欣往中路一拨，周海滨插上轰门被后卫用身体挡出
32'这段时间泰达在中前场控球，耐心寻找机会！                   30'第30分钟，瓦伦西亚右路下底回传，王新欣往中路一拨，周海滨插上轰门被后卫用身体挡出
33'左边杜震宇突破到禁区，左脚打门被后卫封堵了！国安的反击被杜震宇回追阻断了，国安球全。                   30'第30分钟，瓦伦西亚右路下底回传，王新欣往中路一拨，周海滨插上轰门被后卫用身体挡出
35'泰达后场断球了，组织反击                   35'第35分钟，天津队连续形成围攻未果，乌塔卡断球成功形成反击，左路内切后横传，但杜震宇高速回防将球破坏
35'左路聂涛的传中被于洋解围了                   35'第35分钟，天津队连续形成围攻未果，乌塔卡断球成功形成反击，左路内切后横传，但杜震宇高速回防将球破坏
35'国安反击了！！乌塔卡！！                   35'第35分钟，天津队连续形成围攻未果，乌塔卡断球成功形成反击，左路内切后横传，但杜震宇高速回防将球破坏
36'乌塔卡回做给中路马季奇，重新组织。                   35'第35分钟，天津队连续形成围攻未果，乌塔卡断球成功形成反击，左路内切后横传，但杜震宇高速回防将球破坏
36'张稀哲禁区里射门被杜震宇封堵出底线，角球。                   35'第35分钟，天津队连续形成围攻未果，乌塔卡断球成功形成反击，左路内切后横传，但杜震宇高速回防将球破坏
37'还是张稀哲来处理角球。                   35'第35分钟，天津队连续形成围攻未果，乌塔卡断球成功形成反击，左路内切后横传，但杜震宇高速回防将球破坏
37'角球在前点被宗垒抢险！                   35'第35分钟，天津队连续形成围攻未果，乌塔卡断球成功形成反击，左路内切后横传，但杜震宇高速回防将球破坏
37'差点被马季奇抓住机会啊！                   35'第35分钟，天津队连续形成围攻未果，乌塔卡断球成功形成反击，左路内切后横传，但杜震宇高速回防将球破坏
38'球权还在国安这边，中路马季奇控球。                   35'第35分钟，天津队连续形成围攻未果，乌塔卡断球成功形成反击，左路内切后横传，但杜震宇高速回防将球破坏
38'巴塔拉争顶的时候手球了，泰达球权。                   35'第35分钟，天津队连续形成围攻未果，乌塔卡断球成功形成反击，左路内切后横传，但杜震宇高速回防将球破坏
38'[qiangda]泰达外援安德烈齐尼奥是哪个国家球员？A.巴西B.墨西哥C.阿根廷D.厄瓜多尔                   35'第35分钟，天津队连续形成围攻未果，乌塔卡断球成功形成反击，左路内切后横传，但杜震宇高速回防将球破坏
41'右路角球开到前点，被胡人天解围，球权在巴塔拉脚下，杜震宇犯规了！                   41'第41分钟，杜震宇拉倒巴塔拉，国安队任意球威胁不大
41'国安的定位球机会。                   41'第41分钟，杜震宇拉倒巴塔拉，国安队任意球威胁不大
41'巴塔拉任意球开到前点，被李玮峰解围了。                   41'第41分钟，杜震宇拉倒巴塔拉，国安队任意球威胁不大
42'乌塔卡拼抢成功，左侧边线球。                   41'第41分钟，杜震宇拉倒巴塔拉，国安队任意球威胁不大
42'右路陈志钊被断球了！泰达反击！                   41'第41分钟，杜震宇拉倒巴塔拉，国安队任意球威胁不大
43'左侧聂涛速度很快，可惜被于洋抢先一脚破坏了，国安球。                   41'第41分钟，杜震宇拉倒巴塔拉，国安队任意球威胁不大
43'[qiangda]泰达外援安德烈齐尼奥是哪个国家球员？A.巴西B.墨西哥C.阿根廷D.厄瓜多尔                   41'第41分钟，杜震宇拉倒巴塔拉，国安队任意球威胁不大
43'左路乌塔卡拿球！                   41'第41分钟，杜震宇拉倒巴塔拉，国安队任意球威胁不大
43'乌塔卡底线横传禁区，无人包抄啊！                   41'第41分钟，杜震宇拉倒巴塔拉，国安队任意球威胁不大
44'泰达的反击被徐云龙犯规阻断。                   41'第41分钟，杜震宇拉倒巴塔拉，国安队任意球威胁不大
44'泰达反击了！左侧！                   41'第41分钟，杜震宇拉倒巴塔拉，国安队任意球威胁不大
46'李本舰断球了！长传找到了王新欣。                   46'第46分钟，王新欣被赵和靖放放倒，杜震宇任意球吊到禁区，胡人天后点头球顶回，但被对方率先解围
46'泰达拿到一个前场左路定位球！                   46'第46分钟，王新欣被赵和靖放放倒，杜震宇任意球吊到禁区，胡人天后点头球顶回，但被对方率先解围
46'上半场补时2分钟！                   46'第46分钟，王新欣被赵和靖放放倒，杜震宇任意球吊到禁区，胡人天后点头球顶回，但被对方率先解围
47'定位球由杜震宇开到后点，蹭了一下被河大成大脚开出边线。                   46'第46分钟，王新欣被赵和靖放放倒，杜震宇任意球吊到禁区，胡人天后点头球顶回，但被对方率先解围
47'边线球开出被断了！国安的反击张稀哲趟大了，球还在泰达这边。                   46'第46分钟，王新欣被赵和靖放放倒，杜震宇任意球吊到禁区，胡人天后点头球顶回，但被对方率先解围
47'上半场比赛时间也不多了                   46'第46分钟，王新欣被赵和靖放放倒，杜震宇任意球吊到禁区，胡人天后点头球顶回，但被对方率先解围
48'泰达大脚往禁区开，直接被杨智拿下。                   46'第46分钟，王新欣被赵和靖放放倒，杜震宇任意球吊到禁区，胡人天后点头球顶回，但被对方率先解围
48'杨智大脚开出球门球，上半场结束了！泰达0-1国安                   46'第46分钟，王新欣被赵和靖放放倒，杜震宇任意球吊到禁区，胡人天后点头球顶回，但被对方率先解围
48'稍微休息一下，一会继续看下半时！                   46'第46分钟，王新欣被赵和靖放放倒，杜震宇任意球吊到禁区，胡人天后点头球顶回，但被对方率先解围
46'下半场首先控球的是泰达！                   46'第46分钟，王新欣被赵和靖放放倒，杜震宇任意球吊到禁区，胡人天后点头球顶回，但被对方率先解围
46'泰达拿到一个角球！                   46'第46分钟，王新欣被赵和靖放放倒，杜震宇任意球吊到禁区，胡人天后点头球顶回，但被对方率先解围
46'角球开到后点，李玮峰争顶犯规了，国安球权。                   46'第46分钟，王新欣被赵和靖放放倒，杜震宇任意球吊到禁区，胡人天后点头球顶回，但被对方率先解围
47' [qiangda]国安外援马季奇哪年来到国安？A.2013 B.2011 C.2009 D.2007                   46'第46分钟，王新欣被赵和靖放放倒，杜震宇任意球吊到禁区，胡人天后点头球顶回，但被对方率先解围
47'泰达反击！！！                   46'第46分钟，王新欣被赵和靖放放倒，杜震宇任意球吊到禁区，胡人天后点头球顶回，但被对方率先解围
47'可惜了杜震宇禁区前二打一失误了！                   46'第46分钟，王新欣被赵和靖放放倒，杜震宇任意球吊到禁区，胡人天后点头球顶回，但被对方率先解围
47'球被解围后还在泰达这边！                   46'第46分钟，王新欣被赵和靖放放倒，杜震宇任意球吊到禁区，胡人天后点头球顶回，但被对方率先解围
48'杜震宇禁区里左脚打门被杨智没收！                   46'第46分钟，王新欣被赵和靖放放倒，杜震宇任意球吊到禁区，胡人天后点头球顶回，但被对方率先解围
48'[qiangda]国安外援马季奇哪年来到国安？A.2013 B.2011 C.2009 D.2007                   46'第46分钟，王新欣被赵和靖放放倒，杜震宇任意球吊到禁区，胡人天后点头球顶回，但被对方率先解围
48'下半场第一个抢答！！                   46'第46分钟，王新欣被赵和靖放放倒，杜震宇任意球吊到禁区，胡人天后点头球顶回，但被对方率先解围
48'国安后场控球，周挺长传被李本舰拿到。                   46'第46分钟，王新欣被赵和靖放放倒，杜震宇任意球吊到禁区，胡人天后点头球顶回，但被对方率先解围
49'泰达左路控球，在国安的逼抢下周海滨失误了。                   46'第46分钟，王新欣被赵和靖放放倒，杜震宇任意球吊到禁区，胡人天后点头球顶回，但被对方率先解围
48'泰达大脚往禁区开，直接被杨智拿下。                   48'第48分钟，天津队连续冲击对方禁区，国安后卫接连倒地封堵，杜震宇弧顶处得球转身打门被杨智扑住
48'杨智大脚开出球门球，上半场结束了！泰达0-1国安                   48'第48分钟，天津队连续冲击对方禁区，国安后卫接连倒地封堵，杜震宇弧顶处得球转身打门被杨智扑住
48'稍微休息一下，一会继续看下半时！                   48'第48分钟，天津队连续冲击对方禁区，国安后卫接连倒地封堵，杜震宇弧顶处得球转身打门被杨智扑住
48'杜震宇禁区里左脚打门被杨智没收！                   48'第48分钟，天津队连续冲击对方禁区，国安后卫接连倒地封堵，杜震宇弧顶处得球转身打门被杨智扑住
48'[qiangda]国安外援马季奇哪年来到国安？A.2013 B.2011 C.2009 D.2007                   48'第48分钟，天津队连续冲击对方禁区，国安后卫接连倒地封堵，杜震宇弧顶处得球转身打门被杨智扑住
48'下半场第一个抢答！！                   48'第48分钟，天津队连续冲击对方禁区，国安后卫接连倒地封堵，杜震宇弧顶处得球转身打门被杨智扑住
48'国安后场控球，周挺长传被李本舰拿到。                   48'第48分钟，天津队连续冲击对方禁区，国安后卫接连倒地封堵，杜震宇弧顶处得球转身打门被杨智扑住
49'泰达左路控球，在国安的逼抢下周海滨失误了。                   48'第48分钟，天津队连续冲击对方禁区，国安后卫接连倒地封堵，杜震宇弧顶处得球转身打门被杨智扑住
50'国安球打到右路自己失误了，被聂涛断掉。                   48'第48分钟，天津队连续冲击对方禁区，国安后卫接连倒地封堵，杜震宇弧顶处得球转身打门被杨智扑住
50'泰达左侧杜震宇的进攻被赵和靖断掉，又是长传，                   48'第48分钟，天津队连续冲击对方禁区，国安后卫接连倒地封堵，杜震宇弧顶处得球转身打门被杨智扑住
50'双方的球权在长传中不断交换啊。                   48'第48分钟，天津队连续冲击对方禁区，国安后卫接连倒地封堵，杜震宇弧顶处得球转身打门被杨智扑住
50'这边国安中路拿球转移到左路，赵和靖！                   48'第48分钟，天津队连续冲击对方禁区，国安后卫接连倒地封堵，杜震宇弧顶处得球转身打门被杨智扑住
51'左路的起球被利马解围，球到了泰达这边                   48'第48分钟，天津队连续冲击对方禁区，国安后卫接连倒地封堵，杜震宇弧顶处得球转身打门被杨智扑住
51'乐乐还是没有看到正确答案！大家继续抢！                   48'第48分钟，天津队连续冲击对方禁区，国安后卫接连倒地封堵，杜震宇弧顶处得球转身打门被杨智扑住
56'国安继续拿球组织反击。                   55'第55分钟，乌塔卡与队友二过一杀入禁区，但李玮峰卡住身位断球
56'又是张稀哲找乌塔卡的时候越位了。                   55'第55分钟，乌塔卡与队友二过一杀入禁区，但李玮峰卡住身位断球
56'泰达的反击打到前场左路！杜震宇！                   55'第55分钟，乌塔卡与队友二过一杀入禁区，但李玮峰卡住身位断球
57'传中被瓦伦西亚找到头球攻门打在了横梁上！！！                   55'第55分钟，乌塔卡与队友二过一杀入禁区，但李玮峰卡住身位断球
57'慢镜头显示瓦伦西亚的头球被杨智拖了一下打到横梁上！泰达错失了扳平比分的好机会啊！                   55'第55分钟，乌塔卡与队友二过一杀入禁区，但李玮峰卡住身位断球
58'大家不要断章取义，乐乐不太懂球场的上座，说错了请大家原谅，乐乐争取给大家播好看的比赛。                   55'第55分钟，乌塔卡与队友二过一杀入禁区，但李玮峰卡住身位断球
58'这边泰达后场长传找巴伦西亚，被赵和靖解围出边线。                   55'第55分钟，乌塔卡与队友二过一杀入禁区，但李玮峰卡住身位断球
57'传中被瓦伦西亚找到头球攻门打在了横梁上！！！                   57'第57分钟，杜震宇左路传中，瓦伦西亚高高跃起头球攻门，杨智奋力托了一下，皮球击中横梁弹出
57'慢镜头显示瓦伦西亚的头球被杨智拖了一下打到横梁上！泰达错失了扳平比分的好机会啊！                   57'第57分钟，杜震宇左路传中，瓦伦西亚高高跃起头球攻门，杨智奋力托了一下，皮球击中横梁弹出
58'大家不要断章取义，乐乐不太懂球场的上座，说错了请大家原谅，乐乐争取给大家播好看的比赛。                   57'第57分钟，杜震宇左路传中，瓦伦西亚高高跃起头球攻门，杨智奋力托了一下，皮球击中横梁弹出
58'这边泰达后场长传找巴伦西亚，被赵和靖解围出边线。                   57'第57分钟，杜震宇左路传中，瓦伦西亚高高跃起头球攻门，杨智奋力托了一下，皮球击中横梁弹出
59'边线球开出被断了，国安后场球。                   57'第57分钟，杜震宇左路传中，瓦伦西亚高高跃起头球攻门，杨智奋力托了一下，皮球击中横梁弹出
59'球打到了左路，赵和靖。                   57'第57分钟，杜震宇左路传中，瓦伦西亚高高跃起头球攻门，杨智奋力托了一下，皮球击中横梁弹出
60'赵和靖回给巴塔拉。                   57'第57分钟，杜震宇左路传中，瓦伦西亚高高跃起头球攻门，杨智奋力托了一下，皮球击中横梁弹出
60'巴塔拉找马季奇失误了！反击！                   57'第57分钟，杜震宇左路传中，瓦伦西亚高高跃起头球攻门，杨智奋力托了一下，皮球击中横梁弹出
60'瓦伦西亚左路突破到禁区里左脚传中被于洋破坏出底线，角球。                   57'第57分钟，杜震宇左路传中，瓦伦西亚高高跃起头球攻门，杨智奋力托了一下，皮球击中横梁弹出
60'杜震宇角球开到前点，被河大成解围。                   57'第57分钟，杜震宇左路传中，瓦伦西亚高高跃起头球攻门，杨智奋力托了一下，皮球击中横梁弹出
65'周挺把球断下来，似乎有些犯规啊！马季奇现在倒地了！有些混乱。                   65'第65分钟，瓦伦西亚拼抢中断球前进，混乱中马季奇飞铲王新欣犯规，自己反而倒地受伤
66'裁判吹了马季奇抬脚过高，泰达前场定位球。                   65'第65分钟，瓦伦西亚拼抢中断球前进，混乱中马季奇飞铲王新欣犯规，自己反而倒地受伤
66'[qiangda]泰达李玮峰绰号是?A.大头 B.跑不死 C.大将军 D.大侠                   65'第65分钟，瓦伦西亚拼抢中断球前进，混乱中马季奇飞铲王新欣犯规，自己反而倒地受伤
67'李本舰定位球开到后点，胡人天把球停下来，可惜传中被河大成挡出底线。                   65'第65分钟，瓦伦西亚拼抢中断球前进，混乱中马季奇飞铲王新欣犯规，自己反而倒地受伤
67'胡人天开角球到后点，李玮峰的头球碰到了赵和靖出了底线，继续角球！                   65'第65分钟，瓦伦西亚拼抢中断球前进，混乱中马季奇飞铲王新欣犯规，自己反而倒地受伤
68'定位球被河大成解围，泰达控球。                   65'第65分钟，瓦伦西亚拼抢中断球前进，混乱中马季奇飞铲王新欣犯规，自己反而倒地受伤
68'泰达回球到后场重新组织。                   65'第65分钟，瓦伦西亚拼抢中断球前进，混乱中马季奇飞铲王新欣犯规，自己反而倒地受伤
70'李本舰定位球开到中路，杨智直接出击拿下！                   70'第70分钟，李本舰右侧任意球开到禁区，杨智出击将球摘到
70'大脚开出以后巴塔拉越位了。                   70'第70分钟，李本舰右侧任意球开到禁区，杨智出击将球摘到
71'公布答案！！A.大头！                   70'第70分钟，李本舰右侧任意球开到禁区，杨智出击将球摘到
71'乐乐马上抽取会员！                   70'第70分钟，李本舰右侧任意球开到禁区，杨智出击将球摘到
71'双方这段时间在中路很纠缠啊，真正的决战时刻！                   70'第70分钟，李本舰右侧任意球开到禁区，杨智出击将球摘到
73'我拿片刀砍大炮 :应该把宋博轩和一哥派上去冲冲(21:09-*--是应该调整一下了，双方都有球员体力严重下降。                   70'第70分钟，李本舰右侧任意球开到禁区，杨智出击将球摘到
73'泰达后场控球，寻找机会。                   70'第70分钟，李本舰右侧任意球开到禁区，杨智出击将球摘到
75'胡仁天的传中直接到了左路，左路张新欣的传中打到了周挺的手，定位球。                   75'第75分钟，张稀哲中路直传，李玮峰出现在关键位置将球阻断
76'这个时候巴雷替下了王新欣。                   75'第75分钟，张稀哲中路直传，李玮峰出现在关键位置将球阻断
76'看来天津要高举高打了！                   75'第75分钟，张稀哲中路直传，李玮峰出现在关键位置将球阻断
76'李本舰的定位球直接开出了底线，球门球。                   75'第75分钟，张稀哲中路直传，李玮峰出现在关键位置将球阻断
77'这边聂涛吃到一张黄牌，防守巴塔拉的时候犯规了。                   75'第75分钟，张稀哲中路直传，李玮峰出现在关键位置将球阻断
77'这边周挺传张呈栋的时候张呈栋停球失误了，球门球。                   75'第75分钟，张稀哲中路直传，李玮峰出现在关键位置将球阻断
78'全场比赛来到了77分钟，比分0-1                   75'第75分钟，张稀哲中路直传，李玮峰出现在关键位置将球阻断
78'李本舰又犯规了，在浅唱踢到了马季奇。                   75'第75分钟，张稀哲中路直传，李玮峰出现在关键位置将球阻断
78'天津队现在有些着急啊。                   75'第75分钟，张稀哲中路直传，李玮峰出现在关键位置将球阻断
77'这边聂涛吃到一张黄牌，防守巴塔拉的时候犯规了。                   77'第77分钟，聂涛回防中踢倒巴塔拉吃到黄牌
77'这边周挺传张呈栋的时候张呈栋停球失误了，球门球。                   77'第77分钟，聂涛回防中踢倒巴塔拉吃到黄牌
78'全场比赛来到了77分钟，比分0-1                   77'第77分钟，聂涛回防中踢倒巴塔拉吃到黄牌
78'李本舰又犯规了，在浅唱踢到了马季奇。                   77'第77分钟，聂涛回防中踢倒巴塔拉吃到黄牌
