1'切尔西后场马蒂奇左侧找到奥斯卡                   1'双方第1分钟显得小心谨慎
57'卡普埃长传送前场                   55'第55分钟，迭戈-科斯塔小禁区左侧底线附近回传，奥斯卡近距离捅射偏出近角
57'迪尼头球一顶，伊格哈洛再分边给左侧                   55'第55分钟，迭戈-科斯塔小禁区左侧底线附近回传，奥斯卡近距离捅射偏出近角
58'沃森中路给到卡普埃                   55'第55分钟，迭戈-科斯塔小禁区左侧底线附近回传，奥斯卡近距离捅射偏出近角
58'左路霍勒巴斯单挑伊万，被截下来                   55'第55分钟，迭戈-科斯塔小禁区左侧底线附近回传，奥斯卡近距离捅射偏出近角
58'伊万还是技高一筹啊                   55'第55分钟，迭戈-科斯塔小禁区左侧底线附近回传，奥斯卡近距离捅射偏出近角
58'沃特福德继续控球                   55'第55分钟，迭戈-科斯塔小禁区左侧底线附近回传，奥斯卡近距离捅射偏出近角
58'沃森分给卡斯卡特，在给左路霍勒巴斯                   55'第55分钟，迭戈-科斯塔小禁区左侧底线附近回传，奥斯卡近距离捅射偏出近角
78'阿扎尔中路拿球，梳理一下，分边路伊万                   78'第78分钟，威廉直传，阿扎尔禁区右侧回传，伊万诺维奇小禁区前推射被戈麦斯扑出
78'切尔西禁区右路不错的配合，阿扎尔反越位突入到禁区内底线附近                   78'第78分钟，威廉直传，阿扎尔禁区右侧回传，伊万诺维奇小禁区前推射被戈麦斯扑出
78'阿扎尔倒三角妙传回禁区                   78'第78分钟，威廉直传，阿扎尔禁区右侧回传，伊万诺维奇小禁区前推射被戈麦斯扑出
79'伊万有机会，跟进大力推射，戈麦斯神奇把球扑出底线                   78'第78分钟，威廉直传，阿扎尔禁区右侧回传，伊万诺维奇小禁区前推射被戈麦斯扑出
79'角球开出，后点奥斯卡摆渡到门前，特里接力                   78'第78分钟，威廉直传，阿扎尔禁区右侧回传，伊万诺维奇小禁区前推射被戈麦斯扑出
79'戈麦斯门线摘球脱手                   78'第78分钟，威廉直传，阿扎尔禁区右侧回传，伊万诺维奇小禁区前推射被戈麦斯扑出
79'裁判哨响，特里越位在先了                   78'第78分钟，威廉直传，阿扎尔禁区右侧回传，伊万诺维奇小禁区前推射被戈麦斯扑出
79'阿扎尔登场后切尔西进攻明显有所改善啊                   78'第78分钟，威廉直传，阿扎尔禁区右侧回传，伊万诺维奇小禁区前推射被戈麦斯扑出
80'伊万边路回敲给祖马                   78'第78分钟，威廉直传，阿扎尔禁区右侧回传，伊万诺维奇小禁区前推射被戈麦斯扑出
80'再找特里，分左路阿斯皮利奎塔                   78'第78分钟，威廉直传，阿扎尔禁区右侧回传，伊万诺维奇小禁区前推射被戈麦斯扑出
80'小法组织进攻，交给阿扎尔                   78'第78分钟，威廉直传，阿扎尔禁区右侧回传，伊万诺维奇小禁区前推射被戈麦斯扑出
80'阿扎尔中路给奥斯卡，一脚出球送禁区内科斯塔                   78'第78分钟，威廉直传，阿扎尔禁区右侧回传，伊万诺维奇小禁区前推射被戈麦斯扑出
80'科斯塔慢了半步没能拿住                   78'第78分钟，威廉直传，阿扎尔禁区右侧回传，伊万诺维奇小禁区前推射被戈麦斯扑出
81'奥斯卡前场拼抢尼奥姆犯规                   78'第78分钟，威廉直传，阿扎尔禁区右侧回传，伊万诺维奇小禁区前推射被戈麦斯扑出
81'比赛已经80分钟，双方还是均无建树啊                   78'第78分钟，威廉直传，阿扎尔禁区右侧回传，伊万诺维奇小禁区前推射被戈麦斯扑出
81'威廉中路给小法，小法转身过来                   78'第78分钟，威廉直传，阿扎尔禁区右侧回传，伊万诺维奇小禁区前推射被戈麦斯扑出
81'在传米克尔失误                   78'第78分钟，威廉直传，阿扎尔禁区右侧回传，伊万诺维奇小禁区前推射被戈麦斯扑出
88'又一个苏亚雷斯，让人们想起了巴萨的龅牙苏                   88'第88分钟，威廉右路战术角球传中，迭戈-科斯塔小禁区边缘头球攻门被扑出
88'这个苏亚雷斯也在西甲效力过                   88'第88分钟，威廉右路战术角球传中，迭戈-科斯塔小禁区边缘头球攻门被扑出
88'切尔西进攻，沃森把球挡出底线                   88'第88分钟，威廉右路战术角球传中，迭戈-科斯塔小禁区边缘头球攻门被扑出
88'战术角球开出，威廉拿球                   88'第88分钟，威廉右路战术角球传中，迭戈-科斯塔小禁区边缘头球攻门被扑出
88'底线附近摆脱之后强行传中，落点很棒                   88'第88分钟，威廉右路战术角球传中，迭戈-科斯塔小禁区边缘头球攻门被扑出
89'科斯塔埋伏在迪尼身后，一记大力冲顶                   88'第88分钟，威廉右路战术角球传中，迭戈-科斯塔小禁区边缘头球攻门被扑出
89'眼看球已经窜入大门，戈麦斯神了，一记飞扑把球挡出底线                   88'第88分钟，威廉右路战术角球传中，迭戈-科斯塔小禁区边缘头球攻门被扑出
90'这个球几乎就进了，一霎那，戈麦斯居然扑出了一个死角                   88'第88分钟，威廉右路战术角球传中，迭戈-科斯塔小禁区边缘头球攻门被扑出
90'奥斯卡左路开角球，脚下一滑                   88'第88分钟，威廉右路战术角球传中，迭戈-科斯塔小禁区边缘头球攻门被扑出
90'落点直接踢到了禁区外                   88'第88分钟，威廉右路战术角球传中，迭戈-科斯塔小禁区边缘头球攻门被扑出
90'沃特福德的进攻获得左侧的角球机会                   88'第88分钟，威廉右路战术角球传中，迭戈-科斯塔小禁区边缘头球攻门被扑出
91'霍勒巴斯开出来，切尔西防守出界，还是角球                   88'第88分钟，威廉右路战术角球传中，迭戈-科斯塔小禁区边缘头球攻门被扑出
91'下半场补时3分钟                   88'第88分钟，威廉右路战术角球传中，迭戈-科斯塔小禁区边缘头球攻门被扑出
91'看看能不能有绝杀惊喜                   88'第88分钟，威廉右路战术角球传中，迭戈-科斯塔小禁区边缘头球攻门被扑出
91'战术角球                   88'第88分钟，威廉右路战术角球传中，迭戈-科斯塔小禁区边缘头球攻门被扑出
91'左路霍勒巴斯低球传中                   88'第88分钟，威廉右路战术角球传中，迭戈-科斯塔小禁区边缘头球攻门被扑出
91'特里禁区内把球挡出                   88'第88分钟，威廉右路战术角球传中，迭戈-科斯塔小禁区边缘头球攻门被扑出
