1'阿兰前场中路拿球，被绿城破坏出去                   1'七位国脚尽出的恒大第1分钟迅速展开冲击
25'阿兰前场右路拿球，脚后跟磕给高拉特，球没拿好出了边线                   22'第22分钟，保利尼奥前插分球引出流畅运动战，郜林右路低传禁区，无人盯防的阿兰迎球施射将球打偏在边网上
25'郑智带球到前场，找到禁区里的阿兰，这个球越位了                   22'第22分钟，保利尼奥前插分球引出流畅运动战，郜林右路低传禁区，无人盯防的阿兰迎球施射将球打偏在边网上
27'拉蒙中场拿球反击，带过金英权，郑智回来犯规了，被黄牌警告                   27'第27分钟，长时间没有控球的绿城由拉蒙策动快攻，加比奥内塔在郑智追防动作下倒地，主裁判王竞向郑智出示黄牌；郑智非常不满，向裁判持续抱怨
28'绿城定位球直接选择打门了，曾诚把球抱住                   27'第27分钟，长时间没有控球的绿城由拉蒙策动快攻，加比奥内塔在郑智追防动作下倒地，主裁判王竞向郑智出示黄牌；郑智非常不满，向裁判持续抱怨
28'高拉特中场拿球，分给左侧插上的李学鹏                   27'第27分钟，长时间没有控球的绿城由拉蒙策动快攻，加比奥内塔在郑智追防动作下倒地，主裁判王竞向郑智出示黄牌；郑智非常不满，向裁判持续抱怨
29'自己现在打门了！门将把球抱住                   27'第27分钟，长时间没有控球的绿城由拉蒙策动快攻，加比奥内塔在郑智追防动作下倒地，主裁判王竞向郑智出示黄牌；郑智非常不满，向裁判持续抱怨
30'恒大中场大范围转移到左侧，起球到禁区，陈晓把球解围出去底线，角球                   27'第27分钟，长时间没有控球的绿城由拉蒙策动快攻，加比奥内塔在郑智追防动作下倒地，主裁判王竞向郑智出示黄牌；郑智非常不满，向裁判持续抱怨
30'角球开出来，球被解围出去边线                   27'第27分钟，长时间没有控球的绿城由拉蒙策动快攻，加比奥内塔在郑智追防动作下倒地，主裁判王竞向郑智出示黄牌；郑智非常不满，向裁判持续抱怨
33'黄博文中场转移球到右侧张琳芃                   33'第33分钟，高拉特禁区前施射被绿城门将邹德海挡出底线
33'再给高拉特，高拉特直接一脚打门！邹德海把球碰出底线                   33'第33分钟，高拉特禁区前施射被绿城门将邹德海挡出底线
33'恒大前场的角球机会                   33'第33分钟，高拉特禁区前施射被绿城门将邹德海挡出底线
34'角球开到中路都没有顶到                   33'第33分钟，高拉特禁区前施射被绿城门将邹德海挡出底线
34'恒大前场继续进攻，高拉特横传球到禁区线上，阿兰凌空打门，球被碰出底线                   33'第33分钟，高拉特禁区前施射被绿城门将邹德海挡出底线
35'恒大继续角球！                   33'第33分钟，高拉特禁区前施射被绿城门将邹德海挡出底线
35'黄博文角球开到前点，被解围出去                   33'第33分钟，高拉特禁区前施射被绿城门将邹德海挡出底线
35'李学鹏左侧还有机会，传球到禁区，保利尼奥的打门，邹德海的扑救                   33'第33分钟，高拉特禁区前施射被绿城门将邹德海挡出底线
36'恒大前场继续进攻，中路保利尼奥直接打门，又是邹德海的扑救                   33'第33分钟，高拉特禁区前施射被绿城门将邹德海挡出底线
36'恒大后场断球，中场传递一下                   33'第33分钟，高拉特禁区前施射被绿城门将邹德海挡出底线
42'拉蒙前场和加比奥内塔做个配合，球丢了                   42'第42分钟，张琳芃大力远射被注意力集中的邹德海没收
42'保利尼奥中场拿球，被犯规了！                   42'第42分钟，张琳芃大力远射被注意力集中的邹德海没收
42'定位快速开出来！张琳芃距离球门35米选择打门，角度调整，邹德海把球抱住                   42'第42分钟，张琳芃大力远射被注意力集中的邹德海没收
43'恒大前场连续的进攻，张琳芃右侧拿球，球被解围出去底线，角球                   42'第42分钟，张琳芃大力远射被注意力集中的邹德海没收
43'黄博文角球开到中路，还是前点被解围出去！                   42'第42分钟，张琳芃大力远射被注意力集中的邹德海没收
44'外围李学鹏还有一脚，球出了底线，还是一个角球                   42'第42分钟，张琳芃大力远射被注意力集中的邹德海没收
44'黄博文角球开到中路，依旧前点被解围                   42'第42分钟，张琳芃大力远射被注意力集中的邹德海没收
45'郑智前场中路拿球，转移左侧黄博文                   42'第42分钟，张琳芃大力远射被注意力集中的邹德海没收
45'起球到禁区找郜林，被破坏出去！                   42'第42分钟，张琳芃大力远射被注意力集中的邹德海没收
45'绿城前场反抢，球被金英权碰出边线                   42'第42分钟，张琳芃大力远射被注意力集中的邹德海没收
45'上半场比赛补时2分钟                   42'第42分钟，张琳芃大力远射被注意力集中的邹德海没收
53'恒大中场断球， 找到禁区里的保利尼奥，传球的时候被邹德海单拳击出                   53'第53分钟，高拉特右路斜传被邹德海挡出，前冲中的高拉特抢到落点直接头球吊射，皮球高出横梁
53'高拉特冲顶吊门，球高出了横梁                   53'第53分钟，高拉特右路斜传被邹德海挡出，前冲中的高拉特抢到落点直接头球吊射，皮球高出横梁
54'恒大继续换人，换下郑智，换上张文钊                   53'第53分钟，高拉特右路斜传被邹德海挡出，前冲中的高拉特抢到落点直接头球吊射，皮球高出横梁
54'绿城前场左侧带球向前， 给到中路拉蒙，恒大把球解围出去                   53'第53分钟，高拉特右路斜传被邹德海挡出，前冲中的高拉特抢到落点直接头球吊射，皮球高出横梁
54'张文钊带球拖到禁区线上，给郜林，郜林直接打门被邹德海抱住                   53'第53分钟，高拉特右路斜传被邹德海挡出，前冲中的高拉特抢到落点直接头球吊射，皮球高出横梁
55'张文钊右侧拿球，带到禁区了，直接打门了，偏出了一点点                   53'第53分钟，高拉特右路斜传被邹德海挡出，前冲中的高拉特抢到落点直接头球吊射，皮球高出横梁
56'保利尼奥中场对加比奥内塔犯规                   53'第53分钟，高拉特右路斜传被邹德海挡出，前冲中的高拉特抢到落点直接头球吊射，皮球高出横梁
56'黄希扬禁区外得到机会，直接一脚打门，曾诚把球抱住                   53'第53分钟，高拉特右路斜传被邹德海挡出，前冲中的高拉特抢到落点直接头球吊射，皮球高出横梁
82'恒大中场拿球，找到左侧的李学鹏                   82'第82分钟，恒大中路渗透中郜林转身攻门打高，郜林表情已很急切
82'再给高拉特，给禁区线上的马丁内斯，再给郜林，球打高了                   82'第82分钟，恒大中路渗透中郜林转身攻门打高，郜林表情已很急切
83'裁判给了邹德海一张黄牌，拖延时间                   82'第82分钟，恒大中路渗透中郜林转身攻门打高，郜林表情已很急切
83'恒大前场右侧起球到禁区，邹德海把球抱住                   82'第82分钟，恒大中路渗透中郜林转身攻门打高，郜林表情已很急切
84'郜林前场拿球，绿城犯规了，一个位置不错的定位球                   82'第82分钟，恒大中路渗透中郜林转身攻门打高，郜林表情已很急切
85'黄博文直接打门，邹德海把球抱住                   82'第82分钟，恒大中路渗透中郜林转身攻门打高，郜林表情已很急切
50'曾诚大脚开出去，高拉特中场拿球                   50'进入5分钟补时阶段，高拉特左路小角度攻门稍稍高出球门后角，错过绝杀机会
50'给郑智脚下，回到后场                   50'进入5分钟补时阶段，高拉特左路小角度攻门稍稍高出球门后角，错过绝杀机会
50'李学鹏的下底传中，球被破坏出去                   50'进入5分钟补时阶段，高拉特左路小角度攻门稍稍高出球门后角，错过绝杀机会
51'绿城后场抢断，加比奥内塔拿球反击，郑智犯规了                   50'进入5分钟补时阶段，高拉特左路小角度攻门稍稍高出球门后角，错过绝杀机会
52'定位球快速开出去，右侧的直塞球，出了底线                   50'进入5分钟补时阶段，高拉特左路小角度攻门稍稍高出球门后角，错过绝杀机会
53'恒大中场断球， 找到禁区里的保利尼奥，传球的时候被邹德海单拳击出                   50'进入5分钟补时阶段，高拉特左路小角度攻门稍稍高出球门后角，错过绝杀机会
53'高拉特冲顶吊门，球高出了横梁                   50'进入5分钟补时阶段，高拉特左路小角度攻门稍稍高出球门后角，错过绝杀机会
