6'鲁能右路的进攻，过顶找吴兴涵                   6'第6分钟，塔利斯卡晃开郑铮后远射破门
50'鲁能获得了右侧角球机会！1                   49'开场4分钟，广州恒大角球进攻制造威胁，塔利斯卡低传到禁区弧顶，郑智跟进低射，球被王大雷扑出
50'蒿俊闵主罚，开出到前点                   49'开场4分钟，广州恒大角球进攻制造威胁，塔利斯卡低传到禁区弧顶，郑智跟进低射，球被王大雷扑出
50'第一点被恒大球员解围                   49'开场4分钟，广州恒大角球进攻制造威胁，塔利斯卡低传到禁区弧顶，郑智跟进低射，球被王大雷扑出
50'大脚传到前场给到高拉特                   49'开场4分钟，广州恒大角球进攻制造威胁，塔利斯卡低传到禁区弧顶，郑智跟进低射，球被王大雷扑出
50'再给李学鹏，分球右侧塔利斯卡                   49'开场4分钟，广州恒大角球进攻制造威胁，塔利斯卡低传到禁区弧顶，郑智跟进低射，球被王大雷扑出
51'塔利斯卡停球有点远，禁区右侧变向内切                   49'开场4分钟，广州恒大角球进攻制造威胁，塔利斯卡低传到禁区弧顶，郑智跟进低射，球被王大雷扑出
51'横传球，被戴琳直接拦截                   49'开场4分钟，广州恒大角球进攻制造威胁，塔利斯卡低传到禁区弧顶，郑智跟进低射，球被王大雷扑出
51'塔利斯卡后场拿球，带至前场                   49'开场4分钟，广州恒大角球进攻制造威胁，塔利斯卡低传到禁区弧顶，郑智跟进低射，球被王大雷扑出
51'分球中圈给到保利尼奥                   49'开场4分钟，广州恒大角球进攻制造威胁，塔利斯卡低传到禁区弧顶，郑智跟进低射，球被王大雷扑出
51'斜传左侧给到钟义浩                   49'开场4分钟，广州恒大角球进攻制造威胁，塔利斯卡低传到禁区弧顶，郑智跟进低射，球被王大雷扑出
51'带球内切，直接尝试远射，高射炮啊！！                   49'开场4分钟，广州恒大角球进攻制造威胁，塔利斯卡低传到禁区弧顶，郑智跟进低射，球被王大雷扑出
52'王彤和保利尼奥的争抢，裁判吹罚保利尼奥身后拉人犯规                   49'开场4分钟，广州恒大角球进攻制造威胁，塔利斯卡低传到禁区弧顶，郑智跟进低射，球被王大雷扑出
51'佩莱的身后推人犯规！！                   51'第6分钟，广州恒大反击打破僵局，保利尼奥直塞，塔利斯卡带球晃开郑铮后远射死角得手，广州恒大1-0领先，塔利斯卡打入个人本赛季第10球
51'恒大中场的任意球，塔利斯卡斜传禁区                   51'第6分钟，广州恒大反击打破僵局，保利尼奥直塞，塔利斯卡带球晃开郑铮后远射死角得手，广州恒大1-0领先，塔利斯卡打入个人本赛季第10球
51'第一点被鲁能球员解围出来                   51'第6分钟，广州恒大反击打破僵局，保利尼奥直塞，塔利斯卡带球晃开郑铮后远射死角得手，广州恒大1-0领先，塔利斯卡打入个人本赛季第10球
51'塔利斯卡停球有点远，禁区右侧变向内切                   51'第6分钟，广州恒大反击打破僵局，保利尼奥直塞，塔利斯卡带球晃开郑铮后远射死角得手，广州恒大1-0领先，塔利斯卡打入个人本赛季第10球
51'横传球，被戴琳直接拦截                   51'第6分钟，广州恒大反击打破僵局，保利尼奥直塞，塔利斯卡带球晃开郑铮后远射死角得手，广州恒大1-0领先，塔利斯卡打入个人本赛季第10球
51'塔利斯卡后场拿球，带至前场                   51'第6分钟，广州恒大反击打破僵局，保利尼奥直塞，塔利斯卡带球晃开郑铮后远射死角得手，广州恒大1-0领先，塔利斯卡打入个人本赛季第10球
51'分球中圈给到保利尼奥                   51'第6分钟，广州恒大反击打破僵局，保利尼奥直塞，塔利斯卡带球晃开郑铮后远射死角得手，广州恒大1-0领先，塔利斯卡打入个人本赛季第10球
51'斜传左侧给到钟义浩                   51'第6分钟，广州恒大反击打破僵局，保利尼奥直塞，塔利斯卡带球晃开郑铮后远射死角得手，广州恒大1-0领先，塔利斯卡打入个人本赛季第10球
51'带球内切，直接尝试远射，高射炮啊！！                   51'第6分钟，广州恒大反击打破僵局，保利尼奥直塞，塔利斯卡带球晃开郑铮后远射死角得手，广州恒大1-0领先，塔利斯卡打入个人本赛季第10球
52'王彤和保利尼奥的争抢，裁判吹罚保利尼奥身后拉人犯规                   51'第6分钟，广州恒大反击打破僵局，保利尼奥直塞，塔利斯卡带球晃开郑铮后远射死角得手，广州恒大1-0领先，塔利斯卡打入个人本赛季第10球
53'鲁能中场抢断，塔利斯卡拿球反击                   51'第6分钟，广州恒大反击打破僵局，保利尼奥直塞，塔利斯卡带球晃开郑铮后远射死角得手，广州恒大1-0领先，塔利斯卡打入个人本赛季第10球
53'斜传给到高拉特，带球到禁区弧顶                   51'第6分钟，广州恒大反击打破僵局，保利尼奥直塞，塔利斯卡带球晃开郑铮后远射死角得手，广州恒大1-0领先，塔利斯卡打入个人本赛季第10球
53'分球左侧给插上的钟义浩                   51'第6分钟，广州恒大反击打破僵局，保利尼奥直塞，塔利斯卡带球晃开郑铮后远射死角得手，广州恒大1-0领先，塔利斯卡打入个人本赛季第10球
53'钟义浩的内切直接打门，打飞了                   51'第6分钟，广州恒大反击打破僵局，保利尼奥直塞，塔利斯卡带球晃开郑铮后远射死角得手，广州恒大1-0领先，塔利斯卡打入个人本赛季第10球
53'这球钟义浩想打近角，很难啊                   51'第6分钟，广州恒大反击打破僵局，保利尼奥直塞，塔利斯卡带球晃开郑铮后远射死角得手，广州恒大1-0领先，塔利斯卡打入个人本赛季第10球
54'塔利斯卡中场拿球反击，斜塞身后找高拉特                   51'第6分钟，广州恒大反击打破僵局，保利尼奥直塞，塔利斯卡带球晃开郑铮后远射死角得手，广州恒大1-0领先，塔利斯卡打入个人本赛季第10球
54'边裁举旗，高拉特越位在先！！                   51'第6分钟，广州恒大反击打破僵局，保利尼奥直塞，塔利斯卡带球晃开郑铮后远射死角得手，广州恒大1-0领先，塔利斯卡打入个人本赛季第10球
53'鲁能中场抢断，塔利斯卡拿球反击                   53'第8分钟，山东鲁能快速进攻，塔尔德利边路弧线球传中，前插的刘军帅头球攻门，球击中近侧立柱弹出
53'斜传给到高拉特，带球到禁区弧顶                   53'第8分钟，山东鲁能快速进攻，塔尔德利边路弧线球传中，前插的刘军帅头球攻门，球击中近侧立柱弹出
53'分球左侧给插上的钟义浩                   53'第8分钟，山东鲁能快速进攻，塔尔德利边路弧线球传中，前插的刘军帅头球攻门，球击中近侧立柱弹出
53'钟义浩的内切直接打门，打飞了                   53'第8分钟，山东鲁能快速进攻，塔尔德利边路弧线球传中，前插的刘军帅头球攻门，球击中近侧立柱弹出
53'这球钟义浩想打近角，很难啊                   53'第8分钟，山东鲁能快速进攻，塔尔德利边路弧线球传中，前插的刘军帅头球攻门，球击中近侧立柱弹出
54'塔利斯卡中场拿球反击，斜塞身后找高拉特                   53'第8分钟，山东鲁能快速进攻，塔尔德利边路弧线球传中，前插的刘军帅头球攻门，球击中近侧立柱弹出
54'边裁举旗，高拉特越位在先！！                   53'第8分钟，山东鲁能快速进攻，塔尔德利边路弧线球传中，前插的刘军帅头球攻门，球击中近侧立柱弹出
55'恒大换人：20号于汉超上，换下了33号钟义浩！！                   53'第8分钟，山东鲁能快速进攻，塔尔德利边路弧线球传中，前插的刘军帅头球攻门，球击中近侧立柱弹出
55'郑铮前场右路拿球，内切回传蒿俊闵                   53'第8分钟，山东鲁能快速进攻，塔尔德利边路弧线球传中，前插的刘军帅头球攻门，球击中近侧立柱弹出
56'斜传球到禁区，保利尼奥抢在塔尔德利之前头球解围                   53'第8分钟，山东鲁能快速进攻，塔尔德利边路弧线球传中，前插的刘军帅头球攻门，球击中近侧立柱弹出
56'塔利斯卡前场中路拿球，分球右侧给张琳芃                   53'第8分钟，山东鲁能快速进攻，塔尔德利边路弧线球传中，前插的刘军帅头球攻门，球击中近侧立柱弹出
56'张琳芃的传中到后点，李学鹏胸部停球                   53'第8分钟，山东鲁能快速进攻，塔尔德利边路弧线球传中，前插的刘军帅头球攻门，球击中近侧立柱弹出
56'再横传前点，被防守球员解围                   53'第8分钟，山东鲁能快速进攻，塔尔德利边路弧线球传中，前插的刘军帅头球攻门，球击中近侧立柱弹出
62'恒大的右侧角球机会，没能形成威胁！！                   62'第17分钟，塔利斯卡带球反击，突破中送出直塞，高拉特快速插上摆脱王大雷射空门得手，但是边裁示意越位在先
63'保利尼奥前场中路拿球，分球右侧给到于汉超                   62'第17分钟，塔利斯卡带球反击，突破中送出直塞，高拉特快速插上摆脱王大雷射空门得手，但是边裁示意越位在先
63'于汉超内切再给上来的保利尼奥                   62'第17分钟，塔利斯卡带球反击，突破中送出直塞，高拉特快速插上摆脱王大雷射空门得手，但是边裁示意越位在先
63'横切左侧，再转移球到右侧给张琳芃                   62'第17分钟，塔利斯卡带球反击，突破中送出直塞，高拉特快速插上摆脱王大雷射空门得手，但是边裁示意越位在先
63'传中到后点，高拉特的打门，被王大雷拿到                   62'第17分钟，塔利斯卡带球反击，突破中送出直塞，高拉特快速插上摆脱王大雷射空门得手，但是边裁示意越位在先
64'梅方后场和塔尔德利的争抢犯规！！                   62'第17分钟，塔利斯卡带球反击，突破中送出直塞，高拉特快速插上摆脱王大雷射空门得手，但是边裁示意越位在先
64'鲁能获得了前场中路的任意球机会！！                   62'第17分钟，塔利斯卡带球反击，突破中送出直塞，高拉特快速插上摆脱王大雷射空门得手，但是边裁示意越位在先
64'塔尔德利主罚，郑智没能退回到规定距离                   62'第17分钟，塔利斯卡带球反击，突破中送出直塞，高拉特快速插上摆脱王大雷射空门得手，但是边裁示意越位在先
64'主裁判过来，给了郑智一张黄牌！！                   62'第17分钟，塔利斯卡带球反击，突破中送出直塞，高拉特快速插上摆脱王大雷射空门得手，但是边裁示意越位在先
65'张琳芃右路拿球，横传给到塔利斯卡                   62'第17分钟，塔利斯卡带球反击，突破中送出直塞，高拉特快速插上摆脱王大雷射空门得手，但是边裁示意越位在先
65'塔利斯卡停球一拉，顺势斜传球到前场找高拉特                   62'第17分钟，塔利斯卡带球反击，突破中送出直塞，高拉特快速插上摆脱王大雷射空门得手，但是边裁示意越位在先
65'戴琳的回防，将球解围出底线                   62'第17分钟，塔利斯卡带球反击，突破中送出直塞，高拉特快速插上摆脱王大雷射空门得手，但是边裁示意越位在先
65'恒大获得了右侧角球，于汉超主罚                   62'第17分钟，塔利斯卡带球反击，突破中送出直塞，高拉特快速插上摆脱王大雷射空门得手，但是边裁示意越位在先
66'开出到禁区，并未形成威胁！！                   66'第21分钟，塔利斯卡赢得前场任意球，塔利斯卡亲自操刀主罚打出弧线球射门，球弹地之后稍稍偏出
66'郑智刚刚领到黄牌，累计4黄了，下轮面对申花将停赛！！                   66'第21分钟，塔利斯卡赢得前场任意球，塔利斯卡亲自操刀主罚打出弧线球射门，球弹地之后稍稍偏出
67'金敬道左路拿球，面对张琳芃                   66'第21分钟，塔利斯卡赢得前场任意球，塔利斯卡亲自操刀主罚打出弧线球射门，球弹地之后稍稍偏出
67'强突下底，人球分过                   66'第21分钟，塔利斯卡赢得前场任意球，塔利斯卡亲自操刀主罚打出弧线球射门，球弹地之后稍稍偏出
67'底线内切，倒三角回传                   66'第21分钟，塔利斯卡赢得前场任意球，塔利斯卡亲自操刀主罚打出弧线球射门，球弹地之后稍稍偏出
67'保利尼奥回防将球将球解围                   66'第21分钟，塔利斯卡赢得前场任意球，塔利斯卡亲自操刀主罚打出弧线球射门，球弹地之后稍稍偏出
67'周海滨外围得球，远射打偏！！                   66'第21分钟，塔利斯卡赢得前场任意球，塔利斯卡亲自操刀主罚打出弧线球射门，球弹地之后稍稍偏出
68'梅方之前对于塔尔德利的犯规，也是领到一张黄牌，累计4黄无缘下一轮！                   66'第21分钟，塔利斯卡赢得前场任意球，塔利斯卡亲自操刀主罚打出弧线球射门，球弹地之后稍稍偏出
68'塔利斯卡前场右路拿球，强突下底                   66'第21分钟，塔利斯卡赢得前场任意球，塔利斯卡亲自操刀主罚打出弧线球射门，球弹地之后稍稍偏出
68'回传禁区弧顶给到保利尼奥                   66'第21分钟，塔利斯卡赢得前场任意球，塔利斯卡亲自操刀主罚打出弧线球射门，球弹地之后稍稍偏出
69'再给禁区右上角的郜林，拔脚怒射，王大雷将球封堵                   66'第21分钟，塔利斯卡赢得前场任意球，塔利斯卡亲自操刀主罚打出弧线球射门，球弹地之后稍稍偏出
69'戴琳回防，将球解围                   66'第21分钟，塔利斯卡赢得前场任意球，塔利斯卡亲自操刀主罚打出弧线球射门，球弹地之后稍稍偏出
74'蒿俊闵前场中路拿球，分球右侧给张驰，强突后传中到门前，佩莱插上头球轰门顶进！！                   74'第29分钟，塔利斯卡弧线球传中，张弛头球解围不远，保利尼奥快速插上凌空抽射，球被出击的王大雷挡出
74'恒大又进了，4-1！！                   74'第29分钟，塔利斯卡弧线球传中，张弛头球解围不远，保利尼奥快速插上凌空抽射，球被出击的王大雷挡出
74'保利尼奥！！                   74'第29分钟，塔利斯卡弧线球传中，张弛头球解围不远，保利尼奥快速插上凌空抽射，球被出击的王大雷挡出
76'李学鹏左路拿球强突下底，倒三角回传，高拉特前点故意一漏，中路跟进的保利尼奥抽射打进！！                   74'第29分钟，塔利斯卡弧线球传中，张弛头球解围不远，保利尼奥快速插上凌空抽射，球被出击的王大雷挡出
76'塔利斯卡中场拿球，郑铮的上抢犯规！                   74'第29分钟，塔利斯卡弧线球传中，张弛头球解围不远，保利尼奥快速插上凌空抽射，球被出击的王大雷挡出
77'鲁能的前场进攻，蒿俊闵中路拿球                   74'第29分钟，塔利斯卡弧线球传中，张弛头球解围不远，保利尼奥快速插上凌空抽射，球被出击的王大雷挡出
82'于汉超左路拿球，内切挑传找高拉特                   82'第37分钟，蒿俊闵送出直塞，吴兴涵边路倒三角回传，佩莱禁区弧顶处远射高出
82'吉尔卡位将球一挡，周海滨回来控制                   82'第37分钟，蒿俊闵送出直塞，吴兴涵边路倒三角回传，佩莱禁区弧顶处远射高出
82'鲁能中场失误，恒大的反击                   82'第37分钟，蒿俊闵送出直塞，吴兴涵边路倒三角回传，佩莱禁区弧顶处远射高出
83'郑智拿球，分球右侧给到塔利斯卡                   82'第37分钟，蒿俊闵送出直塞，吴兴涵边路倒三角回传，佩莱禁区弧顶处远射高出
83'塔利斯卡斜传中路给前插的高拉特                   82'第37分钟，蒿俊闵送出直塞，吴兴涵边路倒三角回传，佩莱禁区弧顶处远射高出
83'高拉特带球遭遇夹击，分球右侧找前插的黄博文                   82'第37分钟，蒿俊闵送出直塞，吴兴涵边路倒三角回传，佩莱禁区弧顶处远射高出
83'黄博文拿球，边裁举旗，越位在先！！！                   82'第37分钟，蒿俊闵送出直塞，吴兴涵边路倒三角回传，佩莱禁区弧顶处远射高出
84'张琳芃后场拿球，面对金敬道的逼抢                   82'第37分钟，蒿俊闵送出直塞，吴兴涵边路倒三角回传，佩莱禁区弧顶处远射高出
84'张琳芃转身回传刘殿座，再给冯潇霆                   82'第37分钟，蒿俊闵送出直塞，吴兴涵边路倒三角回传，佩莱禁区弧顶处远射高出
85'恒大前场的进攻，于汉超的内切传中                   82'第37分钟，蒿俊闵送出直塞，吴兴涵边路倒三角回传，佩莱禁区弧顶处远射高出
85'戴琳回防将球挡出了底线！！                   82'第37分钟，蒿俊闵送出直塞，吴兴涵边路倒三角回传，佩莱禁区弧顶处远射高出
85'恒大获得了左侧角球机会！！！                   82'第37分钟，蒿俊闵送出直塞，吴兴涵边路倒三角回传，佩莱禁区弧顶处远射高出
85'于汉超主罚，开出到门前，第一点被鲁能球员解围                   82'第37分钟，蒿俊闵送出直塞，吴兴涵边路倒三角回传，佩莱禁区弧顶处远射高出
87'王彤左路拿球强突，回传佩莱                   87'第42分钟，广州恒大扩大比分，郑智送出挑传球，塔利斯卡摆脱防守队员后甩头攻门得手，广州恒大2-0领先
87'佩莱内切斜传禁区，第一点被解围出来                   87'第42分钟，广州恒大扩大比分，郑智送出挑传球，塔利斯卡摆脱防守队员后甩头攻门得手，广州恒大2-0领先
88'塔尔德利左路拿球强突，张琳芃上抢将球破坏出边线                   87'第42分钟，广州恒大扩大比分，郑智送出挑传球，塔利斯卡摆脱防守队员后甩头攻门得手，广州恒大2-0领先
88'郑铮左路拿球强突，张琳芃上抢                   87'第42分钟，广州恒大扩大比分，郑智送出挑传球，塔利斯卡摆脱防守队员后甩头攻门得手，广州恒大2-0领先
89'两人相撞后双双倒地                   87'第42分钟，广州恒大扩大比分，郑智送出挑传球，塔利斯卡摆脱防守队员后甩头攻门得手，广州恒大2-0领先
89'郑铮压在了张琳芃的身上，张琳芃侧身倒地，右肩受伤                   87'第42分钟，广州恒大扩大比分，郑智送出挑传球，塔利斯卡摆脱防守队员后甩头攻门得手，广州恒大2-0领先
89'比赛暂停，队医进场检查伤情                   87'第42分钟，广州恒大扩大比分，郑智送出挑传球，塔利斯卡摆脱防守队员后甩头攻门得手，广州恒大2-0领先
90'张琳芃出场治疗，比赛继续                   87'第42分钟，广州恒大扩大比分，郑智送出挑传球，塔利斯卡摆脱防守队员后甩头攻门得手，广州恒大2-0领先
90'塔尔德利左侧拿球，梅方补防将球解围                   87'第42分钟，广州恒大扩大比分，郑智送出挑传球，塔利斯卡摆脱防守队员后甩头攻门得手，广州恒大2-0领先
90'张琳芃简单治疗后回到场内，问题不大                   87'第42分钟，广州恒大扩大比分，郑智送出挑传球，塔利斯卡摆脱防守队员后甩头攻门得手，广州恒大2-0领先
90'下半场比赛补时5分钟！！                   87'第42分钟，广州恒大扩大比分，郑智送出挑传球，塔利斯卡摆脱防守队员后甩头攻门得手，广州恒大2-0领先
96'梅方大脚将球踢到前场右路                   96'下半场易边再战，第51分钟，高拉特前场分球，钟义浩内切远射将球打飞
96'塔利斯卡的前插，回防的戴琳将球解围出边线                   96'下半场易边再战，第51分钟，高拉特前场分球，钟义浩内切远射将球打飞
77'鲁能的前场进攻，蒿俊闵中路拿球                   77'第77分钟，塔尔德利传中，佩莱禁区内做球，金敬道后插上劲射，球被刘殿座用腿挡出底线
78'挑传禁区左侧给金敬道，横传门前                   77'第77分钟，塔尔德利传中，佩莱禁区内做球，金敬道后插上劲射，球被刘殿座用腿挡出底线
78'塔尔德利跟进准备打门，被回防的梅方解围出底线                   77'第77分钟，塔尔德利传中，佩莱禁区内做球，金敬道后插上劲射，球被刘殿座用腿挡出底线
78'鲁能获得了左侧角球机会！！                   77'第77分钟，塔尔德利传中，佩莱禁区内做球，金敬道后插上劲射，球被刘殿座用腿挡出底线
78'战术角球开出，金敬道给到佩莱                   77'第77分钟，塔尔德利传中，佩莱禁区内做球，金敬道后插上劲射，球被刘殿座用腿挡出底线
78'佩莱背身拿球，再回给切入禁区的金敬道                   77'第77分钟，塔尔德利传中，佩莱禁区内做球，金敬道后插上劲射，球被刘殿座用腿挡出底线
79'金敬道顺势一趟，起脚打门，被刘殿座挡出底线！                   77'第77分钟，塔尔德利传中，佩莱禁区内做球，金敬道后插上劲射，球被刘殿座用腿挡出底线
79'鲁能继续左侧角球，这次没威胁！！                   77'第77分钟，塔尔德利传中，佩莱禁区内做球，金敬道后插上劲射，球被刘殿座用腿挡出底线
79'黄博文前场右路和于汉超的2过1配合                   77'第77分钟，塔尔德利传中，佩莱禁区内做球，金敬道后插上劲射，球被刘殿座用腿挡出底线
79'于汉超的横传球，被郑铮倒地挡出边线                   77'第77分钟，塔尔德利传中，佩莱禁区内做球，金敬道后插上劲射，球被刘殿座用腿挡出底线
86'郑智外围拿球，斜传右路找塔利斯卡                   86'第86分钟，老将郑智被廖力生换下，现场鲁能球迷也给郑智献上掌声
86'金敬道回防卡位，将球护送出底线！！                   86'第86分钟，老将郑智被廖力生换下，现场鲁能球迷也给郑智献上掌声
86'恒大第三次换人：10号郑智下，换上了2号廖力生！！！                   86'第86分钟，老将郑智被廖力生换下，现场鲁能球迷也给郑智献上掌声
87'王彤左路拿球强突，回传佩莱                   86'第86分钟，老将郑智被廖力生换下，现场鲁能球迷也给郑智献上掌声
87'佩莱内切斜传禁区，第一点被解围出来                   86'第86分钟，老将郑智被廖力生换下，现场鲁能球迷也给郑智献上掌声
88'塔尔德利左路拿球强突，张琳芃上抢将球破坏出边线                   86'第86分钟，老将郑智被廖力生换下，现场鲁能球迷也给郑智献上掌声
88'郑铮左路拿球强突，张琳芃上抢                   86'第86分钟，老将郑智被廖力生换下，现场鲁能球迷也给郑智献上掌声
89'两人相撞后双双倒地                   86'第86分钟，老将郑智被廖力生换下，现场鲁能球迷也给郑智献上掌声
89'郑铮压在了张琳芃的身上，张琳芃侧身倒地，右肩受伤                   86'第86分钟，老将郑智被廖力生换下，现场鲁能球迷也给郑智献上掌声
89'比赛暂停，队医进场检查伤情                   86'第86分钟，老将郑智被廖力生换下，现场鲁能球迷也给郑智献上掌声
