17'里纳乌多将球处理出底线,罗马获得角球.                   17'开场17分钟，托蒂右侧开出角球，罗马尼奥利头球偏出
43'卡塔尼亚球员博格西奥大禁区外尝试右脚射门,可惜皮球高出球门.给他传球的是伊兹科.                   43'第43分钟，德罗西丢球，但贝赫西奥禁区外匆忙起脚打高
45'射门!!!罗马球员热尔维尼奥小禁区左侧右脚射门,被对方守门员横身扑出.给他传球的是托蒂.                   43'第43分钟，德罗西丢球，但贝赫西奥禁区外匆忙起脚打高
45'+1'卡塔尼亚球员里纳乌多一脚直塞球给卡斯特罗,但是边裁举旗显示后者已经越位.                   43'第43分钟，德罗西丢球，但贝赫西奥禁区外匆忙起脚打高
45'+1'卡塔尼亚球员卡斯特罗被主裁判出示了一张黄牌.                   43'第43分钟，德罗西丢球，但贝赫西奥禁区外匆忙起脚打高
45'+2'上半场结束,卡塔尼亚 2-1 罗马,稍事休息,我们一会来看看下半场两队的表现.                   43'第43分钟，德罗西丢球，但贝赫西奥禁区外匆忙起脚打高
51'卡塔尼亚球员博格西奥大禁区左侧尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是伊兹科.                   51'下半时开始6分钟，皮亚尼奇后场被断球，伊斯科传给贝赫西奥，后者左脚抽射偏出
51'罗马球员托蒂一脚直塞球给热尔维尼奥,但是边裁举旗显示后者已经越位.                   51'下半时开始6分钟，皮亚尼奇后场被断球，伊斯科传给贝赫西奥，后者左脚抽射偏出
54'卡斯坦将球处理出底线,卡塔尼亚获得角球.                   51'下半时开始6分钟，皮亚尼奇后场被断球，伊斯科传给贝赫西奥，后者左脚抽射偏出
67'射门!!!罗马球员巴斯托斯大禁区外左脚射门,被对方守门员横身扑出.给他传球的是麦孔.                   67'第67分钟，巴斯托斯左脚劲射被弗里松封出底线
67'弗里森将球处理出底线,罗马获得角球.                   67'第67分钟，巴斯托斯左脚劲射被弗里松封出底线
67'罗马球员麦孔大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是巴斯托斯.                   67'第67分钟，巴斯托斯左脚劲射被弗里松封出底线
68'罗马球员托蒂一脚直塞球给热尔维尼奥,但是边裁举旗显示后者已经越位.                   67'第67分钟，巴斯托斯左脚劲射被弗里松封出底线
69'卡塔尼亚球员蒙松拼抢犯规,对手获得控球权.                   67'第67分钟，巴斯托斯左脚劲射被弗里松封出底线
69'热尔维尼奥为罗马在右路,赢得一个任意球.                   67'第67分钟，巴斯托斯左脚劲射被弗里松封出底线
79'进球啦！！！卡塔尼亚球员巴里恩托斯大禁区外左脚射门,球从右下角飞进球门,球进了!助攻的是伊兹科. 卡塔尼亚 4-1 罗马.                   79'第79分钟，伊斯科右路低传被贝赫西奥漏过，巴里恩托斯在门前26米处左脚大力抽射入右下角，4比1
80'罗马球员巴斯托斯左侧很远处尝试左脚射门,可惜皮球稍稍偏出了右球门.                   79'第79分钟，伊斯科右路低传被贝赫西奥漏过，巴里恩托斯在门前26米处左脚大力抽射入右下角，4比1
80'罗林将球处理出底线,罗马获得角球.                   79'第79分钟，伊斯科右路低传被贝赫西奥漏过，巴里恩托斯在门前26米处左脚大力抽射入右下角，4比1
82'卡塔尼亚换人,比拉吉换下卡斯特罗                   79'第79分钟，伊斯科右路低传被贝赫西奥漏过，巴里恩托斯在门前26米处左脚大力抽射入右下角，4比1
