6'郜林右路控球，交给了郑智                   6'开场6分钟，广州恒大打破僵局
25'李微斜传到禁区内，阿洛伊西奥回敲，王永珀插上接应，郑智回防到位将球捅出底线                   25'第25分钟，山东鲁能打出默契配合，蒿俊闵挑传禁区前沿，阿洛伊西奥胸部停球，王永珀跟进凌空抽射，曾诚飞身将球扑出
26'这段时间鲁能的进攻越来越有气势                   25'第25分钟，山东鲁能打出默契配合，蒿俊闵挑传禁区前沿，阿洛伊西奥胸部停球，王永珀跟进凌空抽射，曾诚飞身将球扑出
26'鲁能这边戴琳争顶后落后摔伤了                   25'第25分钟，山东鲁能打出默契配合，蒿俊闵挑传禁区前沿，阿洛伊西奥胸部停球，王永珀跟进凌空抽射，曾诚飞身将球扑出
27'比赛继续                   25'第25分钟，山东鲁能打出默契配合，蒿俊闵挑传禁区前沿，阿洛伊西奥胸部停球，王永珀跟进凌空抽射，曾诚飞身将球扑出
27'刘彬彬的内切，郑龙犯规                   25'第25分钟，山东鲁能打出默契配合，蒿俊闵挑传禁区前沿，阿洛伊西奥胸部停球，王永珀跟进凌空抽射，曾诚飞身将球扑出
27'刘彬彬拉边接应传中被回防的郜林伸腿挡出边线                   25'第25分钟，山东鲁能打出默契配合，蒿俊闵挑传禁区前沿，阿洛伊西奥胸部停球，王永珀跟进凌空抽射，曾诚飞身将球扑出
27'斯科拉里站到场边不断叫喊                   25'第25分钟，山东鲁能打出默契配合，蒿俊闵挑传禁区前沿，阿洛伊西奥胸部停球，王永珀跟进凌空抽射，曾诚飞身将球扑出
27'恒大淘宝反击，李学鹏直传                   25'第25分钟，山东鲁能打出默契配合，蒿俊闵挑传禁区前沿，阿洛伊西奥胸部停球，王永珀跟进凌空抽射，曾诚飞身将球扑出
28'高拉特盘过了戴琳横传，罗比尼奥的速度处于劣势                   25'第25分钟，山东鲁能打出默契配合，蒿俊闵挑传禁区前沿，阿洛伊西奥胸部停球，王永珀跟进凌空抽射，曾诚飞身将球扑出
28'蒙蒂略的中场盘带被郑智绊倒                   25'第25分钟，山东鲁能打出默契配合，蒿俊闵挑传禁区前沿，阿洛伊西奥胸部停球，王永珀跟进凌空抽射，曾诚飞身将球扑出
28'鲁能连续有机会                   25'第25分钟，山东鲁能打出默契配合，蒿俊闵挑传禁区前沿，阿洛伊西奥胸部停球，王永珀跟进凌空抽射，曾诚飞身将球扑出
32'高拉特的直传，郜林禁区右侧小角度打门被王大雷倒地扑了一下                   32'第32分钟，广州恒大任意球快发制造威胁，高拉特送出斜塞，尤西雷再次防守失位，郜林得球小角度射门被王大雷勉强扑出，罗比尼奥补射打在边网上
33'后点罗比尼奥小角度补射击中了边网                   32'第32分钟，广州恒大任意球快发制造威胁，高拉特送出斜塞，尤西雷再次防守失位，郜林得球小角度射门被王大雷勉强扑出，罗比尼奥补射打在边网上
33'冯潇霆高吊禁区，王大雷出击将球没收                   32'第32分钟，广州恒大任意球快发制造威胁，高拉特送出斜塞，尤西雷再次防守失位，郜林得球小角度射门被王大雷勉强扑出，罗比尼奥补射打在边网上
34'蒙蒂略直传到禁区，刘彬彬插上打门被后卫挡出底线                   32'第32分钟，广州恒大任意球快发制造威胁，高拉特送出斜塞，尤西雷再次防守失位，郜林得球小角度射门被王大雷勉强扑出，罗比尼奥补射打在边网上
34'蒙蒂略角球发到门前，双方都顶空了                   32'第32分钟，广州恒大任意球快发制造威胁，高拉特送出斜塞，尤西雷再次防守失位，郜林得球小角度射门被王大雷勉强扑出，罗比尼奥补射打在边网上
35'张弛传中，太低了被解围                   32'第32分钟，广州恒大任意球快发制造威胁，高拉特送出斜塞，尤西雷再次防守失位，郜林得球小角度射门被王大雷勉强扑出，罗比尼奥补射打在边网上
35'张琳芃的挑传，被蒿俊闵断下                   32'第32分钟，广州恒大任意球快发制造威胁，高拉特送出斜塞，尤西雷再次防守失位，郜林得球小角度射门被王大雷勉强扑出，罗比尼奥补射打在边网上
42'张琳芃的带球突进被蒿俊闵绊倒                   42'第42分钟，张琳芃制造禁区外任意球，保利尼奥弧线球射穿人墙稍稍偏出立柱
42'恒大淘宝获得一个中路偏右的任意球机会                   42'第42分钟，张琳芃制造禁区外任意球，保利尼奥弧线球射穿人墙稍稍偏出立柱
42'保利尼奥的远射，还是偏出一点                   42'第42分钟，张琳芃制造禁区外任意球，保利尼奥弧线球射穿人墙稍稍偏出立柱
44'刘彬彬左路内切传中，球传得稍高了一点，否则阿洛伊西奥可以近距离头球攻门了                   42'第42分钟，张琳芃制造禁区外任意球，保利尼奥弧线球射穿人墙稍稍偏出立柱
45'罗比尼奥右路比较空，内切打门被戴琳用脚挡住                   42'第42分钟，张琳芃制造禁区外任意球，保利尼奥弧线球射穿人墙稍稍偏出立柱
45'蒙蒂略快速带球上来，交给阿洛伊西奥没有停好，冯潇霆断球                   42'第42分钟，张琳芃制造禁区外任意球，保利尼奥弧线球射穿人墙稍稍偏出立柱
45'上半场补时1分钟                   42'第42分钟，张琳芃制造禁区外任意球，保利尼奥弧线球射穿人墙稍稍偏出立柱
49'蒙蒂略传到后点，冯潇霆将球顶出外围                   49'第49分钟，山东鲁能角球进攻被化解，郑智送出直塞，黄博文获得单刀，但是王大雷出击将球解围，高拉特吊门被李微解围
49'恒大淘宝反击                   49'第49分钟，山东鲁能角球进攻被化解，郑智送出直塞，黄博文获得单刀，但是王大雷出击将球解围，高拉特吊门被李微解围
50'黄博文反插上快要单刀了，扣球过人被王大雷拦截                   49'第49分钟，山东鲁能角球进攻被化解，郑智送出直塞，黄博文获得单刀，但是王大雷出击将球解围，高拉特吊门被李微解围
50'高拉特的吊门力量小了                   49'第49分钟，山东鲁能角球进攻被化解，郑智送出直塞，黄博文获得单刀，但是王大雷出击将球解围，高拉特吊门被李微解围
50'恒大淘宝还有机会，高拉特带球进了禁区推射远角被王大雷伸脚挡出                   49'第49分钟，山东鲁能角球进攻被化解，郑智送出直塞，黄博文获得单刀，但是王大雷出击将球解围，高拉特吊门被李微解围
50'郜林右路拿球横带后左脚远射，球擦着立柱飞出底线                   49'第49分钟，山东鲁能角球进攻被化解，郑智送出直塞，黄博文获得单刀，但是王大雷出击将球解围，高拉特吊门被李微解围
52'王永珀长传上来，金英权被阿洛伊西奥撞倒                   49'第49分钟，山东鲁能角球进攻被化解，郑智送出直塞，黄博文获得单刀，但是王大雷出击将球解围，高拉特吊门被李微解围
52'冯潇霆长传上来，戴琳与尤西雷关门将球断下                   49'第49分钟，山东鲁能角球进攻被化解，郑智送出直塞，黄博文获得单刀，但是王大雷出击将球解围，高拉特吊门被李微解围
56'恒大淘宝中路连续的配合，保利尼奥左肋部下底传中，黄博文后点凌空抽射击中了戴琳的身体                   56'第56分钟，山东鲁能后卫解围失误送给广州恒大反击机会，张琳芃边路弧线球传到后点，郜林包抄到位面对空门将球打偏
57'恒大淘宝超级黄金机会，高拉特禁区右边缘传中，前点大家都漏了，后点郜林面对空门居然打偏了                   56'第56分钟，山东鲁能后卫解围失误送给广州恒大反击机会，张琳芃边路弧线球传到后点，郜林包抄到位面对空门将球打偏
57'鲁能有球员在禁区内倒地                   56'第56分钟，山东鲁能后卫解围失误送给广州恒大反击机会，张琳芃边路弧线球传到后点，郜林包抄到位面对空门将球打偏
57'裁判没有吹                   56'第56分钟，山东鲁能后卫解围失误送给广州恒大反击机会，张琳芃边路弧线球传到后点，郜林包抄到位面对空门将球打偏
57'恒大淘宝球迷吓出一身冷汗                   56'第56分钟，山东鲁能后卫解围失误送给广州恒大反击机会，张琳芃边路弧线球传到后点，郜林包抄到位面对空门将球打偏
58'刚才是阿洛伊西奥禁区内一对四后突然倒地                   56'第56分钟，山东鲁能后卫解围失误送给广州恒大反击机会，张琳芃边路弧线球传到后点，郜林包抄到位面对空门将球打偏
58'山东鲁能换人，14号王彤换下了15号李微                   56'第56分钟，山东鲁能后卫解围失误送给广州恒大反击机会，张琳芃边路弧线球传到后点，郜林包抄到位面对空门将球打偏
59'鲁能后场倒脚                   56'第56分钟，山东鲁能后卫解围失误送给广州恒大反击机会，张琳芃边路弧线球传到后点，郜林包抄到位面对空门将球打偏
59'蒿俊闵长传到禁区，刘彬彬停球被张琳芃先撩了一下                   56'第56分钟，山东鲁能后卫解围失误送给广州恒大反击机会，张琳芃边路弧线球传到后点，郜林包抄到位面对空门将球打偏
60'慢镜来看阿洛伊西奥在禁区内倒地一下与李学鹏有接触                   60'第60分钟，蒙蒂略为山东鲁能赢得任意球，蒙蒂略亲自操刀主罚，皮球绕过人墙弹地飞入死角，场上比分变为1-1平
60'先看一下鲁能这个任意球机会，偏向左边                   60'第60分钟，蒙蒂略为山东鲁能赢得任意球，蒙蒂略亲自操刀主罚，皮球绕过人墙弹地飞入死角，场上比分变为1-1平
60'蒙蒂略任意球打进了球门左下角！                   60'第60分钟，蒙蒂略为山东鲁能赢得任意球，蒙蒂略亲自操刀主罚，皮球绕过人墙弹地飞入死角，场上比分变为1-1平
61'1：1，冠军的悬念再次出现                   60'第60分钟，蒙蒂略为山东鲁能赢得任意球，蒙蒂略亲自操刀主罚，皮球绕过人墙弹地飞入死角，场上比分变为1-1平
61'因为另一场比赛上港已经1：0领先                   60'第60分钟，蒙蒂略为山东鲁能赢得任意球，蒙蒂略亲自操刀主罚，皮球绕过人墙弹地飞入死角，场上比分变为1-1平
61'埃尔克森迅速被换上场                   60'第60分钟，蒙蒂略为山东鲁能赢得任意球，蒙蒂略亲自操刀主罚，皮球绕过人墙弹地飞入死角，场上比分变为1-1平
61'李学鹏交给高拉特                   60'第60分钟，蒙蒂略为山东鲁能赢得任意球，蒙蒂略亲自操刀主罚，皮球绕过人墙弹地飞入死角，场上比分变为1-1平
62'与埃尔克森做二过一，传大了                   60'第60分钟，蒙蒂略为山东鲁能赢得任意球，蒙蒂略亲自操刀主罚，皮球绕过人墙弹地飞入死角，场上比分变为1-1平
62'埃尔克森换下的是郜林                   60'第60分钟，蒙蒂略为山东鲁能赢得任意球，蒙蒂略亲自操刀主罚，皮球绕过人墙弹地飞入死角，场上比分变为1-1平
63'刘彬彬左路这里很空，传中球一轮混战，冯潇霆解围                   60'第60分钟，蒙蒂略为山东鲁能赢得任意球，蒙蒂略亲自操刀主罚，皮球绕过人墙弹地飞入死角，场上比分变为1-1平
63'蒿俊闵右肋部的下底传中被金英权挡出                   60'第60分钟，蒙蒂略为山东鲁能赢得任意球，蒙蒂略亲自操刀主罚，皮球绕过人墙弹地飞入死角，场上比分变为1-1平
63'王永珀右路的连连路传中被冯潇霆顶出边线                   60'第60分钟，蒙蒂略为山东鲁能赢得任意球，蒙蒂略亲自操刀主罚，皮球绕过人墙弹地飞入死角，场上比分变为1-1平
63'王永珀边路的抹球被拦截出底线                   60'第60分钟，蒙蒂略为山东鲁能赢得任意球，蒙蒂略亲自操刀主罚，皮球绕过人墙弹地飞入死角，场上比分变为1-1平
63'鲁能右路的角球机会                   60'第60分钟，蒙蒂略为山东鲁能赢得任意球，蒙蒂略亲自操刀主罚，皮球绕过人墙弹地飞入死角，场上比分变为1-1平
69'郑龙旋前点，王大雷将球打出禁区                   69'第69分钟，埃尔克森边路拿球内切大力远射，王大雷站位较好，将球稳稳扑住
69'埃尔克森左路来了，内切打门打得比较正，王大雷将球没收                   69'第69分钟，埃尔克森边路拿球内切大力远射，王大雷站位较好，将球稳稳扑住
69'阿洛伊西奥背身拿球转身直传，曾诚将球没收                   69'第69分钟，埃尔克森边路拿球内切大力远射，王大雷站位较好，将球稳稳扑住
70'黄博文右路的直传给太靠前了                   69'第69分钟，埃尔克森边路拿球内切大力远射，王大雷站位较好，将球稳稳扑住
71'恒大淘宝打进了禁区，李学鹏左路的直传，郑龙护球回传打在金敬道身上出边线                   69'第69分钟，埃尔克森边路拿球内切大力远射，王大雷站位较好，将球稳稳扑住
71'埃尔克森急停，保利尼奥打门打在后卫身上                   69'第69分钟，埃尔克森边路拿球内切大力远射，王大雷站位较好，将球稳稳扑住
72'恒大淘宝中场断球                   69'第69分钟，埃尔克森边路拿球内切大力远射，王大雷站位较好，将球稳稳扑住
72'保利尼奥的突进戴琳铲到球并铲飞                   69'第69分钟，埃尔克森边路拿球内切大力远射，王大雷站位较好，将球稳稳扑住
72'没有犯规                   69'第69分钟，埃尔克森边路拿球内切大力远射，王大雷站位较好，将球稳稳扑住
72'戴琳飞铲埃尔克森犯规                   69'第69分钟，埃尔克森边路拿球内切大力远射，王大雷站位较好，将球稳稳扑住
81'高拉特带球，一对四，加速推进急停被蒿俊闵断下                   81'第81分钟，埃尔克森禁区外觅得机会大力远射，球擦着立柱偏出
81'保利尼奥上抢成功，大步流星推进交给埃尔克森                   81'第81分钟，埃尔克森禁区外觅得机会大力远射，球擦着立柱偏出
81'埃尔克森左脚远射偏出左边立柱                   81'第81分钟，埃尔克森禁区外觅得机会大力远射，球擦着立柱偏出
82'郑智顶到第一点                   81'第81分钟，埃尔克森禁区外觅得机会大力远射，球擦着立柱偏出
82'黄博文右路的回传力量小了，张琳芃迟来的起脚踢倒了蒙蒂略                   81'第81分钟，埃尔克森禁区外觅得机会大力远射，球擦着立柱偏出
82'张琳芃吃到第二张黄牌变红牌被罚下                   81'第81分钟，埃尔克森禁区外觅得机会大力远射，球擦着立柱偏出
83'张琳芃无耐从远端边线走下场                   81'第81分钟，埃尔克森禁区外觅得机会大力远射，球擦着立柱偏出
83'蒙蒂略的任意球发得比较低，黄博文的解围                   81'第81分钟，埃尔克森禁区外觅得机会大力远射，球擦着立柱偏出
84'王彤控球，斜传左路，球直接飞出边线                   81'第81分钟，埃尔克森禁区外觅得机会大力远射，球擦着立柱偏出
84'保利尼奥站到了右后卫的位置                   81'第81分钟，埃尔克森禁区外觅得机会大力远射，球擦着立柱偏出
84'恒大淘宝换人，17号刘健换下了27号郑龙                   81'第81分钟，埃尔克森禁区外觅得机会大力远射，球擦着立柱偏出
85'鲁能换人，18号韩鹏换下12号金敬道                   85'多一人作战又落后一球，第85分钟，山东鲁能做出搏命换人，韩鹏换下金敬道，主打双中锋
86'王永珀右路的斜吊禁区，曾诚将球摘下                   85'多一人作战又落后一球，第85分钟，山东鲁能做出搏命换人，韩鹏换下金敬道，主打双中锋
86'蒙蒂略中路的传球被金英权拦截                   85'多一人作战又落后一球，第85分钟，山东鲁能做出搏命换人，韩鹏换下金敬道，主打双中锋
86'金英权带球上前被阿洛伊西奥拉倒                   85'多一人作战又落后一球，第85分钟，山东鲁能做出搏命换人，韩鹏换下金敬道，主打双中锋
87'李学鹏左路直传，被蒿俊闵断下                   85'多一人作战又落后一球，第85分钟，山东鲁能做出搏命换人，韩鹏换下金敬道，主打双中锋
87'李学鹏反抢将球踢出边线                   85'多一人作战又落后一球，第85分钟，山东鲁能做出搏命换人，韩鹏换下金敬道，主打双中锋
87'10人应战，恒大淘宝还是非常吃力                   85'多一人作战又落后一球，第85分钟，山东鲁能做出搏命换人，韩鹏换下金敬道，主打双中锋
88'尤西雷长传左路的张弛                   85'多一人作战又落后一球，第85分钟，山东鲁能做出搏命换人，韩鹏换下金敬道，主打双中锋
88'张弛的传中似乎是一脚吊门，曾诚也起跳，球还是高了一点                   85'多一人作战又落后一球，第85分钟，山东鲁能做出搏命换人，韩鹏换下金敬道，主打双中锋
88'曾诚落地时脚撞到门柱                   85'多一人作战又落后一球，第85分钟，山东鲁能做出搏命换人，韩鹏换下金敬道，主打双中锋
88'恒大淘宝已经用完3个换人名额                   85'多一人作战又落后一球，第85分钟，山东鲁能做出搏命换人，韩鹏换下金敬道，主打双中锋
92'李学鹏直传给大了，王彤将球踢到中场                   92'第92分钟，蒙蒂略内切远射，球弹地后被曾诚没收
92'黄博文中路防守捅一脚                   92'第92分钟，蒙蒂略内切远射，球弹地后被曾诚没收
92'尤西雷长传上来，曾诚的控制范围                   92'第92分钟，蒙蒂略内切远射，球弹地后被曾诚没收
92'刘健右路控球交给高拉特                   92'第92分钟，蒙蒂略内切远射，球弹地后被曾诚没收
92'黄博文接应盘带带丢了                   92'第92分钟，蒙蒂略内切远射，球弹地后被曾诚没收
92'尤西雷带球过了半场，交给王永珀                   92'第92分钟，蒙蒂略内切远射，球弹地后被曾诚没收
93'尤西雷的分边球被刘健顶出边线                   92'第92分钟，蒙蒂略内切远射，球弹地后被曾诚没收
93'尤西雷分右路蒿俊闵                   92'第92分钟，蒙蒂略内切远射，球弹地后被曾诚没收
93'过人失败但球落在蒙蒂略脚下                   92'第92分钟，蒙蒂略内切远射，球弹地后被曾诚没收
93'蒙蒂略的打门曾诚抱得很稳                   92'第92分钟，蒙蒂略内切远射，球弹地后被曾诚没收
93'王大雷也带球压上，长传找韩鹏                   92'第92分钟，蒙蒂略内切远射，球弹地后被曾诚没收
94'韩鹏点下来，杨旭一撩打到了金英权的头                   92'第92分钟，蒙蒂略内切远射，球弹地后被曾诚没收
94'保利尼奥长传上来，王大雷停球开大脚出了边线                   92'第92分钟，蒙蒂略内切远射，球弹地后被曾诚没收
95'王大雷长传上来                   92'第92分钟，蒙蒂略内切远射，球弹地后被曾诚没收
95'鲁能将球打进                   92'第92分钟，蒙蒂略内切远射，球弹地后被曾诚没收
95'主裁判认为进球有效！                   92'第92分钟，蒙蒂略内切远射，球弹地后被曾诚没收
96'阿洛伊西奥左路的传中全部漏了，蒙蒂略的传中，门线上的王永珀将球打进                   96'第96分钟，埃尔克森头球击中横梁
96'2：2                   96'第96分钟，埃尔克森头球击中横梁
96'不过这球王永珀有很大的越位嫌疑                   96'第96分钟，埃尔克森头球击中横梁
96'刘健的传中，埃尔克森头球顶在横梁上                   96'第96分钟，埃尔克森头球击中横梁
97'全场比赛结束！                   96'第96分钟，埃尔克森头球击中横梁
