1'上半场比赛开始！！！                   1'马竞第1分钟就展开积极攻势，格列兹曼30码外远射高出
16'托雷斯倒在了禁区里！！                   16'马竞第16分钟扩大比分，卡拉斯科前传，托雷斯拿球突入禁区右侧被瓦拉内绊倒，格列兹曼主罚点球射中路，纳瓦斯扑挡仍令皮球偏转入网，2-0
16'裁判给了马竞点球！！                   16'马竞第16分钟扩大比分，卡拉斯科前传，托雷斯拿球突入禁区右侧被瓦拉内绊倒，格列兹曼主罚点球射中路，纳瓦斯扑挡仍令皮球偏转入网，2-0
16'加比上前给裁判示意，应该再出示黄牌，裁判没理会！！                   16'马竞第16分钟扩大比分，卡拉斯科前传，托雷斯拿球突入禁区右侧被瓦拉内绊倒，格列兹曼主罚点球射中路，纳瓦斯扑挡仍令皮球偏转入网，2-0
16'格里兹曼主罚，一蹴而就！！2-0！！！                   16'马竞第16分钟扩大比分，卡拉斯科前传，托雷斯拿球突入禁区右侧被瓦拉内绊倒，格列兹曼主罚点球射中路，纳瓦斯扑挡仍令皮球偏转入网，2-0
17'这样双方的总比分来到了2-3，马竞仅仅落后一个球了！！                   16'马竞第16分钟扩大比分，卡拉斯科前传，托雷斯拿球突入禁区右侧被瓦拉内绊倒，格列兹曼主罚点球射中路，纳瓦斯扑挡仍令皮球偏转入网，2-0
17'上半场比赛才17分钟，马竞牢牢占据了主动！！                   16'马竞第16分钟扩大比分，卡拉斯科前传，托雷斯拿球突入禁区右侧被瓦拉内绊倒，格列兹曼主罚点球射中路，纳瓦斯扑挡仍令皮球偏转入网，2-0
18'格里兹曼主罚点球，助跑抽射中路，纳瓦斯碰到了皮球，但力量太大，还是无力阻止其进网！                   16'马竞第16分钟扩大比分，卡拉斯科前传，托雷斯拿球突入禁区右侧被瓦拉内绊倒，格列兹曼主罚点球射中路，纳瓦斯扑挡仍令皮球偏转入网，2-0
18'伊斯科前场拿球，强突被回防的吉梅内斯解围出底线！                   16'马竞第16分钟扩大比分，卡拉斯科前传，托雷斯拿球突入禁区右侧被瓦拉内绊倒，格列兹曼主罚点球射中路，纳瓦斯扑挡仍令皮球偏转入网，2-0
18'皇马获得左侧角球机会，克罗斯主罚！！                   16'马竞第16分钟扩大比分，卡拉斯科前传，托雷斯拿球突入禁区右侧被瓦拉内绊倒，格列兹曼主罚点球射中路，纳瓦斯扑挡仍令皮球偏转入网，2-0
18'开出到前点，没有皇马球员，被解围！！                   16'马竞第16分钟扩大比分，卡拉斯科前传，托雷斯拿球突入禁区右侧被瓦拉内绊倒，格列兹曼主罚点球射中路，纳瓦斯扑挡仍令皮球偏转入网，2-0
19'伊斯科左路背身拿球，格里兹曼身后上抢犯规！！                   16'马竞第16分钟扩大比分，卡拉斯科前传，托雷斯拿球突入禁区右侧被瓦拉内绊倒，格列兹曼主罚点球射中路，纳瓦斯扑挡仍令皮球偏转入网，2-0
42'C罗左路拿球，想回传马塞洛，被加比挡出边线！！                   42'皇马第42分钟打入重要的客场进球扳回一城，本泽马底线附近摆脱3人包夹在禁区左侧回传，克罗斯射门被奥布拉克勉强扑出，伊斯科近距离补射入网，1-2
42'本泽马左路拿球，底线内切！！                   42'皇马第42分钟打入重要的客场进球扳回一城，本泽马底线附近摆脱3人包夹在禁区左侧回传，克罗斯射门被奥布拉克勉强扑出，伊斯科近距离补射入网，1-2
42'皇马扳回一城！！！                   42'皇马第42分钟打入重要的客场进球扳回一城，本泽马底线附近摆脱3人包夹在禁区左侧回传，克罗斯射门被奥布拉克勉强扑出，伊斯科近距离补射入网，1-2
42'伊斯科的进球！！                   42'皇马第42分钟打入重要的客场进球扳回一城，本泽马底线附近摆脱3人包夹在禁区左侧回传，克罗斯射门被奥布拉克勉强扑出，伊斯科近距离补射入网，1-2
43'C罗左侧界外球掷给本泽马，本泽马转身摆脱三人防守，底线内切，倒三角回传，克罗斯跟进推射，被奥布拉克封堵，伊斯科门前捡漏，补射建功！                   42'皇马第42分钟打入重要的客场进球扳回一城，本泽马底线附近摆脱3人包夹在禁区左侧回传，克罗斯射门被奥布拉克勉强扑出，伊斯科近距离补射入网，1-2
43'这球本泽马的底线突破很关键啊！！！                   42'皇马第42分钟打入重要的客场进球扳回一城，本泽马底线附近摆脱3人包夹在禁区左侧回传，克罗斯射门被奥布拉克勉强扑出，伊斯科近距离补射入网，1-2
45'伊斯科的进球，让双方的总比分来到了2-4！！                   42'皇马第42分钟打入重要的客场进球扳回一城，本泽马底线附近摆脱3人包夹在禁区左侧回传，克罗斯射门被奥布拉克勉强扑出，伊斯科近距离补射入网，1-2
45'这也意味着不会有加时的出现，马竞想晋级，还得再进3球！！                   42'皇马第42分钟打入重要的客场进球扳回一城，本泽马底线附近摆脱3人包夹在禁区左侧回传，克罗斯射门被奥布拉克勉强扑出，伊斯科近距离补射入网，1-2
66'下半场比赛20分钟了，比分依旧是马竞2-1！！！总比分2-4皇马！！                   66'马竞第66分钟错过机会，达尼洛滑倒丢球，卡拉斯科突入禁区左肋12码处射门被纳瓦斯扑出，皇马门将神速反应又扑出加梅罗11码处的头球冲顶
66'马竞的机会啊，纳瓦斯立功了！！                   66'马竞第66分钟错过机会，达尼洛滑倒丢球，卡拉斯科突入禁区左肋12码处射门被纳瓦斯扑出，皇马门将神速反应又扑出加梅罗11码处的头球冲顶
66'马竞获得右侧角球机会！！                   66'马竞第66分钟错过机会，达尼洛滑倒丢球，卡拉斯科突入禁区左肋12码处射门被纳瓦斯扑出，皇马门将神速反应又扑出加梅罗11码处的头球冲顶
67'科克角球开出到禁区，瓦拉内头球解围！！                   66'马竞第66分钟错过机会，达尼洛滑倒丢球，卡拉斯科突入禁区左肋12码处射门被纳瓦斯扑出，皇马门将神速反应又扑出加梅罗11码处的头球冲顶
68'精彩回放：马竞后场过顶球，卡拉斯科前插接应，摆脱拉莫斯的放铲，进入禁区，推射被纳瓦斯封堵，加梅罗跟进头球补射，再被纳瓦斯伸手打出了底线！                   66'马竞第66分钟错过机会，达尼洛滑倒丢球，卡拉斯科突入禁区左肋12码处射门被纳瓦斯扑出，皇马门将神速反应又扑出加梅罗11码处的头球冲顶
69'皇马前场进攻，赢得左侧角球机会！！                   66'马竞第66分钟错过机会，达尼洛滑倒丢球，卡拉斯科突入禁区左肋12码处射门被纳瓦斯扑出，皇马门将神速反应又扑出加梅罗11码处的头球冲顶
