4'石家庄永昌界外球                   4'第4分钟，池忠国在对方大禁区外左侧远射，皮球偏离了目标
33'永昌球员非常不满判罚                   32'第32分钟，刘君鹏在拼抢中踢倒了裴育文，虽然他向主裁判做出了解释，但还是领到了一张黄牌
35'永昌前场断球给到右路                   32'第32分钟，刘君鹏在拼抢中踢倒了裴育文，虽然他向主裁判做出了解释，但还是领到了一张黄牌
35'马修斯面对防守低平球给禁区，被门将拿到                   32'第32分钟，刘君鹏在拼抢中踢倒了裴育文，虽然他向主裁判做出了解释，但还是领到了一张黄牌
38'永昌前场进攻，毛里西奥左路突破，底线附近倒三角传中被延边后卫拦截                   38'第38分钟，尹比加兰带球到对方禁区内右侧，摆脱防守后起脚射门，皮球高出横梁
39'尹比加兰禁区右侧得球晃开角度，小角度打门偏出                   38'第38分钟，尹比加兰带球到对方禁区内右侧，摆脱防守后起脚射门，皮球高出横梁
41'李提香边路踢人犯规                   38'第38分钟，尹比加兰带球到对方禁区内右侧，摆脱防守后起脚射门，皮球高出横梁
43'延边左侧角球开出，被顶出禁区，禁区外围再顶到禁区，河太均点球点位置抬脚没碰到，金波得球面对门将打门得手                   43'第43分钟，尼古拉开出右侧角球，第一点被破坏出禁区，随后，延边富德再次传球到门前，金波禁区中路近距离射门，攻破了关震的十指关，为延边富德首开记录
45'这个进球对于永昌来说犹如地狱啊                   43'第43分钟，尼古拉开出右侧角球，第一点被破坏出禁区，随后，延边富德再次传球到门前，金波禁区中路近距离射门，攻破了关震的十指关，为延边富德首开记录
45'延边前场逼抢，河太均差点得手                   43'第43分钟，尼古拉开出右侧角球，第一点被破坏出禁区，随后，延边富德再次传球到门前，金波禁区中路近距离射门，攻破了关震的十指关，为延边富德首开记录
46'上半场补时2分钟                   43'第43分钟，尼古拉开出右侧角球，第一点被破坏出禁区，随后，延边富德再次传球到门前，金波禁区中路近距离射门，攻破了关震的十指关，为延边富德首开记录
46'裁判到场边警告了大羽                   43'第43分钟，尼古拉开出右侧角球，第一点被破坏出禁区，随后，延边富德再次传球到门前，金波禁区中路近距离射门，攻破了关震的十指关，为延边富德首开记录
46'马修斯任意球给到禁区，被顶出底线                   43'第43分钟，尼古拉开出右侧角球，第一点被破坏出禁区，随后，延边富德再次传球到门前，金波禁区中路近距离射门，攻破了关震的十指关，为延边富德首开记录
46'下半场比赛开始                   43'第43分钟，尼古拉开出右侧角球，第一点被破坏出禁区，随后，延边富德再次传球到门前，金波禁区中路近距离射门，攻破了关震的十指关，为延边富德首开记录
46'延边中圈开球                   43'第43分钟，尼古拉开出右侧角球，第一点被破坏出禁区，随后，延边富德再次传球到门前，金波禁区中路近距离射门，攻破了关震的十指关，为延边富德首开记录
46'双方没有换人                   43'第43分钟，尼古拉开出右侧角球，第一点被破坏出禁区，随后，延边富德再次传球到门前，金波禁区中路近距离射门，攻破了关震的十指关，为延边富德首开记录
47'角球开出，被顶到外围                   47'第47分钟，毛里西奥在对方大禁区外左侧大力射门，皮球飞向远端，皮球被池文一奋力扑出
47'永昌前场得球给到右路                   47'第47分钟，毛里西奥在对方大禁区外左侧大力射门，皮球飞向远端，皮球被池文一奋力扑出
47'右路起球，被门将那大                   47'第47分钟，毛里西奥在对方大禁区外左侧大力射门，皮球飞向远端，皮球被池文一奋力扑出
47'延边后场边路犯规                   47'第47分钟，毛里西奥在对方大禁区外左侧大力射门，皮球飞向远端，皮球被池文一奋力扑出
47'马修斯任意球传中路，尼古拉顶出禁区                   47'第47分钟，毛里西奥在对方大禁区外左侧大力射门，皮球飞向远端，皮球被池文一奋力扑出
47'外围毛里西奥接球后直接打门被池文一扑出                   47'第47分钟，毛里西奥在对方大禁区外左侧大力射门，皮球飞向远端，皮球被池文一奋力扑出
49'永昌明显加强了进攻                   47'第47分钟，毛里西奥在对方大禁区外左侧大力射门，皮球飞向远端，皮球被池文一奋力扑出
50'毛里西奥左路突破横敲中圈                   47'第47分钟，毛里西奥在对方大禁区外左侧大力射门，皮球飞向远端，皮球被池文一奋力扑出
50'永昌右路传中被解围                   47'第47分钟，毛里西奥在对方大禁区外左侧大力射门，皮球飞向远端，皮球被池文一奋力扑出
50'马修斯底线附近摆脱，出了底线                   47'第47分钟，毛里西奥在对方大禁区外左侧大力射门，皮球飞向远端，皮球被池文一奋力扑出
50'裁判给了门球                   47'第47分钟，毛里西奥在对方大禁区外左侧大力射门，皮球飞向远端，皮球被池文一奋力扑出
55'崔民任意球传禁区，河太均头球摆渡，二点被永昌球员解围                   55'第55分钟，吴永春对对方球员有一个蹬踏动作，被主裁判出示一张黄牌
55'金波右路传中，被挡出底线                   55'第55分钟，吴永春对对方球员有一个蹬踏动作，被主裁判出示一张黄牌
56'尼古拉角球找后点，被打出去                   55'第55分钟，吴永春对对方球员有一个蹬踏动作，被主裁判出示一张黄牌
56'吴永春前场铲球犯规吃到一张黄牌                   55'第55分钟，吴永春对对方球员有一个蹬踏动作，被主裁判出示一张黄牌
57'延边获得前场定位球                   55'第55分钟，吴永春对对方球员有一个蹬踏动作，被主裁判出示一张黄牌
58'崔民给到禁区，关震出击把球没收                   55'第55分钟，吴永春对对方球员有一个蹬踏动作，被主裁判出示一张黄牌
69'延边后场断球打反击，金承大直塞，河太均前插单刀赴会打门得手，裁判示意越位，进球无效，但回放显示，河太均接球并没有越位                   68'第68分钟，河太均获得单刀机会，他晃过对方门将打空门得手，但被判越位在先
71'延边进球了                   68'第68分钟，河太均获得单刀机会，他晃过对方门将打空门得手，但被判越位在先
75'永昌换人，王鹏替下黄世博                   75'第75分钟，鲁本在对方大禁区前沿射门，皮球高出横梁
75'永昌左路控球                   75'第75分钟，鲁本在对方大禁区前沿射门，皮球高出横梁
76'王鹏禁区线上做球，鲁本迎球打门高出横梁                   75'第75分钟，鲁本在对方大禁区前沿射门，皮球高出横梁
76'延边队门球                   75'第75分钟，鲁本在对方大禁区前沿射门，皮球高出横梁
77'李提香中圈拿球                   75'第75分钟，鲁本在对方大禁区前沿射门，皮球高出横梁
77'给到了左路                   75'第75分钟，鲁本在对方大禁区前沿射门，皮球高出横梁
78'永昌右路传中，禁区内连续的拼抢，马修斯小禁区线上无人防守推射打高                   75'第75分钟，鲁本在对方大禁区前沿射门，皮球高出横梁
80'马修斯任意球直接打门高出                   80'第80分钟，马修斯在对方禁区外右侧主罚直接任意球，皮球高出横梁
80'今天的马修斯不在水准啊                   80'第80分钟，马修斯在对方禁区外右侧主罚直接任意球，皮球高出横梁
82'永昌右路进攻打到中路                   80'第80分钟，马修斯在对方禁区外右侧主罚直接任意球，皮球高出横梁
82'起球到禁区，禁区右侧 王鹏传球被挡                   80'第80分钟，马修斯在对方禁区外右侧主罚直接任意球，皮球高出横梁
83'李提香传中被解围                   80'第80分钟，马修斯在对方禁区外右侧主罚直接任意球，皮球高出横梁
83'金承大禁区右侧横传被拦截                   80'第80分钟，马修斯在对方禁区外右侧主罚直接任意球，皮球高出横梁
