1'比赛开始了，上半场阿森纳开球                   1'科隆第1分钟反客为主展开攻势，莱曼任意球射门偏出
52'回敲默特萨克，在斜传找埃尔纳尼                   49'阿森纳第49分钟扳平，埃尔内尼挑传禁区左侧，沃尔科特底线附近传中被挡出，科拉希纳茨禁区左侧10码处抽射远角入网，1-1
52'转移到左侧给桑切斯                   49'阿森纳第49分钟扳平，埃尔内尼挑传禁区左侧，沃尔科特底线附近传中被挡出，科拉希纳茨禁区左侧10码处抽射远角入网，1-1
52'斜传给到禁区内的吉鲁                   49'阿森纳第49分钟扳平，埃尔内尼挑传禁区左侧，沃尔科特底线附近传中被挡出，科拉希纳茨禁区左侧10码处抽射远角入网，1-1
52'左侧下底，倒三角在给过来                   49'阿森纳第49分钟扳平，埃尔内尼挑传禁区左侧，沃尔科特底线附近传中被挡出，科拉希纳茨禁区左侧10码处抽射远角入网，1-1
52'被防守队员挡出                   49'阿森纳第49分钟扳平，埃尔内尼挑传禁区左侧，沃尔科特底线附近传中被挡出，科拉希纳茨禁区左侧10码处抽射远角入网，1-1
67'科隆后场定位球                   67'阿森纳第67分钟反超比分，伊沃比分球稍大，桑切斯左路内切至禁区边缘射入远角，门将霍恩毫无反应，2-1
67'给到里瑟，左侧在给约基奇，横敲一下                   67'阿森纳第67分钟反超比分，伊沃比分球稍大，桑切斯左路内切至禁区边缘射入远角，门将霍恩毫无反应，2-1
67'奈尔斯把球解围                   67'阿森纳第67分钟反超比分，伊沃比分球稍大，桑切斯左路内切至禁区边缘射入远角，门将霍恩毫无反应，2-1
67'伊沃比拿球， 向前送直塞                   67'阿森纳第67分钟反超比分，伊沃比分球稍大，桑切斯左路内切至禁区边缘射入远角，门将霍恩毫无反应，2-1
67'前场左侧找到大腿桑切斯                   67'阿森纳第67分钟反超比分，伊沃比分球稍大，桑切斯左路内切至禁区边缘射入远角，门将霍恩毫无反应，2-1
67'自己开启暴击没收                   67'阿森纳第67分钟反超比分，伊沃比分球稍大，桑切斯左路内切至禁区边缘射入远角，门将霍恩毫无反应，2-1
67'暴击模式                   67'阿森纳第67分钟反超比分，伊沃比分球稍大，桑切斯左路内切至禁区边缘射入远角，门将霍恩毫无反应，2-1
68'衔枚疾走，禁区前沿左侧发飙，右脚兜射，，有了                   67'阿森纳第67分钟反超比分，伊沃比分球稍大，桑切斯左路内切至禁区边缘射入远角，门将霍恩毫无反应，2-1
68'大腿桑切斯，大腿就是大腿啊                   67'阿森纳第67分钟反超比分，伊沃比分球稍大，桑切斯左路内切至禁区边缘射入远角，门将霍恩毫无反应，2-1
68'大腿力助阿森纳反超啊                   67'阿森纳第67分钟反超比分，伊沃比分球稍大，桑切斯左路内切至禁区边缘射入远角，门将霍恩毫无反应，2-1
69'桑切斯左侧暴走，一路摆脱一路杀，来到禁区前沿左侧，步伐轻盈的调整，看到角度，摆腿动作极小，突施冷箭，门将霍恩飞身没有扑到                   67'阿森纳第67分钟反超比分，伊沃比分球稍大，桑切斯左路内切至禁区边缘射入远角，门将霍恩毫无反应，2-1
69'霍恩视野 有些受阻啊                   67'阿森纳第67分钟反超比分，伊沃比分球稍大，桑切斯左路内切至禁区边缘射入远角，门将霍恩毫无反应，2-1
69'桑切斯拿球，横敲右侧同伴                   67'阿森纳第67分钟反超比分，伊沃比分球稍大，桑切斯左路内切至禁区边缘射入远角，门将霍恩毫无反应，2-1
69'科隆断球，反击，长传到禁区内                   67'阿森纳第67分钟反超比分，伊沃比分球稍大，桑切斯左路内切至禁区边缘射入远角，门将霍恩毫无反应，2-1
70'中路约基奇得球，一脚爆射，轰下了飞机                   67'阿森纳第67分钟反超比分，伊沃比分球稍大，桑切斯左路内切至禁区边缘射入远角，门将霍恩毫无反应，2-1
70'太子登场了，替下了伊沃比                   67'阿森纳第67分钟反超比分，伊沃比分球稍大，桑切斯左路内切至禁区边缘射入远角，门将霍恩毫无反应，2-1
70'威尔谢尔已经很久没为枪手出战了吧                   67'阿森纳第67分钟反超比分，伊沃比分球稍大，桑切斯左路内切至禁区边缘射入远角，门将霍恩毫无反应，2-1
70'埃尔纳尼中路拿球，左侧分边桑切斯                   67'阿森纳第67分钟反超比分，伊沃比分球稍大，桑切斯左路内切至禁区边缘射入远角，门将霍恩毫无反应，2-1
70'挑传给到科拉希纳茨，回敲默特萨克                   67'阿森纳第67分钟反超比分，伊沃比分球稍大，桑切斯左路内切至禁区边缘射入远角，门将霍恩毫无反应，2-1
70'在给埃尔纳尼，长传吊起来                   67'阿森纳第67分钟反超比分，伊沃比分球稍大，桑切斯左路内切至禁区边缘射入远角，门将霍恩毫无反应，2-1
82'大迫勇也，替下了克伦特                   82'第82分钟，科拉希纳茨左路突破传中，威尔谢尔漏过，沃尔科特禁区边缘射门被霍恩勉强扑出，贝莱林及时补射入网，3-1
82'威尔谢尔前场中路送出一记手术刀                   82'第82分钟，科拉希纳茨左路突破传中，威尔谢尔漏过，沃尔科特禁区边缘射门被霍恩勉强扑出，贝莱林及时补射入网，3-1
83'给到桑切斯单刀机会啊，左侧杀入禁区，一记打门，划出底线                   82'第82分钟，科拉希纳茨左路突破传中，威尔谢尔漏过，沃尔科特禁区边缘射门被霍恩勉强扑出，贝莱林及时补射入网，3-1
83'桑切斯浪费了太子的感情                   82'第82分钟，科拉希纳茨左路突破传中，威尔谢尔漏过，沃尔科特禁区边缘射门被霍恩勉强扑出，贝莱林及时补射入网，3-1
83'阿森纳又进球了                   82'第82分钟，科拉希纳茨左路突破传中，威尔谢尔漏过，沃尔科特禁区边缘射门被霍恩勉强扑出，贝莱林及时补射入网，3-1
83'贝莱林的破门                   82'第82分钟，科拉希纳茨左路突破传中，威尔谢尔漏过，沃尔科特禁区边缘射门被霍恩勉强扑出，贝莱林及时补射入网，3-1
84'前场左侧科拉希纳茨突破下底，倒三角给回来，禁区内中路奈尔斯右脚打门被霍恩挡出，右侧贝莱林倒地铲射，补进                   82'第82分钟，科拉希纳茨左路突破传中，威尔谢尔漏过，沃尔科特禁区边缘射门被霍恩勉强扑出，贝莱林及时补射入网，3-1
85'下半场可以说温格派上科拉希纳茨起到了决定性的作用啊                   82'第82分钟，科拉希纳茨左路突破传中，威尔谢尔漏过，沃尔科特禁区边缘射门被霍恩勉强扑出，贝莱林及时补射入网，3-1
85'继续来看比赛                   82'第82分钟，科拉希纳茨左路突破传中，威尔谢尔漏过，沃尔科特禁区边缘射门被霍恩勉强扑出，贝莱林及时补射入网，3-1
85'蒙雷亚尔中路拿球，右侧分边贝莱林                   82'第82分钟，科拉希纳茨左路突破传中，威尔谢尔漏过，沃尔科特禁区边缘射门被霍恩勉强扑出，贝莱林及时补射入网，3-1
85'和同伴进行撞墙，还是贝莱林拿球，横敲                   82'第82分钟，科拉希纳茨左路突破传中，威尔谢尔漏过，沃尔科特禁区边缘射门被霍恩勉强扑出，贝莱林及时补射入网，3-1
