1'罗马球员德罗西拼抢犯规,对手获得控球权.                   1'第1分钟，尤文阵型回收，寻找反击机会，罗马面对密集防守办法不多
64'进球啦！！！尤文图斯球员特维斯右脚射门,球从左下角飞进球门,球进了! 罗马 0-1 尤文图斯.                   62'第62分钟突现变故，特维斯直塞，比达尔左侧禁区前沿倒地，奥尔萨托吹托罗西迪斯绊人犯规并亮出黄牌，托罗西迪斯两黄下场
65'罗马换人,弗洛伦齐换下利亚伊奇                   62'第62分钟突现变故，特维斯直塞，比达尔左侧禁区前沿倒地，奥尔萨托吹托罗西迪斯绊人犯规并亮出黄牌，托罗西迪斯两黄下场
65'尤文图斯球员佩雷拉球门左侧小角度尝试左脚射门,可惜皮球稍稍偏出了左球门.给他传球的是比达尔.                   62'第62分钟突现变故，特维斯直塞，比达尔左侧禁区前沿倒地，奥尔萨托吹托罗西迪斯绊人犯规并亮出黄牌，托罗西迪斯两黄下场
65'罗马换人,弗洛伦齐换下利亚伊奇                   65'第65分钟，比达尔直传禁区左侧，佩雷拉小角度打中边网
65'尤文图斯球员佩雷拉球门左侧小角度尝试左脚射门,可惜皮球稍稍偏出了左球门.给他传球的是比达尔.                   65'第65分钟，比达尔直传禁区左侧，佩雷拉小角度打中边网
67'尤文图斯球员佩雷拉拼抢犯规,对手获得控球权.                   65'第65分钟，比达尔直传禁区左侧，佩雷拉小角度打中边网
67'José Holebas为罗马赢得一个任意球.                   65'第65分钟，比达尔直传禁区左侧，佩雷拉小角度打中边网
68'尤文图斯球员特维斯大禁区中央右脚射门,被防守球员封堵.给他传球的是佩雷拉.                   65'第65分钟，比达尔直传禁区左侧，佩雷拉小角度打中边网
78'进球啦！！！罗马球员凯塔小禁区左侧头球,球从中路飞进球门,球进了!助攻的是弗洛伦齐. 罗马 1-1 尤文图斯.                   78'第78分钟，基耶利尼铲倒伊图尔韦，被黄牌警告，弗洛伦齐右侧开出任意球，凯塔后点距门4米处顶出弹地球，马尔基西奥门线解围也无法阻止球入网，1比1，凯塔2个意甲进球都是攻破都灵球队的大门，他也成为布里恩扎和加比亚迪尼之后，本赛季攻破过尤文和都灵球门的第3人
79'马尔基西奥为尤文图斯赢得一个任意球.                   78'第78分钟，基耶利尼铲倒伊图尔韦，被黄牌警告，弗洛伦齐右侧开出任意球，凯塔后点距门4米处顶出弹地球，马尔基西奥门线解围也无法阻止球入网，1比1，凯塔2个意甲进球都是攻破都灵球队的大门，他也成为布里恩扎和加比亚迪尼之后，本赛季攻破过尤文和都灵球门的第3人
79'罗马球员纳因戈兰拼抢犯规,对手获得控球权.                   78'第78分钟，基耶利尼铲倒伊图尔韦，被黄牌警告，弗洛伦齐右侧开出任意球，凯塔后点距门4米处顶出弹地球，马尔基西奥门线解围也无法阻止球入网，1比1，凯塔2个意甲进球都是攻破都灵球队的大门，他也成为布里恩扎和加比亚迪尼之后，本赛季攻破过尤文和都灵球门的第3人
79'黄牌！罗马球员纳因戈兰因为恶意犯规,被主裁判出示黄牌.                   78'第78分钟，基耶利尼铲倒伊图尔韦，被黄牌警告，弗洛伦齐右侧开出任意球，凯塔后点距门4米处顶出弹地球，马尔基西奥门线解围也无法阻止球入网，1比1，凯塔2个意甲进球都是攻破都灵球队的大门，他也成为布里恩扎和加比亚迪尼之后，本赛季攻破过尤文和都灵球门的第3人
80'尤文图斯球员特维斯大禁区右侧右脚射门,被防守球员封堵.给他传球的是马尔基西奥.                   78'第78分钟，基耶利尼铲倒伊图尔韦，被黄牌警告，弗洛伦齐右侧开出任意球，凯塔后点距门4米处顶出弹地球，马尔基西奥门线解围也无法阻止球入网，1比1，凯塔2个意甲进球都是攻破都灵球队的大门，他也成为布里恩扎和加比亚迪尼之后，本赛季攻破过尤文和都灵球门的第3人
80'罗马球员Juan Iturbe大禁区中央尝试左脚射门,可惜皮球稍稍偏出了左球门.给他传球的是纳因戈兰.                   78'第78分钟，基耶利尼铲倒伊图尔韦，被黄牌警告，弗洛伦齐右侧开出任意球，凯塔后点距门4米处顶出弹地球，马尔基西奥门线解围也无法阻止球入网，1比1，凯塔2个意甲进球都是攻破都灵球队的大门，他也成为布里恩扎和加比亚迪尼之后，本赛季攻破过尤文和都灵球门的第3人
