13'今天的比赛对于巴萨来说并不着急                   11'赫塔菲第11分钟错过机会，安赫尔禁区左侧斜传，但莫利纳11码处推射高出
41'低射远角将球打偏                   39'巴萨第39分钟取得领先，梅西右路任意球斜传，皮克小禁区边缘头球攻门被勉强扑出，比达尔近距离捅射入网
41'巴萨前场横向转移                   39'巴萨第39分钟取得领先，梅西右路任意球斜传，皮克小禁区边缘头球攻门被勉强扑出，比达尔近距离捅射入网
42'左侧起球送禁区                   39'巴萨第39分钟取得领先，梅西右路任意球斜传，皮克小禁区边缘头球攻门被勉强扑出，比达尔近距离捅射入网
42'马尔科姆后点接球                   39'巴萨第39分钟取得领先，梅西右路任意球斜传，皮克小禁区边缘头球攻门被勉强扑出，比达尔近距离捅射入网
42'连续的晃动                   39'巴萨第39分钟取得领先，梅西右路任意球斜传，皮克小禁区边缘头球攻门被勉强扑出，比达尔近距离捅射入网
42'有空挡                   39'巴萨第39分钟取得领先，梅西右路任意球斜传，皮克小禁区边缘头球攻门被勉强扑出，比达尔近距离捅射入网
42'最后的打门还是被封堵了                   39'巴萨第39分钟取得领先，梅西右路任意球斜传，皮克小禁区边缘头球攻门被勉强扑出，比达尔近距离捅射入网
42'左侧起球送禁区                   42'第42分钟，马尔科姆12码处低射被索里亚勉强挡出，但比达尔凌空扫射打中倒地的马尔科姆
42'马尔科姆后点接球                   42'第42分钟，马尔科姆12码处低射被索里亚勉强挡出，但比达尔凌空扫射打中倒地的马尔科姆
42'连续的晃动                   42'第42分钟，马尔科姆12码处低射被索里亚勉强挡出，但比达尔凌空扫射打中倒地的马尔科姆
42'有空挡                   42'第42分钟，马尔科姆12码处低射被索里亚勉强挡出，但比达尔凌空扫射打中倒地的马尔科姆
42'最后的打门还是被封堵了                   42'第42分钟，马尔科姆12码处低射被索里亚勉强挡出，但比达尔凌空扫射打中倒地的马尔科姆
43'比达尔跟进补射又是被防守球员挡了下来                   42'第42分钟，马尔科姆12码处低射被索里亚勉强挡出，但比达尔凌空扫射打中倒地的马尔科姆
43'上半场比赛临近尾声了                   42'第42分钟，马尔科姆12码处低射被索里亚勉强挡出，但比达尔凌空扫射打中倒地的马尔科姆
43'巴萨1-0暂时领先                   42'第42分钟，马尔科姆12码处低射被索里亚勉强挡出，但比达尔凌空扫射打中倒地的马尔科姆
43'福尔基耶中场阻挡犯规了                   42'第42分钟，马尔科姆12码处低射被索里亚勉强挡出，但比达尔凌空扫射打中倒地的马尔科姆
44'福尔基耶也是要当心                   42'第42分钟，马尔科姆12码处低射被索里亚勉强挡出，但比达尔凌空扫射打中倒地的马尔科姆
44'自己身上已经有一张黄牌                   42'第42分钟，马尔科姆12码处低射被索里亚勉强挡出，但比达尔凌空扫射打中倒地的马尔科姆
65'梅西单刀！！                   65'第65分钟，库蒂尼奥直传，梅西单刀挑射被卡布雷拉在空门前解围，随后梅西被判越位在先
66'禁区前沿拿球面对门将，挑射！！                   65'第65分钟，库蒂尼奥直传，梅西单刀挑射被卡布雷拉在空门前解围，随后梅西被判越位在先
66'后卫回追在门线附近倒钩解围                   65'第65分钟，库蒂尼奥直传，梅西单刀挑射被卡布雷拉在空门前解围，随后梅西被判越位在先
66'梅西也是打得很放松                   65'第65分钟，库蒂尼奥直传，梅西单刀挑射被卡布雷拉在空门前解围，随后梅西被判越位在先
66'解围的是卡布雷拉                   65'第65分钟，库蒂尼奥直传，梅西单刀挑射被卡布雷拉在空门前解围，随后梅西被判越位在先
66'这球似乎是越位了                   65'第65分钟，库蒂尼奥直传，梅西单刀挑射被卡布雷拉在空门前解围，随后梅西被判越位在先
68'巴萨继续换人                   65'第65分钟，库蒂尼奥直传，梅西单刀挑射被卡布雷拉在空门前解围，随后梅西被判越位在先
90'2-0!!                   89'第89分钟，梅西突破传球，罗伯托再传打中卡布雷拉偏转，达科纳姆小禁区前抢在梅西之前铲球解围不慎自摆乌龙，2-0
90'梅西！！                   89'第89分钟，梅西突破传球，罗伯托再传打中卡布雷拉偏转，达科纳姆小禁区前抢在梅西之前铲球解围不慎自摆乌龙，2-0
91'巴萨禁区弧顶做配合，梅西将球给到罗贝托，禁区内罗贝托再做球到中路，梅西推射破门！！                   89'第89分钟，梅西突破传球，罗伯托再传打中卡布雷拉偏转，达科纳姆小禁区前抢在梅西之前铲球解围不慎自摆乌龙，2-0
91'梅西进球后也是没有什么庆祝                   89'第89分钟，梅西突破传球，罗伯托再传打中卡布雷拉偏转，达科纳姆小禁区前抢在梅西之前铲球解围不慎自摆乌龙，2-0
91'裁判还在等VAR的确认                   89'第89分钟，梅西突破传球，罗伯托再传打中卡布雷拉偏转，达科纳姆小禁区前抢在梅西之前铲球解围不慎自摆乌龙，2-0
91'进球有效！！                   89'第89分钟，梅西突破传球，罗伯托再传打中卡布雷拉偏转，达科纳姆小禁区前抢在梅西之前铲球解围不慎自摆乌龙，2-0
