3'上半场比赛已经开始了                   1'曼城第1分钟就控制局面，南安普敦收缩防线应对
31'曼城角球开出，阿圭罗后点顶球高出                   30'曼城第30分钟险些破门，纳斯里反击中直传，约维蒂奇禁区左侧10码处射门从福尔斯特双腿间穿过，但阿尔德韦雷尔德在门线前及时解围
32'曼城反击纳斯里给阿圭罗                   30'曼城第30分钟险些破门，纳斯里反击中直传，约维蒂奇禁区左侧10码处射门从福尔斯特双腿间穿过，但阿尔德韦雷尔德在门线前及时解围
32'南安普顿防守人数很多，阿圭罗没有出脚机会                   30'曼城第30分钟险些破门，纳斯里反击中直传，约维蒂奇禁区左侧10码处射门从福尔斯特双腿间穿过，但阿尔德韦雷尔德在门线前及时解围
33'南安普顿左路角球机会                   30'曼城第30分钟险些破门，纳斯里反击中直传，约维蒂奇禁区左侧10码处射门从福尔斯特双腿间穿过，但阿尔德韦雷尔德在门线前及时解围
34'戴维斯主罚到门前，佩莱几乎无人干扰下射门，皮球滑门而出                   34'第34分钟，史蒂文-戴维斯开出角球，佩莱前点头球攻门同样偏出
34'佩莱最近13场进了10球，效率很高                   34'第34分钟，史蒂文-戴维斯开出角球，佩莱前点头球攻门同样偏出
35'南安普顿后场断球，左路直塞                   34'第34分钟，史蒂文-戴维斯开出角球，佩莱前点头球攻门同样偏出
35'曼加拉将球挡出底线                   34'第34分钟，史蒂文-戴维斯开出角球，佩莱前点头球攻门同样偏出
35'这次南安普顿的角球直接被哈特得到                   34'第34分钟，史蒂文-戴维斯开出角球，佩莱前点头球攻门同样偏出
36'曼城后场倒脚                   34'第34分钟，史蒂文-戴维斯开出角球，佩莱前点头球攻门同样偏出
36'曼城现在阵容比较往前压了                   34'第34分钟，史蒂文-戴维斯开出角球，佩莱前点头球攻门同样偏出
37'南安普顿塔迪奇吊传被乔哈特得到                   34'第34分钟，史蒂文-戴维斯开出角球，佩莱前点头球攻门同样偏出
51'曼城后场倒脚转移到左路                   51'曼城第51分钟打破僵局，费尔南迪尼奥直传，阿圭罗禁区左侧回传，亚亚-图雷禁区弧顶劲射左下角入网
51'南安普顿防守很坚决啊                   51'曼城第51分钟打破僵局，费尔南迪尼奥直传，阿圭罗禁区左侧回传，亚亚-图雷禁区弧顶劲射左下角入网
52'进球了！亚亚图雷禁区前接到阿圭罗回敲后突然一脚低射，对方门将视线受阻，皮球直入网窝                   51'曼城第51分钟打破僵局，费尔南迪尼奥直传，阿圭罗禁区左侧回传，亚亚-图雷禁区弧顶劲射左下角入网
52'[此时此刻值得来杯嘉士伯]                   51'曼城第51分钟打破僵局，费尔南迪尼奥直传，阿圭罗禁区左侧回传，亚亚-图雷禁区弧顶劲射左下角入网
53'曼城的进球有运气成分，但阿圭罗一人吸引多名防守队员，功劳很大                   51'曼城第51分钟打破僵局，费尔南迪尼奥直传，阿圭罗禁区左侧回传，亚亚-图雷禁区弧顶劲射左下角入网
53'这也是亚亚图雷联赛第3个进球                   51'曼城第51分钟打破僵局，费尔南迪尼奥直传，阿圭罗禁区左侧回传，亚亚-图雷禁区弧顶劲射左下角入网
54'客场领先后，曼城后场耐心倒脚，更不急于进攻                   51'曼城第51分钟打破僵局，费尔南迪尼奥直传，阿圭罗禁区左侧回传，亚亚-图雷禁区弧顶劲射左下角入网
54'阿圭罗拿球给远端纳斯里，纳瓦斯右路传中被挡出                   51'曼城第51分钟打破僵局，费尔南迪尼奥直传，阿圭罗禁区左侧回传，亚亚-图雷禁区弧顶劲射左下角入网
69'曼城角球机会                   69'第69分钟，孔帕尼接角球头球摆渡，阿圭罗近距离射门高出
69'米尔纳开场到前点，孔帕尼头球后蹭，中路两名队友跟进，阿圭罗垫射偏出                   69'第69分钟，孔帕尼接角球头球摆渡，阿圭罗近距离射门高出
70'曼城的前场倒脚，进攻追求成功率                   69'第69分钟，孔帕尼接角球头球摆渡，阿圭罗近距离射门高出
71'南安普顿断球了，被亚亚图雷拦截                   69'第69分钟，孔帕尼接角球头球摆渡，阿圭罗近距离射门高出
71'阿圭罗前场拿球十分灵活                   69'第69分钟，孔帕尼接角球头球摆渡，阿圭罗近距离射门高出
71'曼城左路获得角球机会                   69'第69分钟，孔帕尼接角球头球摆渡，阿圭罗近距离射门高出
72'米尔纳主罚到前点，曼加拉头球后蹭很有威胁。                   69'第69分钟，孔帕尼接角球头球摆渡，阿圭罗近距离射门高出
78'南安普顿转移到左路被断球，阿圭罗前场得球被对方5人包夹                   78'第78分钟，阿圭罗斜传，费尔南迪尼奥禁区右侧12码处劲射打在边网
78'塔迪奇于大禁区外左脚射门，对方防守球员将球挡出。                   78'第78分钟，阿圭罗斜传，费尔南迪尼奥禁区右侧12码处劲射打在边网
79'阿尔德韦雷尔德外围一脚远射被莱帕德挡出                   78'第78分钟，阿圭罗斜传，费尔南迪尼奥禁区右侧12码处劲射打在边网
80'进球了！兰帕德                   78'第78分钟，阿圭罗斜传，费尔南迪尼奥禁区右侧12码处劲射打在边网
81'兰帕德中路接到传中后，右脚一脚劲射，皮球直入球门右下角。                   78'第78分钟，阿圭罗斜传，费尔南迪尼奥禁区右侧12码处劲射打在边网
81'[此时此刻值得来杯嘉士伯]                   78'第78分钟，阿圭罗斜传，费尔南迪尼奥禁区右侧12码处劲射打在边网
88'阿圭罗助攻，克里希小角度打门锁定胜局                   88'曼城第88分钟锁定胜局，兰帕德策动反击，德米凯利斯传球，阿圭罗禁区左侧外脚背传中，无人防守的克里希射入上角，3-0
88'[此时此刻值得来杯嘉士伯]                   88'曼城第88分钟锁定胜局，兰帕德策动反击，德米凯利斯传球，阿圭罗禁区左侧外脚背传中，无人防守的克里希射入上角，3-0
90'比赛接近尾声了                   88'曼城第88分钟锁定胜局，兰帕德策动反击，德米凯利斯传球，阿圭罗禁区左侧外脚背传中，无人防守的克里希射入上角，3-0
91'南安普顿外围远射，裁判举旗越位在先                   88'曼城第88分钟锁定胜局，兰帕德策动反击，德米凯利斯传球，阿圭罗禁区左侧外脚背传中，无人防守的克里希射入上角，3-0
