2'双方在中场展开激烈拼抢                   2'开场仅2分钟，阿圭罗切入禁区右侧的斜射偏出远角
22'萨巴莱塔右路拿球回传中场，这段时间曼城也不着急了                   19'曼城沉稳组织攻势并在第19分钟扳平比分，亚亚-图雷分球右路，纳瓦斯传中，无人防守的约维蒂奇近距离扫射入网
37'法比安斯基活动范围很大，及时出击封住角度                   37'第37分钟，亚亚-图雷传球，纳瓦斯禁区右侧射门偏出近角
37'图雷拿球长传给右路，纳瓦斯直接射门高出                   37'第37分钟，亚亚-图雷传球，纳瓦斯禁区右侧射门偏出近角
37'这段时间斯旺西完全被压制了                   37'第37分钟，亚亚-图雷传球，纳瓦斯禁区右侧射门偏出近角
37'两个边路没有办法                   37'第37分钟，亚亚-图雷传球，纳瓦斯禁区右侧射门偏出近角
38'泰勒后场拿球横传给巴特利                   37'第37分钟，亚亚-图雷传球，纳瓦斯禁区右侧射门偏出近角
38'寄诚庸拿球倒地，但是裁判没吹                   37'第37分钟，亚亚-图雷传球，纳瓦斯禁区右侧射门偏出近角
39'曼城左路小范围传球，往禁区里打，没有打进去                   37'第37分钟，亚亚-图雷传球，纳瓦斯禁区右侧射门偏出近角
39'曼城队员小范围传递距离有点太小了                   37'第37分钟，亚亚-图雷传球，纳瓦斯禁区右侧射门偏出近角
39'控球率曼城达到61%                   37'第37分钟，亚亚-图雷传球，纳瓦斯禁区右侧射门偏出近角
40'斯旺西左路泰勒拿球传递                   37'第37分钟，亚亚-图雷传球，纳瓦斯禁区右侧射门偏出近角
40'曼城断球反击，阿圭罗拿球                   37'第37分钟，亚亚-图雷传球，纳瓦斯禁区右侧射门偏出近角
40'克里希的射门击中立柱了！                   37'第37分钟，亚亚-图雷传球，纳瓦斯禁区右侧射门偏出近角
65'斯旺西在中场控制球，代尔交给左路                   65'曼城第65分钟反超比分，德米凯利斯传球，费尔南迪尼奥脚后跟传球，亚亚-图雷小禁区右上角推射远角入网，2-1
66'曼城反击，右路传中，纳瓦斯高速前插，阿圭罗第一点打门被挡，约维迪奇远射打偏                   65'曼城第65分钟反超比分，德米凯利斯传球，费尔南迪尼奥脚后跟传球，亚亚-图雷小禁区右上角推射远角入网，2-1
67'西古德松回敲，代尔右路根本突不进去                   65'曼城第65分钟反超比分，德米凯利斯传球，费尔南迪尼奥脚后跟传球，亚亚-图雷小禁区右上角推射远角入网，2-1
68'纳斯里左路起球，有点给大了                   65'曼城第65分钟反超比分，德米凯利斯传球，费尔南迪尼奥脚后跟传球，亚亚-图雷小禁区右上角推射远角入网，2-1
68'现在曼城完全放开了                   65'曼城第65分钟反超比分，德米凯利斯传球，费尔南迪尼奥脚后跟传球，亚亚-图雷小禁区右上角推射远角入网，2-1
68'斯旺西刚刚用谢尔维换下了卡罗尔                   65'曼城第65分钟反超比分，德米凯利斯传球，费尔南迪尼奥脚后跟传球，亚亚-图雷小禁区右上角推射远角入网，2-1
83'曼城中场横传被断，博尼护住球后回敲，跟上打门高出                   83'第83分钟，阿圭罗传球，纳瓦斯禁区右侧低射被法比安斯基挡出
83'阿圭罗中路拿球没有选择射门，跟上的纳瓦斯射门被门将挡出                   83'第83分钟，阿圭罗传球，纳瓦斯禁区右侧低射被法比安斯基挡出
84'兰帕德长传找阿圭罗，被门将抢先没收                   83'第83分钟，阿圭罗传球，纳瓦斯禁区右侧低射被法比安斯基挡出
85'这个球兰帕德传的很有威胁啊                   83'第83分钟，阿圭罗传球，纳瓦斯禁区右侧低射被法比安斯基挡出
86'图雷小角度打门被挡出                   83'第83分钟，阿圭罗传球，纳瓦斯禁区右侧低射被法比安斯基挡出
92'谢尔维任意球直接攻门打到人墙上折射，擦则左侧立柱出了底线，好悬啊                   92'第92分钟，德米凯利斯犯规被罚黄牌，谢尔维任意球直接射门偏转后擦左侧立柱偏出
92'斯旺西角球打到门前，哈特双拳击出                   92'第92分钟，德米凯利斯犯规被罚黄牌，谢尔维任意球直接射门偏转后擦左侧立柱偏出
93'曼城左路的进攻，图雷拿球后卫把球拦截                   92'第92分钟，德米凯利斯犯规被罚黄牌，谢尔维任意球直接射门偏转后擦左侧立柱偏出
93'米尔纳把球打到中路                   92'第92分钟，德米凯利斯犯规被罚黄牌，谢尔维任意球直接射门偏转后擦左侧立柱偏出
94'门将出击没收皮球                   92'第92分钟，德米凯利斯犯规被罚黄牌，谢尔维任意球直接射门偏转后擦左侧立柱偏出
94'本场比赛最佳球员是纳斯里                   92'第92分钟，德米凯利斯犯规被罚黄牌，谢尔维任意球直接射门偏转后擦左侧立柱偏出
95'阿圭罗左路摆脱被对方夹击了                   92'第92分钟，德米凯利斯犯规被罚黄牌，谢尔维任意球直接射门偏转后擦左侧立柱偏出
