4'纽卡中场拿球给到右路                   4'纽卡斯尔第4分钟险些破门，汤森德右路传中，西塞12码处头球攻门稍稍高出
31'德布劳内换到左路来接球                   29'第29分钟，科拉罗夫横传被西索科拦截，后者从中后场连过2人突破至禁区边缘的单刀射门被乔-哈特没收
31'纽卡这边后场断抢下来                   29'第29分钟，科拉罗夫横传被西索科拦截，后者从中后场连过2人突破至禁区边缘的单刀射门被乔-哈特没收
31'西索科左路拿球内切后转移                   29'第29分钟，科拉罗夫横传被西索科拦截，后者从中后场连过2人突破至禁区边缘的单刀射门被乔-哈特没收
31'右路，队友助攻上来                   29'第29分钟，科拉罗夫横传被西索科拦截，后者从中后场连过2人突破至禁区边缘的单刀射门被乔-哈特没收
31'1-1！！！！                   29'第29分钟，科拉罗夫横传被西索科拦截，后者从中后场连过2人突破至禁区边缘的单刀射门被乔-哈特没收
31'此时此刻值得来杯嘉士伯                   29'第29分钟，科拉罗夫横传被西索科拦截，后者从中后场连过2人突破至禁区边缘的单刀射门被乔-哈特没收
32'阿尼塔！！                   29'第29分钟，科拉罗夫横传被西索科拦截，后者从中后场连过2人突破至禁区边缘的单刀射门被乔-哈特没收
50'阿圭罗禁区内接球摔倒！！                   50'第50分钟，德布劳内传中，阿圭罗小禁区前在姆本巴防守下摔倒，裁判未予理会
51'裁判这边没有任何的表示                   50'第50分钟，德布劳内传中，阿圭罗小禁区前在姆本巴防守下摔倒，裁判未予理会
51'纽卡中场拿球给到边路                   50'第50分钟，德布劳内传中，阿圭罗小禁区前在姆本巴防守下摔倒，裁判未予理会
51'费尔南多上抢将球断了下来                   50'第50分钟，德布劳内传中，阿圭罗小禁区前在姆本巴防守下摔倒，裁判未予理会
88'纽卡斯尔这边也有机会                   88'纽卡斯尔第88分钟险些绝杀，替补出场的维纳尔杜姆切入禁区右肋10码处的射门被乔-哈特勉强扑出，随后维纳尔杜姆禁区右侧小角度再射打在边网
88'边路挑传打身后                   88'纽卡斯尔第88分钟险些绝杀，替补出场的维纳尔杜姆切入禁区右肋10码处的射门被乔-哈特勉强扑出，随后维纳尔杜姆禁区右侧小角度再射打在边网
89'维纳尔杜姆拿球到了禁区内                   88'纽卡斯尔第88分钟险些绝杀，替补出场的维纳尔杜姆切入禁区右肋10码处的射门被乔-哈特勉强扑出，随后维纳尔杜姆禁区右侧小角度再射打在边网
89'晃开防守后推射被乔-哈特挡出                   88'纽卡斯尔第88分钟险些绝杀，替补出场的维纳尔杜姆切入禁区右肋10码处的射门被乔-哈特勉强扑出，随后维纳尔杜姆禁区右侧小角度再射打在边网
89'维纳尔杜姆再打打在边网上                   88'纽卡斯尔第88分钟险些绝杀，替补出场的维纳尔杜姆切入禁区右肋10码处的射门被乔-哈特勉强扑出，随后维纳尔杜姆禁区右侧小角度再射打在边网
89'稍微有些可惜                   88'纽卡斯尔第88分钟险些绝杀，替补出场的维纳尔杜姆切入禁区右肋10码处的射门被乔-哈特勉强扑出，随后维纳尔杜姆禁区右侧小角度再射打在边网
90'纽卡这边又获得一个前场任意球机会                   88'纽卡斯尔第88分钟险些绝杀，替补出场的维纳尔杜姆切入禁区右肋10码处的射门被乔-哈特勉强扑出，随后维纳尔杜姆禁区右侧小角度再射打在边网
90'距离稍微有些远                   88'纽卡斯尔第88分钟险些绝杀，替补出场的维纳尔杜姆切入禁区右肋10码处的射门被乔-哈特勉强扑出，随后维纳尔杜姆禁区右侧小角度再射打在边网
90'看看怎么打                   88'纽卡斯尔第88分钟险些绝杀，替补出场的维纳尔杜姆切入禁区右肋10码处的射门被乔-哈特勉强扑出，随后维纳尔杜姆禁区右侧小角度再射打在边网
91'科尔贝克往禁区内吊                   88'纽卡斯尔第88分钟险些绝杀，替补出场的维纳尔杜姆切入禁区右肋10码处的射门被乔-哈特勉强扑出，随后维纳尔杜姆禁区右侧小角度再射打在边网
91'曼城这边将球先解围                   88'纽卡斯尔第88分钟险些绝杀，替补出场的维纳尔杜姆切入禁区右肋10码处的射门被乔-哈特勉强扑出，随后维纳尔杜姆禁区右侧小角度再射打在边网
91'纽卡左路起球送禁区                   88'纽卡斯尔第88分钟险些绝杀，替补出场的维纳尔杜姆切入禁区右肋10码处的射门被乔-哈特勉强扑出，随后维纳尔杜姆禁区右侧小角度再射打在边网
91'乔-哈特单拳将球击出                   88'纽卡斯尔第88分钟险些绝杀，替补出场的维纳尔杜姆切入禁区右肋10码处的射门被乔-哈特勉强扑出，随后维纳尔杜姆禁区右侧小角度再射打在边网
91'下半场补时5分钟！！                   88'纽卡斯尔第88分钟险些绝杀，替补出场的维纳尔杜姆切入禁区右肋10码处的射门被乔-哈特勉强扑出，随后维纳尔杜姆禁区右侧小角度再射打在边网
