9'北京国安球员徐云龙拼抢犯规,对手获得控球权.                   8'第8分钟，张稀哲边路拿球后横行内切远射，皮球高飞出界
42'射门!!!北京国安球员卡努特左侧远离球门处小角度左脚射门,被对方守门员横身扑出.给他传球的是徐云龙.                   41'第41分钟，卡努特边路得球后直接尝试吊射，杨程反应迅速在门线上将球没收
43'北京国安球员卡努特大禁区中央尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是张呈栋.                   41'第41分钟，卡努特边路得球后直接尝试吊射，杨程反应迅速在门线上将球没收
44'北京国安球员马季奇拼抢犯规,对手获得控球权.                   41'第41分钟，卡努特边路得球后直接尝试吊射，杨程反应迅速在门线上将球没收
44'Vágner Love为山东鲁能赢得一个任意球.                   41'第41分钟，卡努特边路得球后直接尝试吊射，杨程反应迅速在门线上将球没收
44'北京国安球员张稀哲一脚直塞球给卡努特,但是边裁举旗显示后者已经越位.                   41'第41分钟，卡努特边路得球后直接尝试吊射，杨程反应迅速在门线上将球没收
50'郎征将球处理出底线,山东鲁能获得角球.                   50'第50分钟，洛维快速带球，与队友打出二过一配合后杀入禁区，郎征抢先一脚破坏
52'北京国安球员乌塔卡大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.                   50'第50分钟，洛维快速带球，与队友打出二过一配合后杀入禁区，郎征抢先一脚破坏
47'北京国安球员乌塔卡拼抢犯规,对手获得控球权.                   46'1分钟后，山东鲁能边路传中，韩鹏头球摆渡，洛维小禁区内凌空垫射未能碰到皮球
47'Vágner Love为山东鲁能赢得一个任意球.                   46'1分钟后，山东鲁能边路传中，韩鹏头球摆渡，洛维小禁区内凌空垫射未能碰到皮球
47'北京国安球员卡努特拼抢犯规,对手获得控球权.                   46'1分钟后，山东鲁能边路传中，韩鹏头球摆渡，洛维小禁区内凌空垫射未能碰到皮球
47'杜威为山东鲁能赢得一个任意球.                   46'1分钟后，山东鲁能边路传中，韩鹏头球摆渡，洛维小禁区内凌空垫射未能碰到皮球
48'北京国安球员马季奇拼抢犯规,对手获得控球权.                   46'1分钟后，山东鲁能边路传中，韩鹏头球摆渡，洛维小禁区内凌空垫射未能碰到皮球
48'王永珀为山东鲁能在左路,赢得一个任意球.                   46'1分钟后，山东鲁能边路传中，韩鹏头球摆渡，洛维小禁区内凌空垫射未能碰到皮球
60'北京国安球员王晓龙被主裁判出示了一张黄牌.                   60'第60分钟，王晓龙被替下时下场偏慢被主裁判黄牌警告
60'北京国安换人,王皓上,王晓龙因伤下场.                   60'第60分钟，王晓龙被替下时下场偏慢被主裁判黄牌警告
60'卡努特将球处理出底线,山东鲁能获得角球.                   60'第60分钟，王晓龙被替下时下场偏慢被主裁判黄牌警告
61'郑铮将球处理出底线,北京国安获得角球.                   60'第60分钟，王晓龙被替下时下场偏慢被主裁判黄牌警告
63'北京国安球员张辛昕拼抢犯规,对手获得控球权.                   60'第60分钟，王晓龙被替下时下场偏慢被主裁判黄牌警告
63'王永珀为山东鲁能赢得一个任意球.                   60'第60分钟，王晓龙被替下时下场偏慢被主裁判黄牌警告
70'进球啦！！！山东鲁能球员Vágner Love大禁区中央头球,球从右下角飞进球门,球进了!助攻的是蒿俊闵. 山东鲁能 1-2 北京国安.                   70'第70分钟，山东鲁能终于依靠任意球取得进球，蒿俊闵弧线球传入禁区，门前的洛维高高跃起头球攻门，杨智扑救不及，皮球飞入球门，山东鲁能1-2落后
71'北京国安球员张辛昕拼抢犯规,对手获得控球权.                   70'第70分钟，山东鲁能终于依靠任意球取得进球，蒿俊闵弧线球传入禁区，门前的洛维高高跃起头球攻门，杨智扑救不及，皮球飞入球门，山东鲁能1-2落后
71'王永珀为山东鲁能在右路,赢得一个任意球.                   70'第70分钟，山东鲁能终于依靠任意球取得进球，蒿俊闵弧线球传入禁区，门前的洛维高高跃起头球攻门，杨智扑救不及，皮球飞入球门，山东鲁能1-2落后
71'黄牌！北京国安球员张辛昕因为恶意犯规,被主裁判出示黄牌.                   70'第70分钟，山东鲁能终于依靠任意球取得进球，蒿俊闵弧线球传入禁区，门前的洛维高高跃起头球攻门，杨智扑救不及，皮球飞入球门，山东鲁能1-2落后
72'射门!!!山东鲁能球员安塔尔大禁区中央头球,被对方守门员横身扑出.给他传球的是蒿俊闵.                   70'第70分钟，山东鲁能终于依靠任意球取得进球，蒿俊闵弧线球传入禁区，门前的洛维高高跃起头球攻门，杨智扑救不及，皮球飞入球门，山东鲁能1-2落后
72'朴成为北京国安在对方半场,赢得一个任意球.                   70'第70分钟，山东鲁能终于依靠任意球取得进球，蒿俊闵弧线球传入禁区，门前的洛维高高跃起头球攻门，杨智扑救不及，皮球飞入球门，山东鲁能1-2落后
72'山东鲁能球员安塔尔手球犯规,对手获得球权.                   70'第70分钟，山东鲁能终于依靠任意球取得进球，蒿俊闵弧线球传入禁区，门前的洛维高高跃起头球攻门，杨智扑救不及，皮球飞入球门，山东鲁能1-2落后
73'北京国安球员张稀哲一脚直塞球给王皓,但是边裁举旗显示后者已经越位.                   70'第70分钟，山东鲁能终于依靠任意球取得进球，蒿俊闵弧线球传入禁区，门前的洛维高高跃起头球攻门，杨智扑救不及，皮球飞入球门，山东鲁能1-2落后
72'射门!!!山东鲁能球员安塔尔大禁区中央头球,被对方守门员横身扑出.给他传球的是蒿俊闵.                   72'第72分钟，山东鲁能再次获得前场任意球机会，蒿俊闵弧线球准确送入禁区，安塔尔头球攻门，杨智倒地侧扑将球没收
72'朴成为北京国安在对方半场,赢得一个任意球.                   72'第72分钟，山东鲁能再次获得前场任意球机会，蒿俊闵弧线球准确送入禁区，安塔尔头球攻门，杨智倒地侧扑将球没收
72'山东鲁能球员安塔尔手球犯规,对手获得球权.                   72'第72分钟，山东鲁能再次获得前场任意球机会，蒿俊闵弧线球准确送入禁区，安塔尔头球攻门，杨智倒地侧扑将球没收
73'北京国安球员张稀哲一脚直塞球给王皓,但是边裁举旗显示后者已经越位.                   72'第72分钟，山东鲁能再次获得前场任意球机会，蒿俊闵弧线球准确送入禁区，安塔尔头球攻门，杨智倒地侧扑将球没收
74'山东鲁能球员Vágner Love大禁区左侧尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是吴兴涵.                   72'第72分钟，山东鲁能再次获得前场任意球机会，蒿俊闵弧线球准确送入禁区，安塔尔头球攻门，杨智倒地侧扑将球没收
74'北京国安球员王皓拼抢犯规,对手获得控球权.                   72'第72分钟，山东鲁能再次获得前场任意球机会，蒿俊闵弧线球准确送入禁区，安塔尔头球攻门，杨智倒地侧扑将球没收
74'Vágner Love为山东鲁能在左路,赢得一个任意球.                   72'第72分钟，山东鲁能再次获得前场任意球机会，蒿俊闵弧线球准确送入禁区，安塔尔头球攻门，杨智倒地侧扑将球没收
75'射门!!!北京国安球员乌塔卡大禁区左侧右脚射门,被对方守门员横身扑出.给他传球的是卡努特.                   72'第72分钟，山东鲁能再次获得前场任意球机会，蒿俊闵弧线球准确送入禁区，安塔尔头球攻门，杨智倒地侧扑将球没收
75'北京国安球员马季奇拼抢犯规,对手获得控球权.                   72'第72分钟，山东鲁能再次获得前场任意球机会，蒿俊闵弧线球准确送入禁区，安塔尔头球攻门，杨智倒地侧扑将球没收
75'Vágner Love为山东鲁能在左路,赢得一个任意球.                   72'第72分钟，山东鲁能再次获得前场任意球机会，蒿俊闵弧线球准确送入禁区，安塔尔头球攻门，杨智倒地侧扑将球没收
75'射门!!!北京国安球员乌塔卡大禁区左侧右脚射门,被对方守门员横身扑出.给他传球的是卡努特.                   75'第75分钟，卡努特送出斜塞球，乌塔卡利用速度再次形成单刀，但是他的射门被杨程拒之门外
75'北京国安球员马季奇拼抢犯规,对手获得控球权.                   75'第75分钟，卡努特送出斜塞球，乌塔卡利用速度再次形成单刀，但是他的射门被杨程拒之门外
75'Vágner Love为山东鲁能在左路,赢得一个任意球.                   75'第75分钟，卡努特送出斜塞球，乌塔卡利用速度再次形成单刀，但是他的射门被杨程拒之门外
76'黄牌！北京国安球员马季奇因为恶意犯规,被主裁判出示黄牌.                   75'第75分钟，卡努特送出斜塞球，乌塔卡利用速度再次形成单刀，但是他的射门被杨程拒之门外
78'北京国安球员张稀哲一脚直塞球给卡努特,但是边裁举旗显示后者已经越位.                   75'第75分钟，卡努特送出斜塞球，乌塔卡利用速度再次形成单刀，但是他的射门被杨程拒之门外
78'北京国安球员徐云龙拼抢犯规,对手获得控球权.                   75'第75分钟，卡努特送出斜塞球，乌塔卡利用速度再次形成单刀，但是他的射门被杨程拒之门外
78'郑铮为山东鲁能在对方半场,赢得一个任意球.                   75'第75分钟，卡努特送出斜塞球，乌塔卡利用速度再次形成单刀，但是他的射门被杨程拒之门外
82'山东鲁能球员Vágner Love大禁区右侧尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是安塔尔.                   82'第82分钟，洛维接到王永珀传球后小角度爆射，球稍稍打高
83'王皓为北京国安在右路,赢得一个任意球.                   82'第82分钟，洛维接到王永珀传球后小角度爆射，球稍稍打高
83'山东鲁能球员蒿俊闵手球犯规,对手获得球权.                   82'第82分钟，洛维接到王永珀传球后小角度爆射，球稍稍打高
84'进球啦！！！北京国安球员王皓大禁区中央右脚射门,球从左下角飞进球门,球进了!助攻的是朴成. 山东鲁能 1-3 北京国安.                   82'第82分钟，洛维接到王永珀传球后小角度爆射，球稍稍打高
85'北京国安张稀哲受伤倒地,比赛暂停                   82'第82分钟，洛维接到王永珀传球后小角度爆射，球稍稍打高
85'暂停结束,球员们重新开始比赛.                   82'第82分钟，洛维接到王永珀传球后小角度爆射，球稍稍打高
88'北京国安球员朴成小禁区右侧尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是邵佳一.                   88'第88分钟，山东鲁能后场传球失误，乌塔卡带球反击，卡努特送出直塞，邵佳一禁区内低传门前，包抄到位的朴成射空门却稍稍偏出
89'徐云龙为北京国安在对方半场,赢得一个任意球.                   88'第88分钟，山东鲁能后场传球失误，乌塔卡带球反击，卡努特送出直塞，邵佳一禁区内低传门前，包抄到位的朴成射空门却稍稍偏出
89'山东鲁能球员郑铮手球犯规,对手获得球权.                   88'第88分钟，山东鲁能后场传球失误，乌塔卡带球反击，卡努特送出直塞，邵佳一禁区内低传门前，包抄到位的朴成射空门却稍稍偏出
89'黄牌！山东鲁能球员郑铮因为恶意犯规,被主裁判出示黄牌.                   88'第88分钟，山东鲁能后场传球失误，乌塔卡带球反击，卡努特送出直塞，邵佳一禁区内低传门前，包抄到位的朴成射空门却稍稍偏出
90'+1'郑铮将球处理出底线,北京国安获得角球.                   88'第88分钟，山东鲁能后场传球失误，乌塔卡带球反击，卡努特送出直塞，邵佳一禁区内低传门前，包抄到位的朴成射空门却稍稍偏出
90'+1'杜威将球处理出底线,北京国安获得角球.                   88'第88分钟，山东鲁能后场传球失误，乌塔卡带球反击，卡努特送出直塞，邵佳一禁区内低传门前，包抄到位的朴成射空门却稍稍偏出
90'+2'北京国安换人,李提香换下朴成                   88'第88分钟，山东鲁能后场传球失误，乌塔卡带球反击，卡努特送出直塞，邵佳一禁区内低传门前，包抄到位的朴成射空门却稍稍偏出
90'+3'北京国安球员邵佳一拼抢犯规,对手获得控球权.                   88'第88分钟，山东鲁能后场传球失误，乌塔卡带球反击，卡努特送出直塞，邵佳一禁区内低传门前，包抄到位的朴成射空门却稍稍偏出
90'+3'郑铮为山东鲁能在左路,赢得一个任意球.                   88'第88分钟，山东鲁能后场传球失误，乌塔卡带球反击，卡努特送出直塞，邵佳一禁区内低传门前，包抄到位的朴成射空门却稍稍偏出
90'+4'徐云龙将球处理出底线,山东鲁能获得角球.                   88'第88分钟，山东鲁能后场传球失误，乌塔卡带球反击，卡努特送出直塞，邵佳一禁区内低传门前，包抄到位的朴成射空门却稍稍偏出
90'+4'下半场结束,山东鲁能 1-3 北京国安                   88'第88分钟，山东鲁能后场传球失误，乌塔卡带球反击，卡努特送出直塞，邵佳一禁区内低传门前，包抄到位的朴成射空门却稍稍偏出
