1'上半场比赛开始！！                   1'莱万特第1分钟并未保守，卡巴科传球，罗奇纳远射偏出
71'卡瓦哈尔也是有些着急                   71'第71分钟，卢卡斯直传，维尼修斯突入禁区左肋的单刀射门被扑出
71'莱万特右路策动攻势                   71'第71分钟，卢卡斯直传，维尼修斯突入禁区左肋的单刀射门被扑出
71'纳乔先将球解围                   71'第71分钟，卢卡斯直传，维尼修斯突入禁区左肋的单刀射门被扑出
71'皇马中场送直塞                   71'第71分钟，卢卡斯直传，维尼修斯突入禁区左肋的单刀射门被扑出
71'禁区内的推射被门将扑了一下                   71'第71分钟，卢卡斯直传，维尼修斯突入禁区左肋的单刀射门被扑出
71'球还没有出界                   71'第71分钟，卢卡斯直传，维尼修斯突入禁区左肋的单刀射门被扑出
71'后卫赶回来将球解围                   71'第71分钟，卢卡斯直传，维尼修斯突入禁区左肋的单刀射门被扑出
73'打门的是维尼修斯                   71'第71分钟，卢卡斯直传，维尼修斯突入禁区左肋的单刀射门被扑出
73'莱万特换人了                   71'第71分钟，卢卡斯直传，维尼修斯突入禁区左肋的单刀射门被扑出
73'罗杰下，德瓦梅纳上！                   71'第71分钟，卢卡斯直传，维尼修斯突入禁区左肋的单刀射门被扑出
73'罗杰今天也是打进一球                   71'第71分钟，卢卡斯直传，维尼修斯突入禁区左肋的单刀射门被扑出
73'皇马也要换人                   71'第71分钟，卢卡斯直传，维尼修斯突入禁区左肋的单刀射门被扑出
74'贝尔上，换下本泽马！！                   71'第71分钟，卢卡斯直传，维尼修斯突入禁区左肋的单刀射门被扑出
86'纳乔防守中拉人犯规！！                   86'第86分钟，纳乔累计两张黄牌被罚下
87'纳乔两黄变一红啊                   86'第86分钟，纳乔累计两张黄牌被罚下
87'皇马现在场上少一人                   86'第86分钟，纳乔累计两张黄牌被罚下
87'比赛已经来到了87分钟                   86'第86分钟，纳乔累计两张黄牌被罚下
87'看看莱万特能不能抓住机会                   86'第86分钟，纳乔累计两张黄牌被罚下
87'任意球给到禁区                   86'第86分钟，纳乔累计两张黄牌被罚下
87'乱战啊！！！                   86'第86分钟，纳乔累计两张黄牌被罚下
87'裁判先吹了攻方的犯规                   86'第86分钟，纳乔累计两张黄牌被罚下
88'争抢的时候冲撞了门将                   86'第86分钟，纳乔累计两张黄牌被罚下
88'莱万特替补席球员佩德罗-洛佩斯又被吹了第二张黄牌！！                   86'第86分钟，纳乔累计两张黄牌被罚下
88'之前已经有一张黄牌了                   86'第86分钟，纳乔累计两张黄牌被罚下
89'这样佩德罗-洛佩斯在替补席被累计两黄罚出场外！！                   86'第86分钟，纳乔累计两张黄牌被罚下
89'莱万特换人                   86'第86分钟，纳乔累计两张黄牌被罚下
89'巴尔迪下，武克切维奇上！                   86'第86分钟，纳乔累计两张黄牌被罚下
