1'上半场比赛开始                   1'第1分钟，主场作战的长春亚泰占据场上进攻主动权
8'长春亚泰队左路长传球，对方争抢犯规                   7'第7分钟，长春亚泰任意球发到前点，拉斐尔转身射门被挡出
8'前场左路长春亚泰队再得任意球机会                   7'第7分钟，长春亚泰任意球发到前点，拉斐尔转身射门被挡出
8'埃尼奥站在球前！                   7'第7分钟，长春亚泰任意球发到前点，拉斐尔转身射门被挡出
9'任意球直接打门啦！正了些，对王大雷来说难度不大！                   7'第7分钟，长春亚泰任意球发到前点，拉斐尔转身射门被挡出
9'鲁能泰山队左路反击到前场，对方解围时打在张文钊身上出边线                   7'第7分钟，长春亚泰任意球发到前点，拉斐尔转身射门被挡出
10'用户1zk47bcabz：顶住长春的三板斧，鲁能然后就是猛攻回复[呵呵，看来你对鲁能很有信心！我感觉将是一场激烈的比拼，谁都不会轻松！]                   7'第7分钟，长春亚泰任意球发到前点，拉斐尔转身射门被挡出
10'鲁能泰山队右路攻到前场，三分配合失误                   7'第7分钟，长春亚泰任意球发到前点，拉斐尔转身射门被挡出
10'乌索中场抢球犯规啦                   7'第7分钟，长春亚泰任意球发到前点，拉斐尔转身射门被挡出
10'长春亚泰队发中后场任意球，大脚撂到前场右路，结果出界！！                   7'第7分钟，长春亚泰任意球发到前点，拉斐尔转身射门被挡出
17'现场还真来了不少鲁能球迷！！                   17'第17分钟，韩鹏前场拼抢赢得任意球，王永珀弧线球旋向后点，禁区内争顶无人碰到，宋振瑜飞身将球扑出
17'...任意球发到禁区内，皮球弹地有一定威胁，被宋振瑜扑出底线！                   17'第17分钟，韩鹏前场拼抢赢得任意球，王永珀弧线球旋向后点，禁区内争顶无人碰到，宋振瑜飞身将球扑出
17'鲁能泰山队得到角球机会                   17'第17分钟，韩鹏前场拼抢赢得任意球，王永珀弧线球旋向后点，禁区内争顶无人碰到，宋振瑜飞身将球扑出
17'角球发到门前，吕建军把球破坏出来                   17'第17分钟，韩鹏前场拼抢赢得任意球，王永珀弧线球旋向后点，禁区内争顶无人碰到，宋振瑜飞身将球扑出
17'长春亚泰队反击，中场把球抢下来                   17'第17分钟，韩鹏前场拼抢赢得任意球，王永珀弧线球旋向后点，禁区内争顶无人碰到，宋振瑜飞身将球扑出
18'乌索直传，洛维接球后被放倒，球出边线！主裁判没有吹犯规，而是给了边线球！                   17'第17分钟，韩鹏前场拼抢赢得任意球，王永珀弧线球旋向后点，禁区内争顶无人碰到，宋振瑜飞身将球扑出
18'洛维对此判罚不满意！                   17'第17分钟，韩鹏前场拼抢赢得任意球，王永珀弧线球旋向后点，禁区内争顶无人碰到，宋振瑜飞身将球扑出
18'长春亚泰队左路进攻，两个8号干上啦，小胖铲倒了对方                   17'第17分钟，韩鹏前场拼抢赢得任意球，王永珀弧线球旋向后点，禁区内争顶无人碰到，宋振瑜飞身将球扑出
19'埃尼奥发角球到禁区内前点，对方直接破坏出来，质量一般！                   17'第17分钟，韩鹏前场拼抢赢得任意球，王永珀弧线球旋向后点，禁区内争顶无人碰到，宋振瑜飞身将球扑出
19'云风依依：看文字长春亚泰攻势很猛啊，张文钊是不是也被盯死了？回复[张文钊今天好象更多的是防守，助攻并不多！]                   17'第17分钟，韩鹏前场拼抢赢得任意球，王永珀弧线球旋向后点，禁区内争顶无人碰到，宋振瑜飞身将球扑出
20'鲁能泰山队现在压得比较靠前，戴琳都过半场啦！                   17'第17分钟，韩鹏前场拼抢赢得任意球，王永珀弧线球旋向后点，禁区内争顶无人碰到，宋振瑜飞身将球扑出
20'鲁能泰山队前场传球失误，长春亚泰队反击                   17'第17分钟，韩鹏前场拼抢赢得任意球，王永珀弧线球旋向后点，禁区内争顶无人碰到，宋振瑜飞身将球扑出
31'王大雷大脚开球到前场右路，韩鹏争顶犯规                   31'第31分钟，长春亚泰打出快速反击，贝切莱边路高速插上，面对后卫防守，直接小角度射门，球被王大雷没收
31'yangsheldon：鲁能支持率高 跟山东人口多也有关系回复[呵呵，也许吧！]                   31'第31分钟，长春亚泰打出快速反击，贝切莱边路高速插上，面对后卫防守，直接小角度射门，球被王大雷没收
31'[互动话题]上半场比赛已经过三十分钟！上半场能有进球吗？A、能 B、进不了！[qiangda]                   31'第31分钟，长春亚泰打出快速反击，贝切莱边路高速插上，面对后卫防守，直接小角度射门，球被王大雷没收
32'拉斐尔右路拿球，郑铮上抢过猛啊！犯规                   31'第31分钟，长春亚泰打出快速反击，贝切莱边路高速插上，面对后卫防守，直接小角度射门，球被王大雷没收
32'任意球发到后门柱！王大雷直接把球没收啦！                   31'第31分钟，长春亚泰打出快速反击，贝切莱边路高速插上，面对后卫防守，直接小角度射门，球被王大雷没收
32'王大雷大脚开球给洛维，横传想给韩鹏，没能处理好！                   31'第31分钟，长春亚泰打出快速反击，贝切莱边路高速插上，面对后卫防守，直接小角度射门，球被王大雷没收
33'张文钊说法不会被炮轰吗？他说：希望鲁能夺冠，希望亚泰保级成功！                   31'第31分钟，长春亚泰打出快速反击，贝切莱边路高速插上，面对后卫防守，直接小角度射门，球被王大雷没收
34'杜威争抢压人犯规啦！                   31'第31分钟，长春亚泰打出快速反击，贝切莱边路高速插上，面对后卫防守，直接小角度射门，球被王大雷没收
39'完美主义Evan：韩鹏是我在中超最喜欢的球员。回复[呵呵，我也迷鹏]                   39'第39分钟，山东鲁能赢得任意球，王永珀弧线球吊入禁区，宋振瑜受干扰勉强将球挡出，但洛维争顶时已越位
39'杜威争抢重重地摔在地上！这下不轻啊！抱住了头                   39'第39分钟，山东鲁能赢得任意球，王永珀弧线球吊入禁区，宋振瑜受干扰勉强将球挡出，但洛维争顶时已越位
40'库卡一直在蹲着，多累啊！                   39'第39分钟，山东鲁能赢得任意球，王永珀弧线球吊入禁区，宋振瑜受干扰勉强将球挡出，但洛维争顶时已越位
40'后场鲁能泰山队抢断，回传王大雷，大脚开到前场                   39'第39分钟，山东鲁能赢得任意球，王永珀弧线球吊入禁区，宋振瑜受干扰勉强将球挡出，但洛维争顶时已越位
40'韩鹏挑传球到禁区内，打身后球，洛维快速插上，对方两人关门！                   39'第39分钟，山东鲁能赢得任意球，王永珀弧线球吊入禁区，宋振瑜受干扰勉强将球挡出，但洛维争顶时已越位
41'今天长春亚泰队重点防守对象就是洛维！                   39'第39分钟，山东鲁能赢得任意球，王永珀弧线球吊入禁区，宋振瑜受干扰勉强将球挡出，但洛维争顶时已越位
41'埃尼奥左路带球横向突破，突然一脚远射！没压住！                   39'第39分钟，山东鲁能赢得任意球，王永珀弧线球吊入禁区，宋振瑜受干扰勉强将球挡出，但洛维争顶时已越位
42'杜威与贝切莱抢在一块，贝切莱犯规啦！                   39'第39分钟，山东鲁能赢得任意球，王永珀弧线球吊入禁区，宋振瑜受干扰勉强将球挡出，但洛维争顶时已越位
42'贝切莱站起来，对杜威好象不满！他是冲上去撞倒了杜威，犯规明显啊！                   39'第39分钟，山东鲁能赢得任意球，王永珀弧线球吊入禁区，宋振瑜受干扰勉强将球挡出，但洛维争顶时已越位
48'杜威传球给戴琳，拉斐尔断球突破到禁区内！打门，打在边网上！                   48'下半场易边再战，长春亚泰一上来就差点破门，第48分钟，长春亚泰组织进攻，拉斐尔强行传中被杜威一挡形成踢墙式效果，拉斐尔快速跟进小角度劲射，球再次打在了边网上
49'安妮的宝贝13：不是大部分山东人都有个东北亲戚，而是大部分山东人都有个在东北的亲戚。回复[好有意思啊！在东北就是东北的，有个东北亲戚也没错！另外山东人上大学也喜欢到东北，哈工大、吉林大学、大连理工、东北大学在山东招生分数好高！]                   48'下半场易边再战，长春亚泰一上来就差点破门，第48分钟，长春亚泰组织进攻，拉斐尔强行传中被杜威一挡形成踢墙式效果，拉斐尔快速跟进小角度劲射，球再次打在了边网上
49'韩鹏在争高球时有肘击的动作！黄牌！                   48'下半场易边再战，长春亚泰一上来就差点破门，第48分钟，长春亚泰组织进攻，拉斐尔强行传中被杜威一挡形成踢墙式效果，拉斐尔快速跟进小角度劲射，球再次打在了边网上
50'这是本场比赛第一张黄牌！                   48'下半场易边再战，长春亚泰一上来就差点破门，第48分钟，长春亚泰组织进攻，拉斐尔强行传中被杜威一挡形成踢墙式效果，拉斐尔快速跟进小角度劲射，球再次打在了边网上
50'感觉刘彬彬应该上场冲击一下！                   48'下半场易边再战，长春亚泰一上来就差点破门，第48分钟，长春亚泰组织进攻，拉斐尔强行传中被杜威一挡形成踢墙式效果，拉斐尔快速跟进小角度劲射，球再次打在了边网上
50'李杨举：一统，你确定你看的是激烈的比赛，你看得很快乐？回复[目前感觉比较友好！希望激烈起来]                   48'下半场易边再战，长春亚泰一上来就差点破门，第48分钟，长春亚泰组织进攻，拉斐尔强行传中被杜威一挡形成踢墙式效果，拉斐尔快速跟进小角度劲射，球再次打在了边网上
51'洛维也吃到黄牌！怎么了？                   48'下半场易边再战，长春亚泰一上来就差点破门，第48分钟，长春亚泰组织进攻，拉斐尔强行传中被杜威一挡形成踢墙式效果，拉斐尔快速跟进小角度劲射，球再次打在了边网上
51'长春亚泰队发任意球到禁区内，没有什么威胁                   48'下半场易边再战，长春亚泰一上来就差点破门，第48分钟，长春亚泰组织进攻，拉斐尔强行传中被杜威一挡形成踢墙式效果，拉斐尔快速跟进小角度劲射，球再次打在了边网上
51'是有队员越位，王大雷出禁区发后场球                   48'下半场易边再战，长春亚泰一上来就差点破门，第48分钟，长春亚泰组织进攻，拉斐尔强行传中被杜威一挡形成踢墙式效果，拉斐尔快速跟进小角度劲射，球再次打在了边网上
51'王大雷大脚开球到前场，对方争顶下来                   48'下半场易边再战，长春亚泰一上来就差点破门，第48分钟，长春亚泰组织进攻，拉斐尔强行传中被杜威一挡形成踢墙式效果，拉斐尔快速跟进小角度劲射，球再次打在了边网上
51'王永珀前场右路拿球，被放倒在地                   48'下半场易边再战，长春亚泰一上来就差点破门，第48分钟，长春亚泰组织进攻，拉斐尔强行传中被杜威一挡形成踢墙式效果，拉斐尔快速跟进小角度劲射，球再次打在了边网上
46'新浪用户：鲁能应该换个人，改变一下节奏。这么踢不成啊！回复[是不是阿洛伊西奥和韩鹏相克啊！同时在场时看不到阿洛伊西奥呢！]                   46'1分钟后，洛维也吃到黄牌
46'上半场比赛结束，双方都没能进球，互交白卷！                   46'1分钟后，洛维也吃到黄牌
46'下半场开始                   46'1分钟后，洛维也吃到黄牌
46'长春亚泰队开球                   46'1分钟后，洛维也吃到黄牌
46'长春亚泰队右路传球出界                   46'1分钟后，洛维也吃到黄牌
46'郑铮发出界外球，长春亚泰队断球右路反击                   46'1分钟后，洛维也吃到黄牌
47'长春亚泰队右路传球到禁区内，张文钊嘛？解围球踢了一脚，象小角度打门，呵呵，球到了另一侧！                   46'1分钟后，洛维也吃到黄牌
47'鲁能泰山队左路长传，洛维背身拿球，被断                   46'1分钟后，洛维也吃到黄牌
47'洛维在前场大禁区线上又把球断下来，挑传球被吕建军挡出边线                   46'1分钟后，洛维也吃到黄牌
47'阿洛伊西奥呢？？我试图找到他，总是不好找！                   46'1分钟后，洛维也吃到黄牌
47'界外球发出来左路横传门前，宋振瑜没收                   46'1分钟后，洛维也吃到黄牌
48'杜威传球给戴琳，拉斐尔断球突破到禁区内！打门，打在边网上！                   46'1分钟后，洛维也吃到黄牌
49'安妮的宝贝13：不是大部分山东人都有个东北亲戚，而是大部分山东人都有个在东北的亲戚。回复[好有意思啊！在东北就是东北的，有个东北亲戚也没错！另外山东人上大学也喜欢到东北，哈工大、吉林大学、大连理工、东北大学在山东招生分数好高！]                   46'1分钟后，洛维也吃到黄牌
49'韩鹏在争高球时有肘击的动作！黄牌！                   46'1分钟后，洛维也吃到黄牌
62'孤城LOVE吹雪 ：长春师范分数一般回复[呵呵，这个学校不太了解！我知道985的有哈工大，吉林大学，大连理工和东北大学。211的还有延边大学，哈工程吧！]                   62'第62分钟，长春亚泰反击，拉斐尔突入禁区，在杜威防守时倒地，主裁判认为拉斐尔假摔，并向其出示黄牌警告
63'拉斐尔突破被杜威防住啦，拉斐尔带球自己绊倒在禁区内！主裁判认为假摔，给他出示了黄牌，他好象对裁判不满意，要干什么？                   62'第62分钟，长春亚泰反击，拉斐尔突入禁区，在杜威防守时倒地，主裁判认为拉斐尔假摔，并向其出示黄牌警告
63'确实杜威脚下干净，碰到皮球后没有踢到拉斐尔！                   62'第62分钟，长春亚泰反击，拉斐尔突入禁区，在杜威防守时倒地，主裁判认为拉斐尔假摔，并向其出示黄牌警告
64'戴琳要干什么！上前与主裁判理论，是自己申请黄牌吗？主裁判要掏牌子啦，还好被劝走啦！                   62'第62分钟，长春亚泰反击，拉斐尔突入禁区，在杜威防守时倒地，主裁判认为拉斐尔假摔，并向其出示黄牌警告
64'阿洛伊西奥前场拿球，被李光放倒！                   62'第62分钟，长春亚泰反击，拉斐尔突入禁区，在杜威防守时倒地，主裁判认为拉斐尔假摔，并向其出示黄牌警告
64'鲁能泰山队换人，果然换刘彬彬！换下韩鹏！                   62'第62分钟，长春亚泰反击，拉斐尔突入禁区，在杜威防守时倒地，主裁判认为拉斐尔假摔，并向其出示黄牌警告
64'韩鹏在门前高度是有的，但今天表现不是很突出！                   62'第62分钟，长春亚泰反击，拉斐尔突入禁区，在杜威防守时倒地，主裁判认为拉斐尔假摔，并向其出示黄牌警告
65'王永珀发任意球，直接打门啦！太高了也，射太阳？                   62'第62分钟，长春亚泰反击，拉斐尔突入禁区，在杜威防守时倒地，主裁判认为拉斐尔假摔，并向其出示黄牌警告
68'长春亚泰队右路快速攻到前场，远距离打门，被王大雷抱住                   68'第68分钟，张文钊禁区外拿球突然冷射，球被门将没收
68'鲁能泰山队快速反击，张文钊一对一，直接打门，被碰了一下由宋振瑜没收！                   68'第68分钟，张文钊禁区外拿球突然冷射，球被门将没收
68'贝切莱前场拿球，回传给埃尼奥                   68'第68分钟，张文钊禁区外拿球突然冷射，球被门将没收
69'鲁能泰山队左路直传球，郑铮下底横传球被对方破坏出底线                   68'第68分钟，张文钊禁区外拿球突然冷射，球被门将没收
69'鲁能泰山队得到角球机会                   68'第68分钟，张文钊禁区外拿球突然冷射，球被门将没收
70'战术角球发出来，王永珀直接一脚远射！质量很高，可惜偏出！                   68'第68分钟，张文钊禁区外拿球突然冷射，球被门将没收
71'手机用户1949618507：没有啊，我也是鲁能球迷，上场有河南球迷说你不中立，带红字的全是鲁能的，除了河南进的那个球回复[精彩镜头才红字，重要进攻和防守，红黄牌才红字！这是原则啊！]                   68'第68分钟，张文钊禁区外拿球突然冷射，球被门将没收
71'后场鲁能泰山队控到球，又是李光，犯规！                   68'第68分钟，张文钊禁区外拿球突然冷射，球被门将没收
71'长春亚泰队要换人啦，21号刘卫东上场，换下拉斐尔！                   68'第68分钟，张文钊禁区外拿球突然冷射，球被门将没收
73'洛维今天表现不错，但可惜的是被防死啦！                   73'第73分钟，戴琳犯规吃到黄牌，长春亚泰获得任意球，埃尼奥直接射门高出
73'洛维被提前换下的情况不多！但今天是要变一下啦！                   73'第73分钟，戴琳犯规吃到黄牌，长春亚泰获得任意球，埃尼奥直接射门高出
73'戴琳防守犯规！！黄牌！                   73'第73分钟，戴琳犯规吃到黄牌，长春亚泰获得任意球，埃尼奥直接射门高出
74'这次抢球踢到了对方腿上！其实按照今天裁判的尺度是可以不掏牌子！但他此前与裁判理论，给记住啦！                   73'第73分钟，戴琳犯规吃到黄牌，长春亚泰获得任意球，埃尼奥直接射门高出
74'埃尼奥直接打门！！高出！                   73'第73分钟，戴琳犯规吃到黄牌，长春亚泰获得任意球，埃尼奥直接射门高出
74'那一年木棉花开落满地：一统是带枪的吧？回复[啥意思啊，没当过兵！]                   73'第73分钟，戴琳犯规吃到黄牌，长春亚泰获得任意球，埃尼奥直接射门高出
75'赵明剑发界外球违例！哎，低级                   73'第73分钟，戴琳犯规吃到黄牌，长春亚泰获得任意球，埃尼奥直接射门高出
75'界外球发出来，长春亚泰队把球转移到右路！对方把球破坏出边线                   73'第73分钟，戴琳犯规吃到黄牌，长春亚泰获得任意球，埃尼奥直接射门高出
75'郑铮左路拿球，大脚解围到了对方脚下，但长春亚泰队斜传球直接出底线                   73'第73分钟，戴琳犯规吃到黄牌，长春亚泰获得任意球，埃尼奥直接射门高出
76'打默契球吗？感觉越来越不象话啦！激情哪去了？                   73'第73分钟，戴琳犯规吃到黄牌，长春亚泰获得任意球，埃尼奥直接射门高出
76'乌索中场断球，赵明剑直传球，张文钊强突，过去啦！！被推了一把！                   73'第73分钟，戴琳犯规吃到黄牌，长春亚泰获得任意球，埃尼奥直接射门高出
76'张文钊对助理裁判非常不满！认真吧！助理裁判应该能看清楚啊！                   73'第73分钟，戴琳犯规吃到黄牌，长春亚泰获得任意球，埃尼奥直接射门高出
76'犯规的是伊斯梅洛夫！！                   73'第73分钟，戴琳犯规吃到黄牌，长春亚泰获得任意球，埃尼奥直接射门高出
76'鲁能泰山队得到前场右翼任意球机会                   73'第73分钟，戴琳犯规吃到黄牌，长春亚泰获得任意球，埃尼奥直接射门高出
82'鲁能泰山队换人：王刚上场换下张文钊！                   82'第82分钟，王刚替下张文钊
82'意思是继续加强进攻！                   82'第82分钟，王刚替下张文钊
82'长春亚泰队右路传球，逼得角球机会                   82'第82分钟，王刚替下张文钊
82'角球发到禁区内，王大雷出击把球摘下来                   82'第82分钟，王刚替下张文钊
82'王大雷快速发球，阿洛伊西奥突破，被对方把球碰出边线                   82'第82分钟，王刚替下张文钊
83'刘彬彬直传球，阿洛伊西奥回传球，再走右路进攻                   82'第82分钟，王刚替下张文钊
83'长春亚泰队后场断球，左路长传反击                   82'第82分钟，王刚替下张文钊
83'贝切莱好快啊，一打二，突破到禁区内打门，杜威和戴琳的防守还行，打高啦！                   82'第82分钟，王刚替下张文钊
84'今天两队都有点步行者！                   82'第82分钟，王刚替下张文钊
84'王永珀挑传禁区，王万鹏把球破坏出边线                   82'第82分钟，王刚替下张文钊
85'长春亚泰队后场断球，右路快速反击，王永珀中场战术犯规                   82'第82分钟，王刚替下张文钊
85'长春亚泰队进球啦，贝切莱！1-0                   82'第82分钟，王刚替下张文钊
85'长春亚泰队后场断球，右路快速反击，王永珀中场战术犯规                   85'第85分钟，出场作战的长春亚泰终于打破僵局，曹添堡摆脱防守后送出直塞球，贝切莱快速插上形成单刀，面对门将王大雷，轻松起脚劲射洞穿山东鲁能大门，长春亚泰1-0领先
85'长春亚泰队进球啦，贝切莱！1-0                   85'第85分钟，出场作战的长春亚泰终于打破僵局，曹添堡摆脱防守后送出直塞球，贝切莱快速插上形成单刀，面对门将王大雷，轻松起脚劲射洞穿山东鲁能大门，长春亚泰1-0领先
86'曹添堡在前场得球，直传禁区，贝切莱快速插上抢点小角度劲射，皮球应声入网！！                   85'第85分钟，出场作战的长春亚泰终于打破僵局，曹添堡摆脱防守后送出直塞球，贝切莱快速插上形成单刀，面对门将王大雷，轻松起脚劲射洞穿山东鲁能大门，长春亚泰1-0领先
86'长春亚泰队先进球！大家猜对了吗？贺电呢？                   85'第85分钟，出场作战的长春亚泰终于打破僵局，曹添堡摆脱防守后送出直塞球，贝切莱快速插上形成单刀，面对门将王大雷，轻松起脚劲射洞穿山东鲁能大门，长春亚泰1-0领先
87'鲁能泰山队长传禁区，对方顶出来                   85'第85分钟，出场作战的长春亚泰终于打破僵局，曹添堡摆脱防守后送出直塞球，贝切莱快速插上形成单刀，面对门将王大雷，轻松起脚劲射洞穿山东鲁能大门，长春亚泰1-0领先
87'乌索再挑传禁区，长春亚泰队得球快速反击                   85'第85分钟，出场作战的长春亚泰终于打破僵局，曹添堡摆脱防守后送出直塞球，贝切莱快速插上形成单刀，面对门将王大雷，轻松起脚劲射洞穿山东鲁能大门，长春亚泰1-0领先
87'长春亚泰队反击真快啊！！乌索更快，回追把球抢断下来！                   85'第85分钟，出场作战的长春亚泰终于打破僵局，曹添堡摆脱防守后送出直塞球，贝切莱快速插上形成单刀，面对门将王大雷，轻松起脚劲射洞穿山东鲁能大门，长春亚泰1-0领先
88'王刚在前场接球，原地打门，没有力量，被宋振瑜没收！                   85'第85分钟，出场作战的长春亚泰终于打破僵局，曹添堡摆脱防守后送出直塞球，贝切莱快速插上形成单刀，面对门将王大雷，轻松起脚劲射洞穿山东鲁能大门，长春亚泰1-0领先
88'长春亚泰队员开始抽筋啦！                   85'第85分钟，出场作战的长春亚泰终于打破僵局，曹添堡摆脱防守后送出直塞球，贝切莱快速插上形成单刀，面对门将王大雷，轻松起脚劲射洞穿山东鲁能大门，长春亚泰1-0领先
88'李光倒在地上！                   85'第85分钟，出场作战的长春亚泰终于打破僵局，曹添堡摆脱防守后送出直塞球，贝切莱快速插上形成单刀，面对门将王大雷，轻松起脚劲射洞穿山东鲁能大门，长春亚泰1-0领先
91'中场鲁能泰山队把球回传，王大雷起大脚到前场                   91'第91分钟，刘彬彬禁区外远射被防守队员挡出
91'郑铮前场突破远射，被挡出来                   91'第91分钟，刘彬彬禁区外远射被防守队员挡出
91'埃尼奥得球快速反击，王永珀战术犯规                   91'第91分钟，刘彬彬禁区外远射被防守队员挡出
92'任意球长传前场，埃尼奥突破，王刚犯规                   91'第91分钟，刘彬彬禁区外远射被防守队员挡出
93'刚才是贝切莱的突破，造了王刚的犯规                   91'第91分钟，刘彬彬禁区外远射被防守队员挡出
93'任意球发出来，贝切莱控球，在对方逼抢下贝切莱碰出底线                   91'第91分钟，刘彬彬禁区外远射被防守队员挡出
93'补时已经过了3分钟                   91'第91分钟，刘彬彬禁区外远射被防守队员挡出
94'王永珀挑传禁区，刘彬彬头球顶了一下，对方护球出底线                   91'第91分钟，刘彬彬禁区外远射被防守队员挡出
94'比赛结束，最终鲁能泰山队客场0-1负于长春亚泰队！                   91'第91分钟，刘彬彬禁区外远射被防守队员挡出
