8'射门!!!巴塞罗那球员哈维大禁区外右脚射门,被对方守门员横身扑出.                   8'第8分钟，哈维任意球直接射门被阿森霍没收
53'比利亚雷亚尔球员阿基诺拼抢犯规,对手获得控球权.                   50'第50分钟，加布里埃尔解围出底线，阿森霍出击铲倒桑切斯后质疑对方摔倒，后者动手被黄牌警告
53'梅西为巴塞罗那在对方半场,赢得一个任意球.                   50'第50分钟，加布里埃尔解围出底线，阿森霍出击铲倒桑切斯后质疑对方摔倒，后者动手被黄牌警告
54'射门!!!巴塞罗那球员梅西大禁区外左脚射门,被对方守门员横身扑出.                   54'第54分钟，梅西25码处任意球直接射门被阿森霍飞身摘下
55'进球啦！！！比利亚雷亚尔球员特里格罗斯大禁区中央头球,球从左下角飞进球门,球进了!助攻的是阿基诺. 比利亚雷亚尔 2-0 巴塞罗那.                   54'第54分钟，梅西25码处任意球直接射门被阿森霍飞身摘下
56'比利亚雷亚尔球员马里奥拼抢犯规,对手获得控球权.                   54'第54分钟，梅西25码处任意球直接射门被阿森霍飞身摘下
56'梅西为巴塞罗那在对方半场,赢得一个任意球.                   54'第54分钟，梅西25码处任意球直接射门被阿森霍飞身摘下
56'黄牌！比利亚雷亚尔球员马里奥因为恶意犯规,被主裁判出示黄牌.                   54'第54分钟，梅西25码处任意球直接射门被阿森霍飞身摘下
57'射门!!!巴塞罗那球员梅西大禁区外左脚射门,被对方守门员横身扑出.                   54'第54分钟，梅西25码处任意球直接射门被阿森霍飞身摘下
57'特里格罗斯将球处理出底线,巴塞罗那获得角球.                   54'第54分钟，梅西25码处任意球直接射门被阿森霍飞身摘下
57'射门!!!巴塞罗那球员梅西大禁区外左脚射门,被对方守门员横身扑出.                   57'第57分钟，梅西30码处任意球直接射门仍被阿森霍扑出
57'特里格罗斯将球处理出底线,巴塞罗那获得角球.                   57'第57分钟，梅西30码处任意球直接射门仍被阿森霍扑出
58'巴塞罗那球员布斯克茨一脚直塞球给巴尔特拉,但是边裁举旗显示后者已经越位.                   57'第57分钟，梅西30码处任意球直接射门仍被阿森霍扑出
59'马里奥将球处理出底线,巴塞罗那获得角球.                   57'第57分钟，梅西30码处任意球直接射门仍被阿森霍扑出
65'巴塞罗那球员阿尔维斯大禁区外右脚射门,被防守球员封堵.给他传球的是梅西.                   65'巴萨第65分钟扳回一城，阿尔维斯禁区右侧传中伊涅斯塔，加布里埃尔小禁区边缘脚后跟自摆乌龙
65'巴塞罗那球员佩德罗大禁区中央左脚射门,被防守球员封堵.                   65'巴萨第65分钟扳回一城，阿尔维斯禁区右侧传中伊涅斯塔，加布里埃尔小禁区边缘脚后跟自摆乌龙
65'比利亚雷亚尔球员保利斯塔自摆乌龙,比利亚雷亚尔 2-1 巴塞罗那                   65'巴萨第65分钟扳回一城，阿尔维斯禁区右侧传中伊涅斯塔，加布里埃尔小禁区边缘脚后跟自摆乌龙
66'多斯桑托斯为比利亚雷亚尔在左路,赢得一个任意球.                   65'巴萨第65分钟扳回一城，阿尔维斯禁区右侧传中伊涅斯塔，加布里埃尔小禁区边缘脚后跟自摆乌龙
66'巴塞罗那球员佩德罗拼抢犯规,对手获得控球权.                   65'巴萨第65分钟扳回一城，阿尔维斯禁区右侧传中伊涅斯塔，加布里埃尔小禁区边缘脚后跟自摆乌龙
68'巴塞罗那球员法布雷加斯手球犯规,对手获得球权.                   65'巴萨第65分钟扳回一城，阿尔维斯禁区右侧传中伊涅斯塔，加布里埃尔小禁区边缘脚后跟自摆乌龙
81'射门!!!巴塞罗那球员梅西大禁区外左脚射门,被对方守门员横身扑出.                   81'第81分钟，梅西25码处任意球直接射门再被阿森霍扑出
81'阿森霍将球处理出底线,巴塞罗那获得角球.                   81'第81分钟，梅西25码处任意球直接射门再被阿森霍扑出
82'比利亚雷亚尔换人,乌切换下多斯桑托斯                   81'第81分钟，梅西25码处任意球直接射门再被阿森霍扑出
83'进球啦！！！巴塞罗那球员梅西大禁区中央右脚射门,球从左下角飞进球门,球进了!助攻的是法布雷加斯. 比利亚雷亚尔 2-3 巴塞罗那.                   81'第81分钟，梅西25码处任意球直接射门再被阿森霍扑出
84'阿基诺为比利亚雷亚尔在对方半场,赢得一个任意球.                   81'第81分钟，梅西25码处任意球直接射门再被阿森霍扑出
84'巴塞罗那球员布斯克茨拼抢犯规,对手获得控球权.                   81'第81分钟，梅西25码处任意球直接射门再被阿森霍扑出
