3'可惜传大了，滑门而过，C罗到边路，奋力将球拿到                   3'开场仅3分钟，特雷莫利纳斯左路传中打中横梁弹回
60'皇马右侧角球开出，贝尔头球，击中横梁下檐弹地，再被拉米解围！！                   58'第58分钟，摩德里奇突入禁区左侧在雷耶斯防守下摔倒，但C-罗纳尔多主罚点球擦横梁高出
61'塞维利亚的命硬啊！！                   58'第58分钟，摩德里奇突入禁区左侧在雷耶斯防守下摔倒，但C-罗纳尔多主罚点球擦横梁高出
61'1-1！！                   58'第58分钟，摩德里奇突入禁区左侧在雷耶斯防守下摔倒，但C-罗纳尔多主罚点球擦横梁高出
61'不好意思，无效，越位在先！！                   58'第58分钟，摩德里奇突入禁区左侧在雷耶斯防守下摔倒，但C-罗纳尔多主罚点球擦横梁高出
60'皇马前场进攻，克罗斯禁区弧顶的抽射，打飞！！                   60'第60分钟，贝尔角球混战中8码处头球攻门击中横梁弹回
60'裁判认为球碰到了塞维利亚球员，给了皇马角球！！                   60'第60分钟，贝尔角球混战中8码处头球攻门击中横梁弹回
60'横梁！！                   60'第60分钟，贝尔角球混战中8码处头球攻门击中横梁弹回
60'皇马右侧角球开出，贝尔头球，击中横梁下檐弹地，再被拉米解围！！                   60'第60分钟，贝尔角球混战中8码处头球攻门击中横梁弹回
61'塞维利亚的命硬啊！！                   60'第60分钟，贝尔角球混战中8码处头球攻门击中横梁弹回
61'1-1！！                   60'第60分钟，贝尔角球混战中8码处头球攻门击中横梁弹回
61'不好意思，无效，越位在先！！                   60'第60分钟，贝尔角球混战中8码处头球攻门击中横梁弹回
62'比分还是1-0！！                   60'第60分钟，贝尔角球混战中8码处头球攻门击中横梁弹回
62'塞维利亚的反击，雷耶斯边路拿球，挑传打身后，加梅罗插上抽射，打进，可惜被吹越位在先，无效！！                   60'第60分钟，贝尔角球混战中8码处头球攻门击中横梁弹回
62'慢镜头回放显示，这个球也是毫厘之间啊！！                   60'第60分钟，贝尔角球混战中8码处头球攻门击中横梁弹回
63'科雷霍维亚克对于吹罚很不满，抗议被赏了黄牌！！                   60'第60分钟，贝尔角球混战中8码处头球攻门击中横梁弹回
63'皇马前场再攻，本泽马拿球强突，被放倒在地                   60'第60分钟，贝尔角球混战中8码处头球攻门击中横梁弹回
63'皇马获得前场中路的任意球机会！！                   60'第60分钟，贝尔角球混战中8码处头球攻门击中横梁弹回
64'C罗的任意球直接打门，打在人墙上弹出！！                   64'皇马第64分钟扩大比分，摩德里奇直传，达尼洛右路传中，无人防守的C-罗纳尔多小禁区边缘扫射破门，2-0
64'2-0！！                   64'皇马第64分钟扩大比分，摩德里奇直传，达尼洛右路传中，无人防守的C-罗纳尔多小禁区边缘扫射破门，2-0
64'C罗的倒地卧射！！                   64'皇马第64分钟扩大比分，摩德里奇直传，达尼洛右路传中，无人防守的C-罗纳尔多小禁区边缘扫射破门，2-0
64'本赛季C罗个人第28个进球！！                   64'皇马第64分钟扩大比分，摩德里奇直传，达尼洛右路传中，无人防守的C-罗纳尔多小禁区边缘扫射破门，2-0
65'莫德里奇前场中路拿球，斜传右路给到达尼洛，达尼洛低平球到门前，C罗跟进右脚扫射打进！！                   64'皇马第64分钟扩大比分，摩德里奇直传，达尼洛右路传中，无人防守的C-罗纳尔多小禁区边缘扫射破门，2-0
65'全场比赛65分钟，比分2-0！！！本泽马和C罗进球！！                   64'皇马第64分钟扩大比分，摩德里奇直传，达尼洛右路传中，无人防守的C-罗纳尔多小禁区边缘扫射破门，2-0
66'3-0！！                   64'皇马第64分钟扩大比分，摩德里奇直传，达尼洛右路传中，无人防守的C-罗纳尔多小禁区边缘扫射破门，2-0
66'贝尔的进球！！                   64'皇马第64分钟扩大比分，摩德里奇直传，达尼洛右路传中，无人防守的C-罗纳尔多小禁区边缘扫射破门，2-0
67'C罗前场右路拿球，内切横传找贝尔，传在了贝尔身后，本泽马拿球，面对出击的里科，挑球到门前，贝尔插上推射打进！！                   64'皇马第64分钟扩大比分，摩德里奇直传，达尼洛右路传中，无人防守的C-罗纳尔多小禁区边缘扫射破门，2-0
66'3-0！！                   66'第66分钟，C-罗纳尔多传球，贝尔漏过，稍有越位嫌疑的本泽马挑射空门力量稍轻，贝尔小禁区右侧打入空门，3-0
66'贝尔的进球！！                   66'第66分钟，C-罗纳尔多传球，贝尔漏过，稍有越位嫌疑的本泽马挑射空门力量稍轻，贝尔小禁区右侧打入空门，3-0
67'C罗前场右路拿球，内切横传找贝尔，传在了贝尔身后，本泽马拿球，面对出击的里科，挑球到门前，贝尔插上推射打进！！                   66'第66分钟，C-罗纳尔多传球，贝尔漏过，稍有越位嫌疑的本泽马挑射空门力量稍轻，贝尔小禁区右侧打入空门，3-0
68'BBC组合，各入一球，皇马主场3-0领先！！                   66'第66分钟，C-罗纳尔多传球，贝尔漏过，稍有越位嫌疑的本泽马挑射空门力量稍轻，贝尔小禁区右侧打入空门，3-0
68'科雷霍维亚克中场背身拿球，卡塞米罗上抢推人犯规                   66'第66分钟，C-罗纳尔多传球，贝尔漏过，稍有越位嫌疑的本泽马挑射空门力量稍轻，贝尔小禁区右侧打入空门，3-0
69'皇马换人：20号赫塞上，换下11号贝尔                   66'第66分钟，C-罗纳尔多传球，贝尔漏过，稍有越位嫌疑的本泽马挑射空门力量稍轻，贝尔小禁区右侧打入空门，3-0
69'贝尔下场，现场球迷也是起立送上掌声！！                   66'第66分钟，C-罗纳尔多传球，贝尔漏过，稍有越位嫌疑的本泽马挑射空门力量稍轻，贝尔小禁区右侧打入空门，3-0
86'穆诺兹跟进想补，被纳瓦斯第二反应起来，将球压在身下！！                   86'第86分钟，赫塞切入禁区左侧传球J罗，皮球被挡后偏转正好落在赫塞脚下，他10码处推射破门，4-0
86'4-0！！                   86'第86分钟，赫塞切入禁区左侧传球J罗，皮球被挡后偏转正好落在赫塞脚下，他10码处推射破门，4-0
86'赫塞的进球！！                   86'第86分钟，赫塞切入禁区左侧传球J罗，皮球被挡后偏转正好落在赫塞脚下，他10码处推射破门，4-0
87'赫塞左路拿球，内切后横传给J罗，J罗没能停好，但被后卫出脚一捅，球到了赫塞脚下，面对里科，推射破门！！                   86'第86分钟，赫塞切入禁区左侧传球J罗，皮球被挡后偏转正好落在赫塞脚下，他10码处推射破门，4-0
87'科克右路拿球，强突被赫塞将球破坏出边线                   86'第86分钟，赫塞切入禁区左侧传球J罗，皮球被挡后偏转正好落在赫塞脚下，他10码处推射破门，4-0
88'比赛已经进入尾声，比分4-0！！                   86'第86分钟，赫塞切入禁区左侧传球J罗，皮球被挡后偏转正好落在赫塞脚下，他10码处推射破门，4-0
89'赫塞左路拿球，内切传中到后点                   86'第86分钟，赫塞切入禁区左侧传球J罗，皮球被挡后偏转正好落在赫塞脚下，他10码处推射破门，4-0
89'拉米抢在C罗之前，头球解围！！                   86'第86分钟，赫塞切入禁区左侧传球J罗，皮球被挡后偏转正好落在赫塞脚下，他10码处推射破门，4-0
89'特雷莫利纳斯左路拿球，强突传中到前点                   86'第86分钟，赫塞切入禁区左侧传球J罗，皮球被挡后偏转正好落在赫塞脚下，他10码处推射破门，4-0
