1'上半场比赛开始！！！                   1'双方第1分钟打出快节奏，但在进攻中都缺乏真正威胁
58'阿森纳下半场目前为止的控球率已经达到了78%                   58'阿森纳第58分钟扩大比分，扎卡左路下底回传，拉卡泽特12码处射门被封堵，厄齐尔禁区边缘内劲射被杜布拉夫卡扑挡后入网，2-0
58'蒙雷亚尔左路拿球，直塞给到扎卡                   58'阿森纳第58分钟扩大比分，扎卡左路下底回传，拉卡泽特12码处射门被封堵，厄齐尔禁区边缘内劲射被杜布拉夫卡扑挡后入网，2-0
58'扎卡下底横传到禁区中路                   58'阿森纳第58分钟扩大比分，扎卡左路下底回传，拉卡泽特12码处射门被封堵，厄齐尔禁区边缘内劲射被杜布拉夫卡扑挡后入网，2-0
58'拉卡泽特停球，抽射被挡出                   58'阿森纳第58分钟扩大比分，扎卡左路下底回传，拉卡泽特12码处射门被封堵，厄齐尔禁区边缘内劲射被杜布拉夫卡扑挡后入网，2-0
58'2-0！！                   58'阿森纳第58分钟扩大比分，扎卡左路下底回传，拉卡泽特12码处射门被封堵，厄齐尔禁区边缘内劲射被杜布拉夫卡扑挡后入网，2-0
58'厄齐尔的推射！！                   58'阿森纳第58分钟扩大比分，扎卡左路下底回传，拉卡泽特12码处射门被封堵，厄齐尔禁区边缘内劲射被杜布拉夫卡扑挡后入网，2-0
59'扎卡左路横传球到禁区中路，拉卡泽特停球右脚抽射被挡出，球到厄齐尔脚下，左脚推射穿裆进网！                   58'阿森纳第58分钟扩大比分，扎卡左路下底回传，拉卡泽特12码处射门被封堵，厄齐尔禁区边缘内劲射被杜布拉夫卡扑挡后入网，2-0
60'阿森纳本赛季已经打进10球，10球来自10名球员！！                   58'阿森纳第58分钟扩大比分，扎卡左路下底回传，拉卡泽特12码处射门被封堵，厄齐尔禁区边缘内劲射被杜布拉夫卡扑挡后入网，2-0
60'阿森纳前场再攻，拉卡泽特禁区弧顶拿球                   58'阿森纳第58分钟扩大比分，扎卡左路下底回传，拉卡泽特12码处射门被封堵，厄齐尔禁区边缘内劲射被杜布拉夫卡扑挡后入网，2-0
60'急停转身，横传左侧给到跟进的奥巴梅杨                   58'阿森纳第58分钟扩大比分，扎卡左路下底回传，拉卡泽特12码处射门被封堵，厄齐尔禁区边缘内劲射被杜布拉夫卡扑挡后入网，2-0
60'奥巴梅杨带球到禁区，一脚推射，打偏！！！                   58'阿森纳第58分钟扩大比分，扎卡左路下底回传，拉卡泽特12码处射门被封堵，厄齐尔禁区边缘内劲射被杜布拉夫卡扑挡后入网，2-0
60'这球机会很好，可惜了！！                   58'阿森纳第58分钟扩大比分，扎卡左路下底回传，拉卡泽特12码处射门被封堵，厄齐尔禁区边缘内劲射被杜布拉夫卡扑挡后入网，2-0
91'再传中，打在了贝莱林身上出底线                   91'纽卡斯尔第91分钟扳回一城，费德里科右路传中远点，克拉克小禁区边缘头球破门，1-2
91'纽卡的左侧角球机会！                   91'纽卡斯尔第91分钟扳回一城，费德里科右路传中远点，克拉克小禁区边缘头球破门，1-2
91'角球开出到前点，被解围！！                   91'纽卡斯尔第91分钟扳回一城，费德里科右路传中远点，克拉克小禁区边缘头球破门，1-2
91'下半场比赛补时3分钟！                   91'纽卡斯尔第91分钟扳回一城，费德里科右路传中远点，克拉克小禁区边缘头球破门，1-2
91'纽卡扳回一球！！                   91'纽卡斯尔第91分钟扳回一城，费德里科右路传中远点，克拉克小禁区边缘头球破门，1-2
91'克拉克！！                   91'纽卡斯尔第91分钟扳回一城，费德里科右路传中远点，克拉克小禁区边缘头球破门，1-2
92'纽卡前场进攻，佩雷斯右路拿球，强突传中到后点，克拉克的头球轰门顶进左侧！                   91'纽卡斯尔第91分钟扳回一城，费德里科右路传中远点，克拉克小禁区边缘头球破门，1-2
93'落后1球，补时还有最后1分钟！！                   91'纽卡斯尔第91分钟扳回一城，费德里科右路传中远点，克拉克小禁区边缘头球破门，1-2
93'耶德林后场拿球，维尔贝克的上抢犯规                   91'纽卡斯尔第91分钟扳回一城，费德里科右路传中远点，克拉克小禁区边缘头球破门，1-2
93'杜布拉夫卡后场球，大脚开出到前场左路                   91'纽卡斯尔第91分钟扳回一城，费德里科右路传中远点，克拉克小禁区边缘头球破门，1-2
93'贝莱林控制，大脚踢向前场                   91'纽卡斯尔第91分钟扳回一城，费德里科右路传中远点，克拉克小禁区边缘头球破门，1-2
93'厄齐尔前场右路拿球，转身内切                   91'纽卡斯尔第91分钟扳回一城，费德里科右路传中远点，克拉克小禁区边缘头球破门，1-2
94'横传找拉卡泽特，可惜被挡了回来                   91'纽卡斯尔第91分钟扳回一城，费德里科右路传中远点，克拉克小禁区边缘头球破门，1-2
94'厄齐尔拿球，再给姆希塔扬                   91'纽卡斯尔第91分钟扳回一城，费德里科右路传中远点，克拉克小禁区边缘头球破门，1-2
94'右路强突，肯尼迪的回防犯规！！                   91'纽卡斯尔第91分钟扳回一城，费德里科右路传中远点，克拉克小禁区边缘头球破门，1-2
94'阿森纳前场右路的任意球机会！！                   91'纽卡斯尔第91分钟扳回一城，费德里科右路传中远点，克拉克小禁区边缘头球破门，1-2
94'姆希塔扬任意球回传给到贝莱林                   91'纽卡斯尔第91分钟扳回一城，费德里科右路传中远点，克拉克小禁区边缘头球破门，1-2
