1'首先开球的是尤文图斯                   1'第1分钟，阿尔瓦雷斯左脚凌空射门被内托封出近角
77'基耶利尼！！                   77'第77分钟，尤文右侧角球被布里尼奥利击出，基耶利尼禁区前沿左脚凌空劲射挂左下角，4比0
78'尤文角球开出，布里格诺利出击没有打远，禁区外围，基耶利尼爆射一脚将球打进！！                   77'第77分钟，尤文右侧角球被布里尼奥利击出，基耶利尼禁区前沿左脚凌空劲射挂左下角，4比0
78'尤文左路传球送禁区                   77'第77分钟，尤文右侧角球被布里尼奥利击出，基耶利尼禁区前沿左脚凌空劲射挂左下角，4比0
79'这球双方球员都没有碰到                   77'第77分钟，尤文右侧角球被布里尼奥利击出，基耶利尼禁区前沿左脚凌空劲射挂左下角，4比0
80'尤文左路传球送禁区                   77'第77分钟，尤文右侧角球被布里尼奥利击出，基耶利尼禁区前沿左脚凌空劲射挂左下角，4比0
80'莫拉塔险些用后背将球打进去                   77'第77分钟，尤文右侧角球被布里尼奥利击出，基耶利尼禁区前沿左脚凌空劲射挂左下角，4比0
80'这球边路接球时候已经是先越位了                   77'第77分钟，尤文右侧角球被布里尼奥利击出，基耶利尼禁区前沿左脚凌空劲射挂左下角，4比0
84'球也是险些直接打进球门                   84'第84分钟，尤文左侧开出角球，莫拉塔中路争顶，博努奇在门前3米处垫射入网，5比0
85'5-0！！                   84'第84分钟，尤文左侧开出角球，莫拉塔中路争顶，博努奇在门前3米处垫射入网，5比0
85'博努奇！！                   84'第84分钟，尤文左侧开出角球，莫拉塔中路争顶，博努奇在门前3米处垫射入网，5比0
85'尤文角球送中路，莫拉塔头球点下来，博努奇跟进捅射破门！！                   84'第84分钟，尤文左侧开出角球，莫拉塔中路争顶，博努奇在门前3米处垫射入网，5比0
87'桑普多利亚换人，夸利亚雷亚下，庞塞上                   84'第84分钟，尤文左侧开出角球，莫拉塔中路争顶，博努奇在门前3米处垫射入网，5比0
