2'邱盛炯后场大脚，恩里克斜传左路                   2'第2分钟，恩里克禁区前沿人球分过利马，在禁区线上一脚爆射被杨启鹏双手挡出
65'2-2！                   62'第62分钟，曹S定左路拉开空档传中，皮球准确找到后点的卢卡斯，但他近距离的鱼跃冲顶再次被杨启鹏双手拍出
70'泰达反击                   70'第70分钟，泰达队得到三打一的反击机会，巴雷带球中被刘嘉伟从身后铲倒，刘嘉伟吃到黄牌
70'刘嘉伟绊倒了全速前进的巴雷                   70'第70分钟，泰达队得到三打一的反击机会，巴雷带球中被刘嘉伟从身后铲倒，刘嘉伟吃到黄牌
70'裁判黄牌警告了刘嘉伟                   70'第70分钟，泰达队得到三打一的反击机会，巴雷带球中被刘嘉伟从身后铲倒，刘嘉伟吃到黄牌
71'泰达禁区前的任意球机会                   70'第70分钟，泰达队得到三打一的反击机会，巴雷带球中被刘嘉伟从身后铲倒，刘嘉伟吃到黄牌
71'王新欣任意球中人墙弹出                   70'第70分钟，泰达队得到三打一的反击机会，巴雷带球中被刘嘉伟从身后铲倒，刘嘉伟吃到黄牌
72'曹赟定后场防守，争顶倒地了                   70'第70分钟，泰达队得到三打一的反击机会，巴雷带球中被刘嘉伟从身后铲倒，刘嘉伟吃到黄牌
73'杜震宇搓传远点，被头球解围                   70'第70分钟，泰达队得到三打一的反击机会，巴雷带球中被刘嘉伟从身后铲倒，刘嘉伟吃到黄牌
73'曹秉局补防右路，把球解围出边线                   70'第70分钟，泰达队得到三打一的反击机会，巴雷带球中被刘嘉伟从身后铲倒，刘嘉伟吃到黄牌
77'泰达换人，巴雷被瓦伦西亚换下                   77'第77分钟，曹S定左路内切禁区后倒地，但主裁判示意没有犯规
77'莫雷诺分左路，曹赟定内切，被卡位                   77'第77分钟，曹S定左路内切禁区后倒地，但主裁判示意没有犯规
78'曹赟定左路再接应，越位在先                   77'第77分钟，曹S定左路内切禁区后倒地，但主裁判示意没有犯规
79'瓦伦西亚中路拿球，横敲被解围出边线                   77'第77分钟，曹S定左路内切禁区后倒地，但主裁判示意没有犯规
80'泰达右侧角球去前点，被解围                   77'第77分钟，曹S定左路内切禁区后倒地，但主裁判示意没有犯规
80'恩里克接应曹赟定分球，越位                   77'第77分钟，曹S定左路内切禁区后倒地，但主裁判示意没有犯规
84'莫雷诺防守中绊倒了胡人天                   84'第84分钟，莫雷诺放倒胡人天吃到黄牌
85'裁判黄牌警告了莫雷诺                   84'第84分钟，莫雷诺放倒胡人天吃到黄牌
85'泰达进球了！！！                   84'第84分钟，莫雷诺放倒胡人天吃到黄牌
86'安德烈齐尼奥！！！                   84'第84分钟，莫雷诺放倒胡人天吃到黄牌
86'梅开二度！！！                   84'第84分钟，莫雷诺放倒胡人天吃到黄牌
86'杜震宇禁区前直塞，安德烈齐尼奥领球进禁区，单刀推射破门！                   84'第84分钟，莫雷诺放倒胡人天吃到黄牌
86'绿地申花2-3落后泰达！                   84'第84分钟，莫雷诺放倒胡人天吃到黄牌
87'范凌江左路斜传被顶出                   84'第84分钟，莫雷诺放倒胡人天吃到黄牌
87'外围莫雷诺远射打偏                   84'第84分钟，莫雷诺放倒胡人天吃到黄牌
88'战怡麟右路内切，低传被解围                   88'第88分钟，胡人天反击被范凌江放倒，烈鸟得球后杀入禁区将球挑过邱盛炯送入网窝
89'泰达又进球了！！！                   88'第88分钟，胡人天反击被范凌江放倒，烈鸟得球后杀入禁区将球挑过邱盛炯送入网窝
89'安德烈齐尼奥！帽子戏法！                   88'第88分钟，胡人天反击被范凌江放倒，烈鸟得球后杀入禁区将球挑过邱盛炯送入网窝
89'胡人天突破到禁区前，安德烈齐尼奥扯动过来接应，进禁区挑射破门！                   88'第88分钟，胡人天反击被范凌江放倒，烈鸟得球后杀入禁区将球挑过邱盛炯送入网窝
89'绿地申花2-4落后泰达！                   88'第88分钟，胡人天反击被范凌江放倒，烈鸟得球后杀入禁区将球挑过邱盛炯送入网窝
89'败局已定了                   88'第88分钟，胡人天反击被范凌江放倒，烈鸟得球后杀入禁区将球挑过邱盛炯送入网窝
90'莫雷诺斜传右路，曹阳把球拦下                   88'第88分钟，胡人天反击被范凌江放倒，烈鸟得球后杀入禁区将球挑过邱盛炯送入网窝
90'下半场补时3分钟！                   88'第88分钟，胡人天反击被范凌江放倒，烈鸟得球后杀入禁区将球挑过邱盛炯送入网窝
91'泰达叕进球了！                   88'第88分钟，胡人天反击被范凌江放倒，烈鸟得球后杀入禁区将球挑过邱盛炯送入网窝
91'瓦伦西亚！                   88'第88分钟，胡人天反击被范凌江放倒，烈鸟得球后杀入禁区将球挑过邱盛炯送入网窝
91'泰达叕进球了！                   91'绿地队似乎已经崩盘，第91分钟，杜震宇长传反击，瓦伦西亚甩开曹秉局单刀将球打入
91'瓦伦西亚！                   91'绿地队似乎已经崩盘，第91分钟，杜震宇长传反击，瓦伦西亚甩开曹秉局单刀将球打入
92'长传反击，瓦伦西亚单刀进禁区，抽射近角破门！                   91'绿地队似乎已经崩盘，第91分钟，杜震宇长传反击，瓦伦西亚甩开曹秉局单刀将球打入
92'2-5                   91'绿地队似乎已经崩盘，第91分钟，杜震宇长传反击，瓦伦西亚甩开曹秉局单刀将球打入
92'战怡麟进禁区，小角度射门打偏                   91'绿地队似乎已经崩盘，第91分钟，杜震宇长传反击，瓦伦西亚甩开曹秉局单刀将球打入
92'曹赟定左路起球，被门将没收                   91'绿地队似乎已经崩盘，第91分钟，杜震宇长传反击，瓦伦西亚甩开曹秉局单刀将球打入
93'莫雷诺中场铲截犯规了                   91'绿地队似乎已经崩盘，第91分钟，杜震宇长传反击，瓦伦西亚甩开曹秉局单刀将球打入
93'全场比赛结束！                   91'绿地队似乎已经崩盘，第91分钟，杜震宇长传反击，瓦伦西亚甩开曹秉局单刀将球打入
50'恩里克接应直塞进禁区，被关门了                   50'泰达队在最后5分钟的爆发令自己全取三分
50'莫雷诺中场长传，恩里克越位在先                   50'泰达队在最后5分钟的爆发令自己全取三分
51'泰达斜传左路，刘嘉伟上抢                   50'泰达队在最后5分钟的爆发令自己全取三分
51'刘嘉伟右路助攻，还是越位在先                   50'泰达队在最后5分钟的爆发令自己全取三分
52'曹赟定前场反抢，但是自己带球丢了                   50'泰达队在最后5分钟的爆发令自己全取三分
53'莫雷诺中场被断球                   50'泰达队在最后5分钟的爆发令自己全取三分
53'刘嘉伟右路铲球把泰达的转移球破坏                   50'泰达队在最后5分钟的爆发令自己全取三分
53'莫雷诺右路给身后，杨启鹏出击解围                   50'泰达队在最后5分钟的爆发令自己全取三分
