1'上半场比赛开始                   1'开场1分钟，孙世林右路界外球掷入禁区，莫雷诺头球顶偏
7'蔡慧康交给武磊，分给王燊超，下底传中                   6'第6分钟王燊超左路下底传中，埃尔克森抢在陶金之前捅射被李帅扑住
7'埃尔克森抢点垫射，力量没有打上，李帅将球没收                   6'第6分钟王燊超左路下底传中，埃尔克森抢在陶金之前捅射被李帅扑住
8'王燊超后场长传，接应的张华晨又倒地                   6'第6分钟王燊超左路下底传中，埃尔克森抢在陶金之前捅射被李帅扑住
8'再度受伤                   6'第6分钟王燊超左路下底传中，埃尔克森抢在陶金之前捅射被李帅扑住
8'工作人员用担架将张华晨担下场                   6'第6分钟王燊超左路下底传中，埃尔克森抢在陶金之前捅射被李帅扑住
9'上海上港换人，15号林创益换下了受伤的17号张华晨                   6'第6分钟王燊超左路下底传中，埃尔克森抢在陶金之前捅射被李帅扑住
9'这是今年中超U23最早被换下的新纪录                   6'第6分钟王燊超左路下底传中，埃尔克森抢在陶金之前捅射被李帅扑住
9'绿地申花中场短传，林创益直传，给得不好                   6'第6分钟王燊超左路下底传中，埃尔克森抢在陶金之前捅射被李帅扑住
11'胡尔克发任意球，李帅双拳打出禁区                   11'第11分钟林创益对曹赟定犯规，瓜林左路任意球斜射高出
11'曹赟定的左路推进，蔡慧康与傅欢夹防将球破坏出边线                   11'第11分钟林创益对曹赟定犯规，瓜林左路任意球斜射高出
12'又是曹赟定的内切突破，先过了奥斯卡，再变向过人                   11'第11分钟林创益对曹赟定犯规，瓜林左路任意球斜射高出
12'被林创益绊倒                   11'第11分钟林创益对曹赟定犯规，瓜林左路任意球斜射高出
12'绿地申花前场左路的任意球机会                   11'第11分钟林创益对曹赟定犯规，瓜林左路任意球斜射高出
12'瓜林任意球直接打门，打偏了                   11'第11分钟林创益对曹赟定犯规，瓜林左路任意球斜射高出
14'绿地申花来到右路得到任意球                   11'第11分钟林创益对曹赟定犯规，瓜林左路任意球斜射高出
14'瓜林传中打在武磊身上                   11'第11分钟林创益对曹赟定犯规，瓜林左路任意球斜射高出
14'绿地申花中场拿到第二点                   11'第11分钟林创益对曹赟定犯规，瓜林左路任意球斜射高出
14'莫雷诺左路拿球，强行突破被拦截                   11'第11分钟林创益对曹赟定犯规，瓜林左路任意球斜射高出
14'球最后碰莫雷诺脚出边线                   11'第11分钟林创益对曹赟定犯规，瓜林左路任意球斜射高出
20'回复：不太的阿监 15:43 举报回复 瓜林出场能显著提升申花中场的效率；上港不上艾哈迈多夫的话，是讨不到什么便宜的……（问题是三个巴西人拿下谁？）                   20'第20分钟申花用毛剑卿换下徐骏敏
20'瓜林控球交给李建滨                   20'第20分钟申花用毛剑卿换下徐骏敏
20'不断传到右侧，被断了                   20'第20分钟申花用毛剑卿换下徐骏敏
20'奥斯卡控球，胡尔克过渡时期一下                   20'第20分钟申花用毛剑卿换下徐骏敏
20'回传给贺惯，再转移给石柯                   20'第20分钟申花用毛剑卿换下徐骏敏
21'埃尔克森接应蔡慧康                   20'第20分钟申花用毛剑卿换下徐骏敏
21'瓜林上抢成功交给曹赟定                   20'第20分钟申花用毛剑卿换下徐骏敏
21'莫雷诺中路挑传，贺惯头球回顶给颜骏凌                   20'第20分钟申花用毛剑卿换下徐骏敏
21'颜骏凌长传上来，李建滨头球解围出边线                   20'第20分钟申花用毛剑卿换下徐骏敏
22'上海绿地申花换人，7号毛剑卿换下了29号徐骏敏                   20'第20分钟申花用毛剑卿换下徐骏敏
23'贺惯交给石柯，再人蔡慧康回x回wfny                   20'第20分钟申花用毛剑卿换下徐骏敏
23'奥斯卡拿球交给埃 尔克森，孙世林铲球拦截                   20'第20分钟申花用毛剑卿换下徐骏敏
23'奥斯卡接应回传给贺惯                   20'第20分钟申花用毛剑卿换下徐骏敏
29'马丁斯接应往左侧转移，傅欢头球回点给颜骏凌                   29'第29分钟奥斯卡禁区外远射被李帅倒地扑住
29'奥斯卡中路拿球，分右路                   29'第29分钟奥斯卡禁区外远射被李帅倒地扑住
29'给大了，傅欢没有追上球                   29'第29分钟奥斯卡禁区外远射被李帅倒地扑住
30'李建滨长传上来，球被王燊超顶一下                   29'第29分钟奥斯卡禁区外远射被李帅倒地扑住
30'奥斯卡外围打一脚，没有打上力量，李帅将球抱住                   29'第29分钟奥斯卡禁区外远射被李帅倒地扑住
30'球在中途被孙世林的脚挡了一下                   29'第29分钟奥斯卡禁区外远射被李帅倒地扑住
31'陶金控球，分给右路的瓜林                   29'第29分钟奥斯卡禁区外远射被李帅倒地扑住
31'转移到左路的王林                   29'第29分钟奥斯卡禁区外远射被李帅倒地扑住
31'下底传中，被贺惯头球解围                   29'第29分钟奥斯卡禁区外远射被李帅倒地扑住
31'孙世林控球，直传，莫雷诺接应再交给曹赟定                   29'第29分钟奥斯卡禁区外远射被李帅倒地扑住
32'再送直传，莫雷诺下底传中，球速比较慢，颜骏凌将球摘下                   29'第29分钟奥斯卡禁区外远射被李帅倒地扑住
32'武磊右路得球，进了禁区，晃动后走底线小角度打门被李帅封出                   29'第29分钟奥斯卡禁区外远射被李帅倒地扑住
35'上港后场控球                   34'第34分钟申花打出快速反击，皮球连续传递后，毛剑卿斜射太轻
35'武磊交给奥斯卡，短传被破坏                   34'第34分钟申花打出快速反击，皮球连续传递后，毛剑卿斜射太轻
35'孙世林直传，马丁斯接应再直传                   34'第34分钟申花打出快速反击，皮球连续传递后，毛剑卿斜射太轻
35'毛剑卿斜插过来小角度打门了，没有打上力量                   34'第34分钟申花打出快速反击，皮球连续传递后，毛剑卿斜射太轻
35'颜骏凌将球拿到                   34'第34分钟申花打出快速反击，皮球连续传递后，毛剑卿斜射太轻
37'王燊超左路斜传禁区，李建滨头球解围顶到自己身后，武磊禁区右侧右脚凌空抽射球门左下角，球进了！                   34'第34分钟申花打出快速反击，皮球连续传递后，毛剑卿斜射太轻
37'李建滨的失误导致绿地申花落后                   34'第34分钟申花打出快速反击，皮球连续传递后，毛剑卿斜射太轻
37'绿地申花获得一个左侧的角球机会                   34'第34分钟申花打出快速反击，皮球连续传递后，毛剑卿斜射太轻
37'王燊超左路斜传禁区，李建滨头球解围顶到自己身后，武磊禁区右侧右脚凌空抽射球门左下角，球进了！                   37'第37分钟瓜林左路罚角球连续采用直接射门的激进方式，但都没有收效
37'李建滨的失误导致绿地申花落后                   37'第37分钟瓜林左路罚角球连续采用直接射门的激进方式，但都没有收效
37'绿地申花获得一个左侧的角球机会                   37'第37分钟瓜林左路罚角球连续采用直接射门的激进方式，但都没有收效
38'瓜林发角球，太靠近门里了，蔡慧康将球踢出底线                   37'第37分钟瓜林左路罚角球连续采用直接射门的激进方式，但都没有收效
38'瓜林发角球，球是直接出底线                   37'第37分钟瓜林左路罚角球连续采用直接射门的激进方式，但都没有收效
39'傅欢产胡尔克，绕出来                   37'第37分钟瓜林左路罚角球连续采用直接射门的激进方式，但都没有收效
39'奥斯卡直传，胡尔克倒三角传中                   37'第37分钟瓜林左路罚角球连续采用直接射门的激进方式，但都没有收效
40'埃尔克森打门被陶金拦截                   37'第37分钟瓜林左路罚角球连续采用直接射门的激进方式，但都没有收效
40'傅欢右路再传中，陶金的解围差点踢向自家大门                   37'第37分钟瓜林左路罚角球连续采用直接射门的激进方式，但都没有收效
40'上港右路的角球机会                   37'第37分钟瓜林左路罚角球连续采用直接射门的激进方式，但都没有收效
40'胡发短的，再往底线突，马丁斯将球铲出底线                   37'第37分钟瓜林左路罚角球连续采用直接射门的激进方式，但都没有收效
41'胡尔克发角球，武磊头球攻门蹭薄了                   41'第41分钟申花进球出现，李帅大脚开到前场，两下拼抢后，莫雷诺头球强行摆渡到禁区，马丁斯高速插上起左脚抽射得分，1比1
42'李帅控球                   41'第41分钟申花进球出现，李帅大脚开到前场，两下拼抢后，莫雷诺头球强行摆渡到禁区，马丁斯高速插上起左脚抽射得分，1比1
42'找人传，开大脚上来，莫雷诺胸部停球挑传                   41'第41分钟申花进球出现，李帅大脚开到前场，两下拼抢后，莫雷诺头球强行摆渡到禁区，马丁斯高速插上起左脚抽射得分，1比1
43'马丁斯插上形成单刀了左脚打门入网！                   41'第41分钟申花进球出现，李帅大脚开到前场，两下拼抢后，莫雷诺头球强行摆渡到禁区，马丁斯高速插上起左脚抽射得分，1比1
43'绿地申花扳平了比分                   41'第41分钟申花进球出现，李帅大脚开到前场，两下拼抢后，莫雷诺头球强行摆渡到禁区，马丁斯高速插上起左脚抽射得分，1比1
43'主裁判周罡手指中圈，进球有效                   41'第41分钟申花进球出现，李帅大脚开到前场，两下拼抢后，莫雷诺头球强行摆渡到禁区，马丁斯高速插上起左脚抽射得分，1比1
44'扳平比分对绿地申花还是非常重要                   41'第41分钟申花进球出现，李帅大脚开到前场，两下拼抢后，莫雷诺头球强行摆渡到禁区，马丁斯高速插上起左脚抽射得分，1比1
44'王燊超左路下底传中，球已经出底线                   41'第41分钟申花进球出现，李帅大脚开到前场，两下拼抢后，莫雷诺头球强行摆渡到禁区，马丁斯高速插上起左脚抽射得分，1比1
45'毛剑卿右路的直传，球被林创益破坏出边线                   45'第45分钟李运秋对武磊犯规吃到黄牌，胡尔克40米外超远距离任意球射门被李帅稳稳接住
45'马丁斯拿球交给孙世林，再传球被蔡慧康伸脚破坏                   45'第45分钟李运秋对武磊犯规吃到黄牌，胡尔克40米外超远距离任意球射门被李帅稳稳接住
46'莫雷诺左路拿球，内切直传，被石柯破坏                   45'第45分钟李运秋对武磊犯规吃到黄牌，胡尔克40米外超远距离任意球射门被李帅稳稳接住
46'上半场被时1分钟                   45'第45分钟李运秋对武磊犯规吃到黄牌，胡尔克40米外超远距离任意球射门被李帅稳稳接住
46'武磊的带球突破，李运秋绊人犯规                   45'第45分钟李运秋对武磊犯规吃到黄牌，胡尔克40米外超远距离任意球射门被李帅稳稳接住
46'李运秋吃到黄牌                   45'第45分钟李运秋对武磊犯规吃到黄牌，胡尔克40米外超远距离任意球射门被李帅稳稳接住
47'胡尔克是要直接远射吗？                   45'第45分钟李运秋对武磊犯规吃到黄牌，胡尔克40米外超远距离任意球射门被李帅稳稳接住
47'胡尔克直接远射，李帅将球抱住                   45'第45分钟李运秋对武磊犯规吃到黄牌，胡尔克40米外超远距离任意球射门被李帅稳稳接住
47'莫雷诺右路拿球，传中，毛剑卿抢点头球攻门，顶高了                   45'第45分钟李运秋对武磊犯规吃到黄牌，胡尔克40米外超远距离任意球射门被李帅稳稳接住
48'上半场比赛结束！                   45'第45分钟李运秋对武磊犯规吃到黄牌，胡尔克40米外超远距离任意球射门被李帅稳稳接住
46'下半场比赛开始了                   45'第45分钟李运秋对武磊犯规吃到黄牌，胡尔克40米外超远距离任意球射门被李帅稳稳接住
46'刚上来就是一次人仰马翻                   45'第45分钟李运秋对武磊犯规吃到黄牌，胡尔克40米外超远距离任意球射门被李帅稳稳接住
46'胡尔克背身拿球，孙世林扫倒了胡尔克                   45'第45分钟李运秋对武磊犯规吃到黄牌，胡尔克40米外超远距离任意球射门被李帅稳稳接住
46'但自己落地时也很痛                   45'第45分钟李运秋对武磊犯规吃到黄牌，胡尔克40米外超远距离任意球射门被李帅稳稳接住
46'上港右路的任意球机会                   45'第45分钟李运秋对武磊犯规吃到黄牌，胡尔克40米外超远距离任意球射门被李帅稳稳接住
47'奥斯卡斜吊禁区，给大了一点                   45'第45分钟李运秋对武磊犯规吃到黄牌，胡尔克40米外超远距离任意球射门被李帅稳稳接住
47'王燊超左路拿球，想穿裆过陶金没有成功                   45'第45分钟李运秋对武磊犯规吃到黄牌，胡尔克40米外超远距离任意球射门被李帅稳稳接住
47'陶金将球铲出边线                   45'第45分钟李运秋对武磊犯规吃到黄牌，胡尔克40米外超远距离任意球射门被李帅稳稳接住
47'曹赟定左路带球上来，传球失误                   45'第45分钟李运秋对武磊犯规吃到黄牌，胡尔克40米外超远距离任意球射门被李帅稳稳接住
48'埃尔克森来到右路，回做给武磊，绿地申花抢断                   45'第45分钟李运秋对武磊犯规吃到黄牌，胡尔克40米外超远距离任意球射门被李帅稳稳接住
48'马丁斯分给曹赟定                   45'第45分钟李运秋对武磊犯规吃到黄牌，胡尔克40米外超远距离任意球射门被李帅稳稳接住
48'进了禁区，球被贺惯破坏出底线                   45'第45分钟李运秋对武磊犯规吃到黄牌，胡尔克40米外超远距离任意球射门被李帅稳稳接住
51'李帅长传上来，王燊超将球顶出边线                   51'第51分钟奥斯卡和莫雷诺突然发生一些争执
52'莫雷诺的带球，奥斯卡将球解围出边线                   51'第51分钟奥斯卡和莫雷诺突然发生一些争执
52'双方发生了一些口角                   51'第51分钟奥斯卡和莫雷诺突然发生一些争执
52'不过总体上还是很克制的                   51'第51分钟奥斯卡和莫雷诺突然发生一些争执
53'傅欢掷界外球，胡尔克接应回传给林创益                   51'第51分钟奥斯卡和莫雷诺突然发生一些争执
53'长传左路的王燊超，传中球直接出底线                   51'第51分钟奥斯卡和莫雷诺突然发生一些争执
54'奥斯卡的盘带，毛剑卿踢人犯规                   51'第51分钟奥斯卡和莫雷诺突然发生一些争执
54'上港左路的任意球机会                   51'第51分钟奥斯卡和莫雷诺突然发生一些争执
57'奥斯卡是倒地不起                   57'第57分钟比赛重开，胡尔克禁区外任意球左脚弧线球偏出
58'胡尔克的任意球打门，打偏了                   57'第57分钟比赛重开，胡尔克禁区外任意球左脚弧线球偏出
59'李帅发出门球                   57'第57分钟比赛重开，胡尔克禁区外任意球左脚弧线球偏出
59'曹赟定左路得球传中，被贺惯捅一下                   57'第57分钟比赛重开，胡尔克禁区外任意球左脚弧线球偏出
59'马丁斯得球再下底传中，球被颜骏凌没收                   57'第57分钟比赛重开，胡尔克禁区外任意球左脚弧线球偏出
60'中场争夺，瓜林被林创益铲倒                   57'第57分钟比赛重开，胡尔克禁区外任意球左脚弧线球偏出
60'瓜林的传中，过不了贺惯的头                   57'第57分钟比赛重开，胡尔克禁区外任意球左脚弧线球偏出
61'毛剑卿右路拿球，护住球，回传给李建滨                   61'第61分钟两队在上港禁区周围发生冲突，主裁给了当事人石柯和毛剑卿各出一张黄牌
61'交给莫雷诺，分左路的曹赟定，传到禁区内                   61'第61分钟两队在上港禁区周围发生冲突，主裁给了当事人石柯和毛剑卿各出一张黄牌
61'莫雷诺卸下球来横传门前，石柯将球挡高出横梁                   61'第61分钟两队在上港禁区周围发生冲突，主裁给了当事人石柯和毛剑卿各出一张黄牌
61'绿地申花左路的角球机会                   61'第61分钟两队在上港禁区周围发生冲突，主裁给了当事人石柯和毛剑卿各出一张黄牌
62'曹赟定发后点，颜骏凌将球摘下                   61'第61分钟两队在上港禁区周围发生冲突，主裁给了当事人石柯和毛剑卿各出一张黄牌
62'长传上来，奥斯卡带球，裁判鸣哨                   61'第61分钟两队在上港禁区周围发生冲突，主裁给了当事人石柯和毛剑卿各出一张黄牌
63'双方争执不断                   61'第61分钟两队在上港禁区周围发生冲突，主裁给了当事人石柯和毛剑卿各出一张黄牌
63'上港的27号石柯、绿地申花的7号毛剑卿都吃到黄牌                   61'第61分钟两队在上港禁区周围发生冲突，主裁给了当事人石柯和毛剑卿各出一张黄牌
63'曹赟定左路来了，内切，打门                   61'第61分钟两队在上港禁区周围发生冲突，主裁给了当事人石柯和毛剑卿各出一张黄牌
63'力量小太了，颜骏凌将球没收                   61'第61分钟两队在上港禁区周围发生冲突，主裁给了当事人石柯和毛剑卿各出一张黄牌
64'颜骏凌大脚开上来                   61'第61分钟两队在上港禁区周围发生冲突，主裁给了当事人石柯和毛剑卿各出一张黄牌
64'给太靠前了                   61'第61分钟两队在上港禁区周围发生冲突，主裁给了当事人石柯和毛剑卿各出一张黄牌
64'李运秋长传上来，蔡慧康断球                   61'第61分钟两队在上港禁区周围发生冲突，主裁给了当事人石柯和毛剑卿各出一张黄牌
64'颜骏凌大脚开上来                   64'第64分钟李建滨对胡尔克防守犯规后左手脱臼，队医快速给他复位，王寿挺换下李建滨，觉得自己完全可以再战的李建滨对这次换人不太满意
64'给太靠前了                   64'第64分钟李建滨对胡尔克防守犯规后左手脱臼，队医快速给他复位，王寿挺换下李建滨，觉得自己完全可以再战的李建滨对这次换人不太满意
64'李运秋长传上来，蔡慧康断球                   64'第64分钟李建滨对胡尔克防守犯规后左手脱臼，队医快速给他复位，王寿挺换下李建滨，觉得自己完全可以再战的李建滨对这次换人不太满意
65'瓜林后场控球，回传给李运秋                   64'第64分钟李建滨对胡尔克防守犯规后左手脱臼，队医快速给他复位，王寿挺换下李建滨，觉得自己完全可以再战的李建滨对这次换人不太满意
65'长专上来蔡慧康断球                   64'第64分钟李建滨对胡尔克防守犯规后左手脱臼，队医快速给他复位，王寿挺换下李建滨，觉得自己完全可以再战的李建滨对这次换人不太满意
65'交给胡尔克，胡尔克被李建滨踢倒                   64'第64分钟李建滨对胡尔克防守犯规后左手脱臼，队医快速给他复位，王寿挺换下李建滨，觉得自己完全可以再战的李建滨对这次换人不太满意
66'李建滨的肩膀脱臼了                   64'第64分钟李建滨对胡尔克防守犯规后左手脱臼，队医快速给他复位，王寿挺换下李建滨，觉得自己完全可以再战的李建滨对这次换人不太满意
66'胡尔克的力量太猛了                   64'第64分钟李建滨对胡尔克防守犯规后左手脱臼，队医快速给他复位，王寿挺换下李建滨，觉得自己完全可以再战的李建滨对这次换人不太满意
67'上海绿地申花换人，5号王寿挺换下了3号李建滨                   64'第64分钟李建滨对胡尔克防守犯规后左手脱臼，队医快速给他复位，王寿挺换下李建滨，觉得自己完全可以再战的李建滨对这次换人不太满意
67'先看看绿地申花这个任意球                   64'第64分钟李建滨对胡尔克防守犯规后左手脱臼，队医快速给他复位，王寿挺换下李建滨，觉得自己完全可以再战的李建滨对这次换人不太满意
67'胡尔克直接打门，李帅将球抱住                   64'第64分钟李建滨对胡尔克防守犯规后左手脱臼，队医快速给他复位，王寿挺换下李建滨，觉得自己完全可以再战的李建滨对这次换人不太满意
69'林创益的推进交给胡尔克，小角度打门打高了                   69'第69分钟曹赟定左路突破，蔡慧康在曹杀入禁区前将其撞翻吃到黄牌
69'王林交给王燊超                   69'第69分钟曹赟定左路突破，蔡慧康在曹杀入禁区前将其撞翻吃到黄牌
70'直传，马丁斯回给王燊超                   69'第69分钟曹赟定左路突破，蔡慧康在曹杀入禁区前将其撞翻吃到黄牌
70'王燊超下底，被蔡慧康踢倒                   69'第69分钟曹赟定左路突破，蔡慧康在曹杀入禁区前将其撞翻吃到黄牌
70'蔡慧康也吃到黄牌！                   69'第69分钟曹赟定左路突破，蔡慧康在曹杀入禁区前将其撞翻吃到黄牌
70'双方的黄牌数直线上升                   69'第69分钟曹赟定左路突破，蔡慧康在曹杀入禁区前将其撞翻吃到黄牌
71'瓜林直接抽球打门，贺惯将球顶出底线                   69'第69分钟曹赟定左路突破，蔡慧康在曹杀入禁区前将其撞翻吃到黄牌
71'瓜林发角球，被顶出                   69'第69分钟曹赟定左路突破，蔡慧康在曹杀入禁区前将其撞翻吃到黄牌
71'王燊超外围拿球                   69'第69分钟曹赟定左路突破，蔡慧康在曹杀入禁区前将其撞翻吃到黄牌
71'直接远距离低射，被颜骏凌扑了一下但脱手                   69'第69分钟曹赟定左路突破，蔡慧康在曹杀入禁区前将其撞翻吃到黄牌
72'颜骏凌第二反应快将球摁在身体下                   69'第69分钟曹赟定左路突破，蔡慧康在曹杀入禁区前将其撞翻吃到黄牌
72'王燊超左路下底传中，被顶出                   69'第69分钟曹赟定左路突破，蔡慧康在曹杀入禁区前将其撞翻吃到黄牌
70'直传，马丁斯回给王燊超                   70'第70分钟曹赟定30米突然起脚冷射，颜骏凌飞身把球扑出，接着他又抢在两名申花队员之前，二次跃起把球死死扑住
70'王燊超下底，被蔡慧康踢倒                   70'第70分钟曹赟定30米突然起脚冷射，颜骏凌飞身把球扑出，接着他又抢在两名申花队员之前，二次跃起把球死死扑住
70'蔡慧康也吃到黄牌！                   70'第70分钟曹赟定30米突然起脚冷射，颜骏凌飞身把球扑出，接着他又抢在两名申花队员之前，二次跃起把球死死扑住
70'双方的黄牌数直线上升                   70'第70分钟曹赟定30米突然起脚冷射，颜骏凌飞身把球扑出，接着他又抢在两名申花队员之前，二次跃起把球死死扑住
71'瓜林直接抽球打门，贺惯将球顶出底线                   70'第70分钟曹赟定30米突然起脚冷射，颜骏凌飞身把球扑出，接着他又抢在两名申花队员之前，二次跃起把球死死扑住
71'瓜林发角球，被顶出                   70'第70分钟曹赟定30米突然起脚冷射，颜骏凌飞身把球扑出，接着他又抢在两名申花队员之前，二次跃起把球死死扑住
71'王燊超外围拿球                   70'第70分钟曹赟定30米突然起脚冷射，颜骏凌飞身把球扑出，接着他又抢在两名申花队员之前，二次跃起把球死死扑住
71'直接远距离低射，被颜骏凌扑了一下但脱手                   70'第70分钟曹赟定30米突然起脚冷射，颜骏凌飞身把球扑出，接着他又抢在两名申花队员之前，二次跃起把球死死扑住
72'颜骏凌第二反应快将球摁在身体下                   70'第70分钟曹赟定30米突然起脚冷射，颜骏凌飞身把球扑出，接着他又抢在两名申花队员之前，二次跃起把球死死扑住
72'王燊超左路下底传中，被顶出                   70'第70分钟曹赟定30米突然起脚冷射，颜骏凌飞身把球扑出，接着他又抢在两名申花队员之前，二次跃起把球死死扑住
73'又是王燊超左路插到左肋部传中，埃尔克森头球攻门顶偏了                   70'第70分钟曹赟定30米突然起脚冷射，颜骏凌飞身把球扑出，接着他又抢在两名申花队员之前，二次跃起把球死死扑住
71'瓜林直接抽球打门，贺惯将球顶出底线                   71'第71分钟林创益外围送球，埃尔克森头球稍偏
71'瓜林发角球，被顶出                   71'第71分钟林创益外围送球，埃尔克森头球稍偏
71'王燊超外围拿球                   71'第71分钟林创益外围送球，埃尔克森头球稍偏
71'直接远距离低射，被颜骏凌扑了一下但脱手                   71'第71分钟林创益外围送球，埃尔克森头球稍偏
72'颜骏凌第二反应快将球摁在身体下                   71'第71分钟林创益外围送球，埃尔克森头球稍偏
72'王燊超左路下底传中，被顶出                   71'第71分钟林创益外围送球，埃尔克森头球稍偏
73'又是王燊超左路插到左肋部传中，埃尔克森头球攻门顶偏了                   71'第71分钟林创益外围送球，埃尔克森头球稍偏
74'回复：一个没有理想的医生 17:01 举报回复 王燊超被蔡慧康踢倒l（是曹赟定被蔡慧康踢倒）                   71'第71分钟林创益外围送球，埃尔克森头球稍偏
74'瓜林传前点，王寿挺头球攻门顶高了                   71'第71分钟林创益外围送球，埃尔克森头球稍偏
74'回复：一个没有理想的医生 17:01 举报回复 王燊超被蔡慧康踢倒l（是曹赟定被蔡慧康踢倒）                   74'第74分钟武磊正面突破被王寿挺从侧踢翻，王寿挺吃到黄牌
74'瓜林传前点，王寿挺头球攻门顶高了                   74'第74分钟武磊正面突破被王寿挺从侧踢翻，王寿挺吃到黄牌
75'武磊提速，变向，王寿挺阻挡犯规                   74'第74分钟武磊正面突破被王寿挺从侧踢翻，王寿挺吃到黄牌
76'胡尔克拿球，交给奥斯卡                   74'第74分钟武磊正面突破被王寿挺从侧踢翻，王寿挺吃到黄牌
76'回传给胡尔克三传被王寿挺抢断                   74'第74分钟武磊正面突破被王寿挺从侧踢翻，王寿挺吃到黄牌
76'分左路，球出边线                   74'第74分钟武磊正面突破被王寿挺从侧踢翻，王寿挺吃到黄牌
76'胡尔克交给埃尔克森                   74'第74分钟武磊正面突破被王寿挺从侧踢翻，王寿挺吃到黄牌
76'还是胡尔克，横向带球，倒地了                   74'第74分钟武磊正面突破被王寿挺从侧踢翻，王寿挺吃到黄牌
77'裁判鸣哨                   74'第74分钟武磊正面突破被王寿挺从侧踢翻，王寿挺吃到黄牌
77'胡尔克倒地后夹球违例                   74'第74分钟武磊正面突破被王寿挺从侧踢翻，王寿挺吃到黄牌
