7'缺少了小白和哈维在中场的梳理，这几分钟巴萨打得很乱                   7'第7分钟，法布雷加斯传球，特略左路20码处劲射高出
17'特略这回又要被教育了吧                   14'第14分钟，阿尔维斯斜传，反越位成功的法布雷加斯停球后禁区左肋14码处左脚抽射高出
23'蒂亚戈~~一个漂亮的马赛回转！                   23'第23分钟，阿伊泰米前点解围传中球险些自摆乌龙，幸亏阿兰苏比亚封堵住前点，皮球反弹打中立柱而出
23'特略！左路传中打在了后卫腿上                   23'第23分钟，阿伊泰米前点解围传中球险些自摆乌龙，幸亏阿兰苏比亚封堵住前点，皮球反弹打中立柱而出
23'突然的变向~击中了门柱                   23'第23分钟，阿伊泰米前点解围传中球险些自摆乌龙，幸亏阿兰苏比亚封堵住前点，皮球反弹打中立柱而出
24'拉科后卫险些打入一记乌龙球                   23'第23分钟，阿伊泰米前点解围传中球险些自摆乌龙，幸亏阿兰苏比亚封堵住前点，皮球反弹打中立柱而出
24'虽然没有梅西，但是巴萨依旧制造出来很多机会                   23'第23分钟，阿伊泰米前点解围传中球险些自摆乌龙，幸亏阿兰苏比亚封堵住前点，皮球反弹打中立柱而出
24'不过把握上面还是有所欠缺                   23'第23分钟，阿伊泰米前点解围传中球险些自摆乌龙，幸亏阿兰苏比亚封堵住前点，皮球反弹打中立柱而出
25'比利亚~~~单刀球！                   23'第23分钟，阿伊泰米前点解围传中球险些自摆乌龙，幸亏阿兰苏比亚封堵住前点，皮球反弹打中立柱而出
25'居然被扑了出去                   23'第23分钟，阿伊泰米前点解围传中球险些自摆乌龙，幸亏阿兰苏比亚封堵住前点，皮球反弹打中立柱而出
25'比利亚犹豫了太久了                   23'第23分钟，阿伊泰米前点解围传中球险些自摆乌龙，幸亏阿兰苏比亚封堵住前点，皮球反弹打中立柱而出
25'这次接到特略的传球没有越位~只面对门将的情况打门被扑了出啊去                   23'第23分钟，阿伊泰米前点解围传中球险些自摆乌龙，幸亏阿兰苏比亚封堵住前点，皮球反弹打中立柱而出
25'而小法跟上的补射又是高射炮                   23'第23分钟，阿伊泰米前点解围传中球险些自摆乌龙，幸亏阿兰苏比亚封堵住前点，皮球反弹打中立柱而出
26'山野村夫: 除了梅西，还有谁敢骂特球王---伊涅斯塔也经常教育他                   23'第23分钟，阿伊泰米前点解围传中球险些自摆乌龙，幸亏阿兰苏比亚封堵住前点，皮球反弹打中立柱而出
26'巴萨不止一次获得单刀机会，这要是梅西恐怕巴萨早就领先了                   23'第23分钟，阿伊泰米前点解围传中球险些自摆乌龙，幸亏阿兰苏比亚封堵住前点，皮球反弹打中立柱而出
32'半个小时过去                   32'第32分钟，拉科后卫失误，比利亚禁区左上角内的转身射门被阿兰苏比亚轻松得到
32'巴萨的射门次数达到了7次                   32'第32分钟，拉科后卫失误，比利亚禁区左上角内的转身射门被阿兰苏比亚轻松得到
32'而拉科还是0次                   32'第32分钟，拉科后卫失误，比利亚禁区左上角内的转身射门被阿兰苏比亚轻松得到
32'比利亚~禁区左上角转身打门！                   32'第32分钟，拉科后卫失误，比利亚禁区左上角内的转身射门被阿兰苏比亚轻松得到
32'又是阿兰苏比亚拦在了门前                   32'第32分钟，拉科后卫失误，比利亚禁区左上角内的转身射门被阿兰苏比亚轻松得到
32'拉科现在没丢球，阿兰苏比亚的发挥至为关键                   32'第32分钟，拉科后卫失误，比利亚禁区左上角内的转身射门被阿兰苏比亚轻松得到
33'阿德断球反击                   32'第32分钟，拉科后卫失误，比利亚禁区左上角内的转身射门被阿兰苏比亚轻松得到
33'桑切斯~~~还是没状态，给阿尔维斯的传球直接出了边线                   32'第32分钟，拉科后卫失误，比利亚禁区左上角内的转身射门被阿兰苏比亚轻松得到
34'桑切斯反跑~被吹了越位                   32'第32分钟，拉科后卫失误，比利亚禁区左上角内的转身射门被阿兰苏比亚轻松得到
34'比利亚背身拿球，被对方后卫推倒                   32'第32分钟，拉科后卫失误，比利亚禁区左上角内的转身射门被阿兰苏比亚轻松得到
35'巴萨开出定位球~让比利亚去带球，这不是他的强项                   32'第32分钟，拉科后卫失误，比利亚禁区左上角内的转身射门被阿兰苏比亚轻松得到
35'阿德将球挑过后卫头顶，桑切斯~没接住                   32'第32分钟，拉科后卫失误，比利亚禁区左上角内的转身射门被阿兰苏比亚轻松得到
35'这球给得稍微力量大了些                   32'第32分钟，拉科后卫失误，比利亚禁区左上角内的转身射门被阿兰苏比亚轻松得到
38'恋恋的马甲: 剩下的联赛让蒙托亚多打打比赛  ---这主意不错，阿尔维斯不太适合打首发了                   38'巴萨第38分钟打破僵局，阿尔维斯右路传中，无人盯防的桑切斯8码处头球攻门，阿兰苏比亚门线内将皮球捞出，桑切斯门线上再射敲定进球
38'桑切斯~~~                   38'巴萨第38分钟打破僵局，阿尔维斯右路传中，无人盯防的桑切斯8码处头球攻门，阿兰苏比亚门线内将皮球捞出，桑切斯门线上再射敲定进球
39'Goooooooooooooooal~~~~                   38'巴萨第38分钟打破僵局，阿尔维斯右路传中，无人盯防的桑切斯8码处头球攻门，阿兰苏比亚门线内将皮球捞出，桑切斯门线上再射敲定进球
39'A2这次传中落点好得不能太好了                   38'巴萨第38分钟打破僵局，阿尔维斯右路传中，无人盯防的桑切斯8码处头球攻门，阿兰苏比亚门线内将皮球捞出，桑切斯门线上再射敲定进球
39'桑切斯无人防守下头球攻门~顶了一个反弹球！                   38'巴萨第38分钟打破僵局，阿尔维斯右路传中，无人盯防的桑切斯8码处头球攻门，阿兰苏比亚门线内将皮球捞出，桑切斯门线上再射敲定进球
39'阿兰苏比亚这次真是鞭长莫及啦                   38'巴萨第38分钟打破僵局，阿尔维斯右路传中，无人盯防的桑切斯8码处头球攻门，阿兰苏比亚门线内将皮球捞出，桑切斯门线上再射敲定进球
39'桑切斯一扫胸中郁闷~~终于进球了                   38'巴萨第38分钟打破僵局，阿尔维斯右路传中，无人盯防的桑切斯8码处头球攻门，阿兰苏比亚门线内将皮球捞出，桑切斯门线上再射敲定进球
40'如果我没记错的话，桑切斯这是本赛季的第三个进球                   38'巴萨第38分钟打破僵局，阿尔维斯右路传中，无人盯防的桑切斯8码处头球攻门，阿兰苏比亚门线内将皮球捞出，桑切斯门线上再射敲定进球
41'拉科制造了一个前场定位球机会                   38'巴萨第38分钟打破僵局，阿尔维斯右路传中，无人盯防的桑切斯8码处头球攻门，阿兰苏比亚门线内将皮球捞出，桑切斯门线上再射敲定进球
44'桑切斯在右路~感觉信心回来了                   44'第44分钟，桑切斯右路传中，比利亚12码处扫射偏出
44'刚才还玩了一招声东击西的传球                   44'第44分钟，桑切斯右路传中，比利亚12码处扫射偏出
44'桑切斯~传中！比利亚转身打门~~~踢偏了                   44'第44分钟，桑切斯右路传中，比利亚12码处扫射偏出
45'又一次无人防守下的射门偏出                   44'第44分钟，桑切斯右路传中，比利亚12码处扫射偏出
45'比利亚浪费了两次机会                   44'第44分钟，桑切斯右路传中，比利亚12码处扫射偏出
45'蒂亚戈中场传球被断了                   44'第44分钟，桑切斯右路传中，比利亚12码处扫射偏出
46'阿松桑转移球被特略拦截下来                   44'第44分钟，桑切斯右路传中，比利亚12码处扫射偏出
46'利比亚~跌跌撞撞之下跟桑切斯来了个撞墙式配合                   44'第44分钟，桑切斯右路传中，比利亚12码处扫射偏出
46'可惜单刀机会被吹越位                   44'第44分钟，桑切斯右路传中，比利亚12码处扫射偏出
46'下半场比赛开始                   44'第44分钟，桑切斯右路传中，比利亚12码处扫射偏出
46'两队应该都没有换人                   44'第44分钟，桑切斯右路传中，比利亚12码处扫射偏出
62'换下贝莱隆                   62'第62分钟，梅西替换比利亚出场
62'换上的是卡穆拉斯                   62'第62分钟，梅西替换比利亚出场
62'而巴萨则用梅西换下了比利亚                   62'第62分钟，梅西替换比利亚出场
62'留给梅西~有半个小时时间                   62'第62分钟，梅西替换比利亚出场
62'比利亚今天状态不好，连续浪费单刀机会                   62'第62分钟，梅西替换比利亚出场
63'巴勃罗长传球~皮济已经越位了                   62'第62分钟，梅西替换比利亚出场
64'游客9378: 那可能说错了，可能是丰塔斯吧，但你见过巴萨现在有多少场使用过青训球员的？---后卫线上现在确实没用多少青训球员，丰塔斯被租借到了马洛卡                   62'第62分钟，梅西替换比利亚出场
64'阿尔维斯右边路高速下底~可惜横传球被后卫破坏了出去                   62'第62分钟，梅西替换比利亚出场
65'梅西~第一次拿球                   62'第62分钟，梅西替换比利亚出场
70'而且今天还踩了好几次单车，虽然效果都不太好                   70'第70分钟，法布雷加斯倒地，但拉科并未停止比赛，普约尔飞铲卡姆尼亚斯被黄牌警告
71'皮济在边路下底传中，普约尔伸腿破坏了出去                   70'第70分钟，法布雷加斯倒地，但拉科并未停止比赛，普约尔飞铲卡姆尼亚斯被黄牌警告
71'拉科突然加强了前场反抢                   70'第70分钟，法布雷加斯倒地，但拉科并未停止比赛，普约尔飞铲卡姆尼亚斯被黄牌警告
71'这段时间巴萨显得有些被动                   70'第70分钟，法布雷加斯倒地，但拉科并未停止比赛，普约尔飞铲卡姆尼亚斯被黄牌警告
71'卡穆纳斯被吹了越位                   70'第70分钟，法布雷加斯倒地，但拉科并未停止比赛，普约尔飞铲卡姆尼亚斯被黄牌警告
72'不过慢动作来看阿尔维斯还拖在最后，这是个误判                   70'第70分钟，法布雷加斯倒地，但拉科并未停止比赛，普约尔飞铲卡姆尼亚斯被黄牌警告
73'Jimmy张进V:真心觉得应该给丰塔斯，蒙托亚，巴尔特拉多一点机会，没必要盲目的去买人，柠檬觉得呢？---中后卫还是买世界级的吧，巴萨现在没时间等待他们成长起来了                   70'第70分钟，法布雷加斯倒地，但拉科并未停止比赛，普约尔飞铲卡姆尼亚斯被黄牌警告
73'梅西~~~                   70'第70分钟，法布雷加斯倒地，但拉科并未停止比赛，普约尔飞铲卡姆尼亚斯被黄牌警告
73'越位！                   70'第70分钟，法布雷加斯倒地，但拉科并未停止比赛，普约尔飞铲卡姆尼亚斯被黄牌警告
73'小白的远射被阿兰苏比亚扑出~                   70'第70分钟，法布雷加斯倒地，但拉科并未停止比赛，普约尔飞铲卡姆尼亚斯被黄牌警告
88'这是宋今天给人留下的主要印象                   88'巴萨第88分钟扩大比分，梅西突破分球禁区右侧，桑切斯第一时间传回中路，梅西小禁区前轻巧挑射破门，2-0
88'梅西~~~                   88'巴萨第88分钟扩大比分，梅西突破分球禁区右侧，桑切斯第一时间传回中路，梅西小禁区前轻巧挑射破门，2-0
89'Gooooooooooooooooal~~~                   88'巴萨第88分钟扩大比分，梅西突破分球禁区右侧，桑切斯第一时间传回中路，梅西小禁区前轻巧挑射破门，2-0
89'连续第17场西甲比赛进球！                   88'巴萨第88分钟扩大比分，梅西突破分球禁区右侧，桑切斯第一时间传回中路，梅西小禁区前轻巧挑射破门，2-0
89'梅西又破了纪录                   88'巴萨第88分钟扩大比分，梅西突破分球禁区右侧，桑切斯第一时间传回中路，梅西小禁区前轻巧挑射破门，2-0
89'梅西中路跟桑切斯的撞墙式配合，撕破防线之后梅西面对出击的门将，轻巧的挑射~~~                   88'巴萨第88分钟扩大比分，梅西突破分球禁区右侧，桑切斯第一时间传回中路，梅西小禁区前轻巧挑射破门，2-0
90'Jimmy张进V:柠檬，貌似墨西哥有个门将还BT一些，名字好像是花蝴蝶坎波斯巴，忑搞笑了---坎波斯能打前锋，但是他在门前的胆子绝对不算大                   88'巴萨第88分钟扩大比分，梅西突破分球禁区右侧，桑切斯第一时间传回中路，梅西小禁区前轻巧挑射破门，2-0
91'下半场补时3分钟                   88'巴萨第88分钟扩大比分，梅西突破分球禁区右侧，桑切斯第一时间传回中路，梅西小禁区前轻巧挑射破门，2-0
91'宋又是连续两次传球失误                   88'巴萨第88分钟扩大比分，梅西突破分球禁区右侧，桑切斯第一时间传回中路，梅西小禁区前轻巧挑射破门，2-0
