5'巴萨在对方禁区外围传递                   5'第5分钟，伊涅斯塔直传，桑切斯右路禁区边缘内的劲射被费尔南德斯扑出
77'桑切斯又一次底线传中，可惜门前队友包抄还没有到位                   76'巴萨第76分钟扳平比分，佩德罗摆脱两人后禁区右侧传中被弗拉尼奥勉强挡出，桑切斯低传门前，梅西小禁区边缘铲射破门
77'最后巴萨只获得了一个角球                   76'巴萨第76分钟扳平比分，佩德罗摆脱两人后禁区右侧传中被弗拉尼奥勉强挡出，桑切斯低传门前，梅西小禁区边缘铲射破门
78'奥萨苏纳再次换人，西西被蒂莫尔换下                   76'巴萨第76分钟扳平比分，佩德罗摆脱两人后禁区右侧传中被弗拉尼奥勉强挡出，桑切斯低传门前，梅西小禁区边缘铲射破门
78'巴萨角球开出，皮克被吹了抢头球犯规                   76'巴萨第76分钟扳平比分，佩德罗摆脱两人后禁区右侧传中被弗拉尼奥勉强挡出，桑切斯低传门前，梅西小禁区边缘铲射破门
79'皮克因为犯规后和裁判理论而领到黄牌                   76'巴萨第76分钟扳平比分，佩德罗摆脱两人后禁区右侧传中被弗拉尼奥勉强挡出，桑切斯低传门前，梅西小禁区边缘铲射破门
79'费尔南德斯不愧是掏牌机器                   76'巴萨第76分钟扳平比分，佩德罗摆脱两人后禁区右侧传中被弗拉尼奥勉强挡出，桑切斯低传门前，梅西小禁区边缘铲射破门
79'奥萨苏纳的球员拉马因为对阿尔维斯的犯规也领到黄牌                   76'巴萨第76分钟扳平比分，佩德罗摆脱两人后禁区右侧传中被弗拉尼奥勉强挡出，桑切斯低传门前，梅西小禁区边缘铲射破门
79'两队目前加起来一共8张黄牌了                   76'巴萨第76分钟扳平比分，佩德罗摆脱两人后禁区右侧传中被弗拉尼奥勉强挡出，桑切斯低传门前，梅西小禁区边缘铲射破门
80'奥萨苏纳最后一次换人，换上了5号洛洛                   80'巴萨第80分钟反超比分，比利亚回传，哈维分球，阿尔巴禁区左侧边缘传中，梅西15码处劲射破门，2-1
80'梅西！！！                   80'巴萨第80分钟反超比分，比利亚回传，哈维分球，阿尔巴禁区左侧边缘传中，梅西15码处劲射破门，2-1
80'Gooooooooooooooooooal！！！                   80'巴萨第80分钟反超比分，比利亚回传，哈维分球，阿尔巴禁区左侧边缘传中，梅西15码处劲射破门，2-1
80'无敌了~梅西！                   80'巴萨第80分钟反超比分，比利亚回传，哈维分球，阿尔巴禁区左侧边缘传中，梅西15码处劲射破门，2-1
81'巴萨左边路策动攻势，阿尔巴低平球传中，梅西迎球左脚推射！球打入了左下角死角！！！                   80'巴萨第80分钟反超比分，比利亚回传，哈维分球，阿尔巴禁区左侧边缘传中，梅西15码处劲射破门，2-1
81'普约尔...防守犯规领到黄牌，停球的时候手球了                   80'巴萨第80分钟反超比分，比利亚回传，哈维分球，阿尔巴禁区左侧边缘传中，梅西15码处劲射破门，2-1
81'两队一共9张黄牌了，看下能否上双                   80'巴萨第80分钟反超比分，比利亚回传，哈维分球，阿尔巴禁区左侧边缘传中，梅西15码处劲射破门，2-1
82'奥萨苏纳的定位球，直接打门！击中了人墙                   80'巴萨第80分钟反超比分，比利亚回传，哈维分球，阿尔巴禁区左侧边缘传中，梅西15码处劲射破门，2-1
83'桑切斯又一次被吹越位，这一次是启动得太早了                   80'巴萨第80分钟反超比分，比利亚回传，哈维分球，阿尔巴禁区左侧边缘传中，梅西15码处劲射破门，2-1
83'哈维上场之后巴萨的中场创造力明显加强了很多                   80'巴萨第80分钟反超比分，比利亚回传，哈维分球，阿尔巴禁区左侧边缘传中，梅西15码处劲射破门，2-1
83'尼诺被逼到了底线，传中球直接出界外了                   80'巴萨第80分钟反超比分，比利亚回传，哈维分球，阿尔巴禁区左侧边缘传中，梅西15码处劲射破门，2-1
