1'上半场比赛开始！                   1'比赛刚开始1分钟，阿多在右路铲倒杨家威吃到黄牌
4'申鑫1-0领先上港！                   2'第2分钟于涛禁区外围妙传禁区，上港后卫判断失误，雅伊尔顿从上港后卫身后杀出，直接趟球入禁区，颜骏凌飞身出击把雅伊尔顿扑倒，点球
5'上港的开局非常不利                   2'第2分钟于涛禁区外围妙传禁区，上港后卫判断失误，雅伊尔顿从上港后卫身后杀出，直接趟球入禁区，颜骏凌飞身出击把雅伊尔顿扑倒，点球
5'王燊超左路拿球，姜嘉俊顶防过来                   2'第2分钟于涛禁区外围妙传禁区，上港后卫判断失误，雅伊尔顿从上港后卫身后杀出，直接趟球入禁区，颜骏凌飞身出击把雅伊尔顿扑倒，点球
6'汪佳捷拿球过中场，被姜嘉俊绊倒                   6'上港大举反击，第6分钟武磊禁区外右侧怒射打偏
6'王燊超左路下底倒三角传回点球点附近，海森和麦克都漏过                   6'上港大举反击，第6分钟武磊禁区外右侧怒射打偏
6'吴禹寅跟上远射被拦截                   6'上港大举反击，第6分钟武磊禁区外右侧怒射打偏
7'申鑫反击送直塞，伊班先回传门将                   6'上港大举反击，第6分钟武磊禁区外右侧怒射打偏
7'禁区内争抢，乌塔卡先犯规了                   6'上港大举反击，第6分钟武磊禁区外右侧怒射打偏
7'武磊前场和队友连续踢墙配合，禁区前的远射打偏！                   6'上港大举反击，第6分钟武磊禁区外右侧怒射打偏
8'申鑫继续打身后，阿多先解围                   6'上港大举反击，第6分钟武磊禁区外右侧怒射打偏
8'武磊右路插上的反击，传中打在乔尼身上出底线，角球                   6'上港大举反击，第6分钟武磊禁区外右侧怒射打偏
9'吕文君角球开前点，伊班一蹭，后点无人接应                   6'上港大举反击，第6分钟武磊禁区外右侧怒射打偏
9'查尔顿右路转身起速，吴禹寅拉人了                   6'上港大举反击，第6分钟武磊禁区外右侧怒射打偏
9'裁判黄牌警告了吴禹寅！                   6'上港大举反击，第6分钟武磊禁区外右侧怒射打偏
12' 游戏用户1838093103：会是1:6吗？（今天申鑫应该不会崩盘了吧）                   12'第12分钟上港连续头球过渡，武磊抢在乔尼之前把球灵活挑到一边，接着怒射打得太正，申鑫立刻反击到前场，于涛斜射打高
12'林裕焕斜传左路，孙凯挑传禁区前被伊班解围                   12'第12分钟上港连续头球过渡，武磊抢在乔尼之前把球灵活挑到一边，接着怒射打得太正，申鑫立刻反击到前场，于涛斜射打高
12'海森回撤接应，孙凯铲球犯规                   12'第12分钟上港连续头球过渡，武磊抢在乔尼之前把球灵活挑到一边，接着怒射打得太正，申鑫立刻反击到前场，于涛斜射打高
13'麦克背身拿球，顶防的叶重秋犯规了                   12'第12分钟上港连续头球过渡，武磊抢在乔尼之前把球灵活挑到一边，接着怒射打得太正，申鑫立刻反击到前场，于涛斜射打高
13'蔡慧康禁区前做球，武磊进禁区，低射太正被扑住！                   12'第12分钟上港连续头球过渡，武磊抢在乔尼之前把球灵活挑到一边，接着怒射打得太正，申鑫立刻反击到前场，于涛斜射打高
14'于涛禁区前迎球远射打高！                   12'第12分钟上港连续头球过渡，武磊抢在乔尼之前把球灵活挑到一边，接着怒射打得太正，申鑫立刻反击到前场，于涛斜射打高
15'麦克前场把球拿到，被叶重秋绊倒                   12'第12分钟上港连续头球过渡，武磊抢在乔尼之前把球灵活挑到一边，接着怒射打得太正，申鑫立刻反击到前场，于涛斜射打高
15'吕文君任意球直接射门，打偏                   12'第12分钟上港连续头球过渡，武磊抢在乔尼之前把球灵活挑到一边，接着怒射打得太正，申鑫立刻反击到前场，于涛斜射打高
25'吕文君斜传右路，武磊头球回敲                   25'第25分钟上港获得右路任意球机会，吕文君开球到禁区中路，伊班头球打在海森头上，皮球弹出界外
25'吴禹寅面对包夹回带，被绊倒，任意球                   25'第25分钟上港获得右路任意球机会，吕文君开球到禁区中路，伊班头球打在海森头上，皮球弹出界外
26'吕文君任意球开点球点，伊班头球争顶，海森半路上肩膀一挡，高出横梁！                   25'第25分钟上港获得右路任意球机会，吕文君开球到禁区中路，伊班头球打在海森头上，皮球弹出界外
27'吕永君要开心：我给申鑫建议啦一个月，终于买乌塔卡，哈，进球了，加油帽子戏法（幕后大老板？）                   25'第25分钟上港获得右路任意球机会，吕文君开球到禁区中路，伊班头球打在海森头上，皮球弹出界外
27'王燊超左路大力边线球进禁区被头球解围                   25'第25分钟上港获得右路任意球机会，吕文君开球到禁区中路，伊班头球打在海森头上，皮球弹出界外
27'外围上港再斜传进禁区，麦克头球摆渡出了底线                   25'第25分钟上港获得右路任意球机会，吕文君开球到禁区中路，伊班头球打在海森头上，皮球弹出界外
28'于涛禁区外围斜传，出了底线                   25'第25分钟上港获得右路任意球机会，吕文君开球到禁区中路，伊班头球打在海森头上，皮球弹出界外
32'姜嘉俊挑传身前，伊班先解围                   32'第32分钟武磊前场直塞，刘殿座抢在吕文君得球之前，跑到禁区外大脚解围，麦克布林截球后直接吊射打高
33'吕文君接应中场长传，刘殿座出击解围                   32'第32分钟武磊前场直塞，刘殿座抢在吕文君得球之前，跑到禁区外大脚解围，麦克布林截球后直接吊射打高
33'孙凯左路拿球，传中给到中路队友                   32'第32分钟武磊前场直塞，刘殿座抢在吕文君得球之前，跑到禁区外大脚解围，麦克布林截球后直接吊射打高
34'张煜东回做找乌塔卡，大了                   32'第32分钟武磊前场直塞，刘殿座抢在吕文君得球之前，跑到禁区外大脚解围，麦克布林截球后直接吊射打高
34'外围乌塔卡拿球调整，远射被颜骏凌扑住                   32'第32分钟武磊前场直塞，刘殿座抢在吕文君得球之前，跑到禁区外大脚解围，麦克布林截球后直接吊射打高
34'刘殿座后场大脚，直接出了边线                   32'第32分钟武磊前场直塞，刘殿座抢在吕文君得球之前，跑到禁区外大脚解围，麦克布林截球后直接吊射打高
35'麦克回撤中场拿球，被于涛拉倒                   32'第32分钟武磊前场直塞，刘殿座抢在吕文君得球之前，跑到禁区外大脚解围，麦克布林截球后直接吊射打高
35'武磊右路拿球接应，被跟防的孙凯绊倒                   32'第32分钟武磊前场直塞，刘殿座抢在吕文君得球之前，跑到禁区外大脚解围，麦克布林截球后直接吊射打高
37'张煜东左路下底传中，去到了另一侧                   37'第37分钟上港用王佳玉换下了吕文君
37'查尔顿下底传中，被王燊超防下                   37'第37分钟上港用王佳玉换下了吕文君
37'上港换人了，王佳玉换下吕文君                   37'第37分钟上港用王佳玉换下了吕文君
38'麦克拿球回带，被叶重秋身后绊倒了                   37'第37分钟上港用王佳玉换下了吕文君
38'裁判黄牌警告了叶重秋！                   37'第37分钟上港用王佳玉换下了吕文君
39'客户端用户：武磊爆发!上港必胜（的确要看武磊能否再次拯救球队了）                   37'第37分钟上港用王佳玉换下了吕文君
39'王佳玉任意球直接射门打近角，被刘殿座扑住                   37'第37分钟上港用王佳玉换下了吕文君
39'王佳玉右路强行传中拿到一个角球                   37'第37分钟上港用王佳玉换下了吕文君
40'双方队友禁区内抢位有些动作，裁判吹停                   37'第37分钟上港用王佳玉换下了吕文君
40'比赛继续，角球开前点被解围                   37'第37分钟上港用王佳玉换下了吕文君
43'王佳玉后场断球，大范围斜传左路                   43'第43分钟麦克布林再次被于涛狠狠铲倒，于涛也吃到黄牌，任意球开出，申鑫队员解围出底线
43'武磊拿球，传中到禁区被解围                   43'第43分钟麦克布林再次被于涛狠狠铲倒，于涛也吃到黄牌，任意球开出，申鑫队员解围出底线
44'麦克中场背身拿球，于涛背后铲球犯规                   43'第43分钟麦克布林再次被于涛狠狠铲倒，于涛也吃到黄牌，任意球开出，申鑫队员解围出底线
44'裁判黄牌警告了于涛！                   43'第43分钟麦克布林再次被于涛狠狠铲倒，于涛也吃到黄牌，任意球开出，申鑫队员解围出底线
44'吴禹寅禁区右侧下底接应传中，横扫被挡出底线，角球                   43'第43分钟麦克布林再次被于涛狠狠铲倒，于涛也吃到黄牌，任意球开出，申鑫队员解围出底线
45'上港进球了！！！                   43'第43分钟麦克布林再次被于涛狠狠铲倒，于涛也吃到黄牌，任意球开出，申鑫队员解围出底线
45'麦克布雷恩进球！！！                   43'第43分钟麦克布林再次被于涛狠狠铲倒，于涛也吃到黄牌，任意球开出，申鑫队员解围出底线
45'角球到中路，刘殿座出击到一半，麦克头球顶半个空门入网！                   43'第43分钟麦克布林再次被于涛狠狠铲倒，于涛也吃到黄牌，任意球开出，申鑫队员解围出底线
45'比分扳平，1-1！                   43'第43分钟麦克布林再次被于涛狠狠铲倒，于涛也吃到黄牌，任意球开出，申鑫队员解围出底线
46'上半场补时1分钟！                   43'第43分钟麦克布林再次被于涛狠狠铲倒，于涛也吃到黄牌，任意球开出，申鑫队员解围出底线
46'申鑫高球打入禁区，被颜骏凌拿到                   43'第43分钟麦克布林再次被于涛狠狠铲倒，于涛也吃到黄牌，任意球开出，申鑫队员解围出底线
46'乌塔卡做球，被吴禹寅破坏                   43'第43分钟麦克布林再次被于涛狠狠铲倒，于涛也吃到黄牌，任意球开出，申鑫队员解围出底线
46'上半场比赛结束！                   43'第43分钟麦克布林再次被于涛狠狠铲倒，于涛也吃到黄牌，任意球开出，申鑫队员解围出底线
46'下半场比赛开始！                   43'第43分钟麦克布林再次被于涛狠狠铲倒，于涛也吃到黄牌，任意球开出，申鑫队员解围出底线
46'申鑫中圈开球                   43'第43分钟麦克布林再次被于涛狠狠铲倒，于涛也吃到黄牌，任意球开出，申鑫队员解围出底线
46'乌塔卡前场争顶，球出边线                   43'第43分钟麦克布林再次被于涛狠狠铲倒，于涛也吃到黄牌，任意球开出，申鑫队员解围出底线
47'王佳玉中场拿球，直塞，刘殿座出击解围                   47'第47分钟雅伊尔顿飞铲王龀吃到黄牌
47'杨家威接姜嘉俊挑传进禁区，倒三角传回被解围                   47'第47分钟雅伊尔顿飞铲王龀吃到黄牌
47'武磊回撤接应被姜嘉俊推倒                   47'第47分钟雅伊尔顿飞铲王龀吃到黄牌
48'查尔顿中场铲倒了王燊超                   47'第47分钟雅伊尔顿飞铲王龀吃到黄牌
48'裁判黄牌警告查尔顿！                   47'第47分钟雅伊尔顿飞铲王龀吃到黄牌
49'王佳玉任意球吊入禁区，被刘殿座没收                   47'第47分钟雅伊尔顿飞铲王龀吃到黄牌
49'王佳玉拿球，中场梳理                   47'第47分钟雅伊尔顿飞铲王龀吃到黄牌
50'傅欢右路突破进禁区，乔尼过来解围                   47'第47分钟雅伊尔顿飞铲王龀吃到黄牌
50'麦克左路传中，被顶出                   47'第47分钟雅伊尔顿飞铲王龀吃到黄牌
50'王燊超左路边线球进禁区，武磊拿球没调整好                   47'第47分钟雅伊尔顿飞铲王龀吃到黄牌
59'麦克前场拼抢，转移左路                   59'第59分钟海森接王佳玉长传球，靠身体挤开姜嘉俊，但他杀入禁区后的射门打在边网上
59'海森斜传门前，汪佳捷跟上慢了一步                   59'第59分钟海森接王佳玉长传球，靠身体挤开姜嘉俊，但他杀入禁区后的射门打在边网上
59'阿多后场防守护球，乌塔卡拼抢犯规了                   59'第59分钟海森接王佳玉长传球，靠身体挤开姜嘉俊，但他杀入禁区后的射门打在边网上
61'海森接身后球进禁区，面对出击的门将，低射被挡出底线                   59'第59分钟海森接王佳玉长传球，靠身体挤开姜嘉俊，但他杀入禁区后的射门打在边网上
61'张煜东左路插上，阿多把球断下                   59'第59分钟海森接王佳玉长传球，靠身体挤开姜嘉俊，但他杀入禁区后的射门打在边网上
72'侯俊杰左路突破，阿多把球踢出边线                   72'第72分钟申鑫角球引发上港禁区一片混乱，杨家威头球太轻被颜骏凌得到
72'孙凯左路传中，后点王燊超解围，角球                   72'第72分钟申鑫角球引发上港禁区一片混乱，杨家威头球太轻被颜骏凌得到
73'角球开前点被解围                   72'第72分钟申鑫角球引发上港禁区一片混乱，杨家威头球太轻被颜骏凌得到
73'外围再传中，杨家威争顶被颜骏凌拿到                   72'第72分钟申鑫角球引发上港禁区一片混乱，杨家威头球太轻被颜骏凌得到
74'武磊禁区右侧传中，孙凯把球挡出                   72'第72分钟申鑫角球引发上港禁区一片混乱，杨家威头球太轻被颜骏凌得到
74'傅欢右路传中，武磊头球顶高了                   72'第72分钟申鑫角球引发上港禁区一片混乱，杨家威头球太轻被颜骏凌得到
75'双方球员都到场边集体补水                   72'第72分钟申鑫角球引发上港禁区一片混乱，杨家威头球太轻被颜骏凌得到
76'比赛继续                   76'比赛重开，第76分钟麦克布林中路强行头球稍稍顶偏
77'乌塔卡禁区内接应长传，转身再横敲，杨家威跟上慢了                   76'比赛重开，第76分钟麦克布林中路强行头球稍稍顶偏
78'汪佳捷转移右路，傅欢传中被挡出底线，角球                   76'比赛重开，第76分钟麦克布林中路强行头球稍稍顶偏
78'角球开前点，麦克甩头攻门顶偏！                   76'比赛重开，第76分钟麦克布林中路强行头球稍稍顶偏
79'查尔顿右路停球停出了边线                   76'比赛重开，第76分钟麦克布林中路强行头球稍稍顶偏
79'武磊禁区外射门被封堵                   76'比赛重开，第76分钟麦克布林中路强行头球稍稍顶偏
79'查尔顿右路停球停出了边线                   79'第79分钟申鑫姜嘉俊送球入禁区，杨家威转身射门，球打在阿多身上弹出，雅伊尔顿补射进球
79'武磊禁区外射门被封堵                   79'第79分钟申鑫姜嘉俊送球入禁区，杨家威转身射门，球打在阿多身上弹出，雅伊尔顿补射进球
80'王燊超左路拿球，转移另一侧                   79'第79分钟申鑫姜嘉俊送球入禁区，杨家威转身射门，球打在阿多身上弹出，雅伊尔顿补射进球
81'武磊和王佳玉配合，王佳玉插上越位了                   79'第79分钟申鑫姜嘉俊送球入禁区，杨家威转身射门，球打在阿多身上弹出，雅伊尔顿补射进球
81'杨家威左路摆脱阿多，横敲中路                   79'第79分钟申鑫姜嘉俊送球入禁区，杨家威转身射门，球打在阿多身上弹出，雅伊尔顿补射进球
82'姜嘉俊把球送入禁区，杨家威射门被封堵，后点查尔顿补射破门！                   79'第79分钟申鑫姜嘉俊送球入禁区，杨家威转身射门，球打在阿多身上弹出，雅伊尔顿补射进球
82'但是裁判示意越位！                   79'第79分钟申鑫姜嘉俊送球入禁区，杨家威转身射门，球打在阿多身上弹出，雅伊尔顿补射进球
82'进球无效！！                   79'第79分钟申鑫姜嘉俊送球入禁区，杨家威转身射门，球打在阿多身上弹出，雅伊尔顿补射进球
82'比分还是1-1                   79'第79分钟申鑫姜嘉俊送球入禁区，杨家威转身射门，球打在阿多身上弹出，雅伊尔顿补射进球
82'傅欢右路传中大了，出底线                   79'第79分钟申鑫姜嘉俊送球入禁区，杨家威转身射门，球打在阿多身上弹出，雅伊尔顿补射进球
81'武磊和王佳玉配合，王佳玉插上越位了                   81'第81分钟上港用哈里里换下麦克布林
81'杨家威左路摆脱阿多，横敲中路                   81'第81分钟上港用哈里里换下麦克布林
82'姜嘉俊把球送入禁区，杨家威射门被封堵，后点查尔顿补射破门！                   81'第81分钟上港用哈里里换下麦克布林
82'但是裁判示意越位！                   81'第81分钟上港用哈里里换下麦克布林
82'进球无效！！                   81'第81分钟上港用哈里里换下麦克布林
82'比分还是1-1                   81'第81分钟上港用哈里里换下麦克布林
82'傅欢右路传中大了，出底线                   81'第81分钟上港用哈里里换下麦克布林
83'用户5191711041：感动（感动常在。。）                   81'第81分钟上港用哈里里换下麦克布林
83'上港换人，卡里里换下麦克                   81'第81分钟上港用哈里里换下麦克布林
84'乌塔卡背身拿球，转移右路查尔顿                   81'第81分钟上港用哈里里换下麦克布林
84'武磊斜传右路，球到禁区被门将没收                   81'第81分钟上港用哈里里换下麦克布林
87'王佳玉挑传禁区，林裕焕头球解围                   87'第87分钟，逃过一劫的上港即刻取得进球，海森和林裕焕争顶头球，海森把球顶下后转身似射似传，皮球到后点，哈里里临门推射，2比1，上港最后时刻反超比分
88'申鑫反击，乌塔卡拿好球，过掉阿多进禁区，低射被颜骏凌扑了一下，弹在立柱上，颜骏凌第二反应，在门线上把球压住！                   87'第87分钟，逃过一劫的上港即刻取得进球，海森和林裕焕争顶头球，海森把球顶下后转身似射似传，皮球到后点，哈里里临门推射，2比1，上港最后时刻反超比分
88'裁判示意球没进                   87'第87分钟，逃过一劫的上港即刻取得进球，海森和林裕焕争顶头球，海森把球顶下后转身似射似传，皮球到后点，哈里里临门推射，2比1，上港最后时刻反超比分
88'比赛继续                   87'第87分钟，逃过一劫的上港即刻取得进球，海森和林裕焕争顶头球，海森把球顶下后转身似射似传，皮球到后点，哈里里临门推射，2比1，上港最后时刻反超比分
89'上港这边进球了！！                   87'第87分钟，逃过一劫的上港即刻取得进球，海森和林裕焕争顶头球，海森把球顶下后转身似射似传，皮球到后点，哈里里临门推射，2比1，上港最后时刻反超比分
89'卡里里！！处子球！！！                   87'第87分钟，逃过一劫的上港即刻取得进球，海森和林裕焕争顶头球，海森把球顶下后转身似射似传，皮球到后点，哈里里临门推射，2比1，上港最后时刻反超比分
89'海森禁区左侧拿球斜射，后点的卡里里接应捅射破门！                   87'第87分钟，逃过一劫的上港即刻取得进球，海森和林裕焕争顶头球，海森把球顶下后转身似射似传，皮球到后点，哈里里临门推射，2比1，上港最后时刻反超比分
89'申鑫1-2落后上港！                   87'第87分钟，逃过一劫的上港即刻取得进球，海森和林裕焕争顶头球，海森把球顶下后转身似射似传，皮球到后点，哈里里临门推射，2比1，上港最后时刻反超比分
90'比赛时间所剩不多了                   87'第87分钟，逃过一劫的上港即刻取得进球，海森和林裕焕争顶头球，海森把球顶下后转身似射似传，皮球到后点，哈里里临门推射，2比1，上港最后时刻反超比分
90'申鑫右路配合，汪佳捷把球让出底线                   87'第87分钟，逃过一劫的上港即刻取得进球，海森和林裕焕争顶头球，海森把球顶下后转身似射似传，皮球到后点，哈里里临门推射，2比1，上港最后时刻反超比分
93'申鑫换两人，徐文和刘俊楠上，换下孙凯和叶重秋                   93'第93分钟申鑫后场无人防守，上港长传后场，武磊得球后，过掉出击到禁区外的刘殿座，接着斜角度推射空门，3比1，武磊打进本季第六球，上海上港就此战胜了上海申鑫
93'乔尼高球进禁区，颜骏凌把球没收                   93'第93分钟申鑫后场无人防守，上港长传后场，武磊得球后，过掉出击到禁区外的刘殿座，接着斜角度推射空门，3比1，武磊打进本季第六球，上海上港就此战胜了上海申鑫
94'武磊右路突破，被林裕焕拉倒                   93'第93分钟申鑫后场无人防守，上港长传后场，武磊得球后，过掉出击到禁区外的刘殿座，接着斜角度推射空门，3比1，武磊打进本季第六球，上海上港就此战胜了上海申鑫
94'乌塔卡左路拿球，斜传被汪佳捷拦截                   93'第93分钟申鑫后场无人防守，上港长传后场，武磊得球后，过掉出击到禁区外的刘殿座，接着斜角度推射空门，3比1，武磊打进本季第六球，上海上港就此战胜了上海申鑫
94'上港再进一球！！！                   93'第93分钟申鑫后场无人防守，上港长传后场，武磊得球后，过掉出击到禁区外的刘殿座，接着斜角度推射空门，3比1，武磊打进本季第六球，上海上港就此战胜了上海申鑫
95'上港反击，武磊右路趟过出击的刘殿座，进禁区，推射破门！                   93'第93分钟申鑫后场无人防守，上港长传后场，武磊得球后，过掉出击到禁区外的刘殿座，接着斜角度推射空门，3比1，武磊打进本季第六球，上海上港就此战胜了上海申鑫
95'申鑫1-3上港                   93'第93分钟申鑫后场无人防守，上港长传后场，武磊得球后，过掉出击到禁区外的刘殿座，接着斜角度推射空门，3比1，武磊打进本季第六球，上海上港就此战胜了上海申鑫
96'补时时间已到                   93'第93分钟申鑫后场无人防守，上港长传后场，武磊得球后，过掉出击到禁区外的刘殿座，接着斜角度推射空门，3比1，武磊打进本季第六球，上海上港就此战胜了上海申鑫
96'全场比赛结束！                   93'第93分钟申鑫后场无人防守，上港长传后场，武磊得球后，过掉出击到禁区外的刘殿座，接着斜角度推射空门，3比1，武磊打进本季第六球，上海上港就此战胜了上海申鑫
