1'上半场比赛开始！                   1'利物浦第1分钟借助主场之利占据进攻主动，但曼联的防守反击也颇具威胁
71'库蒂尼奥中场控球                   71'第71分钟，埃姆雷-詹传球，库蒂尼奥30码处远射，皮球直飞右侧立柱方向，德赫亚飞身将皮球扑出
72'突施冷箭角度很刁，德赫亚向左侧扑将球扑出底线                   71'第71分钟，埃姆雷-詹传球，库蒂尼奥30码处远射，皮球直飞右侧立柱方向，德赫亚飞身将皮球扑出
72'库蒂尼奥角球发得很低                   71'第71分钟，埃姆雷-詹传球，库蒂尼奥30码处远射，皮球直飞右侧立柱方向，德赫亚飞身将皮球扑出
72'第二点的争夺，米尔纳犯规                   71'第71分钟，埃姆雷-詹传球，库蒂尼奥30码处远射，皮球直飞右侧立柱方向，德赫亚飞身将皮球扑出
73'双方有球员倒地                   71'第71分钟，埃姆雷-詹传球，库蒂尼奥30码处远射，皮球直飞右侧立柱方向，德赫亚飞身将皮球扑出
73'刚才德赫亚的扑救证明了身价                   71'第71分钟，埃姆雷-詹传球，库蒂尼奥30码处远射，皮球直飞右侧立柱方向，德赫亚飞身将皮球扑出
73'米尔纳站了起来，问题不大                   71'第71分钟，埃姆雷-詹传球，库蒂尼奥30码处远射，皮球直飞右侧立柱方向，德赫亚飞身将皮球扑出
74'德赫亚长传上来，埃姆雷詹头球只是蹭了一下，球出边线                   71'第71分钟，埃姆雷-詹传球，库蒂尼奥30码处远射，皮球直飞右侧立柱方向，德赫亚飞身将皮球扑出
74'瓦伦西亚分给拉什福德                   71'第71分钟，埃姆雷-詹传球，库蒂尼奥30码处远射，皮球直飞右侧立柱方向，德赫亚飞身将皮球扑出
74'拉什福德加速，对方防线还是很有层次                   71'第71分钟，埃姆雷-詹传球，库蒂尼奥30码处远射，皮球直飞右侧立柱方向，德赫亚飞身将皮球扑出
74'马内抓了对方一次失误，不过直传球被补防过来的布林德断下                   71'第71分钟，埃姆雷-詹传球，库蒂尼奥30码处远射，皮球直飞右侧立柱方向，德赫亚飞身将皮球扑出
