2'维拉在通过中场时传球失误，球被埃文斯拦截                   2'开场仅2分钟，阿什利-扬左路传中，但范佩西的左脚射门偏出
51'曼联把球直塞到禁区左侧，范佩西摆脱后，射门被门将奋力扑出底线！！！                   48'第48分钟，德尔夫开出角球，本特克远点小禁区边缘强力头球攻门被德赫亚飞身托出
51'范佩西的左脚射门啊，太可惜了                   48'第48分钟，德尔夫开出角球，本特克远点小禁区边缘强力头球攻门被德赫亚飞身托出
47'瓦伦西亚在右边路突破，低平球传中又被后卫破坏                   47'2分钟后，瓦伦西亚传球，马塔禁区右侧的射门又被古赞救出
47'法尔考前场拿球把球交给右路的瓦伦西亚                   47'2分钟后，瓦伦西亚传球，马塔禁区右侧的射门又被古赞救出
47'卡里克从中卫位置来到了前腰，顶替弗莱彻                   47'2分钟后，瓦伦西亚传球，马塔禁区右侧的射门又被古赞救出
48'维拉前场一次漂亮的反击，本特克带球到禁区弧顶，吸引了曼联4个防守球员，突然分到禁区左侧空挡，阿邦拉霍的射门被后卫挡出！！                   47'2分钟后，瓦伦西亚传球，马塔禁区右侧的射门又被古赞救出
49'角球传到后点，本特克头槌攻门！！近在咫尺的射门啊，被德赫亚神级扑救托出横梁！！！                   47'2分钟后，瓦伦西亚传球，马塔禁区右侧的射门又被古赞救出
49'德赫亚果然神勇啊！                   47'2分钟后，瓦伦西亚传球，马塔禁区右侧的射门又被古赞救出
55'一众来到客场的曼联球迷欣喜若狂！                   55'第55分钟，鲁尼远射被法尔考挡回，范佩西10码处倒钩射门打高
55'禁区外鲁尼尝试了一脚射门，但禁区里人太多，球被挡了一下，范佩西背对球门倒钩再射，高出横梁                   55'第55分钟，鲁尼远射被法尔考挡回，范佩西10码处倒钩射门打高
56'曼联这下是打出了气势                   55'第55分钟，鲁尼远射被法尔考挡回，范佩西10码处倒钩射门打高
56'看来中场范加尔的调整还是很有效果啊                   55'第55分钟，鲁尼远射被法尔考挡回，范佩西10码处倒钩射门打高
57'鲁尼中场拼抢时被对方撞飞，裁判没有吹！示意比赛继续                   55'第55分钟，鲁尼远射被法尔考挡回，范佩西10码处倒钩射门打高
58'阿邦拉霍在鲁尼起跳后用身体撞了鲁尼                   55'第55分钟，鲁尼远射被法尔考挡回，范佩西10码处倒钩射门打高
66'布莱克特中场上抢一步，阿邦拉霍没有收动作，直接踢在对方膝盖上！                   66'维拉第66分钟遭遇打击，阿邦拉霍拼抢中踢中阿什利-扬小腿被红牌直接罚下
66'裁判是直接出示红牌把阿邦拉霍罚下场！                   66'维拉第66分钟遭遇打击，阿邦拉霍拼抢中踢中阿什利-扬小腿被红牌直接罚下
67'直接红牌在英超会停赛3场                   66'维拉第66分钟遭遇打击，阿邦拉霍拼抢中踢中阿什利-扬小腿被红牌直接罚下
68'这样曼联似乎比赛拿到3分还有机会                   66'维拉第66分钟遭遇打击，阿邦拉霍拼抢中踢中阿什利-扬小腿被红牌直接罚下
68'看看维拉如何调整自己的战术                   66'维拉第66分钟遭遇打击，阿邦拉霍拼抢中踢中阿什利-扬小腿被红牌直接罚下
68'迪马利亚在禁区线上接法尔考的回敲，抽射被后卫用身体挡住！                   66'维拉第66分钟遭遇打击，阿邦拉霍拼抢中踢中阿什利-扬小腿被红牌直接罚下
69'迪马利亚禁区外横向带球突破，再射一脚！球还是被门将扑住！                   66'维拉第66分钟遭遇打击，阿邦拉霍拼抢中踢中阿什利-扬小腿被红牌直接罚下
78'鲁尼角球传到前点，队友头球一蹭，后点球被后卫解围！！！                   78'第78分钟，奥科雷角球混战中门线前挡出皮球
78'曼联继续角球                   78'第78分钟，奥科雷角球混战中门线前挡出皮球
78'迪马利亚角球传后点，球又被后卫蹭到，继续角球                   78'第78分钟，奥科雷角球混战中门线前挡出皮球
78'两侧角球不断啊！                   78'第78分钟，奥科雷角球混战中门线前挡出皮球
78'鲁尼角球传到门前，球又被弗拉尔解围！                   78'第78分钟，奥科雷角球混战中门线前挡出皮球
79'维拉换人，恩佐比亚换下维曼                   78'第78分钟，奥科雷角球混战中门线前挡出皮球
79'维拉一下换2个，西索科被巴库纳换下                   78'第78分钟，奥科雷角球混战中门线前挡出皮球
80'全场比赛80分钟了，维拉看看能不能守住这1分                   78'第78分钟，奥科雷角球混战中门线前挡出皮球
