3'利物浦进球了！！！                   3'利物浦开场仅3分钟就取得领先，马尔科维奇传球，库迪尼奥30码处射入左上角
44'南安普敦马上长传送到前场                   44'第44分钟，克莱因长传，反越位成功的埃利亚禁区前单刀挑射被米尼奥莱出击救出
45'埃利亚插上后形成单刀，禁区外挑射被及时出击的米尼奥莱先用胸挡出                   44'第44分钟，克莱因长传，反越位成功的埃利亚禁区前单刀挑射被米尼奥莱出击救出
45'但球反弹到手上，裁判也是没有表示                   44'第44分钟，克莱因长传，反越位成功的埃利亚禁区前单刀挑射被米尼奥莱出击救出
45'南安普敦这边获得角球机会                   44'第44分钟，克莱因长传，反越位成功的埃利亚禁区前单刀挑射被米尼奥莱出击救出
45'角球送后点                   44'第44分钟，克莱因长传，反越位成功的埃利亚禁区前单刀挑射被米尼奥莱出击救出
46'又是乱战，南安普敦球员投诉有手球                   44'第44分钟，克莱因长传，反越位成功的埃利亚禁区前单刀挑射被米尼奥莱出击救出
46'慢镜头也是给到了，洛夫伦确实手球了                   44'第44分钟，克莱因长传，反越位成功的埃利亚禁区前单刀挑射被米尼奥莱出击救出
46'南安普敦这边再次获得角球机会                   44'第44分钟，克莱因长传，反越位成功的埃利亚禁区前单刀挑射被米尼奥莱出击救出
46'角球送后点，米尼奥莱单拳将球击出                   44'第44分钟，克莱因长传，反越位成功的埃利亚禁区前单刀挑射被米尼奥莱出击救出
47'禁区外围，南安普敦远射又是被米尼奥莱挡出                   44'第44分钟，克莱因长传，反越位成功的埃利亚禁区前单刀挑射被米尼奥莱出击救出
47'禁区内，南安普敦还有机会                   44'第44分钟，克莱因长传，反越位成功的埃利亚禁区前单刀挑射被米尼奥莱出击救出
47'埃姆雷-詹先出一脚将球解围                   44'第44分钟，克莱因长传，反越位成功的埃利亚禁区前单刀挑射被米尼奥莱出击救出
46'下半场比赛开始！                   44'第44分钟，克莱因长传，反越位成功的埃利亚禁区前单刀挑射被米尼奥莱出击救出
46'两队中场休息的时候都有人员调整                   44'第44分钟，克莱因长传，反越位成功的埃利亚禁区前单刀挑射被米尼奥莱出击救出
47'南安普敦这边，史蒂文-戴维斯被换下，施奈德林上！                   44'第44分钟，克莱因长传，反越位成功的埃利亚禁区前单刀挑射被米尼奥莱出击救出
47'利物浦这边，马尔科维奇下，莫雷诺上！                   44'第44分钟，克莱因长传，反越位成功的埃利亚禁区前单刀挑射被米尼奥莱出击救出
73'这球传的有些问题，出了底线                   73'利物浦第73分钟扩大比分，施奈德林后场传球失误，莫雷诺禁区左侧传中，塔格特解围失误，斯特林14码处推射破门，2-0
73'2-0！！！                   73'利物浦第73分钟扩大比分，施奈德林后场传球失误，莫雷诺禁区左侧传中，塔格特解围失误，斯特林14码处推射破门，2-0
73'斯特林！！                   73'利物浦第73分钟扩大比分，施奈德林后场传球失误，莫雷诺禁区左侧传中，塔格特解围失误，斯特林14码处推射破门，2-0
74'南安普敦后场的一次失误啊                   73'利物浦第73分钟扩大比分，施奈德林后场传球失误，莫雷诺禁区左侧传中，塔格特解围失误，斯特林14码处推射破门，2-0
75'南安普敦中后场横传失误，莫雷诺左路带球后横敲到中路，南安普敦后卫解围又是失误，斯特林跟进推射破门得分！                   73'利物浦第73分钟扩大比分，施奈德林后场传球失误，莫雷诺禁区左侧传中，塔格特解围失误，斯特林14码处推射破门，2-0
75'此时此刻值得来杯嘉士伯                   73'利物浦第73分钟扩大比分，施奈德林后场传球失误，莫雷诺禁区左侧传中，塔格特解围失误，斯特林14码处推射破门，2-0
75'利物浦换人，伊比下，格伦-约翰逊上！                   73'利物浦第73分钟扩大比分，施奈德林后场传球失误，莫雷诺禁区左侧传中，塔格特解围失误，斯特林14码处推射破门，2-0
76'南安普敦换人，德约里西奇下，塔蒂奇上！                   73'利物浦第73分钟扩大比分，施奈德林后场传球失误，莫雷诺禁区左侧传中，塔格特解围失误，斯特林14码处推射破门，2-0
76'两队也都是用完了三次换人名额                   73'利物浦第73分钟扩大比分，施奈德林后场传球失误，莫雷诺禁区左侧传中，塔格特解围失误，斯特林14码处推射破门，2-0
